Punjabi,Malayalam
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
ਵਿਗਾੜ,അപഭ്രംശം
ਅਸਧਾਰਨ ਸੰਚਾਰ,അസാധാരണമായ സംക്രമണം
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,സ്പെക്ട്രം കാണുന്നില്ല
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
ਪੂਰਨ ਨਮੀ,കേവല ഈർപ്പം
ਪੂਰਨ ਗਤੀ,കേവല വേഗത
ਪੂਰਨ ਨਿਰੀਖਣ,സമ്പൂർണ നിരീക്ഷണം
ਪੂਰਨ ਤਾਪਮਾਨ,കേവല താപനില
ਪੂਰਨ ਜ਼ੀਰੋ,കേവല പൂജ്യം
ਸੋਖਣਾ,ആഗിരണം ചെയ്യുക
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","ആഗിരണം, ആഗിരണം"
ਸਮਾਈ ਸਮਰੱਥਾ,ആഗിരണം ശേഷി
ਸਮਾਈ,ആഗിരണം
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,ആഗിരണം ചെയ്യാവുന്ന
ਸਮਾਈ,ആഗിരണം
ਗੁਣਾ ਅਨੁਪਾਤ,ഗുണിത അനുപാതം
ਤੇਜ਼ ਕਰੋ,ത്വരിതപ്പെടുത്തുക
ਜਲਦੀ,തിടുക്കപ്പെട്ടു
ਪ੍ਰਵੇਗ,ത്വരണം
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ഗുരുത്വാകർഷണ ത്വരണം
ਐਕਸਲੇਟਰ,ആക്സിലറേറ്റർ
ਐਕਸਲੇਟਰ,ആക്സിലറേറ്റർ
ਐਕਸਲੇਰੋਮੀਟਰ,ആക്സിലറോമീറ്റർ
prestresser,പ്രിസ്ട്രെസർ
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,സ്വീകാര്യമായ പരിശോധന
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,സ്വീകർത്താവ്
ਦਾਨੀ ਅਣੂ,ദാതാവിന്റെ തന്മാത്ര
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
ਪਹੁੰਚਯੋਗਤਾ,പ്രവേശനക്ഷമത
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,പ്രവേശന സമയം
ਵਿਜ਼ਟਰ ਗਲਤੀ,സന്ദർശക പിശക്
ਵਿਵਸਥਾ,ക്രമീകരിക്കൽ
ਇਕੱਠਾ ਕੀਤਾ,കുമിഞ്ഞുകൂടി
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","ശേഖരണം, ശേഖരണം"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ശേഖരണം
