English,Telugu
Abnormal,అసాధారణ
Abort,అబార్ట్
Abrasion,అబ్రేషన్
Abrupt,ఆకస్మిక
Absolute field strength,సంపూర్ణ క్షేత్ర బలం
Absolute temperature,సంపూర్ణ ఉష్ణోగ్రత
Absolute value,సంపూర్ణ విలువ
Absorb,గ్రహించండి
Absorption co-efficient,శోషణ సహ-సమర్థత
Absorption loss,శోషణ నష్టం
Abstract,నైరూప్య
Accelerometer,యాక్సిలెరోమీటర్
Acceptance test,అంగీకార పరీక్ష
Access,యాక్సెస్
Access control,యాక్సెస్ నియంత్రణ
Access point,యాక్సెస్ పాయింట్
Access time,ప్రాప్యత సమయం
Accessibility,సౌలభ్యాన్ని
Accumulator cell,సంచిత కణం
Accuracy,ఖచ్చితత్వం
Accurate,ఖచ్చితమైనది
Achromatic lens,అచ్రోమాటిక్ లెన్స్
Acid,ఆమ్లము
Acid proof,యాసిడ్ ప్రూఫ్
Acidity,ఆమ్లత్వం
Acknowledgement bit,రసీదు బిట్
Acoustic,శబ్ద
Acoustic communication,ఎకౌస్టిక్ కమ్యూనికేషన్
Acoustic diffusion,శబ్ద వ్యాప్తి
Acoustic equalizer,ఎకౌస్టిక్ ఈక్వలైజర్
Acoustic feedback,శబ్ద అభిప్రాయం
Acoustic filter,శబ్ద వడపోత
Acoustic impedance,శబ్ద ఇంపెడెన్స్
Acoustic masking,ఎకౌస్టిక్ మాస్కింగ్
Acoustic power,శబ్ద శక్తి
Acoustic property,శబ్ద ఆస్తి
Acoustic reactance,శబ్ద ప్రతిచర్య
Acoustic reflex,ఎకౌస్టిక్ రిఫ్లెక్స్
Acoustic tile,శబ్ద టైల్
Acoustic wave,శబ్ద వేవ్
Acoustical absorption,శబ్ద శోషణ
Acoustical attenuation constant,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
Acoustical damping,శబ్ద డంపింగ్
Acoustical delay line,శబ్ద ఆలస్యం రేఖ
Acoustical distortion,శబ్ద వక్రీకరణ
Acoustical duct,శబ్ద వాహిక
Acoustical energy,శబ్ద శక్తి
Acoustical feedback,శబ్ద అభిప్రాయం
Acoustical filter,శబ్ద వడపోత
Acoustical impedance,శబ్ద ఇంపెడెన్స్
Acoustical propagation constant,శబ్ద ప్రచారం స్థిరాంకం
Acoustical resistance,శబ్ద నిరోధకత
Acoustically insulated,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
Acoustics,ధ్వని
Acquisition,సముపార్జన
Acronym,ఎక్రోనిం
Action area,కార్యాచరణ ప్రాంతం
Activated filament,సక్రియం చేయబడిన ఫిలమెంట్
Active,క్రియాశీల
Active area,క్రియాశీల ప్రాంతం
Active window,క్రియాశీల విండో
Adaptability,అనుకూలత
