Punjabi,Marathi
ਅਸਧਾਰਨ,असामान्य
ਅਧੂਰਾ ਛੱਡਣਾ,गर्भपात
ਘ੍ਰਿਣਾ,घर्षण
ਅਚਾਨਕ,अचानक
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,परिपूर्ण फील्ड सामर्थ्य
ਪੂਰਨ ਤਾਪਮਾਨ,परिपूर्ण तापमान
ਸਹੀ ਮੁੱਲ,परिपूर्ण मूल्य
ਸੋਖਣਾ,शोषून घ्या
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,शोषण सह-कार्यक्षम
ਸਮਾਈ ਨੁਕਸਾਨ,शोषण तोटा
ਸਾਰ,गोषवारा
ਐਕਸੀਲਾਮੀਟਰ,एक्सेलरोमीटर
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,स्वीकृती चाचणी
ਪਹੁੰਚ,प्रवेश
ਐਕਸੈਸ ਕੰਟਰੋਲ,प्रवेश नियंत्रण
ਐਕਸੈਸ ਪੁਆਇੰਟ,प्रवेश बिंदू
ਐਕਸੈਸ ਟਾਈਮ,प्रवेश वेळ
ਪਹੁੰਚਯੋਗਤਾ,प्रवेशयोग्यता
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,संचयक सेल
ਸ਼ੁੱਧਤਾ,अचूकता
ਸਹੀ,अचूक
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,अ‍ॅक्रोमॅटिक लेन्स
ਐਸਿਡ,आम्ल
ਐਸਿਡ ਦਾ ਸਬੂਤ,आम्ल पुरावा
ਐਸਿਡਿਟੀ,आंबटपणा
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,पावती बिट
ਧੁਨੀ,ध्वनिक
ਧੁਨੀ ਸੰਚਾਰ,ध्वनिक संप्रेषण
ਧੁਨੀ ਫੈਲਾਉਣ,ध्वनिक प्रसार
ਧੁਨੀ ਬਰਾਬਰੀ,ध्वनिक समतुल्य
ਧੁਨੀ ਫੀਡਬੈਕ,ध्वनिक अभिप्राय
ਧੁਨੀ ਫਿਲਟਰ,ध्वनिक फिल्टर
ਧੁਨੀ ਰੁਕਾਵਟ,ध्वनिक प्रतिबाधा
ਧੁਨੀ ਮਾਸਕਿੰਗ,ध्वनिक मास्किंग
ਧੁਨੀ ਸ਼ਕਤੀ,ध्वनिक शक्ती
ਧੁਨੀ ਸੰਪਤੀ,ध्वनिक मालमत्ता
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,ध्वनिक प्रतिक्रिया
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ध्वनिक प्रतिक्षेप
ਧੁਨੀ ਟਾਈਲ,ध्वनिक टाइल
ਧੁਨੀ ਲਹਿਰ,ध्वनिक लाट
ਧੁਨੀ ਸਮਾਈ,ध्वनिक शोषण
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,ध्वनीविषयक क्षीणन स्थिर
ਧੁਨੀ ਗਿੱਲੀ,ध्वनिकी ओलसर
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,ध्वनिक विलंब रेखा
ਧੁਨੀ ਵਿਗਾੜ,ध्वनिक विकृती
ਧੁਨੀ ਨਲੀ,ध्वनिक नलिका
ਧੁਨੀ energy ਰਜਾ,ध्वनिक ऊर्जा
ਧੁਨੀ ਫੀਡਬੈਕ,ध्वनिक अभिप्राय
ਧੁਨੀ ਫਿਲਟਰ,ध्वनिक फिल्टर
ਧਾਰਨਾ,ध्वनीविषयक प्रतिबाधा
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,ध्वनीविषयक प्रसार स्थिर
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,ध्वनिक प्रतिकार
ਧੁਨੀ,ध्वनिकरित्या इन्सुलेटेड
ਧੁਨੀ,ध्वनिकी
ਗ੍ਰਹਿਣ,संपादन
ਐਕਰੋਨਾਈਮ,परिवर्णी शब्द
ਕਾਰਵਾਈ ਖੇਤਰ,कृती क्षेत्र
ਸਰਗਰਮ ਤੰਦ,सक्रिय फिलामेंट
ਕਿਰਿਆਸ਼ੀਲ,सक्रिय
ਐਕਟਿਵ ਖੇਤਰ,सक्रिय क्षेत्र
ਐਕਟਿਵ ਵਿੰਡੋ,सक्रिय विंडो
ਅਨੁਕੂਲਤਾ,अनुकूलता
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
ਐਡਰੈੱਸ ਬੁੱਕ,अॅड्रेस बुक
ਪਤਾ ਬੱਸ,अ‍ॅड्रेस बस
ਪਤਾ ਹੱਲ,पत्ता ठराव
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,लगतच चॅनेल हस्तक्षेप
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,लगतच चॅनेल निवड
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,समीप वारंवारता
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,समीप फ्रिक्वेन्सी चॅनेल
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,लगतचे चित्र वाहक
ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ,समीप ध्वनी वाहक
ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ,समीप स्टेशन
ਵਿਵਸਥਤ,समायोज्य
ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ,समायोज्य कंडेन्सर
ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ,दबाव समायोजित करणे
ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ,पाना समायोजित करणे
ਵਿਵਸਥਾ,समायोजन
ਪ੍ਰਬੰਧਕ,प्रशासक
ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ,आधुनिक तंत्रज्ञान
ਏਰੀਅਲ,हवाई
ਏਰੀਅਲ ਐਰੇ,एरियल अ‍ॅरे
ਏਰੀਅਲ ਬੂਸਟਰ,एरियल बूस्टर
ਏਰੀਅਲ ਮੌਜੂਦਾ,एरियल करंट
ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ,एरियल अर्थिंग स्विच
ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ,हवाई कार्यक्षमता
ਏਰੀਅਲ ਰੁਕਾਵਟ,हवाई प्रतिबाधा
