Odiya,Punjabi
ଏସିଡଏଡ୍ |,ਐਸਿਡੌਇਡ
ଆଓଲିୟାନ୍ ମାଟି |,ਏਓਲੀਅਨ ਮਿੱਟੀ
ସମୁଦାୟ,ਕੁੱਲ
ଏକୀକରଣ,ਐਗਰੀਗੇਸ਼ਨ
ଏଗ୍ରୋଲୋଜି,ਖੇਤੀ ਵਿਗਿਆਨ
କୃଷି,ਖੇਤੀ ਵਿਗਿਆਨ
ଏକ ରାଶି,ਏ-ਹੋਰੀਜ਼ਨ
ଆଓ-ରାଶି,ਆਉ-ਦਿਮਾਗ
ଆଓ-ରାଶି |,ਆਉ—ਅੰਦਾਜ਼
ମାଟିର ବାୟୁ କ୍ଷମତା |,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
ବାୟୁ ପିକନୋମିଟର |,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
ଆଲିଟିକ୍ ମାଟି |,ਐਲੀਟਿਕ ਮਿੱਟੀ
ଆଲୁଭିଆଲ୍ ମାଟି |,ਐਲਵੀਅਲ ਮਿੱਟੀ
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,ਐਮਫੋਲੀਟੋਇਡ
ଆନିଅନ୍ |,ਐਨੀਅਨ
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
ଆରିସ୍,ਅਰਿਸ
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
ଆଶଲାର୍ ରାଜକନିକା |,ਐਸ਼ਲਰ ਚਿਣਾਈ
ଆଜୋନାଲ ମାଟି |,ਅਜੋਨਲ ਮਿੱਟੀ
ପଛ ଆକ୍ଟର୍ |,ਪਿਛਲਾ ਅਦਾਕਾਰ
ପଛ ଆର୍କ,ਪਿਛਲਾ arch
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,ਬੈਕ ਬੈਂਡ
ପଛ ବ୍ରଶ୍ |,ਪਿੱਛੇ ਬੁਰਸ਼
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,ਵਾਪਸ ਜਾਂਚ
ପଛ କାଉଣ୍ଟର |,ਪਿੱਛੇ ਕਾਊਂਟਰ
ପଛ କାଟିବା |,ਵਾਪਸ ਕੱਟਣਾ
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
ପଛ ଡ୍ରେନ୍ |,ਬੈਕ ਡਰੇਨ
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,ਬੈਕ ਡਰਾਪ
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,ਵਾਪਸ ਭਰੋ
ପଛ ଫିଲେଟ୍ |,ਬੈਕ ਫਿਲਲੇਟ
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
ବ୍ୟାକ୍ ଗେଜ୍ |,ਬੈਕ ਗੇਜ
ପଛ ଗୁଟର୍ |,ਪਿਛਲਾ ਗਟਰ
ପଛ ଚୁଲି,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
ସମର୍ଥନ,ਬੈਕਿੰਗ
ବ୍ୟାକିଂ ବୋର୍ଡ |,ਬੈਕਿੰਗ ਬੋਰਡ
ପଛ ଚାପ |,ਪਿੱਠ ਦਾ ਦਬਾਅ
ପଛ ପ୍ରପ,ਬੈਕ ਪ੍ਰੋਪ
ପଛ ଦୃଶ୍ୟ |,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
ପଛ ପାଣି |,ਵਾਪਸ ਪਾਣੀ
ବାଫଲ୍ |,ਘਬਰਾਹਟ
ବ୍ୟାଗୱାର୍କ |,ਬੈਗਵਰਕ
ବାଲାଷ୍ଟ,ਬੈਲਸਟ
ବଲ୍ ମାଟି |,ਬਾਲ ਮਿੱਟੀ
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
କଣ୍ଟା ତାର,ਕੰਡਿਆਲੀ ਤਾਰ
ବାର୍ କୁକୁର |,ਬਾਰ ਕੁੱਤਾ
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,ਬਾਰਜ ਬੋਰਡ
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
ବ୍ୟାରେଜ୍,ਬੈਰਾਜ
ବାରେଟ୍ |,ਬੈਰੇਟ
ଆଧାର,ਅਧਾਰ
ଆଧାର ବିନିମୟ |,ਬੇਸ ਐਕਸਚੇਂਜ
ଆଧାର ରେଖା |,ਬੇਸ ਲਾਈਨ
