Marathi,Malayalam
अॅबॅकस,അബാക്കസ്
असामान्य समाप्ती,അസാധാരണമായ അവസാനിപ്പിക്കൽ
गर्भपात,ഉപേക്ഷിക്കുക
निरपेक्ष,കേവല
परिपूर्ण पत्ता,സമ്പൂർണ്ണ വിലാസം
निरपेक्ष संबोधन,സമ്പൂർണ്ണ അഭിസംബോധന
परिपूर्ण असेंबलर,കേവല അസംബ്ലർ
परिपूर्ण कोड,കേവല കോഡ്
निरपेक्ष आज्ञा,സമ്പൂർണ്ണ കമാൻഡ്
परिपूर्ण डेटा,സമ്പൂർണ്ണ ഡാറ്റ
परिपूर्ण सूचना,സമ്പൂർണ്ണ നിർദ്ദേശം
परिपूर्ण मोड,കേവല മോഡ്
परिपूर्ण मार्ग,കേവല പാത
परिपूर्ण प्रोग्रामिंग,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
अमूर्त वर्ग,അമൂർത്ത ക്ലാസ്
अमूर्त डेटा प्रकार,അമൂർത്ത ഡാറ്റ തരം
अमूर्त मशीन,അമൂർത്ത യന്ത്രം
अमूर्त चिन्ह,അമൂർത്ത ചിഹ്നം
अमूर्त वाक्यरचना,അമൂർത്തമായ വാക്യഘടന
स्वीकृती चाचणी,സ്വീകാര്യത പരിശോധന
प्रवेश प्रमाणीकरण,ആക്സസ് പ്രാമാണീകരണം
प्रवेश कोड,പ്രവേശന കോഡ്
प्रवेश नियंत्रण,പ്രവേശന നിയന്ത്രണം
प्रवेश स्कॅन,ആക്സസ് സ്കാൻ
ऍक्सेसरी,ഉപസാധനം
खाते,അക്കൗണ്ട്
खाते आयडी,അക്കൗണ്ട് ID
संचयक,ശേഖരണം
अचूकता,കൃത്യത
प्रवेश,പ്രവേശനം
ऍक्सेस कंट्रोल बाइट,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
प्रवेश निर्देशांक,പ്രവേശന സൂചിക
प्रवेश की,ആക്സസ് കീ
ऍक्सेस मॅट्रिक्स,ആക്സസ് മാട്രിക്സ്
प्रवेश मोड,ആക്സസ് മോഡ്
प्रवेश विशेषाधिकार,ആക്സസ് പ്രിവിലേജ്
प्रवेश सुरक्षा,ആക്സസ് സുരക്ഷ
ऍक्सेस सर्व्हर,ആക്സസ് സെർവർ
प्रवेश वेळ,പ്രവേശന സമയം
पोचपावती,അംഗീകാരം
ध्वनीशास्त्र,ശബ്ദശാസ്ത്രം
परिवर्णी शब्द,സംക്ഷേപം
क्रिया संदेश,പ്രവർത്തന സന്ദേശം
सक्रियकरण,സജീവമാക്കൽ
सक्रिय सर्व्हर पृष्ठ (एएसपी),സജീവ സെർവർ പേജ് (ASP)
सक्रिय आवृत्ती,സജീവ പതിപ്പ്
अॅसायक्लिक,അസൈക്ലിക്
अॅसायक्लिक आलेख,അസൈക്ലിക് ഗ്രാഫ്
अडा भाषा,അഡാ ഭാഷ
अडॅप्टर,അഡാപ്റ്റർ
जोडा,ചേർക്കുക
फाइल जोडा,ഫയൽ ചേർക്കുക
ऑपरेशन जोडा,പ്രവർത്തനം ചേർക്കുക
जोडणारा,ചേർക്കുന്നയാൾ
पत्ता,വിലാസം
पत्ता बस,വിലാസം ബസ്
पत्ता फाइल,വിലാസ ഫയൽ
पत्त्याचे स्वरूप,വിലാസ ഫോർമാറ്റ്
पत्ता जनरेटर,വിലാസ ജനറേറ്റർ
पत्ता ओळ,വിലാസ ലൈൻ
पत्ता मॅपिंग,വിലാസ മാപ്പിംഗ്
पत्ता सूचक,വിലാസ സൂചിക
पत्ता नोंदवही,വിലാസ രജിസ്റ്റർ
पत्ता ठराव,വിലാസം റെസലൂഷൻ
पत्ता अनुवाद,വിലാസ വിവർത്തനം
संबोधित मेमरी,അഭിസംബോധന ചെയ്ത മെമ്മറി
संबोधित करणे,അഭിസംബോധന
पर्याप्तता निकष,പര്യാപ്തത മാനദണ്ഡം
संलग्न,അനുബന്ധം
प्रशासन,ഭരണകൂടം
प्रशासक,കാര്യനിർവാഹകൻ
adobe acrobat,അഡോബ് അക്രോബാറ്റ്
अडोब फोटोशाॅप,അഡോബ് ഫോട്ടോഷോപ്പ്
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
प्रगत डेटा,വിപുലമായ ഡാറ്റ
प्रगत माहिती प्रणाली,വിപുലമായ വിവര സംവിധാനം
प्रगत तंत्रज्ञान (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
एजंट,ഏജന്റ്
एकत्रीकरण,സമാഹരണം
एअरबोर्न संगणक प्रणाली,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus पृष्ठ निर्माता,ആൽഡസ് പേജ് മേക്കർ
इशारा बॉक्स,മുന്നറിയിപ്പ് ബോക്സ്
अल्गोल,ആൽഗോൾ
अल्गोरिदम,അൽഗോരിതം
अल्गोरिदम विश्लेषण,അൽഗോരിതം വിശകലനം
अल्गोरिदम कार्यक्षमता,അൽഗോരിതം കാര്യക്ഷമത
उर्फ,അപരനാമം
संरेखन,വിന്യാസം
वाटप,വിഹിതം
वर्णमाला,അക്ഷരമാലാക്രമം
अल्फान्यूमेरिक,ആൽഫാന്യൂമെറിക്
अल्फान्यूमेरिक की बोर्ड,ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
