Hindi,English
अपसामान्य,Abnormal
विफलन,Abort
" अपघर्षण , घिसाई",Abrasion
" असंलग्न , अचानक, सहसा   , विच्छिन्न",Abrupt
निरपेक्ष क्षेत्र सामर्थ्य,Absolute field strength
परम ताप,Absolute temperature
निरपेक्ष मान,Absolute value
"अवशोषित करना, अवशोषण करना",Absorb
अवशोषण गुणांक,Absorption co-efficient
अवशोषण हानि,Absorption loss
" अमूर्त , सारांश, सार, संक्षेप",Abstract
त्वरणमापी,Accelerometer
स्वीकृति परीक्षण,Acceptance test
अभिगम,Access
अभिगम नियंत्रण,Access control
अभिगम बिंदु,Access point
अभिगम काल,Access time
अभिगम्यता,Accessibility
संचायक सेल,Accumulator cell
यथार्थता,Accuracy
यथार्थ,Accurate
अवर्णक लेन्स,Achromatic lens
"अम्ल, ऐसिड",Acid
अम्लसह,Acid proof
अम्लता,Acidity
"पावती द्वयंक, पावती बिट",Acknowledgement bit
ध्वानिक,Acoustic
ध्वानिक संचार,Acoustic communication
ध्वानिक विसरण,Acoustic diffusion
ध्वानिक समकारी,Acoustic equalizer
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",Acoustic feedback
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",Acoustic filter
ध्वानिक प्रतिबाधा,Acoustic impedance
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",Acoustic masking
ध्वानिक षक्ति,Acoustic power
ध्वानिक गुणधर्म,Acoustic property
ध्वानिक प्रतिघात,Acoustic reactance
ध्वानिक प्रतिवर्त,Acoustic reflex
ध्वानिक टाइल,Acoustic tile
ध्वानिक तरंग,Acoustic wave
ध्वानिक अवशोषण गुणांक,Acoustical absorption
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,Acoustical attenuation constant
ध्वानिक अवमंदन,Acoustical damping
ध्वानिक विलंब लाइन,Acoustical delay line
ध्वानिक विरूपण,Acoustical distortion
ध्वनि-वाहिनी,Acoustical duct
ध्वानिक ऊर्जा,Acoustical energy
ध्वानिक पुनर्निवेश,Acoustical feedback
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",Acoustical filter
ध्वानिक प्रतिबाधा,Acoustical impedance
ध्वानिक संचरण नियतांक,Acoustical propagation constant
ध्वानिक प्रतिरोध,Acoustical resistance
ध्वानिकतः रुद्ध,Acoustically insulated
"ध्वानिकी, ध्वनि विज्ञान",Acoustics
"अधिग्रहण, अर्जन, उपार्जन",Acquisition
संक्षिप्त रूप,Acronym
कार्य क्षेत्र,Action area
"सक्रियकृत तंतु, सक्रियित तंतु",Activated filament
सक्रिय,Active
सक्रिय क्षेत्र,Active area
सक्रिय विंडो,Active window
अनुकूलनीयता,Adaptability
"अनुकूलक, अनुकूलित्र",Adapter (adaptor)
अनुकूली विभेदी स्पंद कोड मॉडुलन,Adaptive differential pulse code modulation
"पता पुस्तिका, एड्रेस बुक",Address book
"पता बस, एड्रेस बस",Address bus
"पता विभेदन, एड्रेस विभेदन",Address resolution
"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण",Adjacent channel interference
"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता",Adjacent channel selectivity
आसन्न आवृत्ति,Adjacent frequency
आसन्न आवृत्ति चैनल,Adjacent frequency channel
"आसन्न चित्र वाहक, संलग्न वीडियो वाहक",Adjacent picture carrier
आसन्न ध्वनि वाहक,Adjacent sound carrier
"निकटवतब स्टेशन, निकटवतब केंद्र",Adjacent station
समायोज्य,Adjustable
समायोज्य संधारित्र,Adjustable condenser
समायोज्य दाब,Adjusting pressure
समायोजी रिंच,Adjusting wrench
समायोजन,Adjustment
" प्रशासक , नियंत्रक",Administrator
उन्नत प्रौद्योगिकी,Advanced technology
"एरियल (ऐन्टेना), आकाशी, वायव, हवाई",Aerial
एरियल व्यूह,Aerial array
"एरियल वर्धक, ऐन्टेना वर्धक",Aerial booster
ऐन्टेना धारा,Aerial current
ऐन्टेना भूसंपर्कक स्विच,Aerial earthing switch
ऐन्टेना दक्षता,Aerial efficiency
ऐन्टेना प्रतिबाधा,Aerial impedance
ऐन्टेना प्रेरकत्व,Aerial inductance
ऐन्टेना विद्तरोधी,Aerial insulator
ऐन्टेना भारण कुंडली,Aerial loading coil
आकाषी फोटोग्राफी,Aerial photography
ऐन्टेना षक्ति,Aerial power
आकाशी विकिरण प्रतिरोध,Aerial radiation reistance
ऐन्टेना प्रतिघात,Aerial reactance
वायुगतिकी,Aerodynamics
"एजेंसी, अभिकरण",Agency
वायु संपीडक,Air compressor
वायु संधारित्र,Air condenser
वायुशीतित,Air cooled
वायु क्रोडित कुंडली,Air cored coil
वातानुकूलन,Airconditioning
ऐल्बीडो,Albedo
"कलन विधि, एल्गोरिथ्म",Algorithm
एलियासिंग,Aliasing
संरेखण,Aligning
संरेखण,Alignment
सर्व तरंग एरियल,All wave aerial
नियतन,Allocation
"वर्णक्रमीय, वर्णक्रमिक",Alphabetic
अक्षरांकीय,Alphanumeric
अक्षरांकीय संप्रतीक,Alphanumeric character
अक्षरांकीय सूचना,Alphanumeric information
प्रत्यावतब धारा (ए सी),Alternating current (a.c.)
प्रत्यावर्तन,Alternation
"प्रत्यावर्तक, प्रत्यावर्तित्र",Alternator
" तुंगता , उन्नतांश         , शीर्षलंब",Altitude
अपभू-तुंगता,Altitude of the apogee
उपभू-तुंगता,Altitude of the perigee
अव्यावसायिक रेडियो संचार,Amateur radio communication
परिवेश,Ambience
परिवेश माइक्रोफोन,Ambience microphone
परिवेशी दशा,Ambient condition
परिवेश प्रकाश व्यवस्था,Ambient lighting
परिवेशी रव,Ambient noise
"परिवेशी ताप, परिवेश ताप",Ambient temperature
अमरीकी मानक कोड,American standard code
ऐम्पियर,Ampere
ऐम्पियर मापी,Ampere meter
प्रवर्धन,Amplification
प्रवर्धन गुणक,Amplification factor
प्रवर्धक,Amplifier
प्रवर्धक लब्धि,Amplifier gain
प्रवर्धक रव,Amplifier noise
प्रवर्धन उपस्कर,Amplifying equipment
प्रवर्धन क्लाइस्ट्रॉन,Amplifying klystron
प्रवर्धन एकक,Amplifying unit
" आयाम , कोणांक",Amplitude
आयाम विरूपण,Amplitude distortion
आयाम प्रसार,Amplitude excursion
आयाम गुणक,Amplitude factor
आयाम सीमक,Amplitude limiter
आयाम मॉडुलित,Amplitude modulated
आयाम मॉडुलन,Amplitude modulation
"अनुरूप, एनालॉग",Analog (analogue)
अनुरूप परिपथ,Analog circuit
अनुरूप कंप्यूटर,Analog computer
अनुरूप रेडियो आवृत्ति चैनल,Analog radio frequency channel
अनुरूप निरूपण,Analog representation
"अनुरूप संकेत, अनुरूप सिगनल",Analog signal
अनुरूप से अंकीय,Analog to digital
अनुरूप-अंकीय परिवर्तक,Analog to digital converter
अनुरूप वीडियो,Analog video
"अनुरूप, स–श",Analogous
अनुरूपता,Analogy
विष्लेषण,Analysis
आंकड़ा विष्लेषण,Analysis of data
विष्लेषी घनत्व,Analytical density
विष्लेषण करना,Analyze
विष्लेषक,Analyzer
सहायक उपस्कर,Ancilliary equipment
"ऐन्ड गेट, तथा द्वार, AND गेट",AND Gate
समांतरण कोण,Angle of collimation
धुवण कोण,Angle of polarization
घूर्णन कोण,Angle of rotation
ऐंग्स्ट्रम(Å),Angstrom (Å)
"कोणीय, d¨f.kd",Angular
d¨.kh; त्वरण,Angular acceleration
कोणीय निर्देशांक,Angular co-ordinates
कोणीय विक्षेपण,Angular deflection
कोणीय परिक्षेपण,Angular dispersion
कोणीय विस्थापन,Angular displacement
कोणीय त्रुटि,Angular error
कोणीय आवृत्ति,Angular frequency
कोणीय संवेग,Angular momentum
कोणीय गति,Angular motion
कोणीय वेग,Angular velocity
"ऐनीमेशन, सजीवन",Animation
ऐनोड,Anode
ऐनोड बैटरी,Anode battery
ऐनोड अभिलक्षण,Anode characteristic
ऐनोड परिपथ,Anode circuit
ऐनोड क्षय,Anode dissipation
ऐनोड दक्षता,Anode efficiency
ऐनोड निवेश षक्ति,Anode input power
ऐनोड मॉडुलन,Anode modulation
ऐन्टेना,Antenna
ऐन्टेना किरणपुंज चौड़ाई,Antenna beamwidth
ऐन्टेना वर्धक,Antenna booster
ऐन्टेना परिवर्तन स्विच,Antenna changeover switch
ऐन्टेना कुंडली,Antenna coil
"ऐन्टेना विन्यास, ऐन्टेना संरूपण",Antenna configuration
ऐन्टेना युग्मक,Antenna coupler
ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप,Antenna cross polar pattern
ऐन्टेना धारा,Antenna current
ऐन्टेना दैशिकता लब्धि,Antenna directivity gain
ऐन्टेना द्वैध संकेतक,Antenna duplexer
ऐन्टेना प्रभावी क्षेत्र,Antenna effective area
ऐन्टेना दक्षता,Antenna efficiency
ऐन्टेना प्रभरण,Antenna feed
ऐन्टेना व्याप्ति,Antenna foot print
ऐन्टेना लब्धि,Antenna gain
ऐन्टेना ऊंचाई,Antenna height
ऐन्टेना प्रतिबाधा,Antenna impedance
ऐन्टेना प्रेरकत्व,Antenna inductance
ऐन्टेना प्रतिरूप,Antenna pattern
"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक",Antenna plexer
ऐन्टेना धुवण,Antenna polarization
ऐन्टेना षक्ति,Antenna power
ऐन्टेना षक्ति लब्धि,Antenna power gain
ऐन्टेना विकिरण प्रतिरोध,Antenna radiation resistance
ऐन्टेना प्रतिघात,Antenna reactance
ऐन्टेना परावर्तक,Antenna reflector
ऐन्टेना प्रतिरोध,Antenna resistance
ऐन्टेना अनुनादी आवृत्ति,Antenna resonant frequency
ऐन्टेना अंतरालन,Antenna spacing
ऐन्टेना स्विचन कक्ष,Antenna switching room
ऐन्टेना समस्वरक कुंडली,Antenna tuning coil
ऐन्टेना समस्वरक कुटीर,Antenna tuning hut
द्वारक,Aperture
"भूमि उच्च, अपभू",Apogee
अपभू राकेट,Apogee rocket
उपकरण,Apparatus
आभासी,Apparent
ऐपलेट (जावा में प्रोग्राम),Applet
" अनुप्रयोग , आवेदन",Application
"आसन्न, लगभग, सन्निकट",Approximate
जलीय घोल,Aquous solution
" चाप , आर्क",Arc
" संरचना , स्थापत्यकला    , वास्तुकला",Architecture
पुरालेखीय ध्वनि-अभिलेखन अंतरण,Archival transfer of sound recording
