Bengali,Kannada
অ্যাবায়োটিক প্রজনন,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
প্যারানরমাল,ಅಧಿಸಾಮಾನ್ಯ
1. চতুর্থ পেট 2. Evomasome,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
স্টোমাটাল বৃদ্ধি অঙ্গ,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
স্তব্ধ বৃদ্ধি বীজ,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
শোষিত ক্যাটান,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
শোষণ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
আবিসিনিয়ান সরিষা,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1. অ্যাক্যারিসাইড,1. ಅಕಾರಿಸೈಡ್
কেন্দ্রমুখী,ಕೇಂದ್ರಾಭಿಮುಖ
পরিবর্ধন (কোষ),ವರ್ಧನೆ (ಕೋಶ)
অনুমোদিত সহনশীলতা,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
অভিযোজন,ರೂಪಾಂತರ
সঞ্চয়,ಶೇಖರಣೆ
1. শূন্যতা 2. নির্ভুলতা,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. অ্যাসারভাউলাস 2. স্পোরোফাইট,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
