Hindi,Gujarati
ए.सी. समतुल्य परिपथ,એસી સમકક્ષ સર્કિટ
अनुरूप से अंकीय परिवर्तक,આંકડાકીય કન્વર્ટર માટે એનાલોગ
परम शून्य,સંપૂર્ણ શૂન્ય
अवशोषण गुणांक,શોષણ ગુણાંક
अवशोषण स्पेक्ट्रम,શોષણ સ્પેક્ટ્રમ
ग्राही परमाणु,રીસેપ્ટર અણુ
प्रत्यावर्ती धारा युग्मन,વૈકલ્પિક વર્તમાન જોડાણ
इलेक्ट्रॉन संचयन,ઇલેક્ટ્રોન લણણી
होल संचयन,છિદ્ર સંગ્રહ
सक्रियण ऊर्जा,સક્રિયકરણ ઊર્જા
सक्रिय प्रवर्धक,સક્રિય એમ્પ્લીફાયર
सक्रिय डायोड परिपथ,સક્રિય ડાયોડ સર્કિટ
सक्रिय फिल्टर,સક્રિય ફિલ્ટર
सक्रिय उच्च आवृत्ति पारक फिल्टर,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
सक्रिय लोड,સક્રિય લોડ
सक्रिय निमन आवृत्ति पारक फिल्टर,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
सक्रिय क्षेत्र,સક્રિય વિસ્તાર
अनुकूली इलेक्ट्रॉनिकी,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
योजक,ઉમેરનાર
समायोजी बैंड विस्तार,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
प्रवेश्यता,પ્રવેશ
एरियल,એરિયલ
स्फूर्ति आवृत्ति,pep આવર્તન
वातानुकूलक,એર કન્ડીશનર
संरेखन,ગોઠવણી
आल्गोरिदम,અલ્ગોરિધમ
समस्त पारक फिल्टर,બધા પાસ ફિલ્ટર
मिश्रधातु संधि,એલોય જંકશન
क्षीणन,એટેન્યુએશન
प्रत्यावर्ती धारा,વૈકલ્પિક પ્રવાહ
परिवेश ताप,આસપાસનું તાપમાન
उभयध्रुवीय,દ્વિધ્રુવી
प्रवर्धन,એમ્પ્લીફિકેશન
