Tamil,Telugu
அசாதாரணமானது,అసాధారణ
கருக்கலைப்பு,అబార్ట్
சிராய்ப்பு,అబ్రేషన్
திடீரென்று,ఆకస్మిక
முழுமையான புல வலிமை,సంపూర్ణ క్షేత్ర బలం
முழுமையான வெப்பநிலை,సంపూర్ణ ఉష్ణోగ్రత
துல்லியமான மதிப்பு,సంపూర్ణ విలువ
உறிஞ்சும்,గ్రహించండి
உறிஞ்சுதல் சக செயல்திறன்,శోషణ సహ-సమర్థత
உறிஞ்சுதல் இழப்பு,శోషణ నష్టం
சுருக்கம்,నైరూప్య
முடுக்கமானி,యాక్సిలెరోమీటర్
ஏற்பு சோதனை,అంగీకార పరీక్ష
அணுகல்,యాక్సెస్
நுழைவு கட்டுப்பாடு,యాక్సెస్ నియంత్రణ
அணுகல் புள்ளி,యాక్సెస్ పాయింట్
அணுகல் நேரம்,ప్రాప్యత సమయం
அணுகல்,సౌలభ్యాన్ని
குவிப்பான் செல்,సంచిత కణం
துல்லியம்,ఖచ్చితత్వం
துல்லியமானது,ఖచ్చితమైనది
முடிச்சு லென்ஸ்,అచ్రోమాటిక్ లెన్స్
அமிலம்,ఆమ్లము
அமில ஆதாரம்,యాసిడ్ ప్రూఫ్
அமிலத்தன்மை,ఆమ్లత్వం
ஒப்புதல் பிட்,రసీదు బిట్
ஒலி,శబ్ద
ஒலி தொடர்பு,ఎకౌస్టిక్ కమ్యూనికేషన్
ஒலி பரவல்,శబ్ద వ్యాప్తి
ஒலி சமநிலைப்படுத்தி,ఎకౌస్టిక్ ఈక్వలైజర్
ஒலி கருத்து,శబ్ద అభిప్రాయం
ஒலி வடிகட்டி,శబ్ద వడపోత
ஒலி மின்மறுப்பு,శబ్ద ఇంపెడెన్స్
ஒலி முகமூடி,ఎకౌస్టిక్ మాస్కింగ్
ஒலி சக்தி,శబ్ద శక్తి
சட்டவிரோத சொத்து,శబ్ద ఆస్తి
ஒலி எதிர்வினை,శబ్ద ప్రతిచర్య
ஒலி ரிஃப்ளெக்ஸ்,ఎకౌస్టిక్ రిఫ్లెక్స్
ஒலி ஓடு,శబ్ద టైల్
ஒலி அலை,శబ్ద వేవ్
ஒலியியல் உறிஞ்சுதல்,శబ్ద శోషణ
ஒலியியல் விழிப்புணர்வு மாறிலி,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
ஒலியியல் ஈரமாக்குதல்,శబ్ద డంపింగ్
ஒலியியல் தாமத வரி,శబ్ద ఆలస్యం రేఖ
ஒலியியல் விலகல்,శబ్ద వక్రీకరణ
ஒலியியல் குழாய்,శబ్ద వాహిక
ஒலியியல் ஆற்றல்,శబ్ద శక్తి
ஒலியியல் கருத்து,శబ్ద అభిప్రాయం
ஒலியியல் வடிகட்டி,శబ్ద వడపోత
ஒலியியல் மின்மறுப்பு,శబ్ద ఇంపెడెన్స్
ஒலியியல் பரப்புதல் மாறிலி,శబ్ద ప్రచారం స్థిరాంకం
ஒலியியல் எதிர்ப்பு,శబ్ద నిరోధకత
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
ஒலியியல்,ధ్వని
கையகப்படுத்தல்,సముపార్జన
சுருக்கம்,ఎక్రోనిం
செயல் பகுதி,కార్యాచరణ ప్రాంతం
