Odiya,Malayalam
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,അജിയോട്ടിക് പുനരുൽപാദനം
ପରମାନନ୍ଦ,അസാധാരണമായ
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,വളർച്ച മുരടിച്ച വിത്ത്
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
ଅବଶୋଷଣ,ആഗിരണം
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,അബിസീനിയൻ കടുക്
1. ଆକାରିସାଇଡ୍ |,1. acaricide
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,കേന്ദ്രാഭിമുഖം
ବୃଦ୍ଧି (କକ୍ଷ),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,അനുവദിച്ച സഹിഷ്ണുത
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
ଆଡାପ୍ଟେସନ୍,പൊരുത്തപ്പെടുത്തൽ
ଜମା,ശേഖരണം
1. ସଠିକତା 2. ସଠିକତା |,1. vaccuracy 2. കൃത്യത
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
