English,Marathi
Abaxial surface,अ‍ॅबॅक्सियल पृष्ठभाग
Abdomen,ओटीपोट
Abdominal aorta,ओटीपोटात महाधमनी
Abdominal ganglia,ओटीपोटात गॅंग्लिया
Abelmoschus esculentus,एबेलमोशस एस्क्युल्टस
Aberration,विकृती
Abies,अबीज
Abingdon tortoise,अबिंगडॉन कासव
Abiogenesis,अ‍ॅबिओजेनेसिस
Abiotic,अ‍ॅबिओटिक
Abiotic factor,अ‍ॅबिओटिक फॅक्टर
Abnormal urine,असामान्य मूत्र
ABO blood group,अबो ब्लड ग्रुप
Abscisic acid,अ‍ॅबसिसिक acid सिड
Abscission,फलंदाजी
Absorb,शोषून घ्या
Absorption peak,शोषण शिखर
Absorption,शोषण
Acacia catechu,बाभूळ कॅटेचू
Acaria arabica,अकारिया अरबीका
Acaprin,अकाप्रिन
Acceptable sexual behaviour,स्वीकार्य लैंगिक वर्तन
Accessory gland,Ory क्सेसरी ग्रंथी
Accessory gland,Ory क्सेसरी ग्रंथी
Accessory organ,Ory क्सेसरीसाठी अवयव
Acclimatization,सहनशीलता
Acclimatize,अनुकूलित करा
Accommodation (focusing),निवास (लक्ष केंद्रित करणे)
Accommodation of eye,डोळ्याची निवासस्थान
Accretionary growth,संवर्धन वाढ
Accumulation,संचय
Accumulation of organic matter,सेंद्रिय पदार्थाचे संचय
Accumulation of soil,मातीचे संचय
Acellular,सेल्युलर
Acellular organism,एसेल्युलर जीव
Acetabulum,एसीटाबुलम
Acetaldehyde,एसीटाल्डिहाइड
Acetyl coenzyme,एसिटिल कोएन्झाइम
Achatina,अकॅटिना
Achene type,अचेने प्रकार
Achene,अचेने
Achlamydosporeae,अक्लमिडोस्पोरिया
Acid rain,आम्ल वर्षा
Acidic,अम्लीय
Acidic gas,अम्लीय वायू
Acidity,आंबटपणा
Acinar cell,एसीनार सेल
Acoelomate,एकोलोमेट
Aconitum,On कोनिटम
Acorn worm,अ‍ॅकॉर्न वर्म
Acoustic zoning,ध्वनिक झोनिंग
Acquired character,अधिग्रहित वर्ण
Acquired immunity,वसूल केलेली प्रतिकारशक्ती
Acquired immuno deficiency syndrome (AIDS),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
Acrania,एकरानिया
Acridine dye,Rid सिडिन डाई
Acrocentric,अ‍ॅक्रोसेन्ट्रिक
Acromion,अ‍ॅक्रोमियन
Acropetal sequence,अ‍ॅक्रोपेटल सीक्वेन्स
Acropetal order,अ‍ॅक्रोपेटल ऑर्डर
Acrosin,अ‍ॅक्रोसिन
Actin,अ‍ॅक्टिन
Actin-like protein,अ‍ॅक्टिन-सारखी प्रथिने
Actinomorphic,अ‍ॅक्टिनोमॉर्फिक
Actinomycetes,अ‍ॅक्टिनोमाइसेट्स
Action potential,कृती संभाव्यता
Activated sludge,सक्रिय गाळ
Activated sludge floc,सक्रिय गाळ फ्लॉक
Activation energy,सक्रियता ऊर्जा
Active absorption,सक्रिय शोषण
Active immunity,सक्रिय प्रतिकारशक्ती
Active radiation,सक्रिय रेडिएशन
Active site,सक्रिय साइट
Activin,अ‍ॅक्टिव्हिन
Acuminate,Umicate
Adamsia,अ‍ॅडम्सिया
Adaptability,अनुकूलता
Adaptation,रुपांतर
Adaptation to light regime,हलकी व्यवस्थेशी जुळवून घेणे
Adaptation to water scarcity,पाण्याची कमतरता रुपांतर
Adaptive characteristics,अनुकूली वैशिष्ट्ये
Adaptive immunity,अनुकूली प्रतिकारशक्ती
Adaptive radiation,अनुकूली रेडिएशन
Adaptive trait,अनुकूली गुण
Adaxial surface,अ‍ॅडॅक्सियल पृष्ठभाग
Addictive disorder,व्यसनाधीन डिसऑर्डर
Adenine,En डेनिन
Adenocorticotropin,En डेनोकोर्टिकोट्रोपिन
Adenohypophysis,En डेनोहायपोफिसिस
Adenosin diphosphate,En डेनोसिन डायफॉस्फेट
Adenosine deaminase,En डेनोसिन डिमिनेस
Adenosine monophosphate,En डेनोसाइन मोनोफॉस्फेट
Adenosine triphosphate (ATP),En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
Adenylate cyclase,En डेनिलेट सायक्लेज
Adhesive force,चिकट शक्ती
Adipate,अ‍ॅडिपेट
Adipocyte (fat cell),अ‍ॅडिपोसाइट (चरबी सेल)
Adipose tissue,अ‍ॅडिपोज टिशू
Adnate,Nednate
Adjoining community,लगतचा समुदाय
Adrenal,Ren ड्रेनल
Adrenal gland,Ren ड्रेनल ग्रंथी
Adrenocorticotropic hormone (ACTH),एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
Adrenocorticotropic releasing hormone (ACTRH),Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
Adsorbent,Or सॉर्बेंट
Adsorption,शोषण
Advanced chordate,प्रगत Chordate
Advantageous mutation,फायदेशीर उत्परिवर्तन
Adventitial,अ‍ॅडव्हेंटिशियल
Adventitious root,साहसी मूळ
Adverse effect,प्रतिकूल परिणाम
Aedes,एडीज
Aeration of culture,संस्कृतीचे वायुवीजन
Aerenchyma,एरेन्चायमा
Aerial,हवाई
Aerial root,एरियल रूट
Aerial shoot,एरियल शूट
Aerobic respiration,एरोबिक श्वसन
Aerobic respiration,एरोबिक श्वसन
Aesthetics,सौंदर्यशास्त्र
Aestivation,एस्टिवेशन
Aestivation,एस्टिवेशन
Afferent,Efferent
Affinity chromatography,आत्मीयता क्रोमॅटोग्राफी
Afflicted organ,पीडित अवयव
Afforestation,वनीकरण
Agamospermy,अ‍ॅगामोस्पर्मी
Agar,अगर
Agarose,आगरोस
Agarose gel eletrophoresis,अगरोस जेल इलेट्रोफोरेसीस
Agarose polymer gel,अ‍ॅगारोज पॉलिमर जेल
Agast,Agast
Agave,अ‍ॅगेव्ह
Age distribution,वय वितरण
Age pyramid,वय पिरॅमिड
Agglutination,एकत्रित
Aggregate,एकूण
Aggregate of follicle,कूपांचे एकूण
Aggregate of follicle,कूपांचे एकूण
Aggregation,एकत्रिकरण
Aggressiveness,आक्रमकता
Agitator system,आंदोलन प्रणाली
Agnatha,अग्नथ
Agouti,अगोती
Agranal chloroplast,अ‍ॅग्रॅनल क्लोरोप्लास्ट
Agranular,अ‍ॅग्रॅन्युलर
Agranulocyte,अ‍ॅग्रानुलोसाइट
Agriculture,शेती
Agroforestry,अ‍ॅग्रोफोरेस्ट्री
Agrobacterium mediated,अ‍ॅग्रोबॅक्टीरियम मध्यस्थी
Agrobacterium tumefaciens,अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स
Agrochemical,अ‍ॅग्रोकेमिकल
Agrochemical,अ‍ॅग्रोकेमिकल
Agroclimatic zone,अ‍ॅग्रोक्लिमॅटिक झोन
Agronomic trait,कृषी गुणधर्म
Agronomy,अ‍ॅग्रोनॉमी
AIDS,एड्स
Air bladder,एअर मूत्राशय
Air conditioner,वातानुकूलन
Air passage,हवाई रस्ता
Air pollution,वायू प्रदूषण
Air sac,एअर थैली
Air vacuole,एअर व्हॅक्यूओल
Air-breathing,हवाई श्वास
Alain,अलेन
Alary muscle,अ‍ॅलरी स्नायू
Alaskan brown bear,अलास्कन तपकिरी अस्वल
Albino,अल्बिनो
Albugo,अल्बुगो
Albumin,अल्बमिन
Albuminous seed,अल्ब्युमिनस बियाणे
Albuminuria,अल्बमिनुरिया
Alburnum,अल्बर्नम
Alcedae,Lescedae
Aldehyede,Ld ल्डिहेडे
Aldosterone system,Ld ल्डोस्टेरॉन सिस्टम
Aldosterone,अ‍ॅल्डोस्टेरॉन
Aleurone layer,अलेरोन लेयर
