Marathi,English
एसी समतुल्य सर्किट,A C equivalent circuit
एनालॉग ते अंकीय कनवर्टर,A to D converter
पूर्ण शून्य,Absolute zero
शोषण गुणांक,Absorption coefficient
शोषण स्पेक्ट्रम,Absorption spectrum
रिसेप्टर अणू,Acceptor atom
पर्यायी वर्तमान जोडणी,A C coupling
इलेक्ट्रॉन कापणी,Accumulation of electron
भोक संचयन,Accumulation of holes
सक्रियता ऊर्जा,Activation energy
सक्रिय अॅम्प्लीफायर,Active amplifier
सक्रिय डायोड सर्किट,Active diode circuit
सक्रिय फिल्टर,Active filter
सक्रिय उच्च वारंवारता पर्केट फिल्टर,Active high pass filter
सक्रिय भार,Active load
सक्रिय कमी वारंवारता पार्स फिल्टर,Active low pass filter
सक्रिय क्षेत्र,Active region
अनुकूली इलेक्ट्रॉनिक्स,Adaptive electronics
जोडणारा,Adder
समायोज्य बँड विस्तार,Adjustable band width
प्रवेश,Admittance
एरियल,Aerial
pep वारंवारता,Agility frequency
एअर कंडिशनर,Air conditioner
संरेखन,Alignment
अल्गोरिदम,Algorithm
सर्व पास फिल्टर,All pass filter
मिश्र धातु जंक्शन,Alloy junction
क्षीणन,Attenuation
पर्यायी प्रवाह,Alternating current (AC)
वातावरणीय तापमान,Ambient temperature
द्विध्रुवीय,Ambipolar
प्रवर्धन,Amplification
अॅम्प्लिफायर,Amplifier
एम्पलीफायर कार्यक्षमता,Amplifier efficiency
परिमाण,Amplitude
मोठेपणा क्षीणन,Amplitude altenuation
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,Amplitude modulated oscillator
मोठेपणा मॉड्यूलेशन,Amplitude modulation
मोठेपणा मॉड्युलेटर,Amplitude modulator
अँग्स्ट्रोम युनिट,Angstrom unit
अॅनालॉग सर्किट,Analog circuit
अॅनालॉग संगणक,Analog computer
अॅनालॉग फिल्टर,Analog filter
अॅनालॉग मल्टीमीटर,Analog multimeter
अॅनालॉग स्विच,Analog switch
आणि गेट,AND gate
कोनीय वारंवारता,Angular frequency
"anion, anion",Anion
एनीलिंग तापमान,Annealing temperature
एनोड,Anode
एनोड अॅम्प्लिफायर,Anode amplifier
anodyne,Anodization
अँटेना,Antenna
अँटेना घटक,Antenna elements
विरोधी परावर्तक कोटिंग,Anti-reflection coating
अँटिलॉगिन अॅम्प्लिफायर,Anti-log amplifier
अँटीरेझोनंट सर्किट,Anti-resonant circuit
द्वारक काळ,Aperture time
आभासी शक्ती,Apparent power
वायर कनेक्शन,Apparent wiring
अंदाजे व्होल्टेज वाढ,Approximate voltage gain
आर्मस्ट्राँग मॉड्युलेटर,Armstrong modulator
अँटेना अॅरे,Arrays of antenna
"आकार गुणोत्तर, गुणोत्तर",Aspect ratio
फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट),Astable circuit (free running circuit)
स्वयंचलित मल्टीव्हायब्रेटर,Astable multivibrator
फ्लोटिंग मल्टीव्हायब्रेटर,Astable multivibrator
असममित जंक्शन,Asymmetrical junction
असिंक्रोनस कॅल्क्युलेटर,Asynchronous counters
आण्विक,Atom
अणुक्रमांक,Atomic number
अणु रचना,Atomic structure
ऑडिओ अॅम्प्लीफायर,Audio amplifier
ऑडिओ अॅम्प्लीफायर,Audio amplifier
ऑडिओ कॅसेट,Audio cassette
ऑडिओ सर्किट,Audio circuit
ऐकण्यायोग्य वारंवारता,Audio frequency
स्वयंचलित व्होल्टेज नियंत्रण,Automatic voltage control
हिमस्खलन,Avalanche
सरासरी डिटेक्टर,Average detector
अक्षीय मोड,Axial mode
अक्षीय प्रमाण,Axial ratio
अँटेना,Antenna
बॅक इलेक्ट्रोमोटिव्ह फोर्स,Back e.m.f.
मागील क्षेत्र,Back field
परत स्कॅटर,Back scattering
पार्श्वभूमी शुल्क,Background charge
बाजूचा आवाज,Background noise
प्रतिगामी,Backlash
पोस्टरियर इरॅडिएशन,Backlobe radiation
बॅकवर्ड डायोड / बॅकवर्ड डायोड,Backward diode
बॅकवर्ड वेव्ह ऑसिलेटर,Backward wave oscillator
"अडथळा, अडथळा",Baffle
अडथळा,Baffle shield
संतुलित पूल,Balanced bridge
संतुलित मॉड्युलेटर,Balanced demodulator
संतुलित मॉड्युलेटर,Balanced modulator
संतुलित सर्किट,Balanced network
संतुलित ग्रेडियंट डिटेक्टर,Balancedslope detector
वर्तमान स्टॅबिलायझर प्रतिरोध,Ballast resistors
बोलोमीटर,Balometer
बोलोमीटर पूल,Balometer bridge
फुगा,Balun
केळी जॅक,Banana jack
केळी प्लग,Banana plug
"पट्टी, पट्टी",Band
बँड चालक,Band conduction
बँड ऊर्जा,Band energy
बँड अंतर,Band gap
बॅडपार्क अॅम्प्लीफायर,Band pass amplifier
बँड पास फिल्टर,Band pass filter
बॉड रेट जनरेटर,Baud rate generator
banddispersion,Band spreading
बँड रेझिस्टर,Band stop
बँड ब्रेकर फिल्टर,Band stop filter
बँड विस्तार,Band width
बँड रिमूव्हर फिल्टर,Band-elimination filter
बँड विस्तार विक्षेप गुणक,Bandwidth dispersion product
बँड विस्तार अंतर गुणक,Bandwidth distance product
"बीम कॅपेसिटर, बँक कॅपेसिटर",Bank capacity
"बार्कर कोड, बार्कर कोड",Barker code
barravaugen निकष,Barkhausen criterion
बॅरेटर,Barretter
अडथळा,Barrier
इन्सुलेट कॅपेसिटर,Barrier capacitor
अडथळा ऊर्जा,Barrier energy
रेझिस्टर व्होल्टेज,Barrier voltage
बार्टलेट विंडो,Bartlett window
"आधार, आधार",Base
बेस बँड,Base band
बेस बँड ट्रान्समिशन,Base band transmission
बेस चार्ज,Base charge
बेस करंट,Base current
मूळ वर्तमान स्रोत,Base current source
बेस कातरणे,Base dipping
आधार मदन,Base doping
बेस एमिटर फीड,Base emitter feedback
बेस एमिटर जंक्शन,Base emitter junction
बेस इंजेक्शन,Base infection
ग्राउंड लाईन,Base line
बेस प्रतिकार,Base resistance
मूळ स्रोत,Base source
बेस विस्तार प्रतिकार,Base spreading resistance
बेस विस्तार प्रतिकार,Base spreading resistance
बेस जाडी,Base thickness
बेस प्रवेश,Base transport
"बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन",Base width modulation
बेस कलेक्टर करार,Base-collector junction
वास,Bass
बास वारंवारता,Bass frequency
बॅटरी,Battery
बॉड,Baud
बॉड दर,Baud rate
बॉड रेट जनरेटर,Baud rate generator
बोडो कोड,Baudot code
"सिग्नल, बीकन",Beacon
"माणिका, बीड",Bead
मॅनिक कॅपेसिटर,Bead capacitor
मणिकर्तपी प्रतिरोधक,Bead thermister
"बीम अँटेना, बीम अँटेना",Bean antenna
बीम डिटेक्टर,Beam finder
बीम पॉवर नळी,Beam power tube
बीम स्विचिंग नोजल,Beam switching tube
तुळई विस्तार,Beam width
बीट वारंवारता,Beat frequency
बीट-फ्रिक्वेंसी ऑसिलेटर,Beat frequency oscillator
पल्स ऑसिलेटर,Beat oscillator
घंटा,Bel
वाकणे नुकसान,Bending loss
बेसल फिल्टर,Bessel filter
बीटा,Beta
b-h वक्र,B-H curve
"पक्षपात, पक्षपात",Bias
पूर्वाग्रह वर्तमान,Bias current
पूर्वाग्रह प्रतिकार,Bias resistor
दुहेरी अँटेना,Biconical antenna
द्विदिशात्मक भार प्रवाह,Bidirection load current
द्विदिश अँटेना,Bi-directional antenna
द्विदिश प्रकाश उत्सर्जक डायोड,Bidirectional LED
द्विदिशात्मक थायरिस्टर,Bidirectional thyristor
bi FET तंत्रज्ञान,Bi-FET technology
द्वि-बिंदू ट्रान्सफॉर्मर,Bifilar transformer
दुहेरी संलयन,Bifilar winding
द्विपक्षीय सर्किट,Bilateral network
बायनरी,Binary
बायनरी बेरीज,Binary addition
बायनरी सर्किट,Binary circuit
बायनरी कोडेड दशांश,Binary coded decimal (BCD)
बायनरी कोडेड दशांश प्रणाली,Binary coded decimal system
बायनरी द्विध्रुवीय कॅपेसिटर,Binary commutating capacitor
बायनरी कॅल्क्युलेटर,Binary counter
बायनरी कॅल्क्युलेटर,Binary counter
बायनरी डीकोडर,Binary decoder
बायनरी शिडी,Binary ladder
बायनरी पॅथोमीटर,Binary odometer
बायनरी स्थिती,Binary state
बायनरी-दशांश डिकोडर,Binary to decimal decoders
बायनरी लोड,Binary weight
बायनरी शब्द,Binary word
द्विध्रुवीय,Bipolar
द्विध्रुवीय कॅपेसिटर,Bipolar capacitor
द्विध्रुवीय उपकरण,Bipolar device
द्विध्रुवीय स्रोत,Bipolar power supply
द्विध्रुवीय ट्रान्झिस्टर,Bipolar transistor
द्विध्रुवीय जंक्शन ट्रान्झिस्टर,Bipolar junction transistor
चतुर्भुज फिल्टर,Biquad filter
दुहेरी स्थिती,Bistable
दोन-स्टेज मल्टीव्हायब्रेटर,Bistable multivibratic
द्विदिशात्मक रिले,Bistable relay
biphasic स्थिती,Bistable state
दोन-स्थिती ट्रिगर,Bistable trigger
बिट त्रुटी,Bit error
बिट त्रुटी दर,Bit error rate (BER)
बिट त्रुटी,Bit error
बिटकल त्रुटी,Bit timing error
आंधळा बॉक्स,Black box
घनरूप नाडी,Blanking pulses
सचिव,Bleeder
सेक्रेटरी इनहिबिटर,Bleeder resistor
अंधत्व,Blind speed
खंड आकृती,Block diagram
अवरोधित करणे,Block impedance
तुकडा हस्तांतरण,Block transfer
इंटरसेप्ट,Blocking
रेझिस्टर कॅपेसिटर,Blocking capacitor
रेझिस्टर कॅपेसिटर,Blocking capacitor
रेझिस्टर ऑसिलेटर,Blocking oscillator
ब्लॉकिंग ऑसिलेटर,Blocking oscillator
रेझिस्टर व्होल्टेज,Blocking voltage
ब्लोअर,Blower
bode आकृती,Bode diagram/plot
voltzmann संबंध,Boltzmann relation
voltzmann स्थिरांक,Boltzmann's constant
बंध,Bond
बाउंड स्ट्रेन गेज,Bonded strain gauge
स्वयं-समर्थक अॅम्प्लिफायर,Boot strapping amplifier
बुलियन बीजगणित,Boolean algebra
बुलियन समीकरण,Boolean equation
बूट Strapon,Boot strapping
बूथचे अल्गोरिदम,Booth's algorithm
बूटस्ट्रॅप प्रिझम सर्किट,Bootstrap sweep circuit
bosscutts नियम,Bosanquert's law
बोस-चौधरी हॉकेनहॅम (BCH) कोड,Bose-Chaudhary-Hoeckingham  (BCH) code
"उडी, उडी",Bounce
बद्ध इलेक्ट्रॉन,Bound electron
ब्रॅग रिफ्लेक्टर,Bragg reflector
गुंफलेली तार,Braided wire
शाखा,Branch
शाखा,Branching
प्रयोग मंडळ,Bread board
ब्रेक झोन,Break down region
ब्रेकिंग व्होल्टेज,Break down voltage
ब्रेकडाउन डायोड,Breakdown diode
फ्रॅक्चर फिक्सेशन,Breakdown rating
ब्रेकिंग व्होल्टेज,Breakdown voltage
पूल,Bridge
ब्रिज रेक्टिफायर,Bridge rectifier
रुंद बँड,Broad band
ब्रॉडकास्ट बँड,Broad cast band
सूक्ष्म अॅरे,Broad side array
प्रसारण,Broadcast
ब्रॉडकास्ट अँटेना,Broadcast antenna
ब्रॉडकास्ट रिसीव्हर,Broadcast receiver
वारंवारता प्रसारण प्राप्तकर्ता,Broadcast receiver frequency
प्रसारण ट्रान्समीटर,Broadcast transmitter
बूस्टर अँटेना,Booster
बस अँटेना,Bruce antenna
ब्रश विसर्जन,Brush discharge
बुडबुडे आणि गेट,Bubbled AND gate
बुडबुडू किंवा गेट,Bubbled OR gate
बबल स्मृती,Bubble memory
भरपाई व्होल्टेज,Bucking voltage
बफर,Buffer
बफर अॅम्प्लीफायर,Buffer amplifier
बफर सर्किट,Buffer circuit
बफर ऑपरेटर,Buffer driver
बफर रजिस्टर,Buffer register
बल्ब,Bulb
लोकसंख्या प्रभाव,Bulk effect
मॅक्रो सेमीकंडक्टर उपकरण,Bulk semi-conductor device
घड,Buncher
बुडलेली एक्सचेंज,Burried crossover
बुडलेला थर,Burried layer
बुडलेला संपर्क,Burrier contact
स्फोट अॅम्प्लीफायर,Burst amplifier
स्फोट कव्हर,Burst blanking
स्फोट गोळीबार,Burst firing
स्फोट दरवाजा अॅम्प्लीफायर,Burst gate amplifier
बर्स्ट मोड,Burst mode
स्फोट विभाजक,Burst separator
स्फोट सिग्नल,Burst signal
स्फोट त्रुटी सुधारक कोड,Burst-error correcting code
पुरेसा,Bus
बस बार,Bus bar
बस संघटना,Bus organisation
बस मानक,Bus standard
फक्त क्षणिक,Bus transient
बटर वर्थ फिल्टर,Butter worth filter
bnc वायर,BNC cable
BNC जॉइंटर,BNC connector
च्या कडे,By pass
बायपास कॅपेसिटर,Bypass capacitor
बाइट,Byte
व्ही बँड,C band
सी बँड अँटेना,C band antenna
तार,Cable
वायर राउटिंग,Cable routing
टेलिग्राफ दूरदर्शन,Cable version
कॅशे मेमरी,Cache memory
Sisim वारंवारता मानक,Caesium frequency standard
कॅल्क्युलेटर,Calculator
कॅलिब्रेशन,Calibration
कॉल पत्ता,Call address
कॉलपिट ऑसिलेटर,Colpitt's oscillator
कॅम कॉर्डर,Camcorder
कॅमेरा,Camera
कॅमेरा नळी,Camera tube
candela,Candela
मेणबत्ती शक्ती,Candle power
कॅन्टिलिव्हर स्ट्रेन गेज,Cantilever strain gauge
धारण,Capacitance
कॅपेसिटन्स ब्लड प्रेशर ट्रान्सड्यूसर,Capacitance blood pressure transducer
होल्डिंग वितरक,Capacitance distributor
करार धारण,Capacitance junction
कॅपेसिटन्स गेज,Capacitance meter
धारण कलेक्टर,Capacitance pick-up
capacitance reactance,Capacitive reactance
"कॅपेसिटिव्ह एनर्जी कन्व्हर्टर, ट्रान्सड्यूसर",Capacitive transducer
कॅपेसिटर,Capacitor
कॅपेसिटर बँक,Capacitor bank
कॅपेसिटर फिल्टर,Capacitor filter
कॅपेसिटर इनपुट फिल्टर,Capacitor input filter
विंच मोटर,Capstan motor
पुली सर्वो बॉडी,Capstan servo system
चरखी,Capston
पकडणे,Capture
कॅप्चर कलम,Capture cross-section
कॅप्चर प्रभाव,Capture effect
वाहक आवाज प्रमाण,Carrier to noise ratio (CNR)
कार रेडिओ,Car radio
कार्बन प्रतिरोधक,Carbon resistor
कार्ड रीडर,Card reader
कार्डिओइड आकृती,Cardiod diagram
गाडी,Carriage
कॅरेज रिटर्न,Carriage return
वाहक,Carrier
वाहक संप्रेषण,Carrier communication
वाहक एकाग्रता,Carrier concentration
वाहक वारंवारता,Carrier frequency
वाहक पुनरुत्पादन,Carrier generation
वाहक पातळी,Carrier level
वाहक जीवन,Carrier life time
वाहक गतिशीलता,Carrier mobility
वाहक गुणाकार,Carrier multiplication
वाहक आवाज पातळी,Carrier noise level
वाहक श्रेणी,Carrier range
वाहक पुनर्प्राप्ती सर्किट,Carrier recovery circuits
वाहक पुनर्निवेशण,Carrier reinsertion
प्रवाहकीय विखुरणे,Carrier scattering
वाहक दडपशाही,Carrier suppression
वाहक पिंजरा,Carrier trapping
वाहक वेग,Carrier velocity
हाताचा तुकडा,Carry bit
ध्वज धरला,Carry flag
"ताबा नोंदवही, ताबा नोंदवही",Carry register
पोर्टेबल जनरेटर,Carry-generator
कार्सन कायदा,Carson's rule
काडतूस फ्यूज,Cartridge fuse
काडतूस टेप,Cartridge tape
कॅरी फॉस्टर ब्रिज,Carry foster bridge
स्टेप अॅम्प्लीफायर,Cascade amplifier
श्रेणीकरण,Cascading
कॅस्केड अॅम्प्लीफायर,Cascade amplifier
"Cascode अॅम्प्लीफायर, स्टेप अॅम्प्लीफायर",Cascode amplifier
कॅसेट,Cassette
प्रलोभन,Catalysis
कॅप्टिव्ह कोटर,Catcher cavity
कॅथोड,Cathode
कॅथोड ट्रेलिंग,Cathode follower
कॅथोड ट्रेलिंग अॅम्प्लिफायर,Cathode follower amplifier
कॅथोड ल्युमिनन्स,Cathode luminescence
कॅथोड साहित्य,Cathode material
कॅथोड किरण ऑसिलोस्कोप,Cathode ray oscilloscope (CRO)
कॅथोड रे ट्यूब,Cathode ray tube (CRT)
कॅथोड कण जमा करणे,Cathode sputtering
कॅथोड ल्युमिनन्स,Cathode luminescence
कॉयर फिल्टर,Cauer filter
kaver फिल्टर,Caver filter
कोटोर,Cavity
एंट्रल रेडिएशन,Cavity radiation
कोटर रेझोनेटर,Cavity resonator
फॅट चार्ज कपल्ड डिव्हाइस (सीसीडी),CCD (=charge couled device) amplifier
सीडी रोम,CD-ROM
सीडी रोम ड्राइव्ह,CD-ROM drive
सेल (बॅटरी),Cell (battery)
केंद्रीय संसाधन घटक,Central processing element
केंद्रीय संसाधन युनिट,Central processing unit (CPU)
केंद्रीय प्रोसेसर,Central processor
अर्थ,Central value
मध्यम वारंवारता,Centre frequency
मध्यम एक्झॉस्ट ट्रान्सफॉर्मर,Centre tapped transformer
"सिरेमिक, चिकणमाती",Ceramic
सिरेमिक फिलर,Ceramic filler
सिरेमिक फिल्टर,Ceramic filter
सिरेमिक साहित्य,Ceramic material
सिरेमिक रेझोनेटर,Ceramic resonator
सिरेमिक ध्वनी रिसीव्हर,Ceremic phono pick up
सेरेनकोव्ह कॅल्क्युलेटर,Cerenkov counter
सरमत,Cermet
chalcogenide,Chalcogenoid
कॅल्कोपायराइट,Chalcopyrite
"चॅनेल, चॅनेल",Channel
चॅनेल बँड विस्तार,Channel bandwidth
चॅनेल कोडर,Channel encoder
चॅनेल वारंवारता,Channel frequency
चॅनेल वर्ण,Channel selector
चॅनेल वेगळे करणे,Channel separation
चॅनेल सिद्धांत,Channeling theory
वर्ण जनरेटर,Character generator
वर्ण ओळख,Character recognization
वैशिष्ट्यपूर्ण प्रतिबाधा,Characteristic impedance
चार्ज वाहक,Charge carrier
चार्ज कंट्रोल पॅरामीटर,Charge control parameter
जोडलेले उपकरण चार्ज करा,Charge coupled device
चार्ज कपल्ड यादृच्छिक प्रवेश मेमरी,Charge coupled random access memory
चार्ज घनता,Charge density
चार्ज इंजेक्शन डिव्हाइस,Charge injection device
शुल्क तोटा,Charge loss
चार्ज पंपिंग,Charge pumping
चार्ज सेन्सिंग अॅम्प्लिफायर,Charge sensitive amplifier
चार्ज स्टोरेज,Charge storage
चार्ज केलेले कण,Charged particle
उत्कट,Charger
फ्रेम,Chassis
robyshev फिल्टर,Chebyshev filter
बेरीज तपासा,Check sum
वारंवारता तपासा,Check up frequency
रासायनिक बंध,Chemical bond
रासायनिक बाष्प जमा करणे,Chemical vapour deposition
चाइल्ड लॉक सुविधा,Child lock facility
मुलाचा कायदा,Child's law
चिप,Chip
चिप सक्रिय करणे,Chip enable
गुदमरणे,Choke
अधूनमधून,Choppar
मधूनमधून अॅम्प्लिफायर,Chopper amplifier
मधूनमधून अॅम्प्लिफायर,Chopper amplifier
मधूनमधून मोड,Chopper mode
क्रोमा अॅम्प्लीफायर,Chroma amplifier
व्यक्तिचित्रण आकृती,Chromaticity diagram
रंगद्रव्य,Chrominance
वर्तुळ आकृती,Circle diagram
सर्किट,Circuit
सर्किट विश्लेषण,Circuit analysis
सर्किट ब्रेकर,Circuit breaker
सर्किट आकृती,Circuit diagram
सर्किट नोटेशन,Circuit rotation
सर्किट स्विचिंग,Circuit switching
गोलाकार लहरी मार्ग,Circular wave guide
प्रसारित स्मृती,Circulating memory
बाँडिंग सर्किट,Clamping circuit
क्लॅप ऑसिलेटर,Clapp oscillator
वर्ग ए एम्पलीफायर,Class A amplifier
वर्ग A] B] C] D ऑपरेशन्स,"Class A, B, C, D operation"
वर्ग बी एम्पलीफायर,Class B amplifier
क्लास सी अॅम्प्लिफायर,Class C amplifier
