Bengali,Marathi
অ্যাসিডয়েড,ऍसिडॉइड
বায়বীয় মাটি,एओलियन माती
সমষ্টি,एकूण
সমষ্টি,एकत्रीकरण
কৃষিবিদ্যা,कृषीशास्त्र
কৃষিবিদ্যা,कृषीशास्त्र
A- দিগন্ত,A-क्षितिज
আও-দিগন্ত,Ao-क्षितिज
আও-দিগন্ত,Aoo-क्षितिज
মাটির বায়ু ক্ষমতা,मातीची हवेची क्षमता
মাটির বায়ু উপাদান,मातीतील हवेचे प्रमाण
এয়ার পিকনোমিটার,एअर पिकनोमीटर
অ্যালিটিক মাটি,ऍलिटिक माती
পলিমাটি,गाळाची माती
অ্যামফোলাইটয়েড,अॅम्फोलायटॉइड
অ্যানিয়ন,आयन
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
আরিস,ऍरिस
আশলার সূক্ষ্ম গাঁথনি,Ashlar दंड दगडी बांधकाम
আশলার রাজমিস্ত্রি,Ashlar दगडी बांधकाम
অ্যাজোনাল মাটি,अझोनल माती
পেছনের অভিনেতা,मागचा अभिनेता
পিছনের খিলান,मागची कमान
ব্যাক ব্যান্ড,बॅक बँड
পিছনের ব্রাশ,मागे ब्रश
ফিরে চেক,परत तपासणी
পিছনে কাউন্টার,मागे काउंटर
পিছনে কাটা,परत कटिंग
ব্যাক ড্রাফ্ট ড্যাম্পার,बॅक ड्राफ्ट डँपर
পিছনের ড্রেন,मागे निचरा
ব্যাকড্রপ,बॅक ड्रॉप
ব্যাক ফিল,परत भरा
ব্যাক ফিললেট,बॅक फिलेट
পিছনে ফ্ল্যাপ কবজা,बॅक फ्लॅप बिजागर
পিছনে প্রবাহ সংযোগ,परत प्रवाह कनेक्शन
পিছনে প্রবাহ প্রতিরোধক,परत प्रवाह प्रतिबंधक
ব্যাক গেজ,बॅक गेज
পিছনে নর্দমা,मागे गटार
পিছনের চুলা,मागे चूल
ব্যাকিং,पाठीराखा
ব্যাকিং বোর্ড,बॅकिंग बोर्ड
ফিরতি চাপ,पाठीचा दाब
পিছনে প্রপ,बॅक प्रोप
পিছনের দৃষ্টি,मागची दृष्टी
পিঠের জল,परत पाणी
বিভ্রান্ত,गोंधळ
ব্যাগওয়ার্ক,बॅगवर्क
ব্যালাস্ট,गिट्टी
বল কাদামাটি,बॉल क्ले
বল শঙ্কু বাতা,बॉल कोन क्लॅम्प
কাঁটাতার,काटेरी तार
বার কুকুর,बार कुत्रा
বার্জ বোর্ড,बार्ज बोर्ड
বেরিয়াম সালফেট পরীক্ষা,बेरियम सल्फेट चाचणी
ব্যারেজ,बॅरेज
ব্যারেট,बॅरेट
বেস,पाया
বেস বিনিময়,बेस एक्सचेंज
বেস লাইন,बेस लाइन
বেসমেন্ট,तळघर
বেসমেন্ট প্রাচীর,तळघर भिंत
বেস প্লেট,तळपट्टी
"বেস প্লেট, নিয়মিত","बेस प्लेट, समायोज्य"
বেস স্যাচুরেশন,बेस संपृक्तता
বেসয়েড,बेसॉइड
ব্যাট,वटवाघूळ
স্নান এবং WC,बाथ आणि WC
ব্যাটার পেগ,पिठात पेग
ব্যাটার পিয়ার,पिठात घाट
ব্যাটারের নিয়ম,पिठात नियम
বাল্ক (বাল্ক),बल्क (बाल्क)
বে,खाडी
বহনকারী,वाहक
ভারবহন ক্ষমতা,सहन करण्याची क्षमता
ভারবহন গাদা,पत्करणे ब्लॉकला
ভারবহন স্তর,बेअरिंग स्ट्रॅटम
বিছানা,पलंग
বেডিং প্লেন,बेडिंग विमान
বেড জয়েন্ট,बेड संयुक्त
বিছানা শিলা,बेड रॉक
শয়নকক্ষ,बेड रूम
মোম,मेण
বেল বক্স,बेल बॉक्स
বেলিং বালতি,बेलिंग बादली
বেলোফ্রাম,बेलोफ्राम
বেঞ্চড ফাউন্ডেশন,बेंच केलेला पाया
বেঞ্চিং,बेंचिंग
মাপকাঠি,बेंच मार्क
বেনিফিট খরচ বিশ্লেষণ,लाभ खर्चाचे विश्लेषण
বারম,बर्म
বেভেলড ক্লোজার,Bevelled बंद
"বি-দিগন্ত,&quot;বি-","B-क्षितिज,&quot;B-"
বিয়াট,बायट
বাইন্ডার,बाईंडर
বাঁধাই উপাদান,बंधनकारक साहित्य
বায়োটের তত্ত্ব,बायोटचा सिद्धांत
বিটুমেন,बिटुमेन
কালো তুলার মাটি,काळी कापूस माती
কালো পৃথিবী,काळी पृथ्वी
কালো টার্ফ মাটি,काळी हरळीची माती
ব্লেড,ब्लेड
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,ब्लास्ट फर्नेस स्लॅग सिमेंट
অবরুদ্ধ কাঠামো,ब्लॉक रचना
বগি প্রতিরোধ,बोगी प्रतिकार
বগ-লোহা আকরিক,बोग-लोह धातू
বন্ধন,बाँड
বন্ডেড সদস্য,बंधपत्रित सदस्य
বন্ধন পোস্ট উত্তেজনা,बंध पोस्ट टेंशनिंग
বন্ড পাথর,बोंड दगड
আবদ্ধ জল,बांधलेले पाणी
বক্স নর্দমা,पेटी गटर
বন্ধনী,ब्रेस
ইট-অন-এজ,वीट-ऑन-एज
লাগাম,लगाम
উজ্জ্বলতা,तेज
বাদামী মাটি,तपकिरी माती
বিল্ডিং,इमारत
বিল্ডিং সার্ভেয়ার,इमारत सर्वेक्षक
বাফার,बफर
বাফার বক্ররেখা,बफर वक्र
বাফারিং,बफरिंग
বাফার ক্ষমতা,बफरिंग क्षमता
বান্দর,बंदर
বাট্রেস,बट्रेस
সি-দিগন্ত,सी-क्षितिज
তারের,केबल
তারের ছাঁচনির্মাণ,केबल मोल्डिंग
ক্যাবলিং,केबल टाकणे
কেবিন,केबिन
কেবিন হুক,केबिन हुक
মন্ত্রিসভা,कपाट
ক্যাবল্টের পদত্যাগ,कॅबोल्ट सोडला
ক্যাফেটারিয়া,कॅफेटेरिया
খাঁচা,पिंजरा
খাঁচা নির্মাণ,पिंजरा बांधकाम
কেইনের সূত্র,काईनचे सूत्र
কাইসন,कैसन
ক্যাসন রোগ,कॅसन रोग
ক্যাসন ফাউন্ডেশন,Caisson पाया
Caisson pile,Caisson ढीग
চুনযুক্ত ইট,चुनखडीची वीट
চুনযুক্ত কাদামাটি,चुनखडीयुक्त चिकणमाती
চুনযুক্ত ভূত্বক,चुनखडीयुक्त कवच
ক্যালসিফিকেশন,कॅल्सिफिकेशन
ক্যালসিনেশন,कॅल्सीनेशन
ক্যালসিন,कॅल्सीन
ক্যালসাইট,कॅल्साइट
ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট,कॅल्शियम-अल्युमिनेट सिमेंट
ক্যালসিয়াম-সিলিকেট ইট,कॅल्शियम-सिलिकेट वीट
ক্যালসিয়াম-সিলিকেট হাইড্রেট,कॅल्शियम-सिलिकेट हायड्रेट
ক্যালিছে,कॅलिचे
ক্যালিফোর্নিয়া ভারবহন অনুপাত,कॅलिफोर्निया बेअरिंग रेशो
ক্যালিপার,कॅलिपर
ক্যালোরিমিটার,कॅलरीमीटर
ক্যাম্বার,कांबर
খাল,कालवा
ক্যানোপি,छत
ক্যান্টিলিভার ফুটিং,कॅन्टिलिव्हर फूटिंग
ক্যাপ,टोपी
ক্ষমতা,क्षमता
আইল ট্র্যাকের ক্ষমতা,एइल ट्रॅकची क्षमता
ক্যাপ তারের,कॅप केबल
কৈশিকতা,केशिका
কৈশিক বিরতি,केशिका ब्रेक
কৈশিক প্রবাহ,केशिका प्रवाह
কৈশিক আর্দ্রতা বা কৈশিক জল,केशिका ओलावा किंवा केशिका पाणी
কৈশিক ছিদ্র স্থান,केशिका छिद्र जागा
কৈশিক ছিদ্র,केशिका सच्छिद्रता
কৈশিক স্থান,केशिका जागा
ক্যাপচার বেগ,वेग कॅप्चर करा
কার্বনেশন,कार्बोनेशन
কার্বন কালো,कार्बन ब्लॅक
কাস্টবল অবাধ্য,कास्टबल रेफ्रेक्ट्री
কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু,कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू
কাস্ট-ইন-প্লেস গাদা,कास्ट-इन-प्लेस मेख
ক্যাস্টর,एरंडेल
ঢালাই পাথর,कास्ट दगड
প্রভাবক,उत्प्रेरक
ক্যাটেনা,कॅटेना
বিড়ালের মুখ,मांजरीचा चेहरा
বিড়ালের মাথা,मांजरीचे डोके
ক্যাটান,कॅशन
বিড়াল হাঁটা,मांजर चालणे
গহ্বরের ক্ষতি,पोकळ्या निर्माण होणे नुकसान
সেলাইট,Celite
সেলুলার কংক্রিট,सेल्युलर कंक्रीट
সেলুলার নির্মাণ,सेल्युलर बांधकाम
সিমেন্ট,सिमेंट
"সিমেন্ট, বিটুমিনাস","सिमेंट, बिटुमिनस"
"সিমেন্ট, উচ্চ শক্তি","सिमेंट, उच्च शक्ती"
"সিমেন্ট, জলবাহী","सिमेंट, हायड्रॉलिक"
"সিমেন্ট, কম তাপ","सिमेंट, कमी उष्णता"
"সিমেন্ট, রাজমিস্ত্রি","सिमेंट, दगडी बांधकाम"
"সিমেন্ট, প্রাকৃতিক","सिमेंट, नैसर्गिक"
"সিমেন্ট, পোর্টল্যান্ড","सिमेंट, पोर्टलँड"
"সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ","सिमेंट, पोर्टलँड ब्लास्ट फर्नेस स्लॅग"
"সিমেন্ট, পোর্টল্যান্ড পোজোলান","सिमेंट, पोर्टलँड पोझोलन"
"সিমেন্ট, স্ল্যাগ","सिमेंट, स्लॅग"
"সিমেন্ট, সালফেট প্রতিরোধী","सिमेंट, सल्फेट प्रतिरोधक"
"সিমেন্ট, সুপার সালফেটেড","सिमेंट, सुपर सल्फेट"
"সিমেন্ট, সাদা","सिमेंट, पांढरा"
সিমেন্ট-সমষ্টি অনুপাত,सिमेंट-एकूण प्रमाण
সিমেন্ট সামগ্রী,सिमेंट सामग्री
সিমেন্ট জেল,सिमेंट जेल
সিমেন্টের বন্দুক,सिमेंट बंदूक
সিমেন্টের ভাটা,सिमेंटची भट्टी
সিমেন্ট পেইন্ট,सिमेंट पेंट
সিমেন্ট প্লাস্টার,सिमेंट प्लास्टर
সিমেন্ট শিলা,सिमेंट खडक
সিমেন্ট স্লারি,सिमेंट स्लरी
সিমেন্ট স্টোরেজ,सिमेंट स्टोरेज
