English,Bengali
Abnormal,অস্বাভাবিক
Abort,গর্ভপাত
Abrasion,ঘর্ষণ
Abrupt,আকস্মিক
Absolute field strength,পরম ক্ষেত্র শক্তি
Absolute temperature,পরম তাপমাত্রা
Absolute value,পরম মান
Absorb,শোষণ
Absorption co-efficient,শোষণ গুণাঙ্ক
Absorption loss,শোষণ ক্ষতি
Abstract,বিমূর্ত
Accelerometer,অ্যাক্সিলোমিটার
Acceptance test,স্বীকৃতি পরীক্ষা
Access,অ্যাক্সেস
Access control,প্রবেশাধিকার নিয়ন্ত্রণ
Access point,এক্সেস পয়েন্ট
Access time,প্রবেশাধিকার সময়
Accessibility,অ্যাক্সেসযোগ্যতা
Accumulator cell,একুমুলেটর সেল
Accuracy,সঠিকতা
Accurate,নির্ভুল
Achromatic lens,অ্যাক্রোমেটিক লেন্স
Acid,অ্যাসিড
Acid proof,অ্যাসিড প্রুফ
Acidity,অম্লতা
Acknowledgement bit,স্বীকৃতি বিট
Acoustic,অ্যাকোস্টিক
Acoustic communication,অ্যাকোস্টিক যোগাযোগ
Acoustic diffusion,অ্যাকোস্টিক প্রসারণ
Acoustic equalizer,অ্যাকোস্টিক ইকুয়ালাইজার
Acoustic feedback,অ্যাকোস্টিক প্রতিক্রিয়া
Acoustic filter,অ্যাকোস্টিক ফিল্টার
Acoustic impedance,শব্দের সংরোধ
Acoustic masking,অ্যাকোস্টিক মাস্কিং
Acoustic power,অ্যাকোস্টিক শক্তি
Acoustic property,অ্যাকোস্টিক সম্পত্তি
Acoustic reactance,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
Acoustic reflex,অ্যাকোস্টিক রিফ্লেক্স
Acoustic tile,অ্যাকোস্টিক টাইল
Acoustic wave,অ্যাকোস্টিক তরঙ্গ
Acoustical absorption,শাব্দিক শোষণ
Acoustical attenuation constant,শাব্দিক মনোযোগ ধ্রুবক
Acoustical damping,শাব্দিক স্যাঁতসেঁতে
Acoustical delay line,শাব্দিক বিলম্ব লাইন
Acoustical distortion,শাব্দিক বিকৃতি
Acoustical duct,শাব্দিক নালী
Acoustical energy,শাব্দিক শক্তি
Acoustical feedback,শাব্দিক প্রতিক্রিয়া
Acoustical filter,শাব্দিক ফিল্টার
Acoustical impedance,শাব্দিক প্রতিবন্ধকতা
Acoustical propagation constant,শাব্দিক প্রচার ধ্রুবক
Acoustical resistance,শাব্দিক প্রতিরোধের
Acoustically insulated,শাব্দিকভাবে অন্তরক
Acoustics,অ্যাকোস্টিকস
Acquisition,অধিগ্রহণ
Acronym,সংক্ষিপ্ত বিবরণ
Action area,অ্যাকশন এরিয়া
Activated filament,সক্রিয় ফিলামেন্ট
Active,সক্রিয়
Active area,সক্রিয় এলাকা
Active window,সক্রিয় উইন্ডো
Adaptability,অভিযোজনযোগ্যতা
Adapter (adaptor),অ্যাডাপ্টার (অ্যাডাপ্টার)
Adaptive differential pulse code modulation,অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন
Address book,ঠিকানা বই
Address bus,ঠিকানা বাস
Address resolution,ঠিকানা রেজোলিউশন
Adjacent channel interference,সংলগ্ন চ্যানেল হস্তক্ষেপ
Adjacent channel selectivity,সংলগ্ন চ্যানেল নির্বাচন
Adjacent frequency,সংলগ্ন ফ্রিকোয়েন্সি
Adjacent frequency channel,সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল
Adjacent picture carrier,সংলগ্ন ছবি ক্যারিয়ার
Adjacent sound carrier,সংলগ্ন সাউন্ড ক্যারিয়ার
Adjacent station,সংলগ্ন স্টেশন
Adjustable,সামঞ্জস্যযোগ্য
Adjustable condenser,সামঞ্জস্যযোগ্য কনডেন্সার
Adjusting pressure,সামঞ্জস্য চাপ
Adjusting wrench,সামঞ্জস্য করা রেঞ্চ
Adjustment,সামঞ্জস্য
Administrator,প্রশাসক
Advanced technology,উন্নত প্রযুক্তি
Aerial,এরিয়াল
Aerial array,এরিয়াল অ্যারে
Aerial booster,এরিয়াল বুস্টার
Aerial current,এরিয়াল কারেন্ট
Aerial earthing switch,এরিয়াল আর্থিং সুইচ
Aerial efficiency,বায়বীয় দক্ষতা
Aerial impedance,বায়বীয় প্রতিবন্ধকতা
Aerial inductance,এরিয়াল ইন্ডাক্ট্যান্স
Aerial insulator,এরিয়াল ইনসুলেটর
Aerial loading coil,এরিয়াল লোডিং কয়েল
Aerial photography,আকাশ থেকে ছবি তোলা
Aerial power,বায়বীয় শক্তি
Aerial radiation reistance,বায়বীয় বিকিরণ পুনর্নির্মাণ
Aerial reactance,বায়বীয় বিক্রিয়া
Aerodynamics,এয়ারোডাইনামিক্স
Agency,এজেন্সি
Air compressor,বায়ু সংকোচকারী
Air condenser,এয়ার কনডেন্সার
Air cooled,ঠান্ডা বাতাস
Air cored coil,বায়ু কর্ড কয়েল
Airconditioning,এয়ারকন্ডিশনিং
Albedo,আলবেডো
Algorithm,অ্যালগরিদম
Aliasing,এলিয়াসিং
Aligning,সারিবদ্ধ
Alignment,প্রান্তিককরণ
All wave aerial,সমস্ত তরঙ্গ বিমান
Allocation,বরাদ্দ
Alphabetic,বর্ণমালা
Alphanumeric,বর্ণমালা
Alphanumeric character,আলফানিউমেরিক চরিত্র
Alphanumeric information,আলফানিউমেরিক তথ্য
Alternating current (a.c.),বিকল্প বর্তমান (এ.সি.)
Alternation,বিকল্প
Alternator,বিকল্প
Altitude,উচ্চতা
Altitude of the apogee,অপোজির উচ্চতা
Altitude of the perigee,পেরিগির উচ্চতা
Amateur radio communication,অপেশাদার রেডিও যোগাযোগ
Ambience,পরিবেশ
Ambience microphone,পরিবেশ মাইক্রোফোন
Ambient condition,পরিবেষ্টিত অবস্থা
Ambient lighting,পরিবেষ্টনকারী আলো
Ambient noise,পরিবেষ্টিত শব্দ
Ambient temperature,পরিবেষ্টিত তাপমাত্রা
American standard code,আমেরিকান স্ট্যান্ডার্ড কোড
Ampere,অ্যাম্পিয়ার
Ampere meter,অ্যাম্পের মিটার
Amplification,পরিবর্ধন
Amplification factor,প্রশস্তকরণ ফ্যাক্টর
Amplifier,পরিবর্ধক
Amplifier gain,পরিবর্ধক লাভ
Amplifier noise,পরিবর্ধক শব্দ
Amplifying equipment,পরিবর্ধক সরঞ্জাম
Amplifying klystron,ক্লাইস্ট্রনকে প্রশস্তকরণ
Amplifying unit,পরিবর্ধক ইউনিট
Amplitude,প্রশস্ততা
Amplitude distortion,প্রশস্ততা বিকৃতি
Amplitude excursion,প্রশস্ততা ভ্রমণ
Amplitude factor,প্রশস্ততা ফ্যাক্টর
Amplitude limiter,প্রশস্ততা সীমাবদ্ধ
Amplitude modulated,প্রশস্ততা মোডুলেটেড
Amplitude modulation,প্রশস্ততা মড্যুলেশন
Analog (analogue),অ্যানালগ (অ্যানালগ)
Analog circuit,অ্যানালগ সার্কিট
Analog computer,অ্যানালগ কম্পিউটার
Analog radio frequency channel,অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল
Analog representation,অ্যানালগ উপস্থাপনা
Analog signal,এনালগ সংকেত
Analog to digital,ডিজিটাল অ্যানালগ
Analog to digital converter,ডিজিটাল কনভার্টারে অ্যানালগ
Analog video,অ্যানালগ ভিডিও
Analogous,সাদৃশ্য
Analogy,উপমা
Analysis,বিশ্লেষণ
Analysis of data,ডেটা বিশ্লেষণ
Analytical density,বিশ্লেষণাত্মক ঘনত্ব
Analyze,বিশ্লেষণ করুন
Analyzer,বিশ্লেষক
Ancilliary equipment,আনুষঙ্গিক সরঞ্জাম
AND Gate,এবং গেট
Angle of collimation,কলিমেশন কোণ
Angle of polarization,মেরুকরণের কোণ
Angle of rotation,ঘূর্ণনের কোণ
Angstrom (Å),অ্যাংস্ট্রোম (Å)
Angular,কৌণিক
Angular acceleration,কৌণিক ত্বরণ
Angular co-ordinates,কৌণিক সমন্বয়
Angular deflection,কৌণিক ডিফ্লেশন
Angular dispersion,কৌণিক বিচ্ছুরণ
Angular displacement,কৌণিক স্থানচ্যুতি
Angular error,কৌণিক ত্রুটি
Angular frequency,কৌণিক কম্পাংক
Angular momentum,কৌণিক ভরবেগ
Angular motion,কৌণিক গতি
Angular velocity,কৌণিক বেগ
Animation,অ্যানিমেশন
Anode,আনোড
Anode battery,আনোড ব্যাটারি
Anode characteristic,অ্যানোড বৈশিষ্ট্য
Anode circuit,আনোড সার্কিট
Anode dissipation,অ্যানোড অপচয়
Anode efficiency,আনোড দক্ষতা
Anode input power,আনোড ইনপুট শক্তি
Anode modulation,অ্যানোড মড্যুলেশন
Antenna,অ্যান্টেনা
Antenna beamwidth,অ্যান্টেনা বিমউইথ
Antenna booster,অ্যান্টেনা বুস্টার
Antenna changeover switch,অ্যান্টেনা চেঞ্জওভার সুইচ
Antenna coil,অ্যান্টেনা কয়েল
Antenna configuration,অ্যান্টেনা কনফিগারেশন
Antenna coupler,অ্যান্টেনা কাপলার
