English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Aba,अबा,અબા,अबा,ਅਬਾ,অবা,अबा,ಅಬಾ,അബാ,அபா,అబా,ابا,অবা,ଅବା,अबा
Abaca,अबाका,અબાકા,अबाका,ਅਬਾਕਾ,অবাকা,अबाका,ಅಬಾಕಾ,അബാകാ,அபாகா,అబాకా,اباکا,অবাকা,ଅବାକା,अबाका
Aback,बक्सी,બક્સી,बक्सी,"ਪਿੱਛੇ, ਪਿੱਛੇ ਵੱਲ ਨੂੰ",বক্সী,बक्सी,ಬಕ್ಸೀ,ബക്സീ,பக்ஸீ,బక్సీ,بکسی,বক্সী,ବକ୍ସୀ,बक्सी
Abyssal zone,वितल क्षेत्र,વિતલ ક્ષેત્ર,वितल क्षेत्र,ਵਿਤਲ ਕ੍਷ੇਤ੍ਰ,বিতল ক্ষেত্র,वितल क्षेत्र,ವಿತಲ ಕ್ಷೇತ್ರ,വിതല ക്ഷേത്ര,விதல க்ஷேத்ர,వితల క్షేత్ర,پاتالی منطقہ,িতল ক্ষত্র,ବିତଳ କ୍ଷେତ୍ର,वितल क्षेत्र
Acidulae,आम्ल भौमजल,આમ્લ ભૌમજલ,आम्ल भौमजल,ਆਮ੍ਲ ਭੌਮਜਲ,আম্ল ভৌমজল,आम्ल भौमजल,ಆಮ್ಲ ಭೌಮಜಲ,ആമ്ല ഭൌമജല,ஆம்ல பௌமஜல,ఆమ్ల భౌమజల,آمل بھومجل,আম্ল ভৌমজল,ଆମ୍ଲ ଭୌମଜଲ,आम्ल भौमजल
Acidulous water,आम्ल जल,આમ્લ જલ,आम्ल जल,ਆਮ੍ਲ ਜਲ,আম্ল জল,आम्ल जल,ಆಮ್ಲ ಜಲ,ആമ്ല ജല,ஆம்ல ஜல,ఆమ్ల జల,آمل جل,আম্ল জল,ଆମ୍ଲ ଜଲ,आम्ल जल
Active layer,सक्रिय परत,સક્રિય પરત,सक्रिय परत,ਸਕ੍ਰਿਯ ਪਰਤ,সক্রিয পরত,सक्रिय परत,ಸಕ್ರಿಯ ಪರತ,സക്രിയ പരത,ஸக்ரிய பரத,సక్రియ పరత,زندہ پرت,সক্রিয পরত,ସକ୍ରିଯ ପରତ,सक्रिय परत
Adit,ऐडिट,ઐડિટ,ऐडिट,ਐਡਿਟ,ঐডিট,ऐडिट,ಐಡಿಟ,ഐഡിട,ஐடிட,ఐడిట,ایڈٹ,ঐডিট,ଐଡିଟ,ऐडिट
Aerial tramway,वायु ट्राम गाड़ी,વાયુ ટ્રામ ગાડ઼ી,वायु ट्राम गाड़ी,ਵਾਯੁ ਟ੍ਰਾਮ ਗਾਡ਼ੀ,বাযু ট্রাম গাড়ী,वायु ट्राम गाड़ी,ವಾಯು ಟ್ರಾಮ ಗಾಡ಼ೀ,വായു ട്രാമ ഗാഡീ,வாயு ட்ராம காடீ,వాయు ట్రామ గాడీ,وایو ٹرام گاڑی,াযু ট্রাম গাড়ী,ବାଯୁ ଟ୍ରାମ ଗାଡ଼ୀ,वायु ट्राम गाड़ी
Aerobee rocket,ऐरोबी रॉकेट,ઐરોબી રૉકેટ,ऐरोबी रॉकेट,ਐਰੋਬੀ ਰ੉ਕੇਟ,ঐরোবী রৌকেট,ऐरोबी रॉकेट,ಐರೋಬೀ ರೌಕೇಟ,ഐരോബീ രൌകേട,ஐரோபீ ரௌகேட,ఐరోబీ రౌకేట,ایروبی راکیٹ,ঐরবী রকট,ଐରୋବୀ ରୌକେଟ,ऐरोबी रॉकेट
Aerodynamic torque,वायुगतिक बलाघूर्ण,વાયુગતિક બલાઘૂર્ણ,वायुगतिक बलाघूर्ण,ਵਾਯੁਗਤਿਕ ਬਲਾਘੂਰ੍ਣ,বাযুগতিক বলাঘূর্ণ,वायुगतिक बलाघूर्ण,ವಾಯುಗತಿಕ ಬಲಾಘೂರ್ಣ,വായുഗതിക ബലാഘൂര്ണ,வாயுகதிக பலாகூர்ண,వాయుగతిక బలాఘూర్ణ,وایگتک بلاگھورن,াযুগতিক বলাঘূর্ণ,ବାଯୁଗତିକ ବଲାଘୂର୍ଣ,वायुगतिक बलाघूर्ण
Aeromagnetic data,वायुचुंबकीय आँकड़े,વાયુચુંબકીય આઁકડ઼ે,वायुचुंबकीय आँकड़े,ਵਾਯੁਚੁਂਬਕੀਯ ਆੰਕਡ਼ੇ,বাযুচুংবকীয আঁকড়,वायुचुंबकीय आँकड़े,ವಾಯುಚುಂಬಕೀಯ ಆಂಕಡ಼ೇ,വായുചുംബകീയ ആംകഡേ,வாயுசுங்பகீய ஆங்கடே,వాయుచుంబకీయ ఆంకడే,وایچمبکیہ آنکڑے,াযুচুংবকীয আঁকড়,ବାଯୁଚୁଂବକୀଯ ଆଁକଡ଼େ,वायुचुंबकीय आँकड़े
Aerosol spectrum,ऐरोसॉल स्पेक्ट्रम,ઐરોસૉલ સ્પેક્ટ્રમ,ऐरोसॉल स्पेक्ट्रम,ਐਰੋਸ੉ਲ ਸ੍ਪੇਕ੍ਟ੍ਰਮ,ঐরোসৌল স্পেক্ট্রম,ऐरोसॉल स्पेक्ट्रम,ಐರೋಸೌಲ ಸ್ಪೇಕ್ಟ್ರಮ,ഐരോസൌല സ്പേക്ട്രമ,ஐரோஸௌல ஸ்பேக்ட்ரம,ఐరోసౌల స్పేక్ట్రమ,ایروسال سپیکٹرم,ঐরসল স্পক্ট্রম,ଐରୋସୌଲ ସ୍ପେକ୍ଟ୍ରମ,ऐरोसॉल स्पेक्ट्रम
Aerospace,वायु आकाश,વાયુ આકાશ,वायु आकाश,ਵਾਯੁ ਆਕਾਸ਼,বাযু আকাশ,वायु आकाश,ವಾಯು ಆಕಾಶ,വായു ആകാശ,வாயு ஆகாச,వాయు ఆకాశ,وایو آکاش,াযু আকাশ,ବାଯୁ ଆକାଶ,वायु आकाश
Aerosphere,"वातमंडल, गैसमंडल","વાતમંડલ, ગૈસમંડલ","वातमंडल, गैसमंडल","ਵਾਤਮਂਡਲ, ਗੈਸਮਂਡਲ","বাতমংডল, গৈসমংডল","वातमंडल, गैसमंडल","ವಾತಮಂಡಲ, ಗೈಸಮಂಡಲ","വാതമംഡല, ഗൈസമംഡല","வாதமங்டல, கைஸமங்டல","వాతమండల, గైసమండల",تمامی کرۂ باد,"াতমংডল, গৈসমংডল","ବାତମଂଡଲ, ଗୈସମଂଡଲ","वातमंडल, गैसमंडल"
