Bengali,Hindi
ওয়েস্টমিনস্টারের অ্যাবে,वैस्‍टम‍िन्‍स्‍टर मठ
বর্জনীয়,मालखाना
দাসত্বের সমাপ্তি,दासता का उन्मूलन
আদিবাসী,आदिवासी
আব্রাহাম যুগ,अब्राहम काल
অনুপস্থিত জমির মালিক,प्रवासी ज़मींदार
একাডেমী,अकादमी; विद्वत्परिषद
আকরা সম্মেলন,अक्रा सम्मेलन
সঞ্চয়,"प्रोद्भूत सामग्री, उपचित सामग्री"
সংগ্রহ,"परसंस्कृति-ग्रहण, उत्संस्करण"
অ্যাসেলডামা,एसेलडामा
আচিয়ান (=আচিয়ান),एकियायी
আচিয়ান লীগ (=আচিয়ান লীগ),एकीयायी लीग
অ্যাক্রোপলিস,एक्रोपोलिस
Acta Diurna,"शाही रोज़नामचा, दैनिक समाचार"
Acta Senatus,सीनेट का कार्यवृत्त
অ্যাক্ট অ্যাডিশনেল,"अपर प्रपत्र, एक्टे एडिशनेल"
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),सक्रिय रिकार्ड
প্রাপ্তির কাজ,अपकीर्त्ति अधिनियम
ক্ষতিপূরণ এবং বিস্মৃতির আইন,दंड विमुक्ति एवं विस्मरण अधिनियम
নিষ্পত্তির আইন,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
বিজ্ঞাপন চুক্তি সীল,संविदा मुद्रा
আদুল্লামাইটস,आडुलम गुटवादी
প্রতিপক্ষ,विपक्षी
প্রতিপক্ষ,2. शत्रु
Aeon,युग
এরারিয়াম,इरेरियम
বায়বীয় যুদ্ধ,"आकाशी युद्ध, हवाई लड़ाई"
এটোলিয়ান লীগ,"एटोलियन लीग, एटोलियायी संघ"
বয়স,"काल, युग"
বার্ধক্য (=বার্ধক্য),"काल-प्रभावन, जीर्णन"
বার্ধক্য প্রক্রিয়া,जीर्णन-प्रक्रिया
এগেলাই,एजिलायी
বীরত্বের বয়স,शौर्य युग
এনলাইটমেন্টের বয়স,"प्रबोध युग, ज्ञानोदय युग"
পেরিক্লেসের বয়স,पेरीक्लीज़ युग
কারণ বয়স,तर्क प्रधान युग
কৃষিবাদ,भूमि सुधारवाद
কৃষি আন্দোলন,भूमि सुधारवादी आंदोलन
অ্যালবিয়ন,एलबियन
অ্যালবাম,अलबम
অল্ডারম্যান,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
লোভনীয় অস্ত্র,कुलांकित आयुध
বন্ধুত্ব,मैत्री
অ্যাম্ফিক্টোনিক কাউন্সিল,एम्फिकटिआनी परिषद
Amphictyonic লীগ,ऊपर देo : Amphictyonic Council
অ্যাম্ফিথিয়েটার,"रंगवाट, रंगभूमि, अखाड़ा"
আমরি নল দল (মৃৎপাত্রের),(मृद्भांडों का) अमरीनाल वर्ग
অ্যানাক্রোনিজম,"काल-वैषम्य, काल-दोष"
অ্যানাক্রোনিস্টিক,काल-वैषम्ययुक्त
পূর্বপুরুষ,पूर्वज
পূর্ব পুরুষের পুজা,पितृ-पूजा
বংশ,कुल-परंपरा
বংশ,2. वंश
