Hindi,Kannada
ऐम्पियर (मात्रक),ಆಂಪಿಯರ್ (ಘಟಕ)
ऐंगस्ट्रम,ಆಂಗ್ಸ್ಟ್ರಮ್
ए-वर्ग प्रवर्धक,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
ए.एन रेडियो सहाय,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
ए-क्रमवीक्षण प्रस्तुति,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
ए-दर्श,a-ದರ್ಶ್
ए-स्कोप प्रदर्शन,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
ए-टी कर्तित क्रिस्टल,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
पूर्वाह्न,ಬೆಳಗ್ಗೆ
ए.एम.यू. (परमाणु संहति मात्रक),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
आर्ड-वार्क*,aard-vark*
ऐब-ऐम्पियर,ಅಬ್-ಆಂಪಿಯರ್
ए-बी वर्ग प्रवर्धक,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
आदितः,ಅದಾ
ए-बी शक्ति पिटक,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
ऐबे संख्या (ऐबे नियतांक),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
ऐबे अपवर्तनमापी,ಅಬೆ ವಕ್ರೀಕಾರಕ
ऐबे ज्या अवस्था,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
स्वचालित बायस प्रतिकार,ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
ऐबकूलॉम,abcoulom
"विपथन, अपेरण","ವಿಪಥನ, ವಿಪಥನ"
विपथन संशोधक लेन्स,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
आकाश-विपथन,ಆಕಾಶ ವಿಪಥನ
एबफैराड,abfarad
एबहेनरी,ಎಬೆನ್ರಿ
ऐबनी प्रभाव (ऐबनी नियम),ಎಬೊನಿ ಎಫೆಕ್ಟ್
अपसामान्य ध्रुवण,ಅಸಹಜ ಧ್ರುವೀಕರಣ
अपसामान्य संचरण,ಅಸಹಜ ಪ್ರಸರಣ
अपसामान्य परावर्तन,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
अपसामान्य अपवर्तन*,ಅಸಹಜ ವಕ್ರೀಭವನ*
अपसामान्य प्रतिरोध,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
ऐब-ओम,ab-om
"पूर्वपात, विफलन","ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
