Tamil,Kannada
ஏசி சமமான சுற்று,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
எண் மாற்றிக்கு ஒப்புமை,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
முழுமையான பூஜ்ஜியம்,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
உறிஞ்சுதல் குணகம்,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
உறிஞ்சுதல் நிறமாலை,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
ஏற்பி அணு,ಗ್ರಾಹಕ ಪರಮಾಣು
மாற்று மின்னோட்ட இணைப்பு,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
எலக்ட்ரான் அறுவடை,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
துளை சேமிப்பு,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
செயல்படுத்தும் ஆற்றல்,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
செயலில் பெருக்கி,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
செயலில் உள்ள டையோடு சுற்று,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
செயலில் வடிகட்டி,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
செயலில் சுமை,ಸಕ್ರಿಯ ಲೋಡ್
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
செயலில் உள்ள பகுதி,ಸಕ್ರಿಯ ಪ್ರದೇಶ
தகவமைப்பு மின்னணுவியல்,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
சேர்ப்பான்,ಸೇರಿಸುವವನು
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
ஊடுருவல்,ನುಗ್ಗುವಿಕೆ
ஏரியல்,ಏರಿಯಲ್
பெப் அதிர்வெண்,ಪೆಪ್ ಆವರ್ತನ
காற்றுச்சீரமைப்பி,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
சீரமைப்பு,ಜೋಡಣೆ
அல்காரிதம்,ಅಲ್ಗಾರಿದಮ್
அனைத்து பாஸ் வடிகட்டி,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
அலாய் சந்திப்பு,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
தணிவு,ಕ್ಷೀಣತೆ
மாறுதிசை மின்னோட்டம்,ಪರ್ಯಾಯ ಪ್ರವಾಹ
சுற்றுப்புற வெப்பநிலை,ಹೊರಗಿನ ತಾಪಮಾನ
இருமுனை,ಬೈಪೋಲಾರ್
பெருக்கம்,ವರ್ಧನೆ
பெருக்கி,ಆಂಪ್ಲಿಫಯರ್
பெருக்கி செயல்திறன்,ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ
பரிமாணங்கள்,ಆಯಾಮಗಳು
வீச்சு குறைதல்,ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ
வீச்சு பண்பேற்றம்,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್
வீச்சு மாடுலேட்டர்,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್
angstrom அலகு,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
அனலாக் சுற்று,ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್
அனலாக் கணினி,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
அனலாக் வடிகட்டி,ಅನಲಾಗ್ ಫಿಲ್ಟರ್
அனலாக் மல்டிமீட்டர்,ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್
அனலாக் சுவிட்ச்,ಅನಲಾಗ್ ಸ್ವಿಚ್
மற்றும் வாயில்,ಮತ್ತು ಗೇಟ್
கோண அதிர்வெண்,ಕೋನೀಯ ಆವರ್ತನ
"அயனி, அயனி","ಅಯಾನ್, ಅಯಾನ್"
அனீலிங் வெப்பநிலை,ಅನೆಲಿಂಗ್ ತಾಪಮಾನ
நேர்மின்முனை,ಆನೋಡ್
அனோட் பெருக்கி,ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್
அனோடைன்,ಅನೋಡೈನ್
ஆண்டெனா,ಆಂಟೆನಾ
ஆண்டெனா கூறு,ಆಂಟೆನಾ ಘಟಕ
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ
ஆன்டிலோகின் பெருக்கி,ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್
எதிரொலி சுற்று,ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್
துவாரகர் காலம்,ದ್ವಾರಕ ಕಾಲ
மெய்நிகர் சக்தி,ವರ್ಚುವಲ್ ಶಕ್ತಿ
கம்பி இணைப்பு,ತಂತಿ ಸಂಪರ್ಕ
தோராயமான மின்னழுத்த ஆதாயம்,ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್
ஆண்டெனா வரிசை,ಆಂಟೆನಾ ರಚನೆ
"அளவு விகிதம், தோற்ற விகிதம்","ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ"
மிதக்கும் சுற்று (இலவச இயக்க சுற்று),ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್)
தானியங்கி மல்டிவிபிரேட்டர்,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
மிதக்கும் மல்டிவிபிரேட்டர்,ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
சமச்சீரற்ற சந்திப்பு,ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್
ஒத்திசைவற்ற கால்குலேட்டர்,ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
அணுக்கரு,ಪರಮಾಣು
அணு எண்,ಪರಮಾಣು ಸಂಖ್ಯೆ
அணு அமைப்பு,ಪರಮಾಣು ರಚನೆ
ஒலி பெருக்கி,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
ஒலி பெருக்கி,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
ஆடியோ கேசட்,ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್
