English,Hindi
A C equivalent circuit,ए.सी. समतुल्य परिपथ
A to D converter,अनुरूप से अंकीय परिवर्तक
Absolute zero,परम शून्य
Absorption coefficient,अवशोषण गुणांक
Absorption spectrum,अवशोषण स्पेक्ट्रम
Acceptor atom,ग्राही परमाणु
A C coupling,प्रत्यावर्ती धारा युग्मन
Accumulation of electron,इलेक्ट्रॉन संचयन
Accumulation of holes,होल संचयन
Activation energy,सक्रियण ऊर्जा
Active amplifier,सक्रिय प्रवर्धक
Active diode circuit,सक्रिय डायोड परिपथ
Active filter,सक्रिय फिल्टर
Active high pass filter,सक्रिय उच्च आवृत्ति पारक फिल्टर
Active load,सक्रिय लोड
Active low pass filter,सक्रिय निमन आवृत्ति पारक फिल्टर
Active region,सक्रिय क्षेत्र
Adaptive electronics,अनुकूली इलेक्ट्रॉनिकी
Adder,योजक
Adjustable band width,समायोजी बैंड विस्तार
Admittance,प्रवेश्यता
Aerial,एरियल
Agility frequency,स्फूर्ति आवृत्ति
Air conditioner,वातानुकूलक
Alignment,संरेखन
Algorithm,आल्गोरिदम
All pass filter,समस्त पारक फिल्टर
Alloy junction,मिश्रधातु संधि
Attenuation,क्षीणन
Alternating current (AC),प्रत्यावर्ती धारा
Ambient temperature,परिवेश ताप
Ambipolar,उभयध्रुवीय
Amplification,प्रवर्धन
Amplifier,प्रवर्धक
Amplifier efficiency,प्रवर्धक दक्षता
Amplitude,आयाम
Amplitude altenuation,आयाम क्षीणन
Amplitude modulated oscillator,आयाम मॉडुलित ए.एम. दोलित्र
Amplitude modulation,आयाम मॉडुलन
Amplitude modulator,आयाम मॉडुलक
Angstrom unit,एंगस्ट्रॉम इकाई
Analog circuit,अनुरूप परिपथ
Analog computer,अनुरूप कंप्यूटर
Analog filter,अनुरूप फिल्टर
Analog multimeter,अनुरूप बहुमापी
Analog switch,अनुरूप स्विच
AND gate,AND गेट
Angular frequency,कोणीय आवृत्ति
Anion,"ऋणायन, एनॉयन"
Annealing temperature,अनीलन तापमान
Anode,ऐनोड
