Marathi,Punjabi
अजैविक पुनरुत्पादन,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
अलौकिक,ਅਲੌਕਿਕ
1. चौथे पोट 2. इवोमासोम,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
रंध्र वाढीचा अवयव,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
वाढ खुंटलेले बीज,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. अवांछित तण 2. पूर्ण तण,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
शोषलेले केशन,ਲੀਨ cation
शोषण,ਸਮਾਈ
Abyssinian मोहरी,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1. ऍकेरिसाइड,1. ਐਕਰੀਸਾਈਡ
केंद्राभिमुख,centripetal
प्रवर्धन (सेल),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
मंजूर सहिष्णुता,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
रुपांतर,ਅਨੁਕੂਲਨ
जमा,ਇਕੱਠਾ ਕਰਨਾ
1. अचूकता 2. अचूकता,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. एसरव्हुलस 2. स्पोरोफाइट,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. आम्लीकरण 2. आम्लीकरण,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
आंबटपणा,ਐਸਿਡਿਟੀ
ऍसिडोफाइल,ਐਸਿਡੋਫਾਈਲ
ऍसिडिफाइड रॉक फॉस्फेट,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
आम्लीकृत,ਤੇਜ਼ਾਬ
जलचर,aquifer
संपादन,ਪ੍ਰਾਪਤੀ
एकर,ਏਕੜ
1. क्षेत्रफळ 2. क्षेत्रफळ,1. ਖੇਤਰ 2. ਖੇਤਰ
अंतिम बिंदू गुणसूत्र,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
पुढे दिसणारा,ਅਗਾਂਹਵਧੂ
acrosome,acrosome
actinomycetes,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
सक्रिय कोर,ਸਰਗਰਮ ਕੋਰ
1. उग्र 2. तीव्र,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
अनुकूलता,ਅਨੁਕੂਲਤਾ
सानुकूलन,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. आसंजन 2. आसंजन,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
सेबेशियस,sebaceous
समायोजन समीकरण,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
adobe माती,ਅਡੋਬ ਮਿੱਟੀ
भेसळ करणारा,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
एक्टोपिक,ਐਕਟੋਪਿਕ
Isidiospore Isidium बीजाणू,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
वायुगतिकीय प्रक्रिया,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
वेंट्रल,ਵੈਂਟ੍ਰਲ
वायुवीजन करणे,ਹਵਾ ਦੇਣ ਲਈ
1. हवा 2. आकाशी,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
एरोसोल,ਐਰੋਸੋਲ
1. फुलणे 2. उन्हाळी सुप्तता,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
रोग विज्ञान,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
वनीकरण,ਜੰਗਲਾਤ
1. आंदोलन 2. अशांतता,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
Agmark,ਐਗਮਾਰਕ
1. जमिनीशी संबंधित 2. कृषी,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
कृषी चिकित्सालय,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
1. शेतमजूर 2. शेतमजूर,1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ
कृषी विपणन,ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ
कृषी तंत्रज्ञान,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
1. शेती 2. शेती 3. कृषी विज्ञान,1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ
कृषी वनीकरण,ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ
