Kannada,Marathi
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,अ‍ॅबॅक्सियल पृष्ठभाग
ಹೊಟ್ಟೆ,ओटीपोट
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,ओटीपोटात महाधमनी
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,ओटीपोटात गॅंग्लिया
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,एबेलमोशस एस्क्युल्टस
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,विकृती
ಅಬ್ಬರ,अबीज
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,अबिंगडॉन कासव
ಕ್ಷು ತನ್ನತೆ,अ‍ॅबिओजेनेसिस
ಅಸಹ್ಯವಾದ,अ‍ॅबिओटिक
ಉದಾಸೀಯ ಅಂಶ,अ‍ॅबिओटिक फॅक्टर
ಅಸಹಜ ಮೂತ್ರ,असामान्य मूत्र
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,अबो ब्लड ग्रुप
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,अ‍ॅबसिसिक acid सिड
ಕಂದಿಸುವುದು,फलंदाजी
ಹೀರಿಕೊಳ್ಳಿ,शोषून घ्या
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,शोषण शिखर
ಹೀರುವಿಕೆ,शोषण
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,बाभूळ कॅटेचू
ಅಕ್ಯಾಬಿಕಾ,अकारिया अरबीका
ಅಣಕಾದ,अकाप्रिन
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,स्वीकार्य लैंगिक वर्तन
ಪರಿಕರ ಗ್ರಂಥಿ,Ory क्सेसरी ग्रंथी
ಪರಿಕರ ಗ್ರಂಥಿ,Ory क्सेसरी ग्रंथी
ಪರಿಕರ ಅಂಗ,Ory क्सेसरीसाठी अवयव
ಒಗ್ಗೂಡಿಸುವಿಕೆ,सहनशीलता
ಒಗ್ಗಿಸು,अनुकूलित करा
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),निवास (लक्ष केंद्रित करणे)
ಕಣ್ಣಿನ ವಸತಿ,डोळ्याची निवासस्थान
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,संवर्धन वाढ
ಸಂಗ್ರಹಣೆ,संचय
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,सेंद्रिय पदार्थाचे संचय
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,मातीचे संचय
ಉಭಯಾಕಾರದ,सेल्युलर
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,एसेल्युलर जीव
ಅಸೆಟಾಬುಮ್,एसीटाबुलम
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,एसीटाल्डिहाइड
