Kannada,Tamil
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,அபாக்ஸியல் மேற்பரப்பு
ಹೊಟ್ಟೆ,அடிவயிறு
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,வயிற்று பெருநாடி
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,வயிற்று கேங்க்லியா
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,மாறுபாடு
ಅಬ್ಬರ,அபிஸ்
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,அபிங்டன் ஆமை
ಕ್ಷು ತನ್ನತೆ,அபியோஜெனெஸிஸ்
ಅಸಹ್ಯವಾದ,அஜியோடிக்
ಉದಾಸೀಯ ಅಂಶ,அஜியோடிக் காரணி
ಅಸಹಜ ಮೂತ್ರ,அசாதாரண சிறுநீர்
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,ABO இரத்தக் குழு
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,அப்சிசிக் அமிலம்
ಕಂದಿಸುವುದು,கஷ்டம்
ಹೀರಿಕೊಳ್ಳಿ,உறிஞ்சும்
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,உறிஞ்சுதல் உச்சம்
ಹೀರುವಿಕೆ,உறிஞ்சுதல்
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,அகாசியா கேடெச்சு
ಅಕ್ಯಾಬಿಕಾ,அகாரியா அரபிகா
ಅಣಕಾದ,அகப்ரின்
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
ಪರಿಕರ ಗ್ರಂಥಿ,துணை சுரப்பி
ಪರಿಕರ ಗ್ರಂಥಿ,துணை சுரப்பி
ಪರಿಕರ ಅಂಗ,துணை உறுப்பு
ಒಗ್ಗೂಡಿಸುವಿಕೆ,பழக்கவழக்கமயமாக்கல்
