Telugu,Marathi
అసాధారణ,असामान्य
అబార్ట్,गर्भपात
అబ్రేషన్,घर्षण
ఆకస్మిక,अचानक
సంపూర్ణ క్షేత్ర బలం,परिपूर्ण फील्ड सामर्थ्य
సంపూర్ణ ఉష్ణోగ్రత,परिपूर्ण तापमान
సంపూర్ణ విలువ,परिपूर्ण मूल्य
గ్రహించండి,शोषून घ्या
శోషణ సహ-సమర్థత,शोषण सह-कार्यक्षम
శోషణ నష్టం,शोषण तोटा
నైరూప్య,गोषवारा
యాక్సిలెరోమీటర్,एक्सेलरोमीटर
అంగీకార పరీక్ష,स्वीकृती चाचणी
యాక్సెస్,प्रवेश
యాక్సెస్ నియంత్రణ,प्रवेश नियंत्रण
యాక్సెస్ పాయింట్,प्रवेश बिंदू
ప్రాప్యత సమయం,प्रवेश वेळ
సౌలభ్యాన్ని,प्रवेशयोग्यता
సంచిత కణం,संचयक सेल
ఖచ్చితత్వం,अचूकता
ఖచ్చితమైనది,अचूक
అచ్రోమాటిక్ లెన్స్,अ‍ॅक्रोमॅटिक लेन्स
ఆమ్లము,आम्ल
యాసిడ్ ప్రూఫ్,आम्ल पुरावा
ఆమ్లత్వం,आंबटपणा
రసీదు బిట్,पावती बिट
శబ్ద,ध्वनिक
ఎకౌస్టిక్ కమ్యూనికేషన్,ध्वनिक संप्रेषण
శబ్ద వ్యాప్తి,ध्वनिक प्रसार
ఎకౌస్టిక్ ఈక్వలైజర్,ध्वनिक समतुल्य
శబ్ద అభిప్రాయం,ध्वनिक अभिप्राय
శబ్ద వడపోత,ध्वनिक फिल्टर
శబ్ద ఇంపెడెన్స్,ध्वनिक प्रतिबाधा
ఎకౌస్టిక్ మాస్కింగ్,ध्वनिक मास्किंग
శబ్ద శక్తి,ध्वनिक शक्ती
శబ్ద ఆస్తి,ध्वनिक मालमत्ता
శబ్ద ప్రతిచర్య,ध्वनिक प्रतिक्रिया
ఎకౌస్టిక్ రిఫ్లెక్స్,ध्वनिक प्रतिक्षेप
శబ్ద టైల్,ध्वनिक टाइल
శబ్ద వేవ్,ध्वनिक लाट
శబ్ద శోషణ,ध्वनिक शोषण
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,ध्वनीविषयक क्षीणन स्थिर
శబ్ద డంపింగ్,ध्वनिकी ओलसर
శబ్ద ఆలస్యం రేఖ,ध्वनिक विलंब रेखा
శబ్ద వక్రీకరణ,ध्वनिक विकृती
శబ్ద వాహిక,ध्वनिक नलिका
శబ్ద శక్తి,ध्वनिक ऊर्जा
శబ్ద అభిప్రాయం,ध्वनिक अभिप्राय
శబ్ద వడపోత,ध्वनिक फिल्टर
శబ్ద ఇంపెడెన్స్,ध्वनीविषयक प्रतिबाधा
శబ్ద ప్రచారం స్థిరాంకం,ध्वनीविषयक प्रसार स्थिर
శబ్ద నిరోధకత,ध्वनिक प्रतिकार
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ध्वनिकरित्या इन्सुलेटेड
ధ్వని,ध्वनिकी
సముపార్జన,संपादन
ఎక్రోనిం,परिवर्णी शब्द
కార్యాచరణ ప్రాంతం,कृती क्षेत्र
సక్రియం చేయబడిన ఫిలమెంట్,सक्रिय फिलामेंट
క్రియాశీల,सक्रिय
క్రియాశీల ప్రాంతం,सक्रिय क्षेत्र
క్రియాశీల విండో,सक्रिय विंडो
అనుకూలత,अनुकूलता
అడాప్టర్,अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
చిరునామా పుస్తకం,अॅड्रेस बुक
చిరునామా బస్సు,अ‍ॅड्रेस बस
చిరునామా తీర్మానం,पत्ता ठराव
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,लगतच चॅनेल हस्तक्षेप
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,लगतच चॅनेल निवड
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,समीप वारंवारता
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,समीप फ्रिक्वेन्सी चॅनेल
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,लगतचे चित्र वाहक
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,समीप ध्वनी वाहक
ప్రక్కనే ఉన్న స్టేషన్,समीप स्टेशन
సర్దుబాటు,समायोज्य
సర్దుబాటు కండెన్సర్,समायोज्य कंडेन्सर
సర్దుబాటు ఒత్తిడిని,दबाव समायोजित करणे
రెంచ్ సర్దుబాటు,पाना समायोजित करणे
సర్దుబాటు,समायोजन
నిర్వాహకుడు,प्रशासक
అధునాతన సాంకేతిక పరిజ్ఞానం,आधुनिक तंत्रज्ञान
ఆకాశయాన,हवाई
వైమానిక శ్రేణి,एरियल अ‍ॅरे
వైమానిక బూస్టర్,एरियल बूस्टर
వైమానిక ప్రవాహం,एरियल करंट
వైమానిక ఎర్తింగ్ స్విచ్,एरियल अर्थिंग स्विच
వైమానిక సామర్థ్యం,हवाई कार्यक्षमता
వైమానిక ఇంపెడెన్స్,हवाई प्रतिबाधा
వైమానిక ఇండక్టెన్స్,एरियल इंडक्टन्स
వైమానిక అవాహకం,एरियल इन्सुलेटर
వైమానిక లోడింగ్ కాయిల్,एरियल लोडिंग कॉइल
వైమానిక ఫోటోగ్రఫీ,एरियल फोटोग्राफी
వైమానిక శక్తి,हवाई शक्ती
వైమానిక రేడియేషన్ రీస్టెన్స్,एरियल रेडिएशन रीस्टन्स
వైమానిక ప్రతిచర్య,हवाई प्रतिक्रिया
ఏరోడైనమిక్స్,एरोडायनामिक्स
ఏజెన్సీ,एजन्सी
వాయువుని కుదించునది,एअर कॉम्प्रेसर
ఎయిర్ కండెన్సర్,एअर कंडेन्सर
గాలి చల్లబడింది,वातानुकूलित
ఎయిర్ కోర్డ్ కాయిల్,एअर कोर्ड कॉइल
ఎయిర్ కండిషనింగ్,वातानुकुलीत
ఆల్బెడో,अल्बेडो
అల్గోరిథం,अल्गोरिदम
అలియాసింగ్,अलियासिंग
సమలేఖనం,संरेखित
అమరిక,संरेखन
అన్ని వేవ్ వైమానిక,सर्व वेव्ह एरियल
కేటాయింపు,वाटप
అక్షరాలు,वर्णमाला
ఆల్ఫాన్యూమరిక్,अल्फान्यूमेरिक
ఆల్ఫాన్యూమరిక్ పాత్ర,अल्फान्यूमेरिक वर्ण
ఆల్ఫాన్యూమరిక్ సమాచారం,अल्फान्यूमेरिक माहिती
ప్రత్యామ్నాయ కరెంట్ (a.c.),वैकल्पिक चालू (ए.सी.)
ప్రత్యామ్నాయం,वैकल्पिक
ఆల్టర్నేటర్,अल्टरनेटर
ఎత్తు,समुद्रसपाटीपासूनची उंची
పొక్కు ఎత్తు,अपोजीची उंची
మూత యొక్క ఎత్తు,पेरिगीची उंची
Te త్సాహిక రేడియో కమ్యూనికేషన్,हौशी रेडिओ संप्रेषण
వాతావరణం,वातावरण
