Marathi,Assamese
"1.अॅबॅकस, 2. मोजणी","১.এবাকাছ, ২. গণনা কৰি আছে"
असामान्य शेवट,অস্বাভাৱিক অন্ত
इंटरसेप्ट,ইন্টাৰচেপ্ট
"1. निरपेक्ष, 2. सर्वोच्च","১.নিৰপেক্ষ, ২. পৰম"
परिपूर्ण पत्ता,নিৰপেক্ষ ঠিকনা
परिपूर्ण पत्ता योग्यता,নিৰপেক্ষ ঠিকনাযোগ্যতা
परिपूर्ण असेंबलर,নিৰপেক্ষ এছেম্বলাৰ
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
निरपेक्ष आज्ञा,নিৰপেক্ষ আদেশ
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
परिपूर्ण सूचना,নিৰপেক্ষ নিৰ্দেশনা
परिपूर्ण मोड,নিৰপেক্ষ ধৰণ
परिपूर्ण मार्ग,নিৰপেক্ষ পথ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
अमूर्त वर्ग,বিমূৰ্ত শ্ৰেণী
अमूर्त डेटा प्रकार,বিমূৰ্ত তথ্যৰ ধৰণ
अमूर्त मशीन,বিমূৰ্ত মেচিন
अमूर्त चिन्ह,বিমূৰ্ত চিহ্ন
अमूर्त वाक्यरचना,বিমূৰ্ত বাক্যবিন্যাস
स्वीकृती चाचणी,গ্ৰহণযোগ্যতা পৰীক্ষা
प्रवेश प्रमाणपत्र,প্ৰৱেশ প্ৰমাণীকৰণ
"1. प्रवेश कोड, 2. प्रवेश कोड","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
प्रवेश नियंत्रण,প্ৰৱেশ নিয়ন্ত্ৰণ
प्रवेश स्कॅनिंग,অভিগম স্কেনিং
उपकरणे,আনুষংগিক বস্তু
लेखा,হিচাপ-নিকাচ
"1. खाते आयडी, 2. लेखा ओळख","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
संचयक,এক্যুলেটৰ
"1. अचूकता, 2. अचूकता","১/ সঠিকতা, ২. শুদ্ধতা"
प्रवेश,প্ৰৱেশাধিকাৰ
प्रवेश नियंत्रण बाइट्स,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
प्रवेश सूचक,প্ৰৱেশ সূচক
प्रवेश की,অভিগম কি&#39;
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
प्रवेश मोड,অভিগম ধৰণ
प्रवेश विशेषाधिकार,অভিগম বিশেষাধিকাৰসমূহ
प्रवेश सुरक्षा,অভিগম সুৰক্ষা
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
प्रवेश वेळ,প্ৰৱেশ সময়
पोचपावती,স্বীকৃতি
ध्वनीशास्त्र,শব্দবিজ্ঞান
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
क्रिया संदेश,কাৰ্য্য বাৰ্তা
सक्रियकरण,সক্ৰিয়কৰণ
सक्रिय सर्व्हर पृष्ठ,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
सक्रिय आवृत्ती,সক্ৰিয় সংস্কৰণ
अॅसायक्लिक,অচক্ৰীয়
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
अडा संगणक भाषा,আদা কম্পিউটাৰ ভাষা
"1. ऑप्टिमायझर, 2. अनुकूलक","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
बेरीज करण्यासाठी),to sum)
बेरीज फाइल,যোগফল নথিপত্ৰ
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
जोडणारा,adder
जाणून घ्या,ঠিকনা
पत्ता बस,ঠিকনা বাছ
पत्ता फाइल,ঠিকনা নথিপত্ৰ
पत्त्याचे स्वरूप,ঠিকনা বিন্যাস
पत्ता जनरेटर,ঠিকনা উৎপাদক
पत्ता ओळ,ঠিকনা ৰেখা
पत्ता मॅपिंग,ঠিকনা মেপিং
पत्ता सूचक,ঠিকনা সূচক
पत्ता नोंदवही,ঠিকনা পঞ্জীয়ন
पत्ता ब्रेकडाउन,ঠিকনা ভাঙি যোৱা
पत्ता अनुवाद,ঠিকনা অনুবাদ
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
संबोधित,সম্বোধন কৰা
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
संलग्नक,সংলগ্ন কৰা হৈছে
"1. व्यवस्थापन, 2. नियंत्रण","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. व्यवस्थापक, 2. नियंत्रक","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
adobe acrobat,এডোব এক্ৰ&#39;বেট
अडोब फोटोशाॅप,এডোব ফটোশ্বপ
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. উন্নত তথ্য, 2. উন্নত তথ্য"
प्रगत माहिती प्रणाली,উন্নত তথ্য ব্যৱস্থা
प्रगत तंत्रज्ञान (AT),উন্নত প্ৰযুক্তি (AT)
क्रिया,কাৰ্য কৰা
एकत्रीकरण,একত্ৰীকৰণ
एअरबोर्न संगणक प्रणाली,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus page-make,aldus পৃষ্ঠা-নিৰ্মাণ
अलर्ट बॉक्स,সতৰ্কবাণী বাকচ
अल्गोल (संगणक भाषा),algol (কম্পিউটাৰ ভাষা)
"1. अल्गोरिदम, 2. अल्गोरिदम","1. এলগৰিদম, 2. এলগৰিদম"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
अल्गोरिदम कार्यक्षमता,এলগৰিদম দক্ষতা
"1. इलियास, 2. टोपणनाव, 3. उर्फ","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
संरेखन,প্ৰান্তিককৰণ
"1. वाटप, 2. वाटप","১.আবণ্টন, ২. আবণ্টন"
"1. वर्णमाला, 2. अक्षर क्रमानुसार","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
अल्फान्यूमेरिक,আলফানিউমেৰিক
"1. अल्फान्यूमेरिक कीबोर्ड ,2. अल्फान्यूमेरिक कीबोर्ड","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
अल्फा-चाचणी (पहिली स्तर चाचणी),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
alt की,alt কি&#39;
altavista,আলতাভিস্তা
बहुविधता,বহুগুণতা
अस्पष्ट व्याकरण,অস্পষ্ট ব্যাকৰণ
अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
अमेरिकन स्टँडर्ड कट (ascii),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. समानार्थी, 2. अॅनालॉग","1. অনুৰূপ, ২. এনালগ"
"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
