Odiya,Gujarati
ଏସିଡଏଡ୍ |,એસિડોઇડ
ଆଓଲିୟାନ୍ ମାଟି |,એઓલિયન માટી
ସମୁଦାୟ,એકંદર
ଏକୀକରଣ,એકત્રીકરણ
ଏଗ୍ରୋଲୋଜି,કૃષિશાસ્ત્ર
କୃଷି,કૃષિવિજ્ઞાન
ଏକ ରାଶି,A-ક્ષિતિજ
ଆଓ-ରାଶି,Ao-ક્ષિતિજ
ଆଓ-ରାଶି |,Aoo-ક્ષિતિજ
ମାଟିର ବାୟୁ କ୍ଷମତା |,માટીની હવા ક્ષમતા
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,જમીનની હવાની સામગ્રી
ବାୟୁ ପିକନୋମିଟର |,એર પિકનોમીટર
ଆଲିଟିକ୍ ମାଟି |,એલિટિક માટી
ଆଲୁଭିଆଲ୍ ମାଟି |,કાંપવાળી માટી
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,એમ્ફોલિટોઇડ
ଆନିଅନ୍ |,આયન
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
ଆରିସ୍,એરિસ
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,Ashlar દંડ ચણતર
ଆଶଲାର୍ ରାଜକନିକା |,Ashlar ચણતર
ଆଜୋନାଲ ମାଟି |,એઝોનલ માટી
ପଛ ଆକ୍ଟର୍ |,પાછળનો અભિનેતા
ପଛ ଆର୍କ,પાછળની કમાન
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,બેક બેન્ડ
ପଛ ବ୍ରଶ୍ |,પાછળ બ્રશ
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,બેક ચેક
ପଛ କାଉଣ୍ଟର |,બેક કાઉન્ટર
ପଛ କାଟିବା |,પાછળ કટીંગ
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,બેક ડ્રાફ્ટ ડેમ્પર
ପଛ ଡ୍ରେନ୍ |,બેક ડ્રેઇન
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,બેક ડ્રોપ
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,પાછળ ભરો
ପଛ ଫିଲେଟ୍ |,બેક ફીલેટ
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,બેક ફ્લૅપ મિજાગરું
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,બેક ફ્લો કનેક્શન
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,બેક ફ્લો નિવારક
ବ୍ୟାକ୍ ଗେଜ୍ |,બેક ગેજ
ପଛ ଗୁଟର୍ |,પાછળ ગટર
ପଛ ଚୁଲି,બેક હર્થ
ସମର୍ଥନ,બેકિંગ
ବ୍ୟାକିଂ ବୋର୍ଡ |,બેકિંગ બોર્ડ
ପଛ ଚାପ |,પાછળ ધકેલાતું દબાણ
ପଛ ପ୍ରପ,બેક પ્રોપ
ପଛ ଦୃଶ୍ୟ |,પાછળની દૃષ્ટિ
ପଛ ପାଣି |,પાછું પાણી
ବାଫଲ୍ |,બેફલ
ବ୍ୟାଗୱାର୍କ |,બેગવર્ક
ବାଲାଷ୍ଟ,બેલાસ્ટ
ବଲ୍ ମାଟି |,બોલ માટી
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,બોલ શંકુ ક્લેમ્બ
କଣ୍ଟା ତାର,કાંટાળો તાર
ବାର୍ କୁକୁର |,બાર કૂતરો
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,બાર્જ બોર્ડ
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,બેરિયમ સલ્ફેટ ટેસ્ટ
ବ୍ୟାରେଜ୍,બેરેજ
ବାରେଟ୍ |,બેરેટ
ଆଧାର,પાયો
ଆଧାର ବିନିମୟ |,આધાર વિનિમય
ଆଧାର ରେଖା |,બેઝ લાઇન
ବେସମେଣ୍ଟ୍ |,ભોંયરું
ବେସମେଣ୍ଟ କାନ୍ଥ |,ભોંયરું દિવાલ
ବେସ୍ ପ୍ଲେଟ୍ |,બેઝ પ્લેટ
"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |","બેઝ પ્લેટ, એડજસ્ટેબલ"
ମୂଳ ପରିପୃଷ୍ଠା |,આધાર સંતૃપ્તિ
ବାସୋଏଡ୍ |,બેસોઇડ
ବ୍ୟାଟ୍,બેટ
ସ୍ନାନ ଏବଂ WC,સ્નાન અને WC
ବାଟା ପେଗ୍ |,સખત મારપીટ
ବାଟା ପାଇର୍ |,સખત મારપીટ પિયર
ବ୍ୟାଟର ନିୟମ |,સખત મારપીટનો નિયમ
ବାଲ୍କ (ବାଲ୍କ),બૉલ્ક (બાલ્ક)
ବାଇ,ખાડી
ଧାରକ,ધારક
ବହନ କରିବାର କ୍ଷମତା |,બેરિંગ ક્ષમતા
ଗଦା ବହନ କରିବା |,બેરિંગ ખૂંટો
ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |,બેરિંગ સ્ટ્રેટમ
ଶଯ୍ୟା,પથારી
ବିଛଣା ବିମାନ |,પથારીનું વિમાન
ଶଯ୍ୟା ଗଣ୍ଠି |,બેડ સંયુક્ત
ବେଡ୍ ପଥର |,બેડ રોક
ବେଡ୍ ରୁମ୍ |,બેડ રૂમ
ମହୁମାଛି,મીણ
ବେଲ୍ ବାକ୍ସ |,બેલ બોક્સ
ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |,બેલિંગ ડોલ
ବେଲୋଫ୍ରାମ୍ |,બેલોફ્રેમ
ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |,બેન્ચ્ડ ફાઉન્ડેશન
ବେଞ୍ଚିଂ,બેન્ચિંગ
ବେଞ୍ଚ ମାର୍କ |,બેન્ચ માર્ક
ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,લાભ ખર્ચ વિશ્લેષણ
ବରମ,બેર્મ
ବେଭେଲଡ୍ ବନ୍ଦ |,બેવેલ્ડ બંધ
"ବି-ରାଶି, &quot;B-","B-ક્ષિતિજ,&quot;B-"
ବିଟ୍ |,બાયટ
ବାଇଣ୍ଡର୍ |,બાઈન્ડર
ବାନ୍ଧିବା ସାମଗ୍ରୀ |,બંધનકર્તા સામગ્રી
ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |,બાયોટનો સિદ્ધાંત
ବିଟୁମେନ |,બીટુમેન
କଳା ସୂତା ମାଟି |,કાળી કપાસની માટી
କଳା ପୃଥିବୀ |,કાળી પૃથ્વી
କଳା ଟର୍ଫ ମାଟି |,કાળી જડિયાંવાળી જમીન
ବ୍ଲେଡ୍ |,બ્લેડ
ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
ଅବରୋଧ ସଂରଚନା |,બ્લોકી માળખું
ବଗି ପ୍ରତିରୋଧ |,બોગી પ્રતિકાર
ବଗ୍-ଲୁହାପଥର |,બોગ-આયર્ન ઓર
ବନ୍ଧ,બોન્ડ
ବନ୍ଧିତ ସଦସ୍ୟ |,બંધાયેલા સભ્ય
ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
ବନ୍ଧ ପଥର |,બોન્ડ પથ્થર
ସୀମା ଜଳ |,બંધાયેલ પાણી
ବାକ୍ସ ଗୁଟର୍ |,બોક્સ ગટર
ବନ୍ଧନୀ,તાણવું
ଇଟା-ଧାର,ઈંટ પર ધાર
ବ୍ରିଡଲ୍ |,બ્રિડલ
ଉଜ୍ଜ୍ୱଳତା |,તેજ
ବାଦାମୀ ମାଟି |,બ્રાઉન માટી
ବିଲଡିଂ,બિલ્ડીંગ
ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |,બિલ્ડીંગ સર્વેયર
ବଫର୍ |,બફર
ବଫର୍ ବକ୍ର,બફર વળાંક
ବଫରିଂ |,બફરિંગ
ବଫରିଂ କ୍ଷମତା |,બફરિંગ ક્ષમતા
ବଣ୍ଡର୍ |,બંદર
ଦୁର୍ଗ,બટ્રેસ
ସି-ରାଶି,સી-ક્ષિતિજ
କେବୁଲ୍ |,કેબલ
କେବୁଲ୍ ମୋଲିଡିଂ |,કેબલ મોલ્ડિંગ
କ୍ୟାବଲିଂ |,કેબલિંગ
କ୍ୟାବିନ,કેબિન
