Bengali,Hindi
আবেলি গ্রুপ,आबेली समूह
আবেলি গ্রুপ,आबेली सामिसमूह
হাত,भुज
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","निरपेक्ष, परम, अचर, परिशुद्‌ध"
পরম মিলন,निरपेक्ष अभिसरण
পরম ত্রুটি,निरपेक्ष त्रुटि
সর্বোচ্চ সর্বোচ্চ,परम उच्चिष्ठ
পরম সর্বনিম্ন,परम निम्निष्ठ
পরম মান,निरपेक्ष मान
পরম বেগ,निरपेक्ष वेग
বিমূর্ত বীজগণিত,अमूर्त बीजगणित
বিমূর্ত গ্রুপ তত্ত্ব,अमूर्त समूह सिद्‌धांत
ত্বরণ,त्वरण
মহাকর্ষীয় ত্বরণ,गुरुत्वीय त्वरण
গ্রহণযোগ্য নির্বাচক,स्वीकार्य वरण-समुच्चय
গ্রহণযোগ্য মানের স্তর,स्वीकार्य गुणता स्तर
গ্রহণযোগ্য প্রাঙ্গনে,स्वीकार्य परिसर
বৈধ নির্ভরযোগ্যতা স্তর,मान्य विश्वसनीयता स्तर
গ্রহণযোগ্যতা নমুনা,स्वीकरण-प्रतिचयन
সঞ্চিত ত্রুটি,संचित त्रुटि
সঠিকতা,यथार्थता
প্রযুক্ত বল,लगा हुआ बल
"কর্ম, কাজ","क्रिया, कर्म"
কর্ম এবং প্রতিক্রিয়া,क्रिया और प्रतिक्रिया
বীমা বিজ্ঞান,बीमा विज्ञान
তীব্র ত্রিভুজ,न्यूनकोण त्रिभुज
অ্যাসাইক্লিক,अचक्रीय
যোগফল,"योग करना, जोड़ना"
যোগকারী,योजक
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
যোগের সূত্র,योग का सूत्र
জটিল সংখ্যার যোগফল,सम्मिश्र संख्याओं का योग
ফাংশনের যোগফল,फलनों का योग
ম্যাট্রিক্সের যোগফল,आव्यूहों का योग
বহুপদীর সমষ্টি,बहुपदों का योग
সম্ভাবনার যোগফল,प्रायिकताओं का योग
ভেক্টরের সমষ্টি,सदिशों का योग
"যোগ উপপাদ্য, বেরি তত্ত্ব,",योग प्रमेय बेरीज सिद्‌धांत
সংযোজনকারী গ্রুপ,योज्य समूह
সংযোজন বিপরীত,योज्य व्युत्क्रम
যোগযোগ্যতা,"योज्यता, योगशीलता"
যোগযোগ্যতা,योज्यता
অন্তিক ম্যাট্রিক্স,आसन्नता आव्यूह
"সংলগ্ন, সংলগ্ন, সংলগ্ন","संलग्न, निकटवर्ती, आसन्न"
সংলগ্ন কোণ,आसन्न कोण
সংলগ্ন শীর্ষবিন্দু,आसन्न शीर्ष
যুক্ত করা,सहबद्‌ध करना
"সংযুক্ত ঘের,",संलग्न संलग्नीत
সাধারণ নির্ধারক,सहखंडज सारणिक
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,संलग्न अवकल समीकरण
সংযুক্ত সমীকরণ,संलग्न समीकरण
সমগোত্রীয় ম্যাট্রিক্স,सहखंडज आव्यूह
ম্যাট্রিক্স সমন্বয়,आव्यूह सहखंडज
সমগোত্রীয় ম্যাট্রিক্স,सहखंडज आव्यूह
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ग्राह्य निर्णय फलन
গ্রহণযোগ্য অনুমান,ग्राह्य परिकल्पना
এরোডাইনামিক বল,वायुगतिक बल
বায়ুগতিবিদ্যা,वायु गतिकी
সমজাতীয় জ্যামিতি,सजातीय ज्यामिति
সমজাতীয় ম্যাপিং,सजातीय प्रतिचित्रण
একজাতীয় রূপান্তর,सजातीय रूपांतरण
সামগ্রিক পরিবর্তনশীল,समुच्चयी चर
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"seedy বন্ধ, বীজাণু","बीजतः संवृत, बीजतः"
বীজগণিত সমীকরণ,बीजीय समीकरण
বীজগাণিতিক এক্সপ্রেশন,बीजीय व्यंजक
বীজগণিতের একজাতীয়তা,बीजीय समघात
বীজগণিতের ফাংশন,बीजीय फलन
বীজগণিত জ্যামিতি,बीजीय ज्यामिति
বীজগণিত বহুত্ব,बीजीय बहुकता
বীজগণিত ব্যবস্থা,बीजीय निकाय
সমস্ত পূর্ণসংখ্যা সমস্যা,सर्व-पूर्णांक समस्या
"অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন,",नियतन समस्या वाटपप्रश्न
বর্ণানুক্রমিক স্বরলিপি,अक्षरात्मक संकेत पद्‌धति
বর্ণানুক্রমিক অক্ষর,अक्षरात्मक संप्रतीक
বিকল্প কোণ,एकांतर कोण
"বিকল্প সমজাতীয় বিকল্প ফর্ম,",एकांतर समघात प्रत्यावर्ती रूप
বিকল্প গোষ্ঠী,एकांतर समूह
বিকল্প ম্যাট্রিক্স,एकांतर आव्यूह
বিকল্প সিরিজ,एकांतर श्रेणी
বিকল্প অনুমান,वैकल्पिक परिकल्पना
বিকল্প সর্বোত্তম,वैकल्पिक इष्टमत
বিকল্প ফলাফল,वैकल्पिक परिणाम
এনালগ-ডিজিট কনভার্টার,अनुरूप-अंकीय परिवर्तक
"এনালগ কম্পিউটার,",अनुरूप कम्प्यूटर
বিশ্লেষণ,विश्लेषण
সহভক্তি বিশ্লেষণ,सहप्रसरण-विश्लेषण
গণনা-ডেটা বিশ্লেষণ,गणन-आंकड़ों का विश्लेषण
বৈচিত্র্য বিশ্লেষণ,प्रसरण-विश्लेषण
