Gujarati,Tamil
"1.એબેકસ, 2. ગણતરી","1.அபாகஸ், 2. எண்ணும்"
અસામાન્ય અંત,அசாதாரண முடிவு
ઇન્ટરસેપ્ટ,இடைமறிக்கவும்
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. முழுமையான, 2. உச்சம்"
સંપૂર્ણ સરનામું,முழுமையான முகவரி
સંપૂર્ણ સંબોધનક્ષમતા,முழுமையான முகவரித்திறன்
સંપૂર્ણ એસેમ્બલર,முழுமையான அசெம்பிளர்
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
સંપૂર્ણ આદેશ,முழுமையான கட்டளை
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
સંપૂર્ણ સૂચના,முழுமையான அறிவுறுத்தல்
સંપૂર્ણ મોડ,முழுமையான பயன்முறை
સંપૂર્ણ માર્ગ,முழுமையான பாதை
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
અમૂર્ત વર્ગ,சுருக்க வர்க்கம்
અમૂર્ત ડેટા પ્રકાર,சுருக்க தரவு வகை
અમૂર્ત મશીન,சுருக்க இயந்திரம்
અમૂર્ત પ્રતીક,சுருக்க சின்னம்
અમૂર્ત વાક્યરચના,சுருக்க தொடரியல்
સ્વીકૃતિ કસોટી,ஏற்பு சோதனை
પ્રવેશ પ્રમાણપત્ર,அணுகல் சான்றிதழ்
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
વપરાશ નિયંત્રણ,நுழைவு கட்டுப்பாடு
ઍક્સેસ સ્કેનિંગ,அணுகல் ஸ்கேனிங்
એસેસરીઝ,பாகங்கள்
નામું,கணக்கியல்
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
સંચયક,திரட்டி
"1. ચોકસાઈ, 2. ચોકસાઈ","1. துல்லியம், 2. துல்லியம்"
ઍક્સેસ,அணுகல்
