Bengali,Odiya
ওয়েস্টমিনস্টারের অ্যাবে,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
বর্জনীয়,ଅବକ୍ଷୟ
দাসত্বের সমাপ্তি,ଦାସତ୍ୱ ରଦ୍ଦ
আদিবাসী,ଆଦିବାସୀ
আব্রাহাম যুগ,ଅବ୍ରହାମ ଏରା
অনুপস্থিত জমির মালিক,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
একাডেমী,ଏକାଡେମୀ |
আকরা সম্মেলন,ଆକ୍ରା ସମ୍ମିଳନୀ |
সঞ্চয়,ଆକ୍ରୁଏଲ୍ |
সংগ্রহ,ଆକଲଚ୍ୟୁଚର୍
অ্যাসেলডামা,ଆକେଲଡାମା |
আচিয়ান (=আচিয়ান),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
আচিয়ান লীগ (=আচিয়ান লীগ),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
অ্যাক্রোপলিস,ଆକ୍ରୋପଲିସ୍ |
Acta Diurna,ଆକ୍ଟା ଡିଆର୍ନା |
Acta Senatus,ଆକ୍ଟା ସେନାଟସ୍ |
অ্যাক্ট অ্যাডিশনেল,ଆକ୍ଟ ଆଡେଲ୍ |
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
প্রাপ্তির কাজ,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
ক্ষতিপূরণ এবং বিস্মৃতির আইন,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
নিষ্পত্তির আইন,ସମାଧାନ ନିୟମ
বিজ্ঞাপন চুক্তি সীল,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
আদুল্লামাইটস,ଆଡୁଲାମାଇଟ୍ସ |
প্রতিপক্ষ,ଶତ୍ରୁ
প্রতিপক্ষ,ଶତ୍ରୁ
Aeon,ଆଓନ୍
এরারিয়াম,ଏରାରିୟମ୍ |
বায়বীয় যুদ্ধ,ବାୟୁ ଯୁଦ୍ଧ |
এটোলিয়ান লীগ,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
বয়স,ବୟସ
বার্ধক্য (=বার্ধক্য),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
বার্ধক্য প্রক্রিয়া,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
এগেলাই,ଆଗେଲାଇ |
বীরত্বের বয়স,Ival ିଭାଲିର ବୟସ |
এনলাইটমেন্টের বয়স,ଜ୍ଞାନର ବୟସ |
পেরিক্লেসের বয়স,ପେରିକଲ୍ସର ବୟସ |
কারণ বয়স,କାରଣର ବୟସ |
কৃষিবাদ,କୃଷିବାଦ
কৃষি আন্দোলন,କୃଷି ଆନ୍ଦୋଳନ |
অ্যালবিয়ন,ଆଲବିଅନ୍ |
অ্যালবাম,ଆଲବମ୍
অল্ডারম্যান,ଆଲଡରମ୍ୟାନ୍ |
লোভনীয় অস্ত্র,ଭ୍ରାନ୍ତ ବାହୁ |
বন্ধুত্ব,ବନ୍ଧୁତା
অ্যাম্ফিক্টোনিক কাউন্সিল,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
Amphictyonic লীগ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
