Kannada,Punjabi
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
ಅಸಹಜ ಅಂತ್ಯ,ਅਸਧਾਰਨ ਅੰਤ
ತಡೆಹಿಡಿಯಿರಿ,ਰੁਕਾਵਟ
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ਪੂਰਾ ਪਤਾ
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,ਪੂਰਨ ਹੁਕਮ
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,ਪੂਰਨ ਹਦਾਇਤ
ಸಂಪೂರ್ಣ ಮೋಡ್,ਪੂਰਨ ਮੋਡ
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,ਪੂਰਨ ਮਾਰਗ
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
ಅಮೂರ್ತ ವರ್ಗ,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
ಅಮೂರ್ತ ಯಂತ್ರ,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
ಅಮೂರ್ತ ಚಿಹ್ನೆ,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,ਸੰਖੇਪ ਸੰਟੈਕਸ
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,ਪਹੁੰਚ ਕੰਟਰੋਲ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,ਐਕਸੈਸ ਸਕੈਨਿੰਗ
ಬಿಡಿಭಾಗಗಳು,ਸਹਾਇਕ ਉਪਕਰਣ
ಲೆಕ್ಕಪತ್ರ,ਲੇਖਾਕਾਰੀ
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ"
ಸಂಚಯಕ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ"
ಪ್ರವೇಶ,ਪਹੁੰਚ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ
ಪ್ರವೇಶ ಸೂಚಕ,ਪਹੁੰਚ ਸੂਚਕ
ಪ್ರವೇಶ ಕೀ,ਪਹੁੰਚ ਕੁੰਜੀ
