Hindi,Assamese
"1.एबेकस ,2. गिनतारा",abacus
असामान्य समापन,অস্বাভাৱিক সমাপ্তি
अवरोधन,abort
"1. निरपेक्ष ,2. परम",নিৰপেক্ষ
निरपेक्ष पता,নিৰপেক্ষ ঠিকনা
निरपेक्ष पताभिगमन,নিৰপেক্ষ সম্বোধন
निरपेक्ष कोडांतरक,নিৰপেক্ষ এছেম্বলাৰ
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",নিৰপেক্ষ ক&#39;ড
निरपेक्ष समादेश,নিৰপেক্ষ আদেশ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",নিৰপেক্ষ তথ্য
निरपेक्ष अनुदेश,নিৰপেক্ষ নিৰ্দেশনা
निरपेक्ष विधा,নিৰপেক্ষ ধৰণ
निरपेक्ष पथ,নিৰপেক্ষ পথ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",নিৰপেক্ষ প্ৰগ্ৰেমিং
अमूर्त वर्ग,বিমূৰ্ত শ্ৰেণী
अमूर्त आंकड़ा प्रकार,বিমূৰ্ত তথ্যৰ ধৰণ
अमूर्त मशीन,বিমূৰ্ত মেচিন
अमूर्त प्रतीक,বিমূৰ্ত চিহ্ন
अमूर्त वाक्य विन्यास,বিমূৰ্ত বাক্যবিন্যাস
स्वीकृति परीक्षण,গ্ৰহণযোগ্যতা পৰীক্ষা
अभिगम प्रमाणन,প্ৰৱেশ প্ৰমাণীকৰণ
"1. अभिगम कूट ,2. अभिगम कोड",প্ৰৱেশ ক&#39;ড
अभिगम नियंत्रण,প্ৰৱেশ নিয়ন্ত্ৰণ
अभिगम क्रमवीक्षण,এক্সেছ স্কেন
सहयंत्र,আনুষংগিক বস্তু
लेखा,একাউণ্ট
"1. एकाउंट आई डी ,2. लेखा पहचान",একাউণ্ট আইডি
संचायक,এক্যুলেটৰ
"1. विशुद्धता ,2. यर्थाथता",শুদ্ধতা
अभिगम,acess
अभिगम नियंत्रण बाइट,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
अभिगम सूचक,acess index
अभिगम कुंजी,acess key
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",acess মেট্ৰিক্স
अभिगम विधा,প্ৰৱেশ ধৰণ
अभिगम विशेषाधिकार,acess বিশেষাধিকাৰ
अभिगम सुरक्षा,acess security
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",এচেছ চাৰ্ভাৰ
अभिगम काल,acess সময়
अभिस्वीकृति,স্বীকৃতি
ध्वनिकी,শব্দবিজ্ঞান
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",সংক্ষিপ্ত ৰূপ
क्रिया संदेश,কাৰ্য্য বাৰ্তা
सक्रियण,সক্ৰিয়কৰণ
सक्रिय सर्वर पृष्ठ,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
सक्रिय वर्जन,সক্ৰিয় সংস্কৰণ
अचक्रीय,অচক্ৰীয়
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",অচক্ৰীয় গ্ৰাফ
एडा कंप्यूटर भाषा,আদা ভাষা
"1. अनुकूलक ,2. अनुकूलित्र",এডাপ্টাৰ
योग (करना),যোগ কৰা
योग संचिका,ফাইল যোগ কৰক
"1. जोड़ संक्रिया ,2. योग संक्रिया",অপাৰেচন যোগ কৰক
योजक,adder
पता,ঠিকনা
पता बस,ঠিকনা বাছ
पता संचिका,ঠিকনা নথিপত্ৰ
पता आरूप,ঠিকনা বিন্যাস
पता जनक,ঠিকনা উৎপাদক
पता पंक्ति,ঠিকনা ৰেখা
पता प्रतिचित्रण,ঠিকনা মেপিং
पता संकेतक,ঠিকনা পইণ্টাৰ
पता पंजी,ঠিকনা পঞ্জীয়ন
पता विघटन,ঠিকনা সমাধান
पता अनुवाद,ঠিকনা অনুবাদ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",ঠিকনাযুক্ত মেমৰি
पताभिगमन,সম্বোধন কৰা
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",পৰ্যাপ্ততাৰ মাপকাঠী
संलग्न,সংযুক্ত
"1. प्रबंधन ,2. नियंत्रण",প্ৰশাসন
"1. प्रबंधक ,2. नियंत्रक",প্ৰশাসক
ऐडोब एक्रोबेट,এডোব এক্ৰ&#39;বেট
ऐडोब फोटोशोप,এডোব ফটোশ্বপ
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा",উন্নত তথ্য
उन्नत सूचना तंत्र,উন্নত তথ্য ব্যৱস্থা
उन्नत प्रौद्योगिकी (ए टी),উন্নত প্ৰযুক্তি (AT)
कर्मक,এজেণ্ট
समुच्चयन,একত্ৰীকৰণ
विमानवाहित कंप्यूटर तंत्र,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
एल्डस पेज-मेक,aldus পৃষ্ঠা নিৰ্মাতা
सचेत पेटी,সতৰ্কবাণী বাকচ
ऐल्गॉल (कंप्यूटर भाषा),এলগোল
"1.  एल्गोरिथ्म ,2. कलन विधि",এলগৰিদম
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण",এলগৰিদম বিশ্লেষণ
एल्गोरिथ्म दक्षता,এলগৰিদম দক্ষতা
"1. एलिआस ,2. उपनाम ,3. उर्फ",alias
संरेखण,প্ৰান্তিককৰণ
"1. आवंटन ,2. नियतन",আবণ্টন
"1.अक्षरात्मक ,2. वर्णानुक्रम",বৰ্ণানুক্ৰমিক
अक्षरांकीय,আলফানিউমেৰিক
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड",আলফানিউমেৰিক কি বৰ্ড
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),আলফা-পৰীক্ষা
"1. अल्फा वर्जन ,2. अल्फा रूप",আলফা-সংস্কৰণ
आल्ट कुंजी,alt কি&#39;
आल्टाविस्टा,আলতাভিস্তা
अनेकार्थकता,অস্পষ্টতা
संदिग्ध व्याकरण,অস্পষ্ট ব্যাকৰণ
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
अमेरिकी मानक कट (आस्की),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
"1. अनुरुप ,2. एनालॉग",এনালগ
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर",এনালগ কম্পিউটাৰ
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस",এনালগ ডিভাইচ
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम",এনালগ মডেম
अनुरुप से अंकीय रुपांतरक,এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),আৰু
एंड परिपथ,AND বৰ্তনী
एंड गेट और द्वार,AND গেট
एंड नॉट संक्रिया (अपवर्जन),AND অপাৰেচন নহয় (বৰ্জন)
"1. एनीमेशन, 2.  सजीवन",এনিমেচন
टिप्पण,টীকাকৰণ
असंगता,বিজুতি
पूर्ववर्ती,পূৰ্বসূৰী
प्रत्याशामूलक पृष्ठन,প্ৰত্যাশিত পেজিং
प्रति-सममित,এন্টি-চিমেট্ৰিক
विषाणुरोधी क्रमादेश,এন্টিভাইৰাছ প্ৰগ্ৰেম
"1. एपलेट ,2. अनुप्रयोगिका",applet
अनुप्रयोग विकासक,এপ্লিকেচন ডেভেলপাৰ
अनुप्रयोग प्रोग्रामन,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)",এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
अनुप्रयोग सॉफ्टवेयर,এপ্লিকেচন চফ্টৱেৰ
अनुप्रयोगी भाषा,প্ৰয়োগমূলক ভাষা
सन्निकटण सिद्धांत,আনুমানিক তত্ত্ব
संरचना,স্থাপত্য
क्षेत्र अंतरण,এলেকা হস্তান্তৰ
"1. प्राचर,स्वतंत्रचर, 2. कोणांक",তৰ্কাতৰ্কি
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई",গাণিতিক আৰু যুক্তিৰ একক
अंकगणितीय जांच,গাণিতিক পৰীক্ষা
अंकगणितीय अचर,গাণিতিক ধ্ৰুৱক
अंकगणितीय आंकडा,গাণিতিক তথ্য
अंकगणितीय अनुदेश,গাণিতিক নিৰ্দেশনা
गणितीय एवं तार्किक इकाई (ए. एल. यू.),গাণিতিক আৰু যুক্তি একক (ALU)
ए आर पी ए नेट (आरपानेट),ARPANET
सरणी,এৰে
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति",এৰে কেচ
सरणी कंप्यूटर,এৰে কম্পিউটাৰ
सरणी अवयव,এৰে উপাদান
सरणी नाम,এৰেৰ নাম
सरणी प्रकर्मक,এৰে প্ৰচেছৰ
एरो कुंजी,কাঁড় চিহ্নসমূহ
संधि,আৰ্টিকুলেচন
संधि बिन्दु,আৰ্টিকুলেচন পইণ্ট
कृत्रिम संहनन,কৃত্ৰিম সংকোচন
