Hindi,Gujarati
आबेली समूह,અબેલી જૂથ
आबेली सामिसमूह,અબેલી જૂથ
भुज,હાથ
"निरपेक्ष, परम, अचर, परिशुद्‌ध","નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
निरपेक्ष अभिसरण,સંપૂર્ણ સંકલન
निरपेक्ष त्रुटि,સંપૂર્ણ ભૂલ
परम उच्चिष्ठ,સર્વોચ્ચ સર્વોચ્ચ
परम निम्निष्ठ,એકદમ નીચું
निरपेक्ष मान,સંપૂર્ણ મૂલ્ય
निरपेक्ष वेग,સંપૂર્ણ વેગ
अमूर्त बीजगणित,અમૂર્ત બીજગણિત
अमूर्त समूह सिद्‌धांत,અમૂર્ત જૂથ સિદ્ધાંત
त्वरण,પ્રવેગ
गुरुत्वीय त्वरण,ગુરુત્વાકર્ષણ પ્રવેગક
स्वीकार्य वरण-समुच्चय,સ્વીકાર્ય પસંદગીકાર
स्वीकार्य गुणता स्तर,સ્વીકાર્ય ગુણવત્તા સ્તર
स्वीकार्य परिसर,સ્વીકાર્ય જગ્યા
मान्य विश्वसनीयता स्तर,માન્ય વિશ્વસનીયતા સ્તર
स्वीकरण-प्रतिचयन,સ્વીકૃતિ નમૂના
संचित त्रुटि,સંચિત ભૂલ
यथार्थता,ચોકસાઈ
लगा हुआ बल,બળ લાગુ કર્યું
" क्रिया , कर्म","ક્રિયા, ખત"
क्रिया और प्रतिक्रिया,ક્રિયા અને પ્રતિક્રિયા
बीमा विज्ञान,વીમા વિજ્ઞાન
न्यूनकोण त्रिभुज,તીવ્ર ત્રિકોણ
अचक्रीय,એસાયક્લિક
"योग करना, जोड़ना",સારાંશ માટે
योजक,ઉમેરનાર
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
योग का सूत्र,યોગનું સૂત્ર
सम्मिश्र संख्याओं का योग,જટિલ સંખ્યાઓનો સરવાળો
फलनों का योग,કાર્યોનો સરવાળો
आव्यूहों का योग,મેટ્રિસિસનો સરવાળો
बहुपदों का योग,બહુપદીનો સરવાળો
प्रायिकताओं का योग,સંભાવનાઓનો સરવાળો
सदिशों का योग,વેક્ટરનો સરવાળો
"योग प्रमेय बेरीज सिद्‌धांत,","સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
योज्य समूह,ઉમેરણ જૂથ
योज्य व्युत्क्रम,ઉમેરણ વ્યસ્ત
"योज्यता, योगशीलता",ઉમેરણ
योज्यता,ઉમેરણ
आसन्नता आव्यूह,સંલગ્નતા મેટ્રિક્સ
" संलग्न, निकटवर्ती , आसन्न","અડીને, અડીને, અડીને"
आसन्न कोण,અડીને કોણ
आसन्न शीर्ष,અડીને શિરોબિંદુ
सहबद्‌ध करना,સાંકળવું
"संलग्न संलग्नीत,",જોડાયેલ બંધ
सहखंडज सारणिक,સામાન્ય નિર્ણાયક
संलग्न अवकल समीकरण,જોડાયેલ વિભેદક સમીકરણ
संलग्न समीकरण,જોડાયેલ સમીકરણ
सहखंडज आव्यूह,કોહોમોજીનીયસ મેટ્રિક્સ
आव्यूह सहखंडज,મેટ્રિક્સ સહપ્રવૃત્તિ
सहखंडज आव्यूह,કોહોમોજીનીયસ મેટ્રિક્સ
ग्राह्य निर्णय फलन,સ્વીકાર્ય નિર્ણય કાર્ય
ग्राह्य परिकल्पना,સ્વીકાર્ય પૂર્વધારણા
वायुगतिक बल,એરોડાયનેમિક બળ
वायु गतिकी,એરોડાયનેમિક્સ
सजातीय ज्यामिति,સજાતીય ભૂમિતિ
सजातीय प्रतिचित्रण,સજાતીય મેપિંગ
सजातीय रूपांतरण,સજાતીય પરિવર્તન
समुच्चयी चर,એકંદર ચલ
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"बीजतः संवृत, बीजतः","સીડી બંધ, બીજરૂપે"
बीजीय समीकरण,બીજગણિતીય સમીકરણ
बीजीय व्यंजक,બીજગણિતીય અભિવ્યક્તિ
बीजीय समघात,બીજગણિત એકરૂપતા
बीजीय फलन,બીજગણિત કાર્ય
बीजीय ज्यामिति,બીજગણિત ભૂમિતિ
बीजीय बहुकता,બીજગણિત બહુમતી
बीजीय निकाय,બીજગણિત સિસ્ટમ
सर्व-पूर्णांक समस्या,તમામ પૂર્ણાંક સમસ્યા
"नियतन समस्या वाटपप्रश्न,",સોંપણી સમસ્યા વોટ પ્રશ્ન
अक्षरात्मक संकेत पद्‌धति,આલ્ફાબેટીકલ નોટેશન
अक्षरात्मक संप्रतीक,આલ્ફાબેટીક અક્ષર
एकांतर कोण,વૈકલ્પિક ખૂણા
"एकांतर समघात प्रत्यावर्ती रूप,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
एकांतर समूह,વૈકલ્પિક જૂથ
एकांतर आव्यूह,વૈકલ્પિક મેટ્રિક્સ
एकांतर श्रेणी,વૈકલ્પિક શ્રેણી
वैकल्पिक परिकल्पना,વૈકલ્પિક પૂર્વધારણા
वैकल्पिक इष्टमत,વૈકલ્પિક શ્રેષ્ઠ
वैकल्पिक परिणाम,વૈકલ્પિક પરિણામ
अनुरूप-अंकीय परिवर्तक,એનાલોગ-અંક કન્વર્ટર
"अनुरूप कम्प्यूटर,",એનાલોગ કમ્પ્યુટર
विश्लेषण,વિશ્લેષણ
सहप्रसरण-विश्लेषण,સહપ્રવર્તન વિશ્લેષણ
गणन-आंकड़ों का विश्लेषण,ગણતરી-માહિતી વિશ્લેષણ
प्रसरण-विश्लेषण,વિચલન વિશ્લેષણ
विश्लेषिक ज्यामिति,વિશ્લેષણાત્મક ભૂમિતિ
विश्लेषिक फलन,વિશ્લેષણાત્મક કાર્ય
कोण,કોણ
स्पर्श-कोण,સ્પર્શકોણ
विक्षेप-कोण,વિચલન કોણ
अवनमन-कोण,હતાશા કોણ
विचलन-कोण,વિચલન કોણ
विवर्तन-कोण,વિવર્તન કોણ
उन्नयन-कोण,એલિવેશન એંગલ
आपतन-कोण,ઘટના કોણ
प्रक्षेप-कोण,પ્રક્ષેપણ કોણ
परावर्तन-कोण,પ્રતિબિંબ કોણ
अपवर्तन-कोण,રીફ્રેક્શન કોણ
घूर्णन-कोण,પરિભ્રમણ કોણ
पूर्ण परावर्तन-कोण,પ્રતિબિંબનો સંપૂર્ણ કોણ
कोणीय त्वरण,કોણીય પ્રવેગક
कोणीय गति,કોણીય વેગ
कोणीय चाल,કોણીય ઝડપ
कोणीय वेग,કોણીય વેગ
वलयिका,રિંગ આંગળી
उत्तर,જવાબ આપો
प्रति-अवकलज,પ્રતિ વ્યુત્પન્ન
प्रतिसममित फलन,આઇસોમેટ્રિક કાર્ય
"आच्छाद्य , अनु प्रयोज्य, लागू","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"अनुप्रयोग उपयोजन,",અરજી અરજી
अनुप्रयुक्त गतिशील प्रोग्रामन,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
अनुप्रयुक्त ज्यामिति,લાગુ ભૂમિતિ
अनुप्रयुक्त गणित,લાગુ ગણિત
अनुप्रयुक्त सांख्यिकी,લાગુ આંકડા
"सन्निकटतः, लगभग","લગભગ, લગભગ"
सन्निकटतः संतत फलन,લગભગ સતત કાર્ય
