Gujarati,Malayalam
અબેલી જૂથ,അബെലി ഗ്രൂപ്പ്
અબેલી જૂથ,അബെലി ഗ്രൂപ്പ്
હાથ,കൈ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
સંપૂર્ણ સંકલન,കേവലമായ ഒത്തുചേരൽ
સંપૂર્ણ ભૂલ,സമ്പൂർണ്ണ പിശക്
સર્વોચ્ચ સર્વોચ્ચ,പരമോന്നത പരമോന്നത
એકદમ નીચું,ഏറ്റവും താഴ്ന്നത്
સંપૂર્ણ મૂલ્ય,യഥാർത്ഥ മൂല്യം
સંપૂર્ણ વેગ,കേവല വേഗത
અમૂર્ત બીજગણિત,അമൂർത്ത ബീജഗണിതം
અમૂર્ત જૂથ સિદ્ધાંત,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
પ્રવેગ,ത്വരണം
ગુરુત્વાકર્ષણ પ્રવેગક,ഗുരുത്വാകർഷണ ത്വരണം
સ્વીકાર્ય પસંદગીકાર,സ്വീകാര്യമായ സെലക്ടർ
સ્વીકાર્ય ગુણવત્તા સ્તર,സ്വീകാര്യമായ നിലവാരം
સ્વીકાર્ય જગ્યા,സ്വീകാര്യമായ പരിസരം
માન્ય વિશ્વસનીયતા સ્તર,സാധുവായ വിശ്വാസ്യത നില
સ્વીકૃતિ નમૂના,സ്വീകാര്യത സാമ്പിൾ
સંચિત ભૂલ,സഞ്ചിത പിശക്
ચોકસાઈ,കൃത്യത
બળ લાગુ કર્યું,പ്രയോഗിച്ച ബലം
"ક્રિયા, ખત","പ്രവൃത്തി, പ്രവൃത്തി"
ક્રિયા અને પ્રતિક્રિયા,പ്രവർത്തനവും പ്രതികരണവും
વીમા વિજ્ઞાન,ഇൻഷുറൻസ് ശാസ്ത്രം
તીવ્ર ત્રિકોણ,നിശിത ത്രികോണം
એસાયક્લિક,അസൈക്ലിക്
સારાંશ માટે,സംഗ്രഹിക്കാനായി
ઉમેરનાર,ചേർക്കുന്നയാൾ
"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
યોગનું સૂત્ર,യോഗയുടെ ഫോർമുല
જટિલ સંખ્યાઓનો સરવાળો,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
કાર્યોનો સરવાળો,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
મેટ્રિસિસનો સરવાળો,മെട്രിക്സുകളുടെ ആകെത്തുക
