English,Marathi
A B amplifier,A B वर्ग अॅम्प्लीफायर
aberration,विकृती
abnormal propagation,असामान्य प्रसार
abrupt,"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
absent spectrum,गहाळ स्पेक्ट्रम
absolute,"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
absolute humidity,परिपूर्ण आर्द्रता
absolute motion,परिपूर्ण गती
absolute observation,परिपूर्ण निरीक्षण
absolute temperature,परिपूर्ण तापमान
absolute zero,पूर्ण शून्य
absorb,शोषून घेणे
absorber,"शोषक, शोषक"
absorbing power,शोषण क्षमता
absorptance,शोषण
absorptive,शोषक
absorptivity,शोषकता
abundance ratio,गुणोत्तर गुणोत्तर
accelerate,गती वाढवणे
accelerated,घाई केली
acceleration,प्रवेग
acceleration of gravity,गुरुत्वाकर्षणाचा प्रवेग
accelerative,प्रवेगक
accelerator,प्रवेगक
accelerometer,प्रवेगमापक
accentuator,prestresser
acceptance test,स्वीकार्य चाचणी
acceptor,स्वीकारणारा
acceptor molecule,दाता रेणू
access,"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
accessibility,प्रवेशयोग्यता
accessory,"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
access time,प्रवेश वेळ
accidental error,अभ्यागत त्रुटी
accommodation,समायोजन
accumulated,जमा
accumulation,"जमा करणे, जमा करणे"
accumulator,संचयक
accuracy,अचूकता
accurate,वास्तव
achromat,अॅक्रोमॅटिक लेन्स
achromatic,अक्रोमॅटिक
achromatism,अक्रोमॅटिकता
acoustical,ध्वनिक
acoustically insulated,ध्वनीरोधक
acoustical phonon,ध्वनिक फोनन
acoustical unit,ध्वनी युनिट
acoustic,ध्वनिक
acoustic generator,ध्वनी जनरेटर
action and reaction,क्रिया आणि प्रतिक्रिया
activation,सक्रियकरण
"activation ,energy",सक्रियता ऊर्जा
activator,"सक्रिय करणारा, सक्रिय करणारा"
active,सक्रिय
activity,सक्रियता
actual stress,वास्तविक ताण
acute exposure,कुजबुजणे
add,बेरीज करणे
addition,"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)"
additional tone,"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)"
additive,additive
adhesion,आसंजन
adhesional energy,चिकट ऊर्जा
adiabat,adiabat
adiabatic,adiabatic
adiathermanous,उष्णता इन्सुलेट
adjacent,संलग्नक
adjustable,बदलानुकारी
admittance,प्रवेश
adsorption,शोषण
advanced,पुढे
advancing,प्रगतीशील
aerial,"आकाशी, वायु (वि.), हवाई (सं.)"
aerial current,अँटेना प्रवाह
aerial survey,हवाई सर्वेक्षण
aerial velocity,हवेचा वेग
aerodynamic coefficient,वायुगतिकीय गुणांक
aerodynamic,वायुगतिकीय
aerodynamics,वायुगतिकी
aeronautical,वैमानिक
aeronautics,वैमानिक
aeropulse,हवेची नाडी
aerosphere,"वातावरण, वायूमंडल"
afocal system,फोकस सिस्टम
after burning,परत प्रज्वलन
after glow,परत प्रकाश
aftershock,आघात
age,"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे"
aged,वेळ प्रभावित
ageing (aging),"वृद्धत्व, वृद्धत्व"
aging (=ageing),वेळेचा प्रभाव
aging test,वेळ प्रभाव चाचणी
agravic,गुरुत्वाकर्षणरहित
aim,समेट
airborne radar,"हवाई रडार, हवाई रडार"
airborne target,"हवाई लक्ष्य, हवाई लक्ष्य"
air breather,हवा श्वसन यंत्र
air conditioning,वातानुकुलीत
aircore transformer,विंडप्रूफ ट्रान्सफॉर्मर
aircraft,विमान
alignment,संरेखन
alignment error,संरेखन त्रुटी
alive circuit,थेट सर्किट
all glass tube,पूर्ण काचेची ट्यूब
all metal tube,संपूर्ण धातूची नळी
allocate,निराकरण
alloy,"मिश्रातु (सं.), मिश्रत्व (क्र.)"
alloying,मिश्रत्व
all-pervading medium,सर्वव्यापी माध्यम
all-wave antenna,सर्व अँटेना
almanac,पंचांग
alpha,अल्फा
alpha-activity,अल्फा क्रियाकलाप
alphabetical,अल्फान्यूमेरिक
alpha ray,अल्फा किरण
alteration,बदला
alternating,"पर्यायी, पर्यायी"
alternator,अल्टरनेटर
altigraph,अल्टिमीटर
altimeter,अल्टिमीटर
altimetry,altimetry
altitude,"उंची, उंची, उंची, उंची"
ALU (Arithmatic Logic Unit),अंकगणित तर्क युनिट (ALU)
Amagat law,amaget नियम
ambient,वातावरण
amicron,amicron
amméter,ammeter
ampere,अँपिअर
Ampere's rule,अँपिअर-लॉ
amphoteric ion,उभयचर आयन
amplification,प्रवर्धन
amplifier,अॅम्प्लीफायर
amplitude,"कोन, परिमाण"
a. m. u. (atomic mass unit),a एम. यू. (अणु वस्तुमान एकक)
analog (=analogue),सुसंगत
analogy,साधर्म्य
analyser,विश्लेषक
analysis,विश्लेषण
analytical,विश्लेषणात्मक
anastigmatic,नॉन पॉइंट
anastigmatism,विसंगत
AND gate,आणि दरवाजा
anechoic,गैर-ध्वनी
anelasticity,विसंगत लवचिकता
aneroid,निर्जल
angle,कोन
Angstrom unit,अँग्स्ट्रोम युनिट
angular,टोकदार
angular vernier,protractor vernier
anharmonic,विवादास्पद
anharmonicity,अनादर
anhysteresis,अक्रोमॅटिक चुंबकीकरण
anhysteretic,सुस्त
anion,anion
anisodimensional,असममित
anisotropic,समस्थानिक
anisotropy,isotropism
annihilation,हटवणे
annunciator,कटकारस्थान
anode,एनोड
anodize,anodization
anomalous,विसंगत
anoptic system,ऑप्टिकल प्रणाली
antenna,अँटेना
antibaryon,अँटीबेरियन
antibinding property,अँटी-बॉन्डिंग गुणधर्म
anitibonding,काउंटर बाँड
antiferroelectricity,उलट शक्ती
antiferromagnetic,डायमॅग्नेटिक
antiferromagnetics,डायमॅग्नेटिक सामग्री
antifoggant,विरोधी दाहक
antigravity,गुरुत्वाकर्षण
anti-lambda particle,antilamda कण
anti-lepton,ऍलेलेप्टन
antimagnetic,डायमॅग्नेटिक
antimatter,प्रतिपदार्थ
antimissile,क्षेपणास्त्र विरोधी
antineutron,अँटीन्यूट्रॉन
antinode,pulsating
antinucleon,अँटीन्यूक्लिओन
antiparticle,प्रतिकण
antiproton,अँटीप्रोटॉन
antireflection,परावर्तक
antisymmetric,विषमताविरोधी
aperiodical,आवर्ती नाही
aperiodicity,अनाक्रोनिझम
apertural disc,छिद्रित स्कॅनिंग डिस्क
aperture,द्वारक
apex,"वर, वर, समोर"
aphelion,"उच्च सूर्य, उच्च सूर्य"
aplanat,उदासीन लेस
aplanatic,गैर-दयनीय
aplanatism,अपंगत्व नसणे
apochromatic,अतिशय वर्णवर्धक
apogee,"जमीन-उंच, apogee"
apolar,"nonpolar, circumpolar"
apolarity,parapolarity
apparatus,साधन
apparent,"आभासी, दृश्य"
apparent sun,दृश्यमान सूर्य
apparent time,दृश्य वेळ
appearance,उदयोन्मुख देखावा
appliance,अर्ज
applicability,लागू
applied,लागू
appreciable,निरीक्षण करण्यायोग्य
approach,दृष्टीकोन
approximate,"जवळ, अंदाजे"
approximation,अंदाजे
aqueous tension,बाष्प दाब
arbitrary,ऐच्छिक
arc furnace,"चाप भट्टी, चाप भट्टी"
Archimedes principle,आर्किमिडीजचा कायदा
architectural acoustics,आर्किटेक्चरल ध्वनीशास्त्र
arc lamp,चाप दिवा
arc spectrum,आर्क-स्पेक्ट्रम
area,"क्षेत्र, क्षेत्र"
areal,"प्रादेशिक, प्रादेशिक"
arm,"हात, हात, शाखा"
armature,हौशी
array,"अॅरे, अॅरे"
arrester,प्राप्तकर्ता
articulation,उच्चार स्पष्टता
artificial,सिंथेटिक
artificial transmutation,कृत्रिम संक्रमण
ascending,चढत्या
ascension of the star,आरोहण
ascent,चढणे
aspheric,अगोली
aspherizing,एकत्रीकरण
assemblage,संच
assemble,"एकत्र करणे, एकत्र करणे"
assembly (=assemblage),"एकत्र करणे, एकत्र करणे, एकत्र करणे"
assessment of accuracy,अचूक अंदाज
assigned assignment (of quantum numbers),निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये
associated,"संबंधित, सहयोगी, संयुग्मित"
assonance,स्वराचा उच्चार
astable multivibrator (=free running multivibrator),स्वयंचलित मल्टीव्हायब्रेटर
astatic,अस्थेनिक
astigmatism,"संयम, दृष्टिवैषम्य"
astrionics,अंतराळ प्रवास इलेक्ट्रॉनिक्स
astrometry,खगोल भौतिकशास्त्र
astronaut,अंतराळवीर
astronomer,खगोलशास्त्रज्ञ
astronomical,आकाशीय
astronomy,खगोलशास्त्र
astrophysics,खगोल भौतिकशास्त्र
asymmetrical,असममित
asymptote,लक्षणे नसलेला
asymptotic,त्रासदायक
asynchronous,असिंक्रोनस
atmosphere,"वातावरण, वातावरण"
atmospheric,वातावरणीय
atmospherics,वारा अशांतता
atom,आण्विक
atomic,अणू
atomicity,आण्विकता
atomic mass,आण्विक वस्तुमान
atomic number,अणुक्रमांक
atomic reactor (=atomic pile),"आण्विक अणुभट्टी, आण्विक ढीग"
atomistic,अणू
atomization,कण
atomizer,कण
attenuation,"क्षीणता, क्षीणता"
attenuator,"कमी करणे, कमी करणे"
attraction,मोहिनी
attractive forces,आकर्षण शक्ती
audibility,ऐकण्याची क्षमता
audio-amplifier,ऑडिओ वारंवारता अॅम्प्लिफायर
audio,ऐकण्यायोग्य
audio generator,ऑडिओ जनरेटर
audiogram,श्रवणक्षमता आलेख
audiology,श्रवण विज्ञान
audiometer,ऑडिओमीटर
audio oscillator,ऐकण्यायोग्य वारंवारता ऑसिलेटर
audio signal,ध्वनी सिग्नल
audiovisual,दृकश्राव्य
auditorium,"सभागृह, सभागृह"
Auger effect,ओझेड प्रभाव
augmentation,जाहिरात
augmentor,वर्धक
aurora,ध्रुवीय ज्योत
aurora australis,दक्षिण ध्रुवीय ज्वाला
aurora borealis,उत्तर ध्रुवीय ज्योत
autoalarm,स्वयंचलित सूचना
autocollimator,स्वयं समांतर
automatic,"स्वयंचलित, स्वयंचलित, स्वयंचलित"
automation,"ऑटोमेशन, ऑटोमेशन"
auxiliary,"सहाय्यक, सहकारी, अतिरिक्त"
avalanche,"आडवा, हिमस्खलन"
average,"अर्थ, क्षुद्र"
avoidance,परिवार
axial,अक्षीय
axis,अक्ष
azimuth,दिगंश
azimuthal,दिगंश
back,परत
background,"पार्श्वभूमी, पार्श्वभूमी"
backlash,"मागासलेला, मागासलेला"
backout,टर्नअराउंड
back swing voltage pulser,बॅक व्होल्टेज पल्सर
back to back connection,पोस्ट-रिलेशनशिप
back up,प्रतिपूर्ती
back voltage (Freverse voltage),अँटी व्होल्टेज
backward scattering,पोस्टरियर स्कॅटरिंग
back wave (=spacing wave),इंटरस्टिशियल लाट
bad conductor,इन्सुलेटर
bail out,हवाई छत्री वापरून घेतलेली उडी
bakeout,गरम करणे
balance,"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
balancer,बॅलन्सर
balancing,शिल्लक
ball ended magnet,गोलाकार
ballistic,"बॅलिस्टिक, बॅलिस्टिक"
ballistic galvanometer,"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर"
ballistic missile,क्षेपणास्त्र
ballistics,"बॅलिस्टिक्स, शस्त्रे"
ballistic throw,प्रक्षेपण
ballistic trajectory,मुक्त मार्ग
balloon,"फुगा, फुगा"
Balmer discontinuity,balmer खंडितता
band,"बँड, बँड, बँड"
bang,स्फोट
bank,"अॅरे, बीम, किनारा, किनारा, किनारा"
bar,"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा"
Bardeen theory,bardeen तत्त्व
Barkhausen effect,barkhausen प्रभाव
Barlow's wheel,बारलो सायकल
bar magnet,बार चुंबक
barn,धान्याचे कोठार
barogram,हवेचा दाब आलेख
barograph,"बॅरोग्राफ, बॅरोग्राफ"
barometer,बॅरोमीटर
barometry,वातावरणाचा दाब
barosphere,"कॉसमॉस, बॅरोमोस्फियर"
bar pendulum,पेंडुलम पेंडुलम
barrier,"अडथळा, आण्विक, आण्विक अडथळा"
barrier layer (rectifier)=blocking layer -depletion layer =space charge layer,अडथळा पातळी
baryon,बेरियन
barysphere,गुरुमंडळ
base band,बेस बँड
basic,"मूलभूत, मूलभूत, अल्कधर्मी"
basis,पाया
batching,"गणना, संघ निर्मिती"
bath,"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ"
battery,बॅटरी
bay,"अॅरे सेगमेंट, चेंबर, बे"
B-display,प्रदर्शन
beacon,किबान
bead,"माणिका, बीड"
beam,"तुळई, तुळई, तुळई, ट्रम्प"
bearing,"डिकमन, डिकॉन"
beat,"dole, vispand"
Becqueral effect,बेकरेल प्रभाव
bell jar,बेल जार
bellow,घुंगरू
bell shaped,घंटा घड्याळ
bench,"वेदिका, खंडपीठ"
bend,"मोड, बंक (सं.), वाकणे (v.)"
bending,बँकन
bent,"वाकलेला, वाकलेला"
Bernoulli's equation,बर्नौली-समीकरण
Bessel function,बेसल-फंक्शन
best fit,सर्वोत्तम आसंजन
beta (भ्),बीटा (ब)
betatron,betatron
Bethe's model,bethe मॉडेल
bevatron,बायव्हट्रॉन
B-H curve,BH वक्र
biangular,द्विभुज
bias,"पक्षपात, पक्षपात"
biaxial,द्वि-अक्षीय
bichromate cell,बिक्रोमेट सेल
biconcave,अभ्यवताल
biconical aerial,दुहेरी अँटेना
biconvex,द्विउत्तल
bicrystal,"द्वि-क्रिस्टल, दुहेरी-क्रिस्टल"
bidirectional microphone,द्विदिश मायक्रोफोन
bifactor model,द्विपदी मॉडेल
bifilar,डायओशियस
bilateral,द्विपक्षीय
bilinear,द्विरेखीय
bimolecular,द्विमोलेक्युलर
binary,"द्वि-चर, द्वि-आधार, दुहेरी"
binary code,"बायनरी कोड, बायनरी कोड"
binary star,गेम स्टार
binary system,बायनरी पद्धत
binaural,दुहेरी बाजू असलेला
binding,बंध
binocular,"द्विनेत्री, द्विनेत्री"
binode,बायनरी
binomial distribution,द्विपदी वितरण
binuclear,"द्विकेंद्रीय, द्विकेंद्री, द्विकेंद्रित"
biodynamics,जैवगतिकी
bioelectronics,बायो इलेक्ट्रॉनिक्स
biophysicist,बायोफिजिस्ट
biophysics,बायोफिजिक्स
biosatellite,जैविक उपग्रह
bioscope,"सिनेमॅटोग्राफर, बायोस्कोप"
Biot-Savart'law,जैव-सावर्त नियम
biphase current,biphasic प्रवाह
bipolar,द्विध्रुव
biprism,"biprism, biprism"
biquartz,"biquartz, biquartz"
bistable characteristics,biphasic वर्ण
bistable multivibrator,दोन-स्टेज मल्टीव्हायब्रेटर
bit,"द्वयंक* (बायनरी अंक), बर्मीज, अनी, तुक"
black,"काळा, कृष्णा"
black body,काळे शरीर
black light,अदृश्य प्रकाश
black out,timirayan रेडिओ timirayan
black out pulse (=blanking pulse),इजेक्शन नाडी
black out voltage (=cut of bias),पूर्वाग्रह समाप्त करा
black radiation,काळा विकिरण
blank,"अपूर्ण, रिक्त"
blanketing,कव्हर
blanking,रद्द करणे
blast,"स्फोट, स्फोट, वाफा"
bleeder,"savika, bleeder, savi"
blind,"वेशात, आंधळा"
Bloch theorem,ब्लोचचे प्रमेय
blocking,"अवरोधित करणे, अवरोधित करणे, अडथळा आणणे"
blow,"फुंकणे, फुंकणे, फुंकणे"
blue print,ब्लू प्रिंट
blur circle,अस्पष्टता वर्तुळ
blurred,अस्पष्ट
bob,"बॉल, गोलाकार, लटकन"
body,"शरीर, वस्तू"
body capacitance,शारीरिक क्षमता
body centred,केंद्रीत
body diagonal,"शरीर-कर्ण, अंत-कर्ण"
bogie,"बोगी, अज्ञात शोध (रडार)"
Bohr effect,बोअर इफेक्ट
Bohr magneton,बोर मॅग्नेटन
boiler,"बॉयलर, बॉयलर"
boiling,"उकळणे, उकळणे"
Boltzmann equation,बोल्ट्समन समीकरण
bombarding electron,बॉम्बर इलेक्ट्रॉन
bombarding energy,"क्लेशकारक ऊर्जा, बॉम्बस्फोट ऊर्जा"
bond,गहाण
bonding,"बंधलेले, बंधलेले, बंधलेले"
booster,वर्धक
boron,बोरॉन
Bose particle,बोस-कण
boson,बोसॉन
bounce,"धक्का, उडी"
bound,बद्ध
boundary,"मर्यादा, मर्यादा (सं.), सीमांत (वि.)"
bound,बद्ध
bow,धनु राशीचे अंगण
bow wave,नौकानयन लाट
Boyle point,बॉयलर गरम करणे
Boyle's law,बॉयलचा कायदा
Boyle' temperature,बॉयलर गरम करणे
Bracket series,कंस-वर्ग
Bragg law,पिशवी नियम
braided wire,गुंफलेली तार
braking orbit,ब्रेक वर्ग
Bramah press,ब्रामा कंप्रेसर
branching,शाखा
Bravais lattice,"धाडसी जाळी, धाडसी जाळी"
braze,ब्रास ब्रॅझिंग
break,विच्छेदन
break contact,ब्रेक कनेक्टर
breakdown diode,"फ्रॅक्चर डायोड, जेनर डायोड"
breaking,फ्रॅक्चर
breeder reactor,"ब्रीडर रिएक्टर, ब्रीडर न्यूक्लियर फर्नेस, ब्रीडर फर्नेस"
breeding,पुनरुत्पादन
bremsstrahlung,"retardant विकिरण, brastralung"
Brewster angle,brewster-कोन
Brewster fringe,ब्रुस्टर फ्रीज
bridge,पूल
bridging,ब्रिज बाँड
bright,"तेजस्वी, तेजस्वी, चमकदार"
brightening,प्रकाशक
bright,तेज
brightness,"द्युती, प्रभा"
Brillouin zone,ब्रिलुवान क्षेत्र
British Standard Candle,ब्रिटिश मानक मेणबत्ती
brittle,ठिसूळ
brittleness,ठिसूळपणा
broadcasting,प्रसारण
broad,तपशीलवार
broadside,प्रतिगामी
Broglie formula,ब्रोगली फॉर्म्युला
broken,खंडित
Brownian motion,ब्राउनी मोशन
brush,"कुची, बुरुश, कुर्च, गुल्म"
bubble,"बबल, बबल (सं.), बडबड (v.)"
bubbling,उत्तेजित होणे
bucking,प्रतिकार
buckling,आकुंचन
buffer,"amp-प्रतिरोध, बफर"
building acoustics,ध्वनीशास्त्र
build up,बर्धन
bulb,बल्ब
bulging,उदयास येणे
bulk,"मात्रा, मोठ्या प्रमाणात, वस्तुमान, वस्तुमान, खंड"
bulk modulus,व्हॉल्यूम लवचिकता गुणांक
bulk property,लोकसंख्या मालमत्ता
bulk temperature,कमाल तापमान
bump (in a curve),फुगवटा
bunch,"गुच्छ, गुच्छ (n.), क्लस्टर करणे (ver.)"
buncher,घड
Bunsen cell,बनसेन सेल
buoy,उत्साह
buoyancy,"उछाल, उत्साह"
Burger's circuit,बर्गर सर्किट
burglar alarm,चोराची घंटा
burner,"बर्नर, इग्निटर"
burn out,पूर्ण प्रज्वलन
burst,"स्फोट, स्फोट, फूट"
busy line,ओळ व्यस्त
busy tone,व्यस्त टोन
buzzer,बजर
bypass,बायपास
bypassing,सर्किट
