Malayalam,Assamese
അബാക്കസ്,abacus
അസാധാരണമായ അവസാനിപ്പിക്കൽ,অস্বাভাৱিক সমাপ্তি
ഉപേക്ഷിക്കുക,abort
കേവല,নিৰপেক্ষ
സമ്പൂർണ്ണ വിലാസം,নিৰপেক্ষ ঠিকনা
സമ്പൂർണ്ണ അഭിസംബോധന,নিৰপেক্ষ সম্বোধন
കേവല അസംബ്ലർ,নিৰপেক্ষ এছেম্বলাৰ
കേവല കോഡ്,নিৰপেক্ষ ক&#39;ড
സമ്പൂർണ്ണ കമാൻഡ്,নিৰপেক্ষ আদেশ
സമ്പൂർണ്ണ ഡാറ്റ,নিৰপেক্ষ তথ্য
സമ്പൂർണ്ണ നിർദ്ദേശം,নিৰপেক্ষ নিৰ্দেশনা
കേവല മോഡ്,নিৰপেক্ষ ধৰণ
കേവല പാത,নিৰপেক্ষ পথ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,নিৰপেক্ষ প্ৰগ্ৰেমিং
അമൂർത്ത ക്ലാസ്,বিমূৰ্ত শ্ৰেণী
അമൂർത്ത ഡാറ്റ തരം,বিমূৰ্ত তথ্যৰ ধৰণ
അമൂർത്ത യന്ത്രം,বিমূৰ্ত মেচিন
അമൂർത്ത ചിഹ്നം,বিমূৰ্ত চিহ্ন
അമൂർത്തമായ വാക്യഘടന,বিমূৰ্ত বাক্যবিন্যাস
സ്വീകാര്യത പരിശോധന,গ্ৰহণযোগ্যতা পৰীক্ষা
ആക്സസ് പ്രാമാണീകരണം,প্ৰৱেশ প্ৰমাণীকৰণ
പ്രവേശന കോഡ്,প্ৰৱেশ ক&#39;ড
പ്രവേശന നിയന്ത്രണം,প্ৰৱেশ নিয়ন্ত্ৰণ
ആക്സസ് സ്കാൻ,এক্সেছ স্কেন
ഉപസാധനം,আনুষংগিক বস্তু
അക്കൗണ്ട്,একাউণ্ট
അക്കൗണ്ട് ID,একাউণ্ট আইডি
ശേഖരണം,এক্যুলেটৰ
കൃത്യത,শুদ্ধতা
പ്രവേശനം,acess
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
പ്രവേശന സൂചിക,acess index
ആക്സസ് കീ,acess key
ആക്സസ് മാട്രിക്സ്,acess মেট্ৰিক্স
ആക്സസ് മോഡ്,প্ৰৱেশ ধৰণ
ആക്സസ് പ്രിവിലേജ്,acess বিশেষাধিকাৰ
ആക്സസ് സുരക്ഷ,acess security
ആക്സസ് സെർവർ,এচেছ চাৰ্ভাৰ
പ്രവേശന സമയം,acess সময়
അംഗീകാരം,স্বীকৃতি
ശബ്ദശാസ്ത്രം,শব্দবিজ্ঞান
സംക്ഷേപം,সংক্ষিপ্ত ৰূপ
പ്രവർത്തന സന്ദേശം,কাৰ্য্য বাৰ্তা
സജീവമാക്കൽ,সক্ৰিয়কৰণ
സജീവ സെർവർ പേജ് (ASP),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
സജീവ പതിപ്പ്,সক্ৰিয় সংস্কৰণ
അസൈക്ലിക്,অচক্ৰীয়
അസൈക്ലിക് ഗ്രാഫ്,অচক্ৰীয় গ্ৰাফ
അഡാ ഭാഷ,আদা ভাষা
അഡാപ്റ്റർ,এডাপ্টাৰ
ചേർക്കുക,যোগ কৰা
ഫയൽ ചേർക്കുക,ফাইল যোগ কৰক
പ്രവർത്തനം ചേർക്കുക,অপাৰেচন যোগ কৰক
ചേർക്കുന്നയാൾ,adder
വിലാസം,ঠিকনা
വിലാസം ബസ്,ঠিকনা বাছ
വിലാസ ഫയൽ,ঠিকনা নথিপত্ৰ
വിലാസ ഫോർമാറ്റ്,ঠিকনা বিন্যাস
വിലാസ ജനറേറ്റർ,ঠিকনা উৎপাদক
വിലാസ ലൈൻ,ঠিকনা ৰেখা
വിലാസ മാപ്പിംഗ്,ঠিকনা মেপিং
വിലാസ സൂചിക,ঠিকনা পইণ্টাৰ
വിലാസ രജിസ്റ്റർ,ঠিকনা পঞ্জীয়ন
വിലാസം റെസലൂഷൻ,ঠিকনা সমাধান
വിലാസ വിവർത്തനം,ঠিকনা অনুবাদ
അഭിസംബോധന ചെയ്ത മെമ്മറി,ঠিকনাযুক্ত মেমৰি
അഭിസംബോധന,সম্বোধন কৰা
പര്യാപ്തത മാനദണ്ഡം,পৰ্যাপ্ততাৰ মাপকাঠী
അനുബന്ധം,সংযুক্ত
ഭരണകൂടം,প্ৰশাসন
കാര്യനിർവാഹകൻ,প্ৰশাসক
അഡോബ് അക്രോബാറ്റ്,এডোব এক্ৰ&#39;বেট
അഡോബ് ഫോട്ടോഷോപ്പ്,এডোব ফটোশ্বপ
അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
വിപുലമായ ഡാറ്റ,উন্নত তথ্য
വിപുലമായ വിവര സംവിധാനം,উন্নত তথ্য ব্যৱস্থা
നൂതന സാങ്കേതികവിദ്യ (AT),উন্নত প্ৰযুক্তি (AT)
ഏജന്റ്,এজেণ্ট
സമാഹരണം,একত্ৰীকৰণ
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
ആൽഡസ് പേജ് മേക്കർ,aldus পৃষ্ঠা নিৰ্মাতা
മുന്നറിയിപ്പ് ബോക്സ്,সতৰ্কবাণী বাকচ
ആൽഗോൾ,এলগোল
അൽഗോരിതം,এলগৰিদম
അൽഗോരിതം വിശകലനം,এলগৰিদম বিশ্লেষণ
അൽഗോരിതം കാര്യക്ഷമത,এলগৰিদম দক্ষতা
അപരനാമം,alias
വിന്യാസം,প্ৰান্তিককৰণ
വിഹിതം,আবণ্টন
അക്ഷരമാലാക്രമം,বৰ্ণানুক্ৰমিক
ആൽഫാന്യൂമെറിക്,আলফানিউমেৰিক
ആൽഫാന്യൂമെറിക് കീ ബോർഡ്,আলফানিউমেৰিক কি বৰ্ড
ആൽഫ-ടെസ്റ്റ്,আলফা-পৰীক্ষা
ആൽഫ പതിപ്പ്,আলফা-সংস্কৰণ
alt കീ,alt কি&#39;
അൾട്ടാവിസ്റ്റ,আলতাভিস্তা
അവ്യക്തത,অস্পষ্টতা
അവ്യക്തമായ വ്യാകരണം,অস্পষ্ট ব্যাকৰণ
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
അനലോഗ്,এনালগ
അനലോഗ് കമ്പ്യൂട്ടർ,এনালগ কম্পিউটাৰ
അനലോഗ് ഉപകരണം,এনালগ ডিভাইচ
അനലോഗ് മോഡം,এনালগ মডেম
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
ഒപ്പം,আৰু
കൂടാതെ സർക്യൂട്ട്,AND বৰ্তনী
ഒപ്പം ഗേറ്റും,AND গেট
കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ),AND অপাৰেচন নহয় (বৰ্জন)
ആനിമേഷൻ,এনিমেচন
വ്യാഖ്യാനം,টীকাকৰণ
അപാകത,বিজুতি
മുൻഗാമി,পূৰ্বসূৰী
മുൻകൂർ പേജിംഗ്,প্ৰত্যাশিত পেজিং
വിരുദ്ധ സമമിതി,এন্টি-চিমেট্ৰিক
ആന്റിവൈറസ് പ്രോഗ്രാം,এন্টিভাইৰাছ প্ৰগ্ৰেম
ആപ്ലെറ്റ്,applet
ആപ്ലിക്കേഷൻ ഡെവലപ്പർ,এপ্লিকেচন ডেভেলপাৰ
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,এপ্লিকেচন প্ৰগ্ৰেমিং
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API),এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,এপ্লিকেচন চফ্টৱেৰ
ബാധകമായ ഭാഷ,প্ৰয়োগমূলক ভাষা
ഏകദേശ സിദ്ധാന്തം,আনুমানিক তত্ত্ব
വാസ്തുവിദ്യ,স্থাপত্য
ഏരിയ കൈമാറ്റം,এলেকা হস্তান্তৰ
വാദം,তৰ্কাতৰ্কি
"ഗണിത, യുക്തി യൂണിറ്റ്",গাণিতিক আৰু যুক্তিৰ একক
ഗണിത പരിശോധന,গাণিতিক পৰীক্ষা
ഗണിത സ്ഥിരാങ്കം,গাণিতিক ধ্ৰুৱক
ഗണിത ഡാറ്റ,গাণিতিক তথ্য
ഗണിത നിർദ്ദേശം,গাণিতিক নিৰ্দেশনা
ഗണിതവും യുക്തിയും യൂണിറ്റ് (ALU),গাণিতিক আৰু যুক্তি একক (ALU)
അർപാനെറ്റ്,ARPANET
അറേ,এৰে
അറേ കാഷെ,এৰে কেচ
അറേ കമ്പ്യൂട്ടർ,এৰে কম্পিউটাৰ
അറേ ഘടകം,এৰে উপাদান
അറേ പേര്,এৰেৰ নাম
അറേ പ്രോസസർ,এৰে প্ৰচেছৰ
