Punjabi,Telugu
ਅਧੂਰਾ ਛੱਡਣਾ,అబార్ట్
ਅਧੂਰਾ ਛੱਡੋ,అబార్ట్ టైమర్
निरपेक्ष an s,సంపూర్ణ చిరునామా
ਪੂਰਨ ਪਤਾ,సంపూర్ణ చిరునామా
ਸੰਪੂਰਨ ਸੰਜਮ,సంపూర్ణ సమీకరించేవాడు
ਸੰਪੂਰਨ ਕੋਡ,సంపూర్ణ కోడ్
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,సంపూర్ణ కోడింగ్
ਸੰਪੂਰਨ ਕਮਾਂਡ,సంపూర్ణ ఆదేశం
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,సంపూర్ణ కోఆర్డినేట్
ਸੰਪੂਰਨ ਡੇਟਾ,సంపూర్ణ డేటా
ਪੂਰੀ ਗਲਤੀ,సంపూర్ణ లోపం
ਪੂਰਨ ਸਮੀਕਰਨ,సంపూర్ణ వ్యక్తీకరణ
ਪੂਰਨ ਹਦਾਇਤ,సంపూర్ణ సూచన
ਸੰਪੂਰਨ ਲੋਡਰ,సంపూర్ణ లోడర్
ਸੰਪੂਰਨ ਕ੍ਰਮ,సంపూర్ణ క్రమం
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,సంపూర్ణ ప్రోగ్రామింగ్
ਸੰਪੂਰਨ ਅਵਧੀ,సంపూర్ణ పదం
ਸਹੀ ਮੁੱਲ,సంపూర్ణ విలువ
ਸੰਪੂਰਨ ਵੈਕਟਰ,సంపూర్ణ వెక్టర్
ਸਾਰ,నైరూప్య
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,సంగ్రహించడం
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,నైరూప్య చిహ్నం
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,త్వరణం కాలం
ਪ੍ਰਵੇਗ ਟਾਈਮ,త్వరణం సమయం
ਲਹਿਜ਼ਾ,యాస
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,అంగీకార పరీక్ష
ਪਹੁੰਚ,యాక్సెస్
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,యాక్సెస్ ఆర్మ్
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,యాక్సెస్ అమరిక
ਪਹੁੰਚ ਅਥਾਰਟੀ,యాక్సెస్ అథారిటీ
ਐਕਸੈਸ ਚਾਰਜ,యాక్సెస్ ఛార్జ్
ਐਕਸੈਸ ਕਲਾਸ,యాక్సెస్ క్లాస్
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,యాక్సెస్ ఎన్విరాన్మెంట్
ਐਕਸੈਸ ਪਾੜਾ,యాక్సెస్ గ్యాప్
ਐਕਸੈਸ ਇੰਡੈਕਸ,ప్రాప్యత సూచిక
ਐਕਸੈਸ ਲਾਈਨ,యాక్సెస్ లైన్
ਐਕਸੈਸ ਵਿਧੀ,యాక్సెస్ మెకానిజం
ਐਕਸੈਸ ਵਿਧੀ,యాక్సెస్ పద్ధతి
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,యాక్సెస్ పద్ధతి దినచర్య
ਐਕਸੈਸ ਮੋਡ,యాక్సెస్ మోడ్
ਸਹੀ ਪਹੁੰਚ,హక్కును యాక్సెస్ చేయండి
ਐਕਸੈਸ ਸਕੈਨ,యాక్సెస్ స్కాన్
ਐਕਸੈਸ ਟਾਈਮ,ప్రాప్యత సమయం
ਲੇਖਾ,అకౌంటింగ్
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
ਲੇਖਾ ਮਸ਼ੀਨ,అకౌంటింగ్ మెషిన్
ਅਕਾਊਂਟ ਨੰਬਰ,ఖాతా సంఖ్య
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,సంచితం
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,సంచిత రిజిస్టర్
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,సంచిత షిఫ్ట్ సూచన
ਸ਼ੁੱਧਤਾ,ఖచ్చితత్వం
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,ఖచ్చితత్వ నియంత్రణ పాత్ర
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
ਏਸ ਪਾਇਲਟ,ఏస్ పైలట్
ਅੱਖਰ ਮੰਨੋ,పాత్రను గుర్తించండి
ਧੁਨੀ ਕਥਾ,ఎకౌస్టిక్ కప్లర్
ਧੁਨੀ,శబ్ద కలపడం
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,శబ్ద ఆలస్యం రేఖ
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,శబ్ద జ్ఞాపకశక్తి
ਧੁਨੀ ਮਾਡਮ,ఎకౌస్టిక్ మోడెమ్
ਧੁਨੀ ਸੰਕੇਤ,శబ్ద సిగ్నల్
ਧੁਨੀ ਸਟੋਰੇਜ,శబ్ద నిల్వ
ਐਕਰੋਨਾਈਮ,ఎక్రోనిం
ਕਾਰਵਾਈ,చర్య
ਐਕਸ਼ਨ ਚੱਕਰ,చర్య చక్రం
ਐਕਸ਼ਨ ਲਾਈਨ,యాక్షన్ లైన్
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,చర్య సందేశం
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,చర్య స్పెసిఫికేషన్
ਸਰਗਰਮੀ,క్రియాశీలత
ਕਿਰਿਆਸ਼ੀਲ,క్రియాశీల
ਐਕਟਿਵ ਫਾਈਲ,యాక్టివ్ ఫైల్
ਐਕਟਿਵ ਲਾਈਨ,యాక్టివ్ లైన్
ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ,క్రియాశీల లింక్
ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ,యాక్టివ్ మాస్టర్ ఫైల్
ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ,యాక్టివ్ మాస్టర్ ఐటెమ్
ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ,క్రియాశీల ఉపగ్రహం
ਐਕਟਿਵ ਸਟੇਸ਼ਨ,యాక్టివ్ స్టేషన్
ਐਕਟਿਵ ਸਟੋਰੇਜ,క్రియాశీల నిల్వ
ਸਰਗਰਮੀ,కార్యాచరణ
ਸਰਗਰਮੀ ਪੱਧਰ,కార్యాచరణ స్థాయి
ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ,కార్యాచరణ లోడింగ్
ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ,కార్యాచరణ నిష్పత్తి
ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ,వాస్తవ డేటా బదిలీ రేటు
ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,వాస్తవ దశాంశ బిందువు
ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
ਅਸਲ ਕੁੰਜੀ,అసలు కీ
ਅਸਲ ਸਮਾਂ,అసలు సమయం
ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ,వాస్తవ పని సమయం
ਅਦਾਕਾਰੀ ਸੰਕੇਤ,సిగ్నల్ యాక్చువేటింగ్
ਅਨੁਕੂਲਤਾ,అనుకూలత
ਅਡੈਪਟਰ,అడాప్టర్
ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ,అడాప్టివ్ ఛానల్ కేటాయింపు
ਅਨੁਕੂਲ ਏਕੀਕਰਣ,అడాప్టివ్ ఇంటిగ్రేషన్
ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ,అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్
ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ,ఎంట్రీ జోడించబడింది
ਐਡੇਂਡ,అనుబంధం
ਐਡਰਰ,Adder
ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ,అడెర్ సబ్‌ట్రాక్టర్
ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ,ఫైల్ జోడించండి
ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ),అదనపు అక్షరం (= ప్రత్యేక అక్షరం)
ਜੋੜ ਰਿਕਾਰਡਰ,అదనంగా రికార్డర్
ਜੋੜ ਸਾਰਣੀ,అదనంగా పట్టిక
ਜੋੜ,సంకలిత లక్షణం
ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ,మోడ్‌ను జోడించండి
ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ,ఆపరేషన్ జోడించండి
ਪਤਾ,చిరునామా
ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ,చిరునామా కొలత
ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ,చిరునామా క్షితిజ సమాంతర స్థానం
ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ,చిరునామా పాయింట్
ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ,చిరునామా స్థానం
ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ,చిరునామా రిజిస్టర్
ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ,చిరునామా నిల్వ
ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ,చిరునామా నిలువు స్థానం
ਪਤਾ ਬੱਸ,చిరునామా బస్సు
ਪਤਾ ਕੋਡ,చిరునామా కోడ్
ਪਤਾ ਕੰਪਰੇਟਰ,చిరునామా కంపారిటర్
ਪਤਾ ਬਕਾਏ,చిరునామా గణన
ਪਤਾ ਲਗਾਤਾਰ,చిరునామా స్థిరాంకం
ਪਤਾ ਬਦਲਣਾ,చిరునామా మార్పిడి
ਪਤਾ ਡਾਟਾ,చిరునామా డేటా
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,చిరునామా మెమరీ
ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ,చిరునామా ప్రభావవంతంగా ఉంటుంది
ਪਤਾ ਖੇਤਰ,చిరునామా ఫీల్డ్
ਪਤਾ ਫਾਰਮੈਟ,చిరునామా ఆకృతి
ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ,చిరునామా ఉచిత ప్రోగ్రామ్
ਸੰਬੋਧਨ ਕਰਨਾ,చిరునామా
"ਸੰਬੋਧਨ ਕਰਨਾ
 ਅੱਖਰ","చిరునామా
 పాత్ర"
ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ,అంతరాయాన్ని పరిష్కరించడం
ਪਤਾ ਲਗਾਉਣ,చిరునామా లూప్
ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ,వర్చువల్ మెమరీని పరిష్కరించడం
ਪਤਾ ਲਗਾਉਣਾ,చిరునామా ఇంటర్లేసింగ్
ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ,చిరునామా లేని సూచనల ఆకృతి
ਐਡਰੈੱਸ ਲਾਈਨ,చిరునామా లైన్
ਪਤਾ ਮੈਪਿੰਗ,చిరునామా మ్యాపింగ్
ਪਤਾ ਮਾਰਕ,చిరునామా గుర్తు
ਪਤਾ ਸੋਧ,చిరునామా మార్పు
ਪਤਾ ਭਾਗ,చిరునామా భాగం
ਪਤਾ ਪੁਆਇੰਟਰ,చిరునామా పాయింటర్
ਪਤਾ ਰਜਿਸਟਰ,చిరునామా రిజిస్టర్
ਪਤਾ ਸਿਗਨਲ,చిరునామా సిగ్నల్
ਪਤਾ ਅਕਾਰ,చిరునామా పరిమాణం
ਪਤਾ ਸਪੇਸ,చిరునామా స్థలం
ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ,చిరునామా స్పేస్ ఐడెంటిఫైయర్
ਪਤਾ ਬੰਦ,చిరునామా స్టాప్
ਪਤਾ ਟਰੇਸ,చిరునామా ట్రేస్
ਪਤਾ ਟਰੈਕ,చిరునామా ట్రాక్
ਪਤਾ ਅਨੁਵਾਦ,చిరునామా అనువాదం
ਪਤਾ ਅਨੁਵਾਦਕ,చిరునామా అనువాదకుడు
ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ,జోడించు-ఉపశమనం సమయం
ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ,సమయాన్ని జోడించండి
ਅਡਜੈਂਸੀ,ప్రక్కనే
ਐਡਜੈਂਸੀ structure ਾਂਚਾ,ప్రక్కనే ఉన్న నిర్మాణం
ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ,ప్రక్కనే ఉన్న ఛానల్
ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ,ప్రక్కనే ఉన్న డొమైన్
ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ,ప్రక్కనే ఉన్న మాతృక
ਨਾਲ ਲੱਗਦੀ ਨੋਡ,ప్రక్కనే ఉన్న నోడ్
ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ,ప్రక్కనే ఉన్న సబ్‌యారియా
ਐਡਰਜਾਈਨ (ਸਿਸਟਮ),అడ్జాయింట్ (సిస్టమ్)
ਵਿਵਸਥਤ ਕਰੋ,సర్దుబాటు
ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ,సర్దుబాటు పరిధి
ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ,టెక్స్ట్ మోడ్‌ను సర్దుబాటు చేయండి
ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,అడ్మినిస్ట్రేటివ్ డేటా ప్రాసెసింగ్
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,పరిపాలనా ఆపరేషన్
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ,అడ్మినిస్ట్రేటివ్ ఆపరేటర్
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ,అడ్మినిస్ట్రేటివ్ ఆపరేటర్ స్టేషన్
ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ,పరిపాలనా మద్దతు వ్యవస్థ
ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ,అధునాతన కమ్యూనికేషన్ సేవ
ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,అధునాతన సమాచార వ్యవస్థ
ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ,అధునాతనమైన ఆప్టికల్ క్యారెక్టర్ రీడర్
ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ,అధునాతన శాస్త్రీయ కంప్యూటర్
ਏਰੀਅਲ,ఆకాశయాన
ਸਮੁੱਚੀ,మొత్తం
ਸਮੁੱਚੀ ਸਮੀਕਰਨ,మొత్తం వ్యక్తీకరణ
ਉਦੇਸ਼ ਸਰਕਲ,లక్ష్య వృత్తం
ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ),లక్ష్యం ఫీల్డ్ (= లక్ష్యం చిహ్నం)
ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ,లక్ష్యం చిహ్నం
ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ,వాయుమార్గాన కంప్యూటర్ వ్యవస్థ
ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ,బీజగణిత ఈజెన్వాల్యూ సమస్య
"ਅਲਜਬ੍ਰਿਕ
 ਏਕੀਕਰਣ","బీజగణితం
 అనుసంధానం"
ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ,బీజగణిత భాష
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ,బీజగణిత మానిప్యులేషన్
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ,బీజగణిత మానిప్యులేషన్ భాష
ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ,బీజగణిత ఆధారిత భాష
ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ,బీజగణిత షిఫ్ట్
ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ,బీజగణిత సంకేత సమావేశం
ਐਲਗੋਲ,ఆల్గోల్
ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ,ఆల్గోల్ ఫీచర్
ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ,ఆల్గోల్ ప్రోగ్రామింగ్
ਐਲਗੋਰਿਦਮ,అల్గోరిథం
ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ,అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్
ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ,అల్గోరిథం వర్గీకరణ
ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ,అల్గోరిథం సంక్లిష్టత
ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ,అల్గోరిథం కంప్యూటబిలిటీ
