Odiya,Kannada
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,ಅಬೆಲಿಯನ್ ಗುಂಪು
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
ସଂପୂର୍ଣ୍ଣ,ಸಂಪೂರ್ಣ
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,ಸಂಪೂರ್ಣ ದೋಷ
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ସଂପୂର୍ଣ୍ଣ ବେଗ,ಸಂಪೂರ್ಣ ವೇಗ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ତ୍ୱରଣ,ವೇಗವರ್ಧನೆ
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
ଗ୍ରହଣୀୟ ପରିସର |,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
ଗ୍ରହଣୀୟ ନମୁନା,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
ସଂଗୃହିତ ତ୍ରୁଟି |,ಸಂಚಿತ ದೋಷ
ସଠିକତା,ನಿಖರತೆ
ଅଭିନୟ ଶକ୍ତି,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
କାର୍ଯ୍ୟ,ಕ್ರಮ
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
acyclic,ಅಸೈಕ್ಲಿಕ್
ଯୋଡନ୍ତୁ |,ಸೇರಿಸಿ
ଆଡର୍,ಸೇರಿಸುವವನು
ଯୋଗ,ಜೊತೆಗೆ
ଯୋଗ ସୂତ୍ର,ಸೇರ್ಪಡೆ ಸೂತ್ರ
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
ମାଟ୍ରିକ୍ସର ଯୋଗ,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
ବହୁଭାଷୀ ଯୋଗ |,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
ଭେକ୍ଟର ଯୋଗ,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
ଯୋଗ ତତ୍ତ୍ୱ,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
ଯୋଗୀ ଗୋଷ୍ଠୀ |,ಸಂಯೋಜಕ ಗುಂಪು
ଯୋଗୀ ଓଲଟା |,ಸಂಯೋಜಕ ವಿಲೋಮ
ଯୋଗୀ ସମ୍ପତ୍ତି |,ಸಂಯೋಜಕ ಆಸ್ತಿ
ଯୋଗୀତା |,ಸಂಕಲನ
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ସଂଲଗ୍ନ,ಪಕ್ಕದ
ସଂଲଗ୍ନ କୋଣ,ಪಕ್ಕದ ಕೋನಗಳು
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,ಪಕ್ಕದ ಶೃಂಗ
ସଂଲଗ୍ନ,ಹೊಂದು
ସଂଲଗ୍ନ,ಪಕ್ಕದ
ନିର୍ଣ୍ଣୟକାରୀ,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
ସମୀକରଣ,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ମାଟ୍ରିକ୍ସର ଯୋଗ,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
ଗ୍ରହଣୀୟ ଅନୁମାନ,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
ଏରୋଡାଇନାମିକ୍ସ |,ವಾಯುಬಲವಿಜ್ಞಾನ
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,ಅಫೈನ್ ಜ್ಯಾಮಿತಿ
