Bengali,Odiya
অস্বাভাবিক,ଅସ୍ୱାଭାବିକ |
গর্ভপাত,ପରିତ୍ୟାଗ
ঘর্ষণ,ଅଳିଆ ଆବେଗ
আকস্মিক,ଆକସ୍ମିକ
পরম ক্ষেত্র শক্তি,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
পরম তাপমাত্রা,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
পরম মান,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
শোষণ,ଶୋଷଣ
শোষণ গুণাঙ্ক,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
শোষণ ক্ষতি,ଶୋଷଣୀୟ କ୍ଷତି |
বিমূর্ত,ବିସ୍ତୃତ
অ্যাক্সিলোমিটার,ଆକ୍ସଲେରୋମିଟର |
স্বীকৃতি পরীক্ষা,ଗ୍ରହଣ ପରୀକ୍ଷା
অ্যাক্সেস,ପ୍ରବେଶ
প্রবেশাধিকার নিয়ন্ত্রণ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
এক্সেস পয়েন্ট,ପ୍ରବେଶ ବିନ୍ଦୁ
প্রবেশাধিকার সময়,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
অ্যাক্সেসযোগ্যতা,ଅଭିଗମ୍ୟତା |
একুমুলেটর সেল,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
সঠিকতা,ସଠିକତା
নির্ভুল,ସଠିକ୍
অ্যাক্রোমেটিক লেন্স,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
অ্যাসিড,ଏସିଡ୍ |
অ্যাসিড প্রুফ,ଏସିଡ୍ ପ୍ରମାଣ |
অম্লতা,ଅମ୍ଳତା
স্বীকৃতি বিট,ସ୍ୱୀକୃତି ବିଟ୍
অ্যাকোস্টিক,ଆକାଶବାଣୀ |
অ্যাকোস্টিক যোগাযোগ,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
অ্যাকোস্টিক প্রসারণ,ଆକାଶବାଣୀ ବିସ୍ତାର
অ্যাকোস্টিক ইকুয়ালাইজার,ଆକାଶବାଣୀ ସମାନତା |
অ্যাকোস্টিক প্রতিক্রিয়া,ଆକାଶବାଣୀ ମତାମତ |
অ্যাকোস্টিক ফিল্টার,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
শব্দের সংরোধ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
অ্যাকোস্টিক মাস্কিং,ଆକାଶବାଣୀ ମାସ୍କିଂ |
