Punjabi,Tamil
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,உயிரற்ற இனப்பெருக்கம்
ਅਲੌਕਿਕ,அமானுஷ்ய
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,1. நான்காவது வயிறு 2. எவோமாசோம்
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,வயிற்று வளர்ச்சி உறுப்பு
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,வளர்ச்சி குன்றிய விதை
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
ਲੀਨ cation,உறிஞ்சப்பட்ட கேஷன்
ਸਮਾਈ,உறிஞ்சுதல்
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,அபிசீனிய கடுகு
1. ਐਕਰੀਸਾਈਡ,1. காரக்கொல்லி
centripetal,மையவிலக்கு
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),பெருக்கம் (செல்)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1.கூடுதல் 2.துணை 3.துணை
ਅਨੁਕੂਲਨ,தழுவல்
ਇਕੱਠਾ ਕਰਨਾ,திரட்சி
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1.vacuracy 2. துல்லியம்
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ,1. அமிலமானி 2. அமிலமானி
ਐਸਿਡਿਟੀ,அமிலத்தன்மை
ਐਸਿਡੋਫਾਈਲ,அமிலத்தன்மை
ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
ਤੇਜ਼ਾਬ,அமிலமாக்கப்பட்ட
aquifer,நீர்நிலை
ਪ੍ਰਾਪਤੀ,கையகப்படுத்தல்
ਏਕੜ,ஏக்கர்
1. ਖੇਤਰ 2. ਖੇਤਰ,1. பகுதி 2. பகுதி
ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ,இறுதி புள்ளி குரோமோசோம்
ਅਗਾਂਹਵਧੂ,முன்னோக்கு
acrosome,குரோசோம்
ਐਕਟਿਨੋਮਾਈਸੀਟਸ,ஆக்டினோமைசீட்ஸ்
ਸਰਗਰਮ ਕੋਰ,செயலில் உள்ள மைய
1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ,1. சீற்றம் 2. தீவிரம்
ਅਨੁਕੂਲਤਾ,தழுவல்
ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ,தனிப்பயனாக்கம்
1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ,1. ஒட்டுதல் 2. ஒட்டுதல்
sebaceous,செபாசியஸ்
ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ,சரிசெய்தல் சமன்பாடு
ਅਡੋਬ ਮਿੱਟੀ,அடோப் மண்
ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ,கலப்படம்
ਐਕਟੋਪਿਕ,எக்டோபிக்
ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ,ஏரோடைனமிக் செயல்முறை
ਵੈਂਟ੍ਰਲ,வென்ட்ரல்
ਹਵਾ ਦੇਣ ਲਈ,காற்றோட்டம் செய்ய
1. ਹਵਾ 2. ਆਕਾਸ਼ੀ,1. காற்று 2. ஆகாஷி
1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
