Tamil,Odiya
அபாகஸ்,ଆବାକସ୍ |
அசாதாரண நிறுத்தம்,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
கருக்கலைப்பு,ପରିତ୍ୟାଗ
அறுதி,ସଂପୂର୍ଣ୍ଣ
முழுமையான முகவரி,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
முழுமையான முகவரி,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
முழுமையான அசெம்பிளர்,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
முழுமையான குறியீடு,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
முழுமையான கட்டளை,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
முழுமையான தரவு,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
முழுமையான அறிவுறுத்தல்,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
முழுமையான பயன்முறை,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
முழுமையான பாதை,ସଂପୂର୍ଣ୍ଣ ପଥ
முழுமையான நிரலாக்கம்,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
சுருக்க வர்க்கம்,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
சுருக்க தரவு வகை,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
சுருக்க இயந்திரம்,ବିସ୍ତୃତ ମେସିନ୍ |
சுருக்க சின்னம்,ବିସ୍ତୃତ ପ୍ରତୀକ |
சுருக்க தொடரியல்,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
ஏற்றுக்கொள்ளும் சோதனை,ଗ୍ରହଣ ପରୀକ୍ଷା
அணுகல் அங்கீகாரம்,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
அணுகல் குறியீடு,ପ୍ରବେଶ କୋଡ୍
நுழைவு கட்டுப்பாடு,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
அணுகல் ஸ்கேன்,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
துணை,ଆନୁଷଙ୍ଗିକ
கணக்கு,ଖାତା
கணக்கு ஐடி,ଖାତା ID
திரட்டி,ଜମାକାରୀ
துல்லியம்,ସଠିକତା
அணுகல்,acess
அணுகல் கட்டுப்பாட்டு பைட்,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
அணுகல் குறியீடு,acess index
அணுகல் விசை,acess କି
அணுகல் அணி,acess matrix
அணுகல் முறை,acess ମୋଡ୍ |
அணுகல் சலுகை,acess ଅଧିକାର
அணுகல் பாதுகாப்பு,acess ସୁରକ୍ଷା |
