Punjabi,Kannada
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
ਨਿਮਰਤਾ,ವ್ಯಭಿಚಾರ
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
ਆਦਿਵਾਸੀ,ಮೂಲನಿವಾಸಿಗಳು
ਅਬਰਾਹਮ ਯੁੱਗ,ಅಬ್ರಹಾಂ ಯುಗ
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
ਅਕੈਡਮੀ,ಅಕಾಡೆಮಿ
ਅਕਰਾ ਕਾਨਫਰੰਸ,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
ਪ੍ਰਾਪਤੀ,ಸಂಚಯಗಳು
ਐਕਲਚਰੇਸ਼ਨ,ಸಂಸ್ಕಾರ
ਐਸੇਲਡਾਮਾ,ಅಸೆಲ್ಡಾಮಾ
ਅਚੀਅਨ (=ਅਚੀਅਨ),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
ਐਕ੍ਰੋਪੋਲਿਸ,ಆಕ್ರೊಪೊಲಿಸ್
ਐਕਟਾ ਦਿਉਰਨਾ,ಆಕ್ಟಾ ಡೈರ್ನಾ
ਐਕਟਾ ਸੇਨੇਟਸ,ಆಕ್ಟಾ ಸೆನಾಟಸ್
ਐਕਟ ਐਡੀਸ਼ਨਲ,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,ವಸಾಹತು ಕಾಯಿದೆ
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
ਅਦੁਲਾਮਾਈਟਸ,ಅಡುಲಮೈಟ್ಸ್
ਵਿਰੋਧੀ,ಎದುರಾಳಿ
ਵਿਰੋਧੀ,ಎದುರಾಳಿ
ਏਯੋਨ,ಏಯಾನ್
ਏਰੈਰੀਅਮ,ಏರೋರಿಯಮ್
ਹਵਾਈ ਜੰਗ,ವೈಮಾನಿಕ ಯುದ್ಧ
ਏਟੋਲੀਅਨ ਲੀਗ,ಏಟೋಲಿಯನ್ ಲೀಗ್
ਉਮਰ,ವಯಸ್ಸು
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
ਅਗੇਲੈ,ಅಗೆಲೈ
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,ಅಶ್ವದಳದ ವಯಸ್ಸು
ਗਿਆਨ ਦੀ ਉਮਰ,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
ਕਾਰਨ ਦੀ ਉਮਰ,ಕಾರಣದ ವಯಸ್ಸು
ਖੇਤੀਵਾਦ,ಕೃಷಿಧರ್ಮ
ਖੇਤੀ ਅੰਦੋਲਨ,ಕೃಷಿ ಚಳುವಳಿ
ਐਲਬੀਅਨ,ಅಲ್ಬಿಯಾನ್
ਐਲਬਮ,ಆಲ್ಬಮ್
ਐਲਡਰਮੈਨ,ಆಲ್ಡರ್ಮನ್
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,ಸೂಚಿಸುವ ತೋಳುಗಳು
ਦੋਸਤੀ,ಸೌಹಾರ್ದತೆ
Amphictyonic ਕੌਂਸਲ,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
ਅਖਾੜਾ,ಆಂಫಿಥಿಯೇಟರ್
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,ಅನಾಕ್ರೊನಿಸಂ
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
ਪੂਰਵਜ,ಪೂರ್ವಜ
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,ಪೂರ್ವಜರ ಆರಾಧನೆ
ਵੰਸ਼,ಪೂರ್ವಜರು
ਵੰਸ਼,ಪೂರ್ವಜರು
ਵੰਸ਼,ಪೂರ್ವಜರು
ਵੰਸ਼,ಪೂರ್ವಜರು
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,ಪ್ರಾಚೀನ ಆಡಳಿತ
ਪ੍ਰਾਚੀਨ,ಪ್ರಾಚೀನ
ਪ੍ਰਾਚੀਨ ਗੀਤ,ಪ್ರಾಚೀನ ಲಾವಣಿ
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,ಪುರಾತನ ಇತಿಹಾಸ
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
ਕਿੱਸਾ,ಉಪಾಖ್ಯಾನ
ਐਂਜਲੋਟ,ಏಂಜೆಲೋಟ್
ਐਂਜਲਸ,ಏಂಜೆಲಸ್
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
ਕੋਣ,ಕೋನಗಳು
ਐਂਗਲੀਕਨ,ಆಂಗ್ಲಿಕನ್
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
ਐਂਗਲੀਕਨਵਾਦ,ಆಂಗ್ಲಿಕನಿಸಂ
ਐਂਗਲੋ-ਫੋਬ,ಆಂಗ್ಲೋ-ಫೋಬ್
ਐਂਗਲੋ-ਫੋਬੀਆ,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
ਐਂਗਲੋ-ਸੈਕਸਨ,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ
ਐਨਾਲਿਸਟ,ಅನಾಲಿಸ್ಟ್
ਇਤਿਹਾਸ,ಆನಲ್ಸ್
ਅਨੇਕਸ਼ਨ,ಅನುಬಂಧ
ਐਂਟੀ-ਬੇਲਮ,ಆಂಟೆ-ಬೆಲ್ಲಮ್
ਪਿਛਲੀ ਤਾਰੀਖ,ಹಿಂದಿನ ದಿನಾಂಕ
