Kannada,Malayalam
ಆಸಿಡಾಯ್ಡ್,ആസിഡോയിഡ്
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,അയോലിയൻ മണ്ണ്
ಒಟ್ಟು,ആകെത്തുകയായുള്ള
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,സമാഹരണം
ಕೃಷಿಶಾಸ್ತ್ರ,അഗ്രോളജി
ಕೃಷಿಶಾಸ್ತ್ರ,അഗ്രോണമി
ಎ-ಹಾರಿಜಾನ್,എ-ചക്രവാളം
Ao-ಹಾರಿಜಾನ್,Ao-ചക്രവാളം
Aoo-ಹಾರಿಜಾನ್,Aoo-ചക്രവാളം
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,മണ്ണിന്റെ വായു ശേഷി
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,മണ്ണിന്റെ വായു ഉള്ളടക്കം
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,എയർ പിക്നോമീറ്റർ
ಆಲಿಟಿಕ್ ಮಣ್ಣು,അല്ലിറ്റിക് മണ്ണ്
ಮೆಕ್ಕಲು ಮಣ್ಣು,എക്കൽ മണ്ണ്
ಆಂಫೋಲಿಟಾಯ್ಡ್,ആംഫോളിറ്റോയ്ഡ്
ಅಯಾನ್,അനിയോൺ
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
ಅರ್ರಿಸ್,ആരിസ്
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,അഷ്ലാർ നല്ല കൊത്തുപണി
ಆಶ್ಲರ್ ಕಲ್ಲು,ആഷ്ലാർ കൊത്തുപണി
ಅಜೋನಲ್ ಮಣ್ಣು,അസോണൽ മണ്ണ്
ಹಿಂದೆ ನಟ,പിന്നണി നടൻ
ಹಿಂದಿನ ಕಮಾನು,പിന്നിലെ കമാനം
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,ബാക്ക് ബാൻഡ്
ಬ್ಯಾಕ್ ಬ್ರಷ್,ബാക്ക് ബ്രഷ്
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,തിരികെ പരിശോധിക്കുക
ಹಿಂದಿನ ಕೌಂಟರ್,ബാക്ക് കൗണ്ടർ
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,ബാക്ക് കട്ടിംഗ്
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
ಬ್ಯಾಕ್ ಡ್ರೈನ್,ബാക്ക് ഡ്രെയിനേജ്
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,ബാക്ക് ഡ്രോപ്പ്
ಹಿಂದೆ ಭರ್ತಿ,തിരികെ പൂരിപ്പിക്കുക
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,ബാക്ക് ഫില്ലറ്റ്
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,ബാക്ക് ഫ്ലോ കണക്ഷൻ
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
ಬ್ಯಾಕ್ ಗೇಜ್,ബാക്ക് ഗേജ്
ಹಿಂಭಾಗದ ಗಟಾರ,പിന്നിലെ ഗട്ടർ
ಹಿಂಬದಿ ಒಲೆ,പിന്നിലെ അടുപ്പ്
ಹಿಮ್ಮೇಳ,പിന്തുണ
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,ബാക്കിംഗ് ബോർഡ്
ಬೆನ್ನಿನ ಒತ್ತಡ,പിന്നിലെ മർദ്ദം
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,ബാക്ക് പ്രോപ്പ്
ಹಿಂದಿನ ದೃಷ್ಟಿ,പിന്നാമ്പുറ കാഴ്ച
ಹಿಂಬದಿ ನೀರು,പിൻ വെള്ളം
ಅಡ್ಡಿಪಡಿಸು,തടസ്സപ്പെടുത്തുക
ಬ್ಯಾಗ್ವರ್ಕ್,ബാഗ് വർക്ക്
ನಿಲುಭಾರ,ബാലസ്റ്റ്
ಬಾಲ್ ಕ್ಲೇ,പന്ത് കളിമണ്ണ്
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,ബോൾ കോൺ ക്ലാമ്പ്
ಮುಳ್ಳುತಂತಿ,മുള്ളുകമ്പി
ಬಾರ್ ನಾಯಿ,ബാർ നായ
ಬಾರ್ಜ್ ಬೋರ್ಡ್,ബാർജ് ബോർഡ്
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,ബേരിയം സൾഫേറ്റ് പരിശോധന
ಬ್ಯಾರೇಜ್,തടയണ
ಬ್ಯಾರೆಟ್,ബാരറ്റ്
ಬೇಸ್,അടിസ്ഥാനം
ಮೂಲ ವಿನಿಮಯ,അടിസ്ഥാന കൈമാറ്റം
ಬೇಸ್ ಲೈನ್,അടിസ്ഥാന ലൈൻ
ನೆಲಮಾಳಿಗೆ,നിലവറ
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,ബേസ്മെൻറ് മതിൽ
ಬೇಸ್ ಪ್ಲೇಟ್,അടിസ്ഥാന പ്ലേറ്റ്
"ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ","അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
ಮೂಲ ಶುದ್ಧತ್ವ,അടിസ്ഥാന സാച്ചുറേഷൻ
ಬಸಾಯಿಡ್,ബസോയ്ഡ്
ಬ್ಯಾಟ್,ബാറ്റ്
ಬಾತ್ ಮತ್ತು WC,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
ಬ್ಯಾಟರ್ ಪೆಗ್,ബാറ്റർ കുറ്റി
ಬ್ಯಾಟರ್ ಪಿಯರ್,ബാറ്റർ പിയർ
ಬ್ಯಾಟರ್ ನಿಯಮ,ബാറ്റർ ഭരണം
ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್),ബോൾക്ക് (ബാക്ക്)
ಕೊಲ್ಲಿ,ബേ
ಬೇರರ್,ചുമക്കുന്നയാൾ
ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,വഹിക്കാനുള്ള ശേഷി
ಬೇರಿಂಗ್ ಪೈಲ್,ബെയറിംഗ് പൈൽ
ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್,ബെയറിംഗ് സ്ട്രാറ്റം
ಹಾಸಿಗೆ,കിടക്ക
ಹಾಸಿಗೆ ವಿಮಾನ,ബെഡ്ഡിംഗ് വിമാനം
ಬೆಡ್ ಜಂಟಿ,കിടക്ക ജോയിന്റ്
ಬೆಡ್ ರಾಕ್,കിടക്ക പാറ
ಮಲಗುವ ಕೋಣೆ,കിടപ്പുമുറി
ಜೇನುಮೇಣ,തേനീച്ചമെഴുകിൽ
ಬೆಲ್ ಬಾಕ್ಸ್,മണി പെട്ടി
ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್,ബെല്ലിംഗ് ബക്കറ്റ്
ಬೆಲ್ಲೋಫ್ರಾಮ್,ബെല്ലോഫ്രം
ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ,ബെഞ്ച് ചെയ്ത അടിത്തറ
ಬೆಂಚಿಂಗ್,ബെഞ്ചിംഗ്
ಮಾನದಂಡ,ബെഞ്ച് മാർക്ക്
ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,ആനുകൂല്യ ചെലവ് വിശകലനം
ಬೆರ್ಮ್,ബെർം
ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ,ബെവൽഡ് ക്ലോഷർ
"ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-","ബി-ചക്രവാളം,&quot;ബി-"
ಬಿಯಾಟ್,ബിയാറ്റ്
ಬೈಂಡರ್,ബൈൻഡർ
ಬೈಂಡಿಂಗ್ ವಸ್ತು,ബൈൻഡിംഗ് മെറ്റീരിയൽ
ಬಯೋಟ್ ಸಿದ್ಧಾಂತ,ബയോട്ടിന്റെ സിദ്ധാന്തം
ಬಿಟುಮೆನ್,ബിറ്റുമെൻ
ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು,കറുത്ത പരുത്തി മണ്ണ്
ಕಪ್ಪು ಭೂಮಿ,കറുത്ത ഭൂമി
ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು,കറുത്ത ടർഫ് മണ്ണ്
ಬ್ಲೇಡ್,ബ്ലേഡ്
ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്
ಬ್ಲಾಕ್ ರಚನೆ,ബ്ലോക്കി ഘടന
ಬೋಗಿ ಪ್ರತಿರೋಧ,ബോഗി പ്രതിരോധം
ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು,ബോഗ്-ഇരുമ്പ് അയിര്
ಕರಾರುಪತ್ರ,ബോണ്ട്
ಬಂಧಿತ ಸದಸ್ಯ,ബന്ധിത അംഗം
ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್,ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്
ಬಾಂಡ್ ಕಲ್ಲು,ബോണ്ട് കല്ല്
ಬೌಂಡ್ ನೀರು,കെട്ടിയ വെള്ളം
ಬಾಕ್ಸ್ ಗಟರ್,ബോക്സ് ഗട്ടർ
ಬ್ರೇಸ್,ബ്രേസ്
ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್,ബ്രിക്ക്-ഓൺ-എഡ്ജ്
ಬ್ರಿಡ್ಲ್,കടിഞ്ഞാൺ
ಹೊಳಪು,തെളിച്ചം
ಕಂದು ಮಣ್ಣು,തവിട്ട് മണ്ണ്
ಕಟ್ಟಡ,കെട്ടിടം
ಕಟ್ಟಡ ಸರ್ವೇಯರ್,ബിൽഡിംഗ് സർവേയർ
ಬಫರ್,ബഫർ
ಬಫರ್ ಕರ್ವ್,ബഫർ കർവ്
ಬಫರಿಂಗ್,ബഫറിംഗ്
ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ,ബഫറിംഗ് ശേഷി
ಬಂದರ್,ബണ്ടർ
ಬಟ್ರೆಸ್,ബട്രസ്
ಸಿ-ಹಾರಿಜಾನ್,സി-ചക്രവാളം
ಕೇಬಲ್,കേബിൾ
ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್,കേബിൾ മോൾഡിംഗ്
ಕೇಬಲ್ ಹಾಕುವುದು,കേബിളിംഗ്
ಕ್ಯಾಬಿನ್,ചെറിയമുറി
ಕ್ಯಾಬಿನ್ ಹುಕ್,ക്യാബിൻ ഹുക്ക്
ಕ್ಯಾಬಿನೆಟ್,കാബിനറ്റ്
ಕಾಬೋಲ್ಟ್ ತೊರೆದರು,കാബോൾട്ട് ഉപേക്ഷിച്ചു
ಕೆಫೆಟೇರಿಯಾ,കഫറ്റീരിയ
ಪಂಜರ,കൂട്ടിൽ
ಪಂಜರ ನಿರ್ಮಾಣ,കൂട് നിർമ്മാണം
ಕೇನ್ ಅವರ ಸೂತ್ರ,കയീൻ ഫോർമുല
ಕೈಸನ್,കൈസൺ
ಕೈಸನ್ ಕಾಯಿಲೆ,കെയ്സൺ രോഗം
ಕೈಸನ್ ಅಡಿಪಾಯ,കൈസൺ ഫൗണ്ടേഷൻ
ಕೈಸನ್ ರಾಶಿ,കൈസൺ ചിത
ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ,കാൽക്കറിയസ് ഇഷ്ടിക
ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು,സുഷിരമുള്ള കളിമണ്ണ്
ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್,സുഷിരമുള്ള പുറംതോട്
ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್,കാൽസിഫിക്കേഷൻ
ಕ್ಯಾಲ್ಸಿನೇಷನ್,കാൽസിനേഷൻ
ಕ್ಯಾಲ್ಸಿನ್,കാൽസൈൻ
