Punjabi,Malayalam
ਅਧੂਰਾ ਛੱਡਣਾ,ഉപേക്ഷിക്കുക
ਅਧੂਰਾ ਛੱਡੋ,ടൈമർ നിർത്തുക
निरपेक्ष an s,കേവല വിലാസം
ਪੂਰਨ ਪਤਾ,കേവല വിലാസം
ਸੰਪੂਰਨ ਸੰਜਮ,കേവല അസംബന്ധം
ਸੰਪੂਰਨ ਕੋਡ,കേവല കോഡ്
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,കേവല കോഡിംഗ്
ਸੰਪੂਰਨ ਕਮਾਂਡ,കേവല കമാൻഡ്
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,കേവല കോർഡിനേറ്റ്
ਸੰਪੂਰਨ ਡੇਟਾ,കേവല ഡാറ്റ
ਪੂਰੀ ਗਲਤੀ,കേവല പിശക്
ਪੂਰਨ ਸਮੀਕਰਨ,കേവല പദപ്രയോഗം
ਪੂਰਨ ਹਦਾਇਤ,കേവല പ്രബോധനം
ਸੰਪੂਰਨ ਲੋਡਰ,കേവല ലോഡർ
ਸੰਪੂਰਨ ਕ੍ਰਮ,കേവല ക്രമം
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,കേവല പ്രോഗ്രാമിംഗ്
ਸੰਪੂਰਨ ਅਵਧੀ,കേവല പദം
ਸਹੀ ਮੁੱਲ,യഥാർത്ഥ മൂല്യം
ਸੰਪੂਰਨ ਵੈਕਟਰ,കേവല വെക്റ്റർ
ਸਾਰ,വേര്പെട്ടുനില്ക്കുന്ന
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,അമൃതിയുള്ള
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,അമൂർത്ത ചിഹ്നം
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
ਪ੍ਰਵੇਗ ਟਾਈਮ,ത്വരണം സമയം
ਲਹਿਜ਼ਾ,സരഭാരം
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,സ്വീകാര്യത പരിശോധന
ਪਹੁੰਚ,പ്രവേശനം
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,കൈ
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,ആക്സസ് ക്രമീകരണം
ਪਹੁੰਚ ਅਥਾਰਟੀ,അതോറിറ്റി ആക്സസ് ചെയ്യുക
ਐਕਸੈਸ ਚਾਰਜ,ആക്സസ് ചാർജ്
ਐਕਸੈਸ ਕਲਾਸ,ആക്സസ് ക്ലാസ്
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,പ്രവേശന അന്തരീക്ഷം
ਐਕਸੈਸ ਪਾੜਾ,വിടവ് ആക്സസ് ചെയ്യുക
ਐਕਸੈਸ ਇੰਡੈਕਸ,ആക്സസ് സൂചിക
ਐਕਸੈਸ ਲਾਈਨ,ആക്സസ് ലൈൻ
