Assamese,Kannada
এবেলিয়ান গোট,ಅಬೆಲಿಯನ್ ಗುಂಪು
abelian অৰ্ধগোট,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
নিৰপেক্ষ,ಸಂಪೂರ್ಣ
নিৰপেক্ষ অভিসৰণ,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
নিৰপেক্ষ ভুল,ಸಂಪೂರ್ಣ ದೋಷ
নিৰপেক্ষ সৰ্বোচ্চ,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
নিৰপেক্ষ নূন্যতম,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
নিৰপেক্ষ মূল্য,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
নিৰপেক্ষ বেগ,ಸಂಪೂರ್ಣ ವೇಗ
বিমূৰ্ত বীজগণিত,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
বিমূৰ্ত গোট তত্ত্ব,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
বেগ বৃদ্ধি,ವೇಗವರ್ಧನೆ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
গ্ৰহণযোগ্য পছন্দৰ ছেট,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
গ্ৰহণযোগ্য পৰিসৰ,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
সঞ্চিত ভুল,ಸಂಚಿತ ದೋಷ
শুদ্ধতা,ನಿಖರತೆ
ক্ৰিয়াশীল শক্তি,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
কাৰ্য কৰা,ಕ್ರಮ
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
কৃষি বিজ্ঞান,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
তীব্ৰ কোণীয়া ত্ৰিভুজ,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
অচক্ৰীয়,ಅಸೈಕ್ಲಿಕ್
যোগ কৰা,ಸೇರಿಸಿ
adder,ಸೇರಿಸುವವನು
যোগ,ಜೊತೆಗೆ
যোগ সূত্ৰ,ಸೇರ್ಪಡೆ ಸೂತ್ರ
জটিল সংখ্যাৰ সংযোজন,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
ফলনসমূহৰ সংযোজন,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
মেট্ৰিক্সৰ সংযোজন,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
বহুপদ যোগ কৰা,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
সম্ভাৱনাৰ সংযোজন,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
ভেক্টৰৰ সংযোজন,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
যোগ উপপাদ্য,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
যোগকৰণ গোট,ಸಂಯೋಜಕ ಗುಂಪು
যোগকৰণৰ বিপৰীত,ಸಂಯೋಜಕ ವಿಲೋಮ
যোগসূত্ৰৰ বৈশিষ্ট্য,ಸಂಯೋಜಕ ಆಸ್ತಿ
যোগকৰণ,ಸಂಕಲನ
সংলগ্নতা মেট্ৰিক্স,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
পাৰ্শ্বৱৰ্তী,ಪಕ್ಕದ
কাষৰীয়া কোণ,ಪಕ್ಕದ ಕೋನಗಳು
কাষৰীয়া শিখৰ,ಪಕ್ಕದ ಶೃಂಗ
adjoin,ಹೊಂದು
সংলগ্ন,ಪಕ್ಕದ
সংযুক্ত নিৰ্ণায়ক,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
সংযুক্ত অৱভেদ্য সমীকৰণ,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
সংযুক্ত সমীকৰণ,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
সংলগ্ন মেট্ৰিক্স,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
মেট্ৰিক্সৰ সংযুক্ত,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
এডজুগেট মেট্ৰিক্স,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
গ্ৰহণযোগ্য অনুমান,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
বায়ুগতিবিদ্যা বল,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
বায়ুগতিবিদ্যা,ವಾಯುಬಲವಿಜ್ಞಾನ
affine জ্যামিতি,ಅಫೈನ್ ಜ್ಯಾಮಿತಿ
affine মেপিং,ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್
affine ৰূপান্তৰ,ಅಫೈನ್ ರೂಪಾಂತರ
চলকসমূহ একত্ৰিত কৰা,ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ
বীজগণিত,ಬೀಜಗಣಿತ
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ
বীজগণিতীয় সমীকৰণ,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
বীজগণিতীয় প্ৰকাশ,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
বীজগণিতীয় ৰূপ,ಬೀಜಗಣಿತ ರೂಪ
বীজগণিতীয় ফলন,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
বীজগণিতীয় জ্যামিতি,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
বীজগণিতীয় বহুগুণতা,ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ
বীজগণিতীয় ব্যৱস্থা,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
সকলো-পূৰ্ণসংখ্যা সমস্যা,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
আবণ্টনৰ সমস্যা,ಹಂಚಿಕೆ ಸಮಸ್ಯೆ
বৰ্ণানুক্ৰমিক সংকেত,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
বৰ্ণানুক্ৰমিক আখৰ,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
বিকল্প কোণ,ಪರ್ಯಾಯ ಕೋನ
বিকল্প ৰূপ,ಪರ್ಯಾಯ ರೂಪ
বিকল্প গোট,ಪರ್ಯಾಯ ಗುಂಪು
বিকল্প মেট্ৰিক্স,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
বিকল্প শৃংখলা,ಪರ್ಯಾಯ ಸರಣಿ
বিকল্প অনুমান,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
বিকল্প optima,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ
