Hindi,Odiya
" उपशमन ,कमी",ଆବଦ୍ଧ
संक्षिप्‍ति,ସଂକ୍ଷିପ୍ତକରଣ
अपहरण,ଅପହରଣ
प्रास्थगन,ଆବେରୀ
योग्यता,ଦକ୍ଷତା
"आदित:,आरंभ से",Ab initio
योग्य,ସକ୍ଷମ
अपसामान्य,ଅସ୍ୱାଭାବିକ |
" उन्मूलन , समाप्‍ति",ଚତୁରତା
पद समाप्‍ति,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
"ऊपर उल्लिखित, उपर्युक्‍त",ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
ऊपर उद्‍धृत,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
उपर्युक्‍त,ଉପରେ କହିଲା
" अनुपस्थिति, गैरहाजि़री , अभाव",ଅନୁପସ୍ଥିତି
"अनुपस्थित, ग़ैरहाजि़र",ଅଧ୍ୟାପୀ
" अनुपस्थिति-प्रवृत्‍ति , अन्यत्रवासिता",ଅନୁପସ୍ଥିତତା
अनुपस्थिति-विवरण,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
" पूर्ण , निरपेक्ष",ସଂପୂର୍ଣ୍ଣ
पूर्ण एकाधिकार,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
पूर्ण स्वामित्व,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
" आमेलन , अवशोषण",ଶୋଷଣ
सार,ବିସ୍ତୃତ
सार-विवरण,ବିସ୍ତୃତ
"अर्थहीन, बेतुका",ଅବ urd ଧ |
प्रचुरता,ପ୍ରଚୁରତା
शक्‍ति का दुरुपयोग,ଶକ୍ତିର ଅପବ୍ୟବହାର |
गाली-गलौज,ଅପମାନଜନକ ଭାଷା |
"अकादमिक, शैक्षणिक,विद्‌यासंबंधी,शास्त्रीय",ଏକାଡେମିକ୍ |
शास्त्रीय चर्चा,ଏକାଡେମିକ୍ ଆଲୋଚନା
अकादमिक छुट्टी,ଏକାଡେମିକ୍ ଛୁଟି |
शैक्षिणिक अर्हता,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
"शैक्षिक रिकार्ड,शैक्षिक अभिलेख",ଏକାଡେମିକ୍ ରେକର୍ଡ |
"मान लेना, अधिमिलन होना",ଧ୍ୟାନଦେଇ
"स्वीकार करना,मानना",ଗ୍ରହଣ କର
" स्वीकृति , प्रतिग्रहण ",ଗ୍ରହଣ
पद-स्वीकृति,ଅଫିସ୍ ଗ୍ରହଣ
निविदा की स्वीकृति,ଟେଣ୍ଡର ଗ୍ରହଣ
पहुंच,ପ୍ରବେଶ
"राज्यारोहण , पदारोहण , परिग्रहण",ପ୍ରବେଶ
" अनुषंगी, उपसाधन",ଆନୁଷଙ୍ଗିକ
" दुर्घटना, संयोग",ଦୁର୍ଘଟଣା
पर्यनुकूलन,ସୁକମ୍ଲାଇଜେସନ୍
" आवास, निर्वाह , समंजन",ଆବାସ
संगकार,ସାଥୀ
" समझौता, प्रदान करना, देना",ଆକର୍ଡ
"अनुरूपता, संगति",ସମ୍ପତ୍ତୀ
तदनुसार,ସେହି ଅନୁଯାୟୀ |
" लेखा,खाता ,हिसाब",ଖାତା
जवाबदेही,ଉତ୍ତରଦାୟିତ୍ୱ
" जवाबदेह, देनदार",ଉତ୍ତରଦାୟୀ |
" लेखा विधि , लेखा कार्य",ଆକାଉଣ୍ଟାଣ୍ଟି
लेखाकार,ଆକାଉଣ୍ଟାଣ୍ଟ
" कारण बताना , लेखा-जोखा देना",ଖାତା ପାଇଁ
लेखा-शीर्ष,ଖାତା ହେଡ୍
प्रोद्‌भूत हितलाभ,ଅଭିଯୋଗ ଲାଭ
प्रोद्‌भूत पेन्शन,ପେନ୍ ପେନ୍ସନ୍
"संचय,संचयन",ଜମା
" यथार्थता , परिशुद्‌धता",ସଠିକତା
" यथार्थ, सही , परिशुद्‌ध",ସଠିକ୍
अभियोग लगाना,ଅଭିଯୋଗ
अभियुक्‍त,ଅଭିଯୁକ୍ତ
उपलब्‍धि,ସଫଳତା
" पावती,प्राप्‍ति सूचना ,अभिस्वीकृति ",ସ୍ୱୀକୃତି
"पावती पत्र, रसीदी",ସ୍ୱୀକୃତି ଦେବାର |
" (व्यक्‍ति) परिचित , परिचय",ପରିଚୟ
"अधिग्रहण, अर्जन",ଅଧିଗ୍ରହଣ
"भुगतान , भरपाई,निस्तारण ",ନିର୍ଦ୍ଦୋଷ
"कार्य, कृत्य,अधिनियम",କାର୍ଯ୍ୟ କର
कार्यकारी भत्‍ता,ଅଭିନୟ ଭତ୍ତା
"कार्रवाई,क्रिया, कार्य , संघर्ष",କାର୍ଯ୍ୟ
कार्य योजना,କ୍ରିୟା ଯୋଜନା
सक्रिय,ସକ୍ରିୟ
"सक्रियता से, सक्रियतापूर्वक",ସକ୍ରିୟ ଭାବରେ |
" कर्मठ कार्यकता , सक्रियतावादी",କାର୍ଯ୍ୟକର୍ତ୍ତା
दैव कृत्य,God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ
कदाचार,ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ
भूल-चूक,କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |
वास्तविक,ପ୍ରକୃତ
वास्तविक आंकडे,କାର୍ଯ୍ୟ
" अनुकूलन, रूपांतर",ଆଡାପ୍ଟେସନ୍
" योग, जोड़, परिवर्धन",ଯୋଗ
अतिरिक्‍त प्रभार,ଅତିରିକ୍ତ ଚାର୍ଜ
अतिरिक्‍त निधि,ଅତିରିକ୍ତ ପାଣ୍ଠି
अतिरिक्‍त अनुदान,ଅତିରିକ୍ତ ଅନୁଦାନ
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",ଅତିରିକ୍ତ ସୂଚନା
अतिरिक्‍त वेतन,ଅତିରିକ୍ତ ଦେୟ
परिवर्तन-परिवर्धन,ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ
" पता, अभिभाषण, संबोधन,संबोधित करना, मानपत्र , विचार करना",ଠିକଣା
"पाने वाला, प्रेषिती",ଆଡ୍ରେସେେ |
अभिनंदन पत्र,ସ୍ୱାଗତିବାର ଠିକଣା
पर्याप्‍त,ପର୍ଯ୍ୟାପ୍ତ
"पर दृढ़ रहना, पर जमे रहना",ନିୟମ ପାଳନ
तदर्थ,ଅନୁପଚାରି
तदर्थ दावा,ବିଜ୍ଞାପନ ହକ୍ ଦାବି |
तदर्थ समिति,ବିଜ୍ଞାପନ ହକ୍ କମିଟି |
तदर्थ वृद्‌धि,AD HOC ବୃଦ୍ଧି |
तदर्थ भुगतान,ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |
‍पार्श्‍वस्थ,ସଂଲଗ୍ନ
"लगा होना, सटा होना",ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ)
स्थगन,ସ୍ଥଗିତତା
"स्थगन प्रस्ताव, काम रोको प्रस्ताव",ଆଡଜାଇବା ଗତି
न्यायनिर्णीत करना,ସମର୍ଥନ କର ଘର
न्यायनिर्णय करना,ଗୁଚିଚୀନିକ
न्यायनिर्णयन,ସମର୍ଥନ
न्यायनिर्णायक,ଆଦ୍ବ୍ରୀକରଣ
समायोजन,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
" प्रशासन करना, देना,दिलाना , व्यवस्था करना",ପ୍ରଶାସକ
शपथ दिलाना,ଶପଥ କର
प्रशासन,ପ୍ରଶାସନ
न्याय-प्रशासन,ନ୍ୟାୟ ପ୍ରଶାସନ
प्रशासनिक,ପ୍ରଶାସନିକ
