English,Marathi
Abelian group,abeli गट
abelian semigroup,अबेली गट
abscissa,हात
absolute,"निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
absolute convergence,परिपूर्ण अभिसरण
absolute error,परिपूर्ण त्रुटी
absolute maximum,सर्वोच्च सर्वोच्च
absolute minimum,परिपूर्ण सर्वात कमी
absolute value,परिपूर्ण मूल्य
absolute velocity,परिपूर्ण वेग
abstract algebra,अमूर्त बीजगणित
abstract group theory,अमूर्त गट सिद्धांत
acceleration,प्रवेग
acceleration due to gravity,गुरुत्वाकर्षण प्रवेग
acceptable choice set,स्वीकार्य निवडकर्ता
acceptable quality level,स्वीकार्य गुणवत्ता पातळी
acceptable range,स्वीकार्य परिसर
acceptable reliability level,वैध विश्वसनीयता पातळी
acceptable sampling,स्वीकृती नमुना
accumulated error,संचित त्रुटी
accuracy,अचूकता
acting force,शक्ती लागू
action,"कृती, कृती"
action and reaction,क्रिया आणि प्रतिक्रिया
acturial science,विमा विज्ञान
acute angled triangle,तीव्र त्रिकोण
acyclic,अॅसायक्लिक
add,बेरीज करणे
adder,जोडणारा
addition,"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
addition formula,योगाचे सूत्र
addition of complex numbers,जटिल संख्यांची बेरीज
addition of functions,कार्यांची बेरीज
addition of matrices,मॅट्रिक्सची बेरीज
addition of polynomials,बहुपदांची बेरीज
addition of probabilities,संभाव्यतेची बेरीज
addition of vectors,वेक्टरची बेरीज
addition theorem,"बेरीज प्रमेय, बेरी सिद्धांत"
additive group,मिश्रित गट
additive inverse,additive inverse
additive property,जोडणी
additivity,जोडणी
adjacency matrix,संलग्नता मॅट्रिक्स
adjacent,"समीप, समीप, समीप"
adjacent angles,समीप कोन
adjacent vertex,समीप शिरोबिंदू
adjoin,संबद्ध करणे
adjoining,संलग्न संलग्न
adjoint determinant,सामान्य निर्धारक
adjoint differential equation,संलग्न विभेदक समीकरण
adjoint equation,संलग्न समीकरण
adjoint matrix,एकसंध मॅट्रिक्स
adjoint of matrix,मॅट्रिक्स सहप्रसरण
adjugate matrix,एकसंध मॅट्रिक्स
admissible decision function,स्वीकार्य निर्णय कार्य
admissible hypothesis,स्वीकार्य गृहीतक
aerodynamic force,वायुगतिकीय शक्ती
aerodynamics,वायुगतिकी
affine geometry,एकसंध भूमिती
affine mapping,एकसंध मॅपिंग
affine transformation,एकसंध परिवर्तन
aggregating variables,एकूण चल
algebra,"बीजगणित, बीजगणित, बीजगणित, बीजगणित"
algebraically closed,"बियाणे बंद, बीजारोपण"
algebraic equation,बीजगणितीय समीकरण
algebraic expression,बीजगणितीय अभिव्यक्ती
algebraic form,बीजगणितीय एकरूपता
algebraic function,बीजगणितीय कार्य
algebraic geometry,बीजगणितीय भूमिती
algebraic multiplicity,बीजगणितीय बहुलता
algebraic system,बीजगणितीय प्रणाली
all-integer problem,सर्व-पूर्णांक समस्या
allocation problem,असाइनमेंट समस्या वॅट प्रश्न
alphabetical notation,वर्णक्रमानुसार नोटेशन
alphabetic character,वर्णमाला वर्ण
alternate angle,पर्यायी कोन
alternating form,पर्यायी एकसंध पर्यायी फॉर्म
alternating group,पर्यायी गट
alternating matrix,पर्यायी मॅट्रिक्स
alternating series,पर्यायी मालिका
alternative hypothesis,वैकल्पिक गृहीतक
alternative optima,पर्यायी इष्टतम
alternative outcome,पर्यायी परिणाम
analog-to-digital converter,अॅनालॉग-अंकी कनवर्टर
analogue computer,अॅनालॉग संगणक
analysis,विश्लेषण
analysis of covariance,सहप्रसरण विश्लेषण
analysis of enumeration data,गणन-डेटा विश्लेषण
analysis of variance,भिन्नता विश्लेषण
analytic geometry,विश्लेषणात्मक भूमिती
analytic function,विश्लेषणात्मक कार्य
angle,कोन
angle of contact,स्पर्शिका कोन
angle of deflection,विक्षेपण कोन
angle of depression,उदासीनता कोन
angle of deviation,विचलन कोन
angle of diffraction,विवर्तन कोन
angle of elevation,उंची कोन
angle of incidence,घटनेचा कोन
angle of projection,प्रक्षेपण कोन
angle of reflection,प्रतिबिंब कोन
angle of refraction,अपवर्तन कोन
angle of rotation,रोटेशन कोन
angle of total reflection,परावर्तनाचा परिपूर्ण कोन
angular acceleration,कोनीय प्रवेग
angular motion,कोनीय गती
angular speed,कोनीय गती
angular velocity,कोनीय गती
annulus,अनामिका
answer,उत्तर द्या
anti – derivative,काउंटर व्युत्पन्न
antisymmetric function,आयसोमेट्रिक फंक्शन
applicable,"कव्हर करण्यायोग्य, लागू, लागू"
application,अर्ज अर्ज
applied dynamic programming,लागू डायनॅमिक प्रोग्रामिंग
applied geometry,लागू भूमिती
applied mathematics,लागू गणित
applied statistics,लागू आकडेवारी
approximately,"अंदाजे, अंदाजे"
approximately continuous function,अंदाजे सतत कार्य
approximate method,"मॅक्रो पद्धत, अंदाजे पद्धत"
approximate solution,अंदाजे उपाय
approximation problem,अंदाजे समस्या
approximation property,अंदाजे मालमत्ता
aptitude test battery,योग्यता चाचणी
Argand diagram,आर्गॉन आकृती
arbitrarily chosen,ऐच्छिक
arbitrary,"यादृच्छिक, यादृच्छिक"
arbitrary constant,अनियंत्रित स्थिरांक
arbitrary element,मुक्त घटक
arbitrary point,अनियंत्रित बिंदू
Archemedean law,आर्किमिडीजचा कायदा
Archimedes principle,आर्किमिडीजचा कायदा
arc length,"चाप-लांबी, चाप-लांबी"
arc of circle,वर्तुळ चाप
arc sine distribution,व्यस्त साइन वितरण
arc sine transformation,व्यस्त साइन रूपांतरण
area,"क्षेत्र, क्षेत्र"
areal texture,प्रादेशिक कॉन्फिगरेशन
argument of complex number,जटिल संख्येचा कोन
arithmetic mean,अंकगणित सरासरी
arithmetic operation,डिजिटल ऑपरेशन
arithmetic unit,डिजिटल युनिट
arrangement,"कॉन्फिगरेशन, व्यवस्था"
array,"अॅरे, अॅरे"
artificial satellite,कृत्रिम उपग्रह
artificial variable,कृत्रिम व्हेरिएबल
ascend,चढणे
ascending,चढत्या
ascending order of magnitude,परिमाणाचा चढता क्रम
ascending series,चढत्या श्रेणी
assembler language,असेंबलर भाषा
assignment problem,असाइनमेंट समस्या असाइनमेंट प्रश्न
associative law,सहयोगी नियम
associative law of operators,ऑपरेटर्सचा सहयोगी नियम
associative operation,सहयोगी ऑपरेशन
associativity,सहवास
assumed mean,सरासरी गृहीत धरले
assumed probability distribution,गृहीत संभाव्यता वितरण
assumption,"कल्पना केली, स्वीकारली"
astrology,ज्योतिष
astronautical engineer,अंतराळ अभियंता अंतराळ अभियंता
astronomer,खगोलशास्त्रज्ञ*
astronomical clock,खगोलशास्त्रीय घड्याळ
astronomy,खगोलशास्त्र
asymmetrical curve,असममित वक्र
asymmetry,विषमता
asymptote,लक्षणे नसलेला
asymptotic,त्रासदायक
asymptotically efficient estimator,प्रगतीशील अंदाजक
asymptotically unbiased estimator,प्रतिगामी पक्षपाती अनुमानक
asymptotic behavior,प्रतिगामी आचरण
asymptotic distribution function,आक्रमक वितरण कार्य
asymptotic expansion,वर पसरलेला
atmospheric pressure,वातावरणाचा दाब
at random,यादृच्छिकपणे
attribute,मालमत्ता*
attributes sampling procedure,विशेषता-नमुना-यंत्रणा
augmented matrix,संवर्धित मॅट्रिक्स
autocorrelation coefficient,स्वयंसंबंध गुणांक
autocorrelation function,स्वयंसंबंध कार्य
autocovariance,सहप्रसरण
automatic computer,स्वयंचलित संगणक
autoregression,ऑटोरिग्रेशन
auxiliary equation,सहाय्यक समीकरण
average sample number curve (A.S.N. Curve),सरासरी नमुना क्रमांक वक्र (MPC वक्र)
axiom,"स्वयंसिद्ध, स्वयंसिद्ध"
axiomatic approach,स्वयंसिद्ध दृष्टीकोन
axiom of probability,संभाव्यता स्वयंसिद्ध
axis,अक्ष
axis of abscissa,भुजक्षा
axis of earth,पृथ्वीचा अक्ष
axis of revolution,रोटेशन अक्ष
axis of rotation,रोटेशन अक्ष
axis of spin,फिरकी अक्ष
back-substitution,पोस्ट बदली
backward difference,नंतर
backward-interpolation formula,बॅक इन्सर्टेशन फॉर्म्युला
balance,"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
balanced design,संतुलित डिझाइन
balance sheet,ताळेबंद
ballistic missile,क्षेपणास्त्र
ballistics,"बॅलिस्टिक्स, शस्त्रे"
bar,"स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार"
base,"बेस, बेस, बेस, बेस, बेस"
base angle,बेस कोन
base of logarithm,"लॉगरिथमचा आधार, लॉगरिथमचा आधार"
basic,"मूलभूत, मूलभूत"
basic feasible solution,बेस सुसंगत उपाय
basic solution,बेस सोल्यूशन
basic variable,बेस व्हेरिएबल
basis,पाया
basis element,मूळ घटक
basis matrix,बेस मॅट्रिक्स
basis of a vector space,वेक्टर स्पेसचा पाया
basis of subspace,उपलोकसंख्या आधार
Bayesian estimate,बेईमान
Bayes' law,bez-नियम
Bayes' theorem,bez-प्रमेय
Bernoulli distribution,bernoulli-वितरण
Bernoulli number,बर्नौली क्रमांक
Bernoulli probability function,बर्नौली संभाव्यता कार्य
Bernoulli's equation,बर्नौली-समीकरण
Berry function,बोरासारखे बी असलेले लहान फळ कार्य
best fit,सर्वोत्तम आसंजन
best - fit line,सर्वोत्तम आसंजन ओळ
best solution,सर्वोत्तम उपाय
best strategies,सर्वोत्तम टिपा
beta distribution,बीटा वितरण
bias,"पक्षपात, पक्षपात"
biased estimate,पक्षपाती मूल्यांकन
biharmonic equation,द्विपद समीकरण
bijection,एकल कव्हर
bijective map,सिंगल कव्हर नकाशा
bijective mapping,सिंगल कव्हर मॅपिंग
bilinear form,चतुर्भुज चौकोन
bilinear function,द्विरेखीय कार्य
bilinear Hermitian form,द्विरेखीय हर्मिटियन एकजिनसीपणा
binary,"द्वि-चर, बायनरी, दुहेरी"
binary code,"बायनरी कोड, बायनरी कोड"
binary coded decimal,"बायनरी कोडेड दशांश, बायनरी कोडेड दशांश"
binary coding,बायनरी एन्कोडिंग
binary computer,बायनरी संगणक
binary digit,बायनरी अंक
binary operation,बायनरी ऑपरेशन
binary system,बायनरी पद्धत
binary variable,बायनरी व्हेरिएबल
binomial coefficient,द्विपदी गुणांक
binomial distribution,द्विपदी वितरण
binomial equation,द्विपद समीकरण
binomial expansion,द्विपद भिन्नता
binomial expression,द्विपदी अभिव्यक्ती
binomial random variable,द्विपदी यादृच्छिक चल
binomial theorem,द्विपद प्रमेय
bisection,"अर्धा, दुभाजक"
bisection method,"दुभाजक पद्धत, अर्धविभाग पद्धत"
bisector,अर्धा दुभाजक
biserial,"द्विपदी, द्विपदी"
bit,"द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक"
bivariate binomial distribution,द्विपदी द्विपद वितरण द्विपदी
bivariate correlation coefficient,द्विवैरिएट सहसंबंध गुणांक
bivariate distribution,द्विवैरिएट वितरण
bivariate normal distribution,द्विवैरिएट सामान्य-वितरण
bivector,bivector
Boltzmann equation,बोल्टमन समीकरण
Boolean algebra,बुलियन बीजगणित*
Bose - Einstein statistics,बोस-आईन्स्टाईन सांख्यिकी
boundary condition,मर्यादा निर्बंध
boundary layer,सीमा पातळी
boundary line,सीमारेषा
boundary value,मर्यादा मूल्य
boundary value problem,सीमा मूल्य समस्या
bounded function,बाउंड फंक्शन बाउंडेड फळ
bounded matrix,"बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल"
bounded region,सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश
bounded set,बाऊंड सेट बाउंडेड सेट
Brownian motion,ब्राउनी मोशन
calculate,मोजणे
calculating,गणना
calculating machine,"कॅल्क्युलेटर, कॅल्क्युलेटर"
calculation,गणना*
calculational procedure,संगणकीय क्रिया पद्धत
calculator,"कॅल्क्युलेटर, कॅल्क्युलेटर"
calculus,"कॅल्क्युलस, कॅल्क्युलस"
calculus of variation,भिन्नता कॅल्क्युलस
calorie,कॅलरीज
cancellation law,नियम रद्द करा
canonical equation,प्रामाणिक समीकरण
canonical form,प्रामाणिक फॉर्म
canonical matrix,"कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स"
Cantor set,cantor सेट
Cantor's ternary set,cantor त्रिकोणी संच
capacitated transportation problem,वाहतुकीची अडचण
capacity,क्षमता
capillary force,केशिका शक्ती
cardinal number,"संख्या संख्या, मुख्य संख्या"
Cartesian axes,कार्टेशियन अक्ष
Cartesian coordinates,कार्टेशियन समन्वय
Cartesian product,कार्टेशियन उत्पादन
Cartesian product of sets,संचांचे कार्टेशियन गुणाकार
case study,"केस स्टडी, केस स्टडी"
catastrophic fluctuation,आपत्तीजनक भाषण
Catenary,कॅटिनरी
Cauchy distribution,कॉची वितरण
Cauchy formula,कौशीचें सूत्र
Cauchy Goursat theorem,कौशी-गुरसा-प्रमेय
Cauchy Riemann conditions,कौशी-रिमन-बॅन
Cauchy sequence,कॉची क्रम
Cauchy integral,कौशी अभिन्न
Cauchy principal value,कौशी मुख्य-मूल्य
Cauchy residue theorem,कॉची शेष प्रमेय
Cayley Hamilton theorem,कॅले-हॅमिल्टन-प्रमेय
celestial body,आकाशीय शरीर
celestial measurement,खगोलशास्त्रीय मोजमाप
celestial mechanics,खगोलीय यांत्रिकी
celestial object,आकाशीय शरीर
cell frequency,सेल वारंवारता
census,"जनगणना, जनगणना"
centile,टक्केवारी
centimeter,सेंटीमीटर
centimeter gram second system,सेंटीमीटर-ग्राम-सेकंद पद्धत
central,"मध्यवर्ती, केंद्रीत"
central axis,मध्य अक्ष
central difference,मध्यवर्ती अंतर
central difference formula,केंद्रीय फरक सूत्र
