Punjabi,Marathi
ਐਬੈਕਸਿਅਲ ਸਤਹ,अ‍ॅबॅक्सियल पृष्ठभाग
ਪੇਟ,ओटीपोट
ਪੇਟ AORTA,ओटीपोटात महाधमनी
ਪੇਟ ਗੰਗਾਲੀਆ,ओटीपोटात गॅंग्लिया
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,एबेलमोशस एस्क्युल्टस
ਅਸਧਾਰਨ,विकृती
ਅੱਛਾ,अबीज
ਅਬਿੰਗਡਨ ਕਛੂਆ,अबिंगडॉन कासव
ਅਬੀਓਜੀਨੇਸਿਸ,अ‍ॅबिओजेनेसिस
ਅਬੀਓਟਿਕ,अ‍ॅबिओटिक
ਅਬੀਓਟਿਕ ਕਾਰਕ,अ‍ॅबिओटिक फॅक्टर
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,असामान्य मूत्र
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,अबो ब्लड ग्रुप
Abscisic ਐਸਿਡ,अ‍ॅबसिसिक acid सिड
ਵਿਵੇਕ,फलंदाजी
ਸੋਖਣਾ,शोषून घ्या
ਸਮਾਈ ਪੀਕ,शोषण शिखर
ਸਮਾਈ,शोषण
ਅੱਕੀਆ ਕੈਟੂਯੂ,बाभूळ कॅटेचू
ਅਕਾਰੀਆ ਅਰਬੀ,अकारिया अरबीका
ਐਕਾਪ੍ਰਿਨ,अकाप्रिन
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,स्वीकार्य लैंगिक वर्तन
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,Ory क्सेसरी ग्रंथी
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,Ory क्सेसरी ग्रंथी
ਸਹਾਇਕ ਅੰਗ,Ory क्सेसरीसाठी अवयव
ਅਨੁਕੂਲਤਾ,सहनशीलता
ਅਹਿਮ,अनुकूलित करा
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),निवास (लक्ष केंद्रित करणे)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,डोळ्याची निवासस्थान
ਅਦਭੁਤ ਵਾਧਾ,संवर्धन वाढ
ਇਕੱਠਾ,संचय
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,सेंद्रिय पदार्थाचे संचय
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,मातीचे संचय
ਐਸੀਲੂਲਰ,सेल्युलर
ਐਸੀਲੂਲਰ ਜੀਵ,एसेल्युलर जीव
ਐਸੀਟੌਮੂਲਮ,एसीटाबुलम
ਐਸੀਟਲਾਈਡਾਈਡ,एसीटाल्डिहाइड
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,एसिटिल कोएन्झाइम
ਅਮੀਥਿਨਾ,अकॅटिना
ਅੱਕੇ,अचेने प्रकार
ਅਕੇਸ਼ੀ,अचेने
AchlamyDosporeae,अक्लमिडोस्पोरिया
ਐਸਿਡ ਬਾਰਸ਼,आम्ल वर्षा
ਤੇਜਾਬ,अम्लीय
ਤੇਜ਼ਾਬ ਗੈਸ,अम्लीय वायू
ਐਸਿਡਿਟੀ,आंबटपणा
ਐਕਸੀਨਰ ਸੈੱਲ,एसीनार सेल
ਆਕੋਲੀਓਮੈਟ,एकोलोमेट
ਐਕੋਨਿਟਮ,On कोनिटम
ਐਕੋਰਨ ਕੀੜਾ,अ‍ॅकॉर्न वर्म
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,ध्वनिक झोनिंग
ਪਾਤਰ ਪਾਤਰ,अधिग्रहित वर्ण
ਸੀਮਤ ਸੀਮਤ,वसूल केलेली प्रतिकारशक्ती
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
ਅਰੇਂੀਆ,एकरानिया
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,Rid सिडिन डाई
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,अ‍ॅक्रोसेन्ट्रिक
ਐਕਰੋਮਰ,अ‍ॅक्रोमियन
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,अ‍ॅक्रोपेटल सीक्वेन्स
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,अ‍ॅक्रोपेटल ऑर्डर
ਐਕਰੋਸਿਨ,अ‍ॅक्रोसिन
ਐਕਟਿਨ,अ‍ॅक्टिन
ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ,अ‍ॅक्टिन-सारखी प्रथिने
ਐਕਟਿਨੀਮੋਰਿਕ,अ‍ॅक्टिनोमॉर्फिक
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,अ‍ॅक्टिनोमाइसेट्स
ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ,कृती संभाव्यता
ਸਰਗਰਮ ਸਲੱਜ,सक्रिय गाळ
ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ,सक्रिय गाळ फ्लॉक
ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ,सक्रियता ऊर्जा
ਐਕਟਿਵ ਸਮਾਈ,सक्रिय शोषण
ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ,सक्रिय प्रतिकारशक्ती
ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ,सक्रिय रेडिएशन
ਐਕਟਿਵ ਸਾਈਟ,सक्रिय साइट
ਐਕਟੀਵੇਟ,अ‍ॅक्टिव्हिन
ਅਮੀਮਿਨੇਟ,Umicate
ਐਡਮਜ਼ੀਆ,अ‍ॅडम्सिया
ਅਨੁਕੂਲਤਾ,अनुकूलता
ਅਨੁਕੂਲਤਾ,रुपांतर
ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ,हलकी व्यवस्थेशी जुळवून घेणे
ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ,पाण्याची कमतरता रुपांतर
ਅਨੁਕੂਲ ਗੁਣ,अनुकूली वैशिष्ट्ये
ਅਨੁਕੂਲ ਛੋਟ,अनुकूली प्रतिकारशक्ती
ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ,अनुकूली रेडिएशन
ਅਨੁਕੂਲ ਗੁਣ,अनुकूली गुण
ਏਕੈਕਸੀਅਲ ਸਤਹ,अ‍ॅडॅक्सियल पृष्ठभाग
ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ,व्यसनाधीन डिसऑर्डर
ਐਡੀਨੇਨ,En डेनिन
ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ,En डेनोकोर्टिकोट्रोपिन
ਐਡੀਨੋਹਾਇਪਿਸਿਸ,En डेनोहायपोफिसिस
ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ,En डेनोसिन डायफॉस्फेट
ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ,En डेनोसिन डिमिनेस
ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ,En डेनोसाइन मोनोफॉस्फेट
ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ),En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ,En डेनिलेट सायक्लेज
ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ,चिकट शक्ती
ਐਡਪੋਜ਼,अ‍ॅडिपेट
Adipocyte (ਚਰਬੀ ਸੈੱਲ),अ‍ॅडिपोसाइट (चरबी सेल)
ਐਡਪੋਜ਼ ਟਿਸ਼ੂ,अ‍ॅडिपोज टिशू
ਐਡਨੇਟ,Nednate
ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ,लगतचा समुदाय
ਐਡਰੀਨਲ,Ren ड्रेनल
ਐਡਰੇਨਲ ਗਲੈਂਡ,Ren ड्रेनल ग्रंथी
ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ),एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH),Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
ਐਡੋਰਬੈਂਟ,Or सॉर्बेंट
ਇਸ਼ਤਿਹਾਰ,शोषण
ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ,प्रगत Chordate
ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ,फायदेशीर उत्परिवर्तन
ਸਾਹਸੀ,अ‍ॅडव्हेंटिशियल
ਸਾਹਸੀ ਜੜ,साहसी मूळ
ਗਲਤ ਪ੍ਰਭਾਵ,प्रतिकूल परिणाम
ਏ.ਡੀ.ਡੀ.,एडीज
ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ,संस्कृतीचे वायुवीजन
