Odiya,Hindi
ଅବକାଶର ପୃଷ୍ଠ |,अपाक्ष पृष्ठ
ପେଟ,उदर
ପେଟର ଆର୍ଟା |,उदर महाधमनी
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,उदर गुच्छिका
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,अबेलमॉस्कस एस्कुलेन्टस
ଆବର୍ଗନ,विपथन
ଆବିସ୍,ऐबीज (बलूत)
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,ऐबिंग्डन कछुआ
Abognescesis,अजीवात्जनन
ଅବିଟ,अजीवीय
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,"अजीवीय कारक, अजैव कारक"
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,अपसामानय मूत्र
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,ए.बी.ओ. रुधिर वर्ग
ଅବସିସିକ୍ ଏସିଡ୍ |,एब्सिसिक अम्ल
ଅବସିସନ,विलगन
ଶୋଷଣ,अवशोषण करना
ଅବଶୋଷଣ ଶିଖର |,अवशोषण शिखर
ଶୋଷଣ,अवशोषण
ଆକାସିଆ କ୍ୟାଚଚୁ |,अकेशिया कैटेच्यू
ଆକାରିଆ ଆରବୀ |,अकेशिया अरेबिका (बबूल)
ଆକ୍ରିନ,ऐकैप्रिन
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,स्वीकार्य लैंगिक व्यवहार
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,सहायक ग्रंथि
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,अतिरिक्त ग्रंथि
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,सहायक अंग
ସୁକମ୍ଲାଇଜେସନ୍,"पर्यनुकूलन, दशानुकूलन"
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,"पर्यनुकूलित करना, दशानुकूलित करना"
ଆବାସ (ଧ୍ୟାନ),समंजन (फोकसन)
ଆଖିରେ ରହିବା,नेत्र की समंजन क्षमता
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,अभिवर्धी वृद्धि
ଜମା,"संचय, संचयन"
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,कार्बनिक पदार्थों का एकत्रीकरण
ମାଟିର ଜମା |,मृदा संचयन
Acellululula |,अकोशिकीय
ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |,अकोशिकीय जीव
ଏସିଟାବୁଲମ୍,"श्रोणिउलूखल, ऐसीटैबुलम"
ACTalDeyDee,ऐसीटेल्डिहाइड
ACETIL କୋଏନୋଜିମ୍ |,ऐसीटिल सह-ऐंजाइम
ଆଖିନିନା |,ऐकेटाइना
ଅହିଯାଉଥିବା ପ୍ରକାର |,ऐकीन प्रकार
ଅହିଯେ,ऐकीन
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,ऐक्लेमाइडोस्पोरी
ଅମ୍ଳ ବର୍ଷା,अम्ल वर्षा
ଅମ୍ଳୀୟ,अम्लीय
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,अम्लीय गैस
ଅମ୍ଳତା,अम्लता
ଆଖର ସେଲ୍ |,गुच्छकोष्ठक कोशिका
ଆକ୍ୱେମିଲେଟ୍ |,अगुहिक
ଆକୋନିଟମ୍,ऐकोनिटम
ଆକ୍ୟୁନ୍ ପୋକ |,"एकॉर्न कृमि, बंजुक कृमि"
ଆକାଶବାଣୀ ଜୋନିଂ |,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
