Hindi,English
अजीवात् जनन,abiogenesis
अपसामान्य,abnormal
1. चतुर्थ आमाशय 2. ऐवोमैसम,abomasum
रुद्ध-वृद्धि अंग,aborted organ
रुद्ध वृद्धि बीज,aborted seed
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,abortion
1. अवांछित अपतृण 2. पूर्ण खरपतवार,absolute weed
अवशोषित धनायन,absorbed cation
अवशोषण,absorption
ऐबिसिनी सरसों,abyssinian mustard
1.एकेरेसनाशी 2. चिचड़ीनाशी,acaricide
अकेंद्री,accentric
प्रवर्धन (कोशिका),accentuate (cell)
स्वीकृत सह्यता,accepted tolerance
1.अतिरिक्त 2. सहायक 3. गौण,accessory
पर्यनुकूलन,acclimatization
संचय,accumulation
1.vयथार्थता 2. परिशुद्धता,accuracy
1. एसर्वुलस 2. बीजाणुपात्र,acervulus
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,acetification
1. अम्लीकरण 2. अम्लन,acidification
1.अम्लतामापी 2. एसिडीमीटर,acidimeter
अम्लता,acidity
अम्लरागी,acidophilic
अम्लीकृत रॉक फॉस्फेट,acidulated rock phosphate
अम्लसह,aciduric
जलभृत,acquifer
अधिग्रहण,acquisition
एकड़,acre
1.क्षेत्रफल 2. रकबा,acreage
उपांत बिंदु क्रोमोसोम,acrocentric chromosome
अग्राभिसारी,acropetal
ऐक्रोसोम,acrosome
एक्टिनोमाइसिटीज,actinomycetes
सक्रिय मूलक्षेत्र,active root zone
1.उग्र 2. तीव्र,acute
अनुकूलनशीलता,adaptability
अनुकूलन,adaptation
1. आसंजन 2. अभिलाग,adhesion
वसामय,adipose
समायोजन समीकरण,adjustment equation
ऐडोब मृदा,adobe soil
अपमिश्रक,adulterant
अपस्थानिक,adventitious
इसीडियोस्पोर इसीडियम बीजाणु,aecidiospore
वातोढ़ प्रक्रिया,aeolian process
वातोढ़,aeolian
वातन करना,aerate
1. वायव 2. आकाशी,aerial
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,aerometer
ऐरोसोल,aerosol
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,aestivation
रोग हेतु विज्ञान,aetiology (etiology)
वनरोपण,afforestation
1. विलोडन 2. प्रक्षोभन,agitation
ऐगमार्क,agmark
1. भूमि संबंधी 2. कृषि संबंधी,agrarian
कृषि निदानालय,agricultural clinic
1. कृषि श्रम 2. खेतिहर मजदूर,agricultural labour
कृषि विपणन,agricultural marketing
कृषि प्रद्योगिकी,agricultural technology
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,agriculture
कृषि वनवर्धन,agrisilviculture
कृषि जैविक विविधता,agrobiodiversity
कृषि जैविक दोष,agrobiological defects
कृषि जैविकी,agrobiology
कृषि जलवायुवीय विविधता,agroclimatic diversity
कृषिजलवायुवीय जोन निर्माण,agroclimatic zoning
कृषिवानिकी,agroforestry
सस्य मृदा विज्ञान,agrology
सस्य विज्ञान,agronomy
कृषि पशुचारणिक,agropastoral
फसल प्रसंस्करण,agroprocessing
घास विज्ञान,agrostology
सस्य प्ररूप,agrotype
अधिपादप,air plant
ऐकिओची मृदा,akiochi soil
वर्णकहीनता,albinism
एल्फिसॉल,alfisols
शैवाल,algae
शैवाल रोग,algal disease
क्षार जल,alkali water
क्षारीय,alkaline
विकल्पी,allele
एलीलो रसायन,allelochemicals
युग्मविकल्पी,allelomorph
एलीलोपैथी,allelopathy
वीथी सस्यन,alley cropping
परनिषेक-फलता,allocarpy
परनिषेचन,allogamy
1. सापेक्षमिति 2. ऐलोमैट्री,allometry
परबहुगुणित,allopolyploid
1. परयुग्मन 2. अपायुग्लन,allosynapsis (allosyndesis)
1. एकातंर वर्ष फलन 2. एकांतरित फलन,alternate bearing
वैकल्पिक भूमि उपयोग,alternate land use
परिवेश,ambient
सुधारक,ameliorant
असूत्रीविभाजन,amitosis
ऐमीनन,amminization
अमोनियन,ammonification
अमोनीकारक,ammonifier
1.अप्रभावी रूप  2.अरूपी,amorph
उभय मिश्रण,amphimixis
उभयधर्मी,amphoteric
उपचय,anabolism
1. अवायुजीव 2. अनाक्सी जीव,anaerobe
असुगुणित,aneuploid
कोणीय रोपण,angle planting
पशुपालन,animal husbandry
पशु उच्छिष्ट,animal refuse
सजीव ऊर्जा,animate energy
असमगुणित,anisoploid
एकवर्षीय पादप,annual plant
वार्षिक,annual
1. परागोद्भव 2. प्रफुल्लन,anthesis
ऐन्थ्रेक्स,anthrax
मानवजनिक कारक,anthropogenic factor
प्रतिजीविता,antibiosis
1.प्रतिजैविक2.  ऐन्टीबायोटिक,antibiotic
प्रतिकारक,antidote
प्रतिऑक्सीकारक,antioxidants
प्रतिआविष,antitoxin
वलयिका,anulus
1. ऐफिड 2. माहू 3. चेपा,aphid
शीर्ष कलिका,apical bud
शिखाग्र प्रभाविता,apical dominance
मधुमक्खी पालन,apiculture (bee keeping)
असंगजनन,apomixis
एपोप्टोसिस,apoptosis
उपांग,appendage
क्षुधावर्धक,appetizer
अनुप्रयुक्त,applied
जलीय खरपतवार,aquatic weed
1. वृक्षीय 2. वृक्षवासी,arboreal
शाखायन,arborization
आद्य वानस्पतिक अभिलेख,archaeo-botanical records
क्षेत्रांकड़,area statistics
1. क्षेत्र 2. क्षेत्रफल,area
शुष्क पारितंत्र,arid ecosystem
बीजचोल,aril
सौरभ,aroma
सुगंधी पादप,aromatic plant
सुगंधित चावल,aromatic rice
इक्षु पुष्पन,arrowing
अपूति,asepsis
1.अपूतित 2. अजर्म,aseptic
अलैंगिक प्रवर्धन,asexual propagation
आमाप,assay
परिसंपत्ति,assets
1. स्वांगीकरण 2. आत्मसात्करण,assimilation
1. साहचर्य 2. संघ,association
1. स्तंभक 2. कषाय,astringent
असूत्रयुग्मन,asynapsis
1. पूर्वजता 2. ऐटाविज्म,atavism
कणित्र,atomizer
1.अपुष्टि 2. क्षीणता,atrophy
स्वयुग्मन,autogamy
स्वलयन,autolysis
1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन,autooxidation
स्वबहुगुणित,autopolyploid
ऑक्सिन,auxins
1. शूक 2. तूड़,awn (bristle)
दंड विषाणु,baccilovirus
1. दंडाणु 2. बैसिलस,bacillus
1. जीवाणु 2. बैक्टीरिया,bacteria
जीवाणु आविष,bacteriotoxin
खोई,bagasse
तुलन-पत्र,balance sheet
संतुलित उर्वरक उपयोग,balanced fertilization
दंड आरेख,bar diagram
छाल,bark
1. वायुदाबमापी 2. बैरोमीटर,barometer
1. बजर 2. अकृष्य 3. बांझ,barren
1. आधार 2. बेस 3. कपांग,base
1.थाला 2. द्रोणी,basin
तलाभिसारी,basipetal
1. बेसिस्टर्नम 2. मूलाधारक,basisternum
खाड़ी मानसून,bay monsoon
फलदायी पौधा,bearing plant
क्यारी,bed
क्यारी - पौधा,bedder
क्यारी बनाना,bedding
चुकंदर शीरा,beet molasses
धौंकनी,bellows
1. पट्टी 2. इलाका,belt
लाभ-लागत विश्लेषण,benefit-cost analysis
अभिनत (प्रतिचयन),biased (sampling)
द्विवर्षीय पादप,biennial
द्विपद,binomial
जैवकारक,bioagent
जीव जलवायु,bioclimate
जैव ऊर्जा,bioenergy
जीव पारिस्थितिकी,bionomics
1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर,bio-reactor
जीव-मंडल,biosphere
जीवीय,biotic
जीव प्ररूप,biotype
दविलिंगी,bisexual
धवलन,blanching
1.  प्रध्वसं (रोग) 2.  झोंका रोग,blast
संमिश्रण,blend
