English,Assamese
Abelian group,abeli গ্ৰুপ
abelian semigroup,abeli গ্ৰুপ
abscissa,হাত
absolute,"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
absolute convergence,নিৰপেক্ষ অভিসৰণ
absolute error,নিৰপেক্ষ ভুল
absolute maximum,পৰম পৰম
absolute minimum,নিৰপেক্ষ সৰ্বনিম্ন
absolute value,নিৰপেক্ষ মূল্য
absolute velocity,নিৰপেক্ষ বেগ
abstract algebra,বিমূৰ্ত বীজগণিত
abstract group theory,বিমূৰ্ত গোট তত্ত্ব
acceleration,বেগ বৃদ্ধি
acceleration due to gravity,মহাকৰ্ষণীয় ত্বৰণ
acceptable choice set,গ্ৰহণযোগ্য নিৰ্বাচক
acceptable quality level,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
acceptable range,গ্ৰহণযোগ্য চৌহদ
acceptable reliability level,বৈধ নিৰ্ভৰযোগ্যতা স্তৰ
acceptable sampling,গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা
accumulated error,সঞ্চিত ভুল
accuracy,শুদ্ধতা
acting force,প্ৰয়োগ কৰা বল
action,"কাৰ্য্য, কাৰ্য্য"
action and reaction,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
acturial science,বীমা বিজ্ঞান
acute angled triangle,তীব্ৰ ত্ৰিভুজ
acyclic,অচক্ৰীয়
add,সামৰণিত
adder,adder
addition,"যোগফল, যোগ, যোগফল (c.), যোগ (v.)"
addition formula,যোগৰ সূত্ৰ
addition of complex numbers,জটিল সংখ্যাৰ যোগফল
addition of functions,ফলনৰ যোগফল
addition of matrices,মেট্ৰিক্সৰ যোগফল
addition of polynomials,বহুপদৰ যোগফল
addition of probabilities,সম্ভাৱনাৰ যোগফল
addition of vectors,ভেক্টৰৰ যোগফল
addition theorem,"যোগ উপপাদ্য, বেৰী তত্ত্ব"
additive group,যোগকৰণ গোট
additive inverse,যোগকৰণৰ বিপৰীত
additive property,যোগযোগ্যতা
additivity,যোগযোগ্যতা
adjacency matrix,সংলগ্নতা মেট্ৰিক্স
adjacent,"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া"
adjacent angles,কাষৰীয়া কোণ
adjacent vertex,কাষৰীয়া শিখৰ
adjoin,to associate
adjoining,সংযুক্ত আবৃত
adjoint determinant,সাধাৰণ নিৰ্ণায়ক
adjoint differential equation,সংযুক্ত অৱভেদ্য সমীকৰণ
adjoint equation,সংলগ্ন সমীকৰণ
adjoint matrix,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
adjoint of matrix,মেট্ৰিক্স সহাৱস্থান
adjugate matrix,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
admissible decision function,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
admissible hypothesis,গ্ৰহণযোগ্য অনুমান
aerodynamic force,বায়ুগতিবিদ্যা বল
aerodynamics,বায়ুগতিবিদ্যা
affine geometry,সমজাতীয় জ্যামিতি
affine mapping,সমজাতীয় মেপিং
affine transformation,সমজাতীয় ৰূপান্তৰ
aggregating variables,এগ্ৰিগেট ভেৰিয়েবল
algebra,"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
algebraically closed,"বীজযুক্ত বন্ধ, বীজযুক্ত"
algebraic equation,বীজগণিতীয় সমীকৰণ
algebraic expression,বীজগণিতীয় প্ৰকাশ
algebraic form,বীজগণিতীয় একাকাৰীতা
algebraic function,বীজগণিতীয় ফলন
algebraic geometry,বীজগণিতীয় জ্যামিতি
algebraic multiplicity,বীজগণিতীয় বহুত্ব
algebraic system,বীজগণিতীয় ব্যৱস্থা
all-integer problem,সকলো-পূৰ্ণসংখ্যা সমস্যা
allocation problem,নিযুক্তিৰ সমস্যা watt প্ৰশ্ন
alphabetical notation,বৰ্ণানুক্ৰমিক সংকেত
alphabetic character,বৰ্ণানুক্ৰমিক আখৰ
alternate angle,বিকল্প কোণ
alternating form,বিকল্প সমজাতীয় বিকল্প ৰূপ
alternating group,বিকল্প গোট
alternating matrix,বিকল্প মেট্ৰিক্স
alternating series,বিকল্প শৃংখলা
alternative hypothesis,বিকল্প অনুমান
alternative optima,বিকল্প অনুকূল
alternative outcome,বিকল্প ফলাফল
analog-to-digital converter,এনালগ-ডিজিট ৰূপান্তৰক
analogue computer,এনালগ কম্পিউটাৰ
analysis,বিশ্লেষণ
analysis of covariance,সহাৱস্থান বিশ্লেষণ
analysis of enumeration data,গণনা-তথ্য বিশ্লেষণ
analysis of variance,ভ্যাৰিয়েন্স বিশ্লেষণ
analytic geometry,বিশ্লেষণাত্মক জ্যামিতি
analytic function,বিশ্লেষণাত্মক কাৰ্য্য
angle,কোণ
angle of contact,স্পৰ্শক কোণ
angle of deflection,বিক্ষেপণ কোণ
angle of depression,ডিপ্ৰেছন এংগেল
angle of deviation,বিচ্যুতি কোণ
angle of diffraction,বিবৰ্তন কোণ
angle of elevation,উচ্চতা কোণ
angle of incidence,প্ৰাদুৰ্ভাৱৰ কোণ
angle of projection,প্ৰক্ষেপণৰ কোণ
angle of reflection,প্ৰতিফলনৰ কোণ
angle of refraction,বিবৰ্তনৰ কোণ
angle of rotation,ঘূৰ্ণন কোণ
angle of total reflection,প্ৰতিফলনৰ নিৰপেক্ষ কোণ
angular acceleration,কৌণিক ত্বৰণ
angular motion,কৌণিক বেগ
angular speed,কৌণিক গতি
