Punjabi,Tamil
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,கைவிடப்பட்ட உறுப்பு
ਅਧੂਰਾ,நிறுத்தப்பட்ட விதை
ਗਰਭਪਾਤ,கருக்கலைப்பு
ਸੰਪੂਰਨ ਬੂਟੀ,முழுமையான களை
ਸਮਾਈ,உறிஞ்சப்பட்ட கேஷன்
ਸਮਾਈ,உறிஞ்சுதல்
ਅਬੀਸਨੀਅਨ ਰਾਈ,அபிசீனிய கடுகு
ਅਚੰਭੇ,அகரைடு
ਰਾਜਕੁਮਾਰੀ,உச்சரிப்பு
ਲਹਿਜ਼ਾ (ਸੈੱਲ),உச்சநிலை (செல்)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை
ਸਹਾਇਕ,துணை
ਅਨੁਕੂਲਤਾ,பழக்கவழக்கமயமாக்கல்
ਇਕੱਠਾ,குவிப்பு
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਏਸਰਵੂਲਸ,அசெருலஸ்
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,அசிடிபிகேஷன்
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,அமிலமயமாக்கல்
ਐਸਿਡਮੀਟਰ,அமிலமீட்டர்
ਐਸਿਡਿਟੀ,அமிலத்தன்மை
ਐਸਿਡੋਫਿਲਿਕ,அமிலத்தன்மை கொண்ட
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்
ਐਸਿਡੁਰਿਕ,அமிலத்தன்மை
ਐਕੁਇਫਰ,நீர்வாழ்
ਗ੍ਰਹਿਣ,கையகப்படுத்தல்
ਏਕੜ,ஏக்கர்
ਰਕਬੇ,ஏக்கர் தூரம்
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,அக்ரோசென்ட்ரிக் குரோமோசோம்
ਐਕਰੋਪੇਟਲ,அக்ரோபெட்டல்
ਐਸ਼੍ਰੋਸੋਮ,சக்ரோசோம்
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,ஆக்டினோமைசீட்கள்
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,செயலில் ரூட் மண்டலம்
ਗੰਭੀਰ,கடுமையான
ਅਨੁਕੂਲਤਾ,தகவமைப்பு
ਅਨੁਕੂਲਤਾ,தழுவல்
ਚਿਪਕਿਆ,ஒட்டுதல்
ADPIPOSE,கொழுப்பு
ਵਿਵਸਥ ਸਮੀਕਰਨ,சரிசெய்தல் சமன்பாடு
ਅਡੋਬ ਮਿੱਟੀ,அடோப் மண்
ਮਨਜ਼ੂਰ,கலப்படம்
ਸਾਹਸੀ,சாகச
ਏਸੀਡਿਓਸਪੋਰ,Aecidiospore
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,ஏலியன் செயல்முறை
ਏਓਲੀਅਨ,ஏயோலியன்
Aeate,காற்றோட்டம்
ਏਰੀਅਲ,வான்வழி
ਐਰੋਮੀਟਰ,ஏரோமானி
ਐਰੋਸੋਲ,ஏரோசோல்
ਖਰਾਸ਼,அவதூறு
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),ஏட்டாலஜி (நோயியல்
ਕਥਾ,காடு வளர்ப்பு
ਅੰਦੋਲਨ,கிளர்ச்சி
ਆਕਮਾਰਕ,அக்மார்க்
ਅਗਰਾਰੀਅਨ,விவசாய
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,வேளாண் மருத்துவமனை
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,விவசாய உழைப்பு
ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ,விவசாய சந்தைப்படுத்தல்
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,விவசாய தொழில்நுட்பம்
ਖੇਤੀ ਬਾੜੀ,வேளாண்மை
ਐਗਰੀਸਿਲਵੀਕਲਚਰ,வேளாண் வளர்ப்பை
ਖੇਰਤ,வேளாண் பன்முகத்தன்மை
ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ,வேளாண் வியாபார குறைபாடுகள்
ਅਗਾਹੀਵੋਲੋਜੀ,வேளாண்வியல்
ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ,வேளாண் பன்முகத்தன்மை
ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ,வேளாண் மண்டல
ਐਗਰੋਫੋਰੈਸਟਰੀ,வளர்ப்பு
ਖੇਤੀਬਾਜੀ,விவசாயவியல்
ਖੇਤੀਬਾੜੀ,வேளாண்
ਐਗ੍ਰੋਪਾਸਟਰਲ,அக்ரோபாஸ்டோரல்
ਸ਼ਿਕਾਰ,அக்ரோபிராசெசிங்
ਐਗਰੋਸਟੋਲੋਜੀ,அக்ரோஸ்டாலஜி
ਐਗਰੋਟਾਈਪ,வேளாண் வகை
ਏਅਰ ਪੌਦਾ,விமான ஆலை
ਅਕੀਓਚੀ ਮਿੱਟੀ,அகியோச்சி மண்
ਅਲਮੀਨੀਜ਼ਮ,ஆல்பினிசம்
