Malayalam,Assamese
അജിയോട്ടിക് പുനരുൽപാദനം,অজৈৱিক প্ৰজনন
അസാധാരണമായ,অস্বাভাৱিক
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,১/ চতুৰ্থ পেট ২) ইভ’মাজম
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,ষ্টোমেটাল বৃদ্ধিৰ অংগ
വളർച്ച മുരടിച്ച വിത്ത്,স্তব্ধ বৃদ্ধিৰ বীজ
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,শোষিত কেটিয়ন
ആഗിരണം,শোষণ
അബിസീനിയൻ കടുക്,এবিচিনিয়ান সৰিয়হ
1. acaricide,১.একেৰিচাইড
കേന്ദ്രാഭിമുഖം,centripetal
ആംപ്ലിഫിക്കേഷൻ (സെൽ),বৃদ্ধি (কোষ)
അനുവദിച്ച സഹിഷ്ണുത,অনুমোদিত সহনশীলতা
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
പൊരുത്തപ്പെടുത്തൽ,অভিযোজন
ശേഖരണം,সঞ্চয়
1. vaccuracy 2. കൃത്യത,1.vaccuracy 2. নিখুঁততা
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,১.এচিডিকৰণ ২.এচিডিকৰণ
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
അസിഡിറ്റി,এচিডিটি
അസിഡോഫൈൽ,এচিডোফাইল
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,এচিডিফাইড ৰক ফছফেট
അസിഡിഫൈഡ്,এচিডিফাইড
ജലാശയം,জলধাৰা
കൈവശപ്പെടുത്തൽ,অধিগ্ৰহণ
ഏക്കർ,একৰ
1. ഏരിയ 2. ഏരിയ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
അവസാന പോയിന്റ് ക്രോമസോം,শেষ বিন্দু ক্ৰম’জম
മുന്നോട്ട് നോക്കുന്ന,আগলৈ চাই থকা
അക്രോസോം,acrosome
ആക്റ്റിനോമൈസെറ്റുകൾ,actinomycetes
സജീവ കോർ,সক্ৰিয় কোৰ
1. ക്രോധം 2. തീവ്രം,1. উত্তেজিত 2. তীব্ৰ
പൊരുത്തപ്പെടുത്തൽ,অভিযোজন ক্ষমতা
ഇഷ്ടാനുസൃതമാക്കൽ,কাষ্টমাইজেচন
1. അഡീഷൻ 2. അഡീഷൻ,১.আঠাযুক্ততা ২.আঠাযুক্ততা
സെബാസിയസ്,তৈলাক্ত
ക്രമീകരിക്കൽ സമവാക്യം,সমন্বয় সমীকৰণ
അഡോബ് മണ്ണ്,এডোব মাটি
വ്യഭിചാരം,ব্যভিচাৰী
എക്ടോപിക്,এক্ট&#39;পিক
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,Isidiospore Isidium বিজাণু
എയറോഡൈനാമിക് പ്രക്രിയ,বায়ুগতিশীল প্ৰক্ৰিয়া
വെൻട്രൽ,ventral
വായുസഞ്ചാരത്തിനായി,বায়ুমণ্ডলীয় কৰা
1. വായു 2. ആകാശി,১.বায়ু ২.আকাশী
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
എയറോസോൾ,এৰ&#39;ছল
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
രോഗ ശാസ്ത്രം,ৰোগৰ বিজ্ঞান
വനവൽക്കരണം,বনানীকৰণ
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,১.আন্দোলন ২.অস্থিৰতা
അഗ്മാർക്ക്,আগমাৰ্ক
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
കാർഷിക ക്ലിനിക്ക്,কৃষি ক্লিনিক
1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
കാർഷിക വിപണനം,কৃষি বিপণন
കാർഷിക സാങ്കേതികവിദ്യ,কৃষি প্ৰযুক্তি
1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
കാർഷിക വനവൽക്കരണം,কৃষি বনজ
കാർഷിക ജൈവവൈവിധ്യം,কৃষি জৈৱ বৈচিত্ৰ্য
കാർഷിക ജൈവ വൈകല്യങ്ങൾ,কৃষি জৈৱিক দোষ
കാർഷിക ജീവശാസ്ത്രം,কৃষি জীৱবিজ্ঞান
കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം,কৃষি-জলবায়ু বৈচিত্ৰ্য
കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ,কৃষি জলবায়ু মণ্ডল সৃষ্টি
അഗ്രോഫോറസ്ട്രി,কৃষি বনানীকৰণ
കാർഷിക ശാസ്ത്രം,কৃষি বিজ্ঞান
അഗ്രോണമിക്,কৃষিভিত্তিক
കാർഷിക ഇടയൻ,কৃষি পশুপালন
വിള സംസ്കരണം,শস্য প্ৰক্ৰিয়াকৰণ
പുല്ല് ശാസ്ത്രം,ঘাঁহ বিজ্ঞান
വിള തരം,শস্যৰ প্ৰকাৰ
എപ്പിഫൈറ്റ്,এপিফাইট
aikiochi മണ്ണ്,আইকিওচি মাটি
വർണ്ണാന്ധത,ৰঙৰ অন্ধতা
ആൽഫിസോൾ,আলফিছল
ആൽഗകൾ,শেলাই
ആൽഗ രോഗം,শেলাইৰ ৰোগ
ആൽക്കലി വെള്ളം,ক্ষাৰকীয় পানী
ആൽക്കലൈൻ,ক্ষাৰকীয়
ബദൽ,বিকল্প
അല്ലെലോ രസതന്ത്രം,allelo ৰসায়ন বিজ্ঞান
അല്ലീൽ,এলিল
അല്ലെലോപ്പതി,এলেল&#39;পেথী
വേത്തി വിള,ভেঠী শস্য
പൂർത്തീകരണം,consummation
ബീജസങ്കലനം,নিষেচন কৰা
1. ആപേക്ഷികത 2. അലോമെട്രി,১.আপেক্ষিকতা ২.এলোমেট্ৰি
മൾട്ടിപ്ലോയിഡി,multiploidy
1. പാരാസിഗോസിറ്റി,১/ পেৰাজাইগোচিটি
1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
ബദൽ ഭൂമി ഉപയോഗം,বিকল্প ভূমি ব্যৱহাৰ
പരിസ്ഥിതി,পৰিৱেশ
പരിഷ്കർത്താവ്,সংস্কাৰক
മൈറ്റോസിസ്,মাইট’ছিছ
ആമീനൻ,আমিনন
അമോണിയൻ,এমোনিয়ন
അമ്നിഫെറസ്,amniferous
1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
ഉഭയജീവി മിശ്രിതം,উভচৰ মিশ্ৰণ
ആംഫോട്ടെറിക്,এম্ফোটেৰিক
സ്റ്റോക്ക്പൈലിംഗ്,ষ্টকপাইলিং
1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
ഹാപ്ലോയിഡ്,হেপ্লয়ড
കോണീയ നടീൽ,কৌণিক ৰোপণ
മൃഗസംരക്ഷണം,পশুপালন
മൃഗ വിസർജ്ജനം,পশুৰ মল-মূত্ৰ
ജീവനുള്ള ഊർജ്ജം,জীৱন্ত শক্তি
അസാധാരണമായ,অস্বাভাৱিক
ഒരു വർഷം പഴക്കമുള്ള ചെടി,এবছৰীয়া উদ্ভিদ
വാർഷിക,বছেৰেকীয়া
1. പരമാനന്ദം 2. പ്രഭ,1. আনন্দ 2. উজ্জ্বলতা
ആന്ത്രാക്സ്,এন্থ্ৰেক্স
നരവംശ ഘടകങ്ങൾ,মানৱজনিত কাৰকসমূহ
അതിജീവനം,জীয়াই থকা
1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
വെറുപ്പുളവാക്കുന്ന,repulsive
