Bengali,Hindi
A B শ্রেণীর পরিবর্ধক,ए बी वर्ग प्रवर्धक
বিকৃতি,"विपथन, अपेरण"
অস্বাভাবিক সংক্রমণ,असामान्य संचरण
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
অনুপস্থিত বর্ণালী,लुप्त स्पेक्ट्रम
"পরম, পরম, ধ্রুবক, নিখুঁত","निरपेक्ष, परम, अचर, परिशुद्ध"
পরম আর্দ্রতা,निरपेक्ष आर्द्रता
পরম গতি,निरपेक्ष गति
পরম পর্যবেক্ষণ,निरपेक्ष प्रेक्षण
পরম তাপমাত্রা,परम ताप
পরম শূন্য,परम शून्य
শোষণ করা,अवशोषण करना
"শোষক, শোষক","अवशोषक, अवशोषी"
শোষণ ক্ষমতা,अवशोषण सामर्थ्य
শোষণ,अवशोषणांश
শোষক,अवशोषी
শোষণ,अवशोषकता
বহুগুণ অনুপাত,बाहुल्य अनुपात
ত্বরান্বিত করা,त्वरित करना
তাড়াতাড়ি,त्वरित
ত্বরণ,त्वरण
অভিকর্ষের ত্বরণ,गुरुत्व त्वरण
এক্সিলারেটর,त्वरक
এক্সিলারেটর,"त्वरित्र, त्वरक"
অ্যাক্সিলোমিটার,त्वरणमापी
prestresser,प्राक्प्रबलक
গ্রহণযোগ্য পরীক্ষা,स्वीकारी परीक्षण
গ্রহণকারী,"ग्राही, स्वीकारी"
দাতা অণু,आदाता अणु
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","अभिगम, प्रतीक्षा, अभिगम्यता"
অ্যাক্সেসযোগ্যতা,अभिगम्यता
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
প্রবেশাধিকার সময়,अभिगम काल
ভিজিটর ত্রুটি,आगन्तुक त्रुटि
সমন্বয়,समंजन
পুঞ্জীভূত,संचित
"accumulation, accumulation","संचय, संचयन"
সঞ্চয়কারী,संचायक
সঠিকতা,यथार्थता
বাস্তবতা,यथार्थ
অ্যাক্রোমেটিক লেন্স,अवर्णक लेन्स
অ্যাক্রোমেটিক,अवर्णक
বর্ণহীনতা,अवर्णकता
শাব্দিক,ध्वानिक
শব্দরোধী,ध्वनिरुद्ध
শাব্দিক ফোনন,ध्वानिक फ़ओनॉन
শব্দ ইউনিট,ध्वनि-मात्रक
শাব্দিক,ध्वानिक
শব্দ জেনারেটর,ध्वनि जनित्र
কর্ম এবং প্রতিক্রিয়া,क्रिया और प्रतिक्रिया
সক্রিয়করণ,सक्रियण
অ্যাক্টিভেশন শক্তি,सक्रियण उर्जा
"সক্রিয়কারী, সক্রিয়কারী","सक्रियकारक, सक्रियक"
সক্রিয়,सक्रिय
সক্রিয়তা,सक्रियता
প্রকৃত চাপ,वास्तविक प्रतिबल
ফিসফিস,क्षिप्र उद्भासन
যোগফল,"योग करना, जोड़ना"
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
সংযোজনকারী,"योज्य, योगात्मक"
আনুগত্য,आसंजन
আঠালো শক্তি,आसंजी ऊर्जा
adiabat,ऐडियाबैट
adiabatic,रुद्धोष्म
তাপ নিরোধক,उष्मा-अपार्य
সংযুক্তি,संलग्न
সামঞ্জস্যযোগ্য,समायोज्य
অনুপ্রবেশ,प्रवेश्यता
শোষণ,अधिशोषण
এগিয়ে,अग्रगत
প্রগতিশীল,प्रगामी
"আকাশী, ভাইভা (v.), বায়বীয় (ed.)","आकाशी, वायव (वि.), एरियल (सं.)"
অ্যান্টেনা প্রবাহ,ऐन्टेना धारा
বায়বীয় জরিপ,आकाशी सर्वेक्षण
বায়ু বেগ,वायव वेग
এরোডাইনামিক সহগ,वायुगतिक गुणांक
এরোডাইনামিক,वायुगतिक
বায়ুগতিবিদ্যা,वायुगतिकी
বৈমানিক,वैमानिक
বৈমানিক,वैमानिकी
বায়ু নাড়ি,वायुस्पंद
"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার","वातमंडल, गैसमंडल"
ফোকাস সিস্টেম,अफोकसी तंत्र
পিছনে ইগনিশন,पश्च ज्वलन
পিছনের আলো,पश्च दीप्ति
আঘাত,उत्तरघात
"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া","वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना"
সময় প্রভাবিত,कालप्रभावित
"বার্ধক্য, বার্ধক্য","कालप्रभावन, जरण"
সময়ের প্রভাব,कालप्रभावन
সময় প্রভাব পরীক্ষা,कालप्रभावन परीक्षण
মাধ্যাকর্ষণহীন,गुरुत्वहीन
