English,Tamil
A B amplifier,A B வகுப்பு பெருக்கி
aberration,பிறழ்வு
abnormal propagation,அசாதாரண பரிமாற்றம்
abrupt,"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
absent spectrum,ஸ்பெக்ட்ரம் காணவில்லை
absolute,"முழுமையான, முழுமையான, நிலையான, சரியான"
absolute humidity,முழுமையான ஈரப்பதம்
absolute motion,முழுமையான வேகம்
absolute observation,முழுமையான கவனிப்பு
absolute temperature,முழுமையான வெப்பநிலை
absolute zero,முழுமையான பூஜ்ஜியம்
absorb,உறிஞ்சி
absorber,"உறிஞ்சும், உறிஞ்சும்"
absorbing power,உறிஞ்சும் திறன்
absorptance,உறிஞ்சுதல்
absorptive,உறிஞ்சக்கூடியது
absorptivity,உறிஞ்சும் தன்மை
abundance ratio,பன்மடங்கு விகிதம்
accelerate,முடுக்கி
accelerated,விரைந்தார்
acceleration,முடுக்கம்
acceleration of gravity,ஈர்ப்பு முடுக்கம்
accelerative,முடுக்கி
accelerator,முடுக்கி
accelerometer,முடுக்கமானி
accentuator,முன் அழுத்தம் கொடுப்பவர்
acceptance test,ஏற்றுக்கொள்ளக்கூடிய சோதனை
acceptor,ஏற்பவர்
acceptor molecule,நன்கொடையாளர் மூலக்கூறு
access,"அணுகல், காத்திருப்பு, அணுகல்"
accessibility,அணுகல்
accessory,"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
access time,அணுகல் நேரம்
accidental error,பார்வையாளர் பிழை
accommodation,சரிசெய்தல்
accumulated,திரட்டப்பட்டது
accumulation,"திரட்சி, குவிப்பு"
accumulator,திரட்டி
accuracy,துல்லியம்
accurate,யதார்த்தம்
achromat,நிறமற்ற லென்ஸ்
achromatic,வண்ணமயமான
achromatism,வண்ணமயமான தன்மை
acoustical,ஒலியியல்
acoustically insulated,ஒலி எதிர்ப்பு
acoustical phonon,ஒலி ஃபோனான்
acoustical unit,ஒலி அலகு
acoustic,ஒலியியல்
acoustic generator,ஒலி ஜெனரேட்டர்
action and reaction,செயல் மற்றும் எதிர்வினை
activation,செயல்படுத்துதல்
"activation, energy",செயல்படுத்தும் ஆற்றல்
activator,"செயல்படுத்துபவர், செயல்படுத்துபவர்"
active,செயலில்
activity,செயற்பாடு
actual stress,உண்மையான மன அழுத்தம்
acute exposure,கிசுகிசுத்தல்
add,மொத்தத்தில்
addition,"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
additional tone,"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
additive,சேர்க்கை
adhesion,ஒட்டுதல்
adhesional energy,பிசின் ஆற்றல்
adiabat,அடியாபட்
adiabatic,அடியாபாடிக்
adiathermanous,வெப்ப காப்பு
adjacent,இணைப்பு
adjustable,அனுசரிப்பு
admittance,ஊடுருவல்
adsorption,உறிஞ்சுதல்
advanced,முன்னோக்கி
advancing,முற்போக்கானது
aerial,"ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)"
aerial current,ஆண்டெனா ஸ்ட்ரீம்
aerial survey,வான்வழி ஆய்வு
aerial velocity,காற்று வேகம்
aerodynamic coefficient,ஏரோடைனமிக் குணகம்
aerodynamic,காற்றியக்கவியல்
aerodynamics,காற்றியக்கவியல்
aeronautical,வானூர்தி
aeronautics,ஏரோநாட்டிக்ஸ்
aeropulse,காற்று துடிப்பு
aerosphere,"வளிமண்டலம், வாயுக்கோளம்"
afocal system,கவனம் அமைப்பு
after burning,மீண்டும் பற்றவைப்பு
after glow,பின் ஒளி
aftershock,அதிர்ச்சி
age,"வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது"
aged,நேரம் பாதிக்கப்பட்டது
ageing (aging),"முதுமை, முதுமை"
aging (=ageing),நேர விளைவு
aging test,நேர விளைவு சோதனை
agravic,புவியீர்ப்பு இல்லாதது
aim,நல்லிணக்கம்
airborne radar,"வான்வழி ரேடார், வான்வழி ரேடார்"
airborne target,"வான் இலக்கு, வான் இலக்கு"
