Malayalam,Bengali
ഉപേക്ഷിക്കുക,গর্ভপাত
ടൈമർ നിർത്തുക,গর্ভপাত টাইমার
കേവല വിലാസം,পরম ঠিকানা
കേവല വിലാസം,পরম ঠিকানা
കേവല അസംബന്ധം,পরম এসেম্বলার
കേവല കോഡ്,পরম কোড
കേവല കോഡിംഗ്,পরম কোডিং
കേവല കമാൻഡ്,পরম কমান্ড
കേവല കോർഡിനേറ്റ്,পরম সমন্বয়
കേവല ഡാറ്റ,পরম ডেটা
കേവല പിശക്,পরম ত্রুটি
കേവല പദപ്രയോഗം,পরম অভিব্যক্তি
കേവല പ്രബോധനം,পরম নির্দেশ
കേവല ലോഡർ,পরম লোডার
കേവല ക്രമം,পরম আদেশ
കേവല പ്രോഗ്രാമിംഗ്,পরম প্রোগ্রামিং
കേവല പദം,পরম শব্দ
യഥാർത്ഥ മൂല്യം,পরম মান
കേവല വെക്റ്റർ,পরম ভেক্টর
വേര്പെട്ടുനില്ക്കുന്ന,বিমূর্ত
അമൃതിയുള്ള,বিমূর্ত
അമൂർത്ത ചിഹ്നം,বিমূর্ত প্রতীক
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,ত্বরণ সময়কাল
ത്വരണം സമയം,ত্বরণের সময়
സരഭാരം,অ্যাকসেন্ট
സ്വീകാര്യത പരിശോധന,স্বীকৃতি পরীক্ষা
പ്രവേശനം,অ্যাক্সেস
കൈ,অ্যাক্সেস আর্ম
ആക്സസ് ക്രമീകരണം,অ্যাক্সেস ব্যবস্থা
അതോറിറ്റി ആക്സസ് ചെയ്യുക,অ্যাক্সেস কর্তৃপক্ষ
ആക്സസ് ചാർജ്,অ্যাক্সেস চার্জ
ആക്സസ് ക്ലാസ്,অ্যাক্সেস ক্লাস
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
പ്രവേശന അന്തരീക്ഷം,অ্যাক্সেস পরিবেশ
വിടവ് ആക്സസ് ചെയ്യുക,অ্যাক্সেস ফাঁক
ആക്സസ് സൂചിക,অ্যাক্সেস সূচক
ആക്സസ് ലൈൻ,অ্যাক্সেস লাইন
ആക്സസ് സംവിധാനം,অ্যাক্সেস প্রক্রিয়া
ആക്സസ് രീതി,অ্যাক্সেস পদ্ধতি
ആക്സസ് രീതി പതിവ്,অ্যাক্সেস পদ্ধতির রুটিন
ആക്സസ് മോഡ്,অ্যাক্সেস মোড
വലത് ആക്സസ്,এক্সেস অধিকার
ആക്സസ് സ്കാൻ,অ্যাক্সেস স্ক্যান
ആക്സസ് സമയം,প্রবেশাধিকার সময়
അക്കൌണ്ടിംഗ്,অ্যাকাউন্টিং
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,অ্যাকাউন্টিং ফিনান্স সিস্টেম
അക്ക ing ണ്ടിംഗ് മെഷീൻ,অ্যাকাউন্টিং মেশিন
അക്കൗണ്ട് നമ്പർ,হিসাব নাম্বার
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,প্রজননকারী জমে
സഞ്ചിതം,জমে
സഞ്ചിത രജിസ്റ്റർ,সংগ্রহকারী রেজিস্টার
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,সংগ্রহকারী শিফট নির্দেশনা
കൃതത,সঠিকতা
കൃത്യത നിയന്ത്രണ പ്രതീകം,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
കൃത്യത നിയന്ത്രണ സംവിധാനം,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
എയ്സ് പൈലറ്റ്,এস পাইলট
പ്രതീകം അംഗീകരിക്കുക,চরিত্র স্বীকৃতি
അക്കോസ്റ്റിക് കപ്ലർ,অ্যাকোস্টিক কাপলার
അക്കോസ്റ്റിക് കപ്ലിംഗ്,অ্যাকোস্টিক কাপলিং
അക്ക ou സ്റ്റിക് കാലതാമസം,অ্যাকোস্টিক বিলম্ব লাইন
അക്കോസ്റ്റിക് മെമ്മറി,অ্যাকোস্টিক মেমরি
അക്കോസ്റ്റിക് മോഡം,অ্যাকোস্টিক মডেম
അക്കോസ്റ്റിക് സിഗ്നൽ,অ্যাকোস্টিক সিগন্যাল
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,অ্যাকোস্টিক স্টোরেজ
സംക്ഷേപം,সংক্ষিপ্ত বিবরণ
പവര്ത്തി,কর্ম
പ്രവർത്തന ചക്രം,অ্যাকশন চক্র
ആക്ഷൻ ലൈൻ,অ্যাকশন লাইন
ആക്ഷൻ സന്ദേശം,অ্যাকশন বার্তা
പ്രവർത്തന സവിശേഷത,ক্রিয়া স্পেসিফিকেশন
സജീവമാക്കല്,অ্যাক্টিভেশন
സജീവമായ,সক্রিয়
സജീവ ഫയൽ,সক্রিয় ফাইল
സജീവ ലൈൻ,সক্রিয় লাইন
സജീവ ലിങ്ക്,সক্রিয় লিঙ্ক
സജീവ മാസ്റ്റർ ഫയൽ,সক্রিয় মাস্টার ফাইল
സജീവ മാസ്റ്റർ ഇനം,সক্রিয় মাস্টার আইটেম
സജീവ ഉപഗ്രഹം,সক্রিয় স্যাটেলাইট
സജീവ സ്റ്റേഷൻ,সক্রিয় স্টেশন
സജീവ സംഭരണം,সক্রিয় স্টোরেজ
പ്രവർത്തനം,ক্রিয়াকলাপ
പ്രവർത്തന നില,কর্মকান্ডের পর্যায়
പ്രവർത്തന ലോഡിംഗ്,ক্রিয়াকলাপ লোড হচ্ছে
പ്രവർത്തന അനുപാതം,ক্রিয়াকলাপ অনুপাত
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),আসল ঠিকানা (= পরম ঠিকানা)
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),আসল কোড (= পরম কোড)
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,প্রকৃত ডেটা স্থানান্তর হার
യഥാർത്ഥ ദശാംശസ്ഥാനം,আসল দশমিক পয়েন্ট
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
യഥാർത്ഥ കീ,আসল কী
യഥാർത്ഥ സമയം,প্রকৃত সময়
യഥാർത്ഥ ജോലി സമയം,আসল কাজের সময়
ആരംഭിക്കുന്ന സിഗ്നൽ,অ্যাকিউটিং সিগন্যাল
പൊരുത്തപ്പെടലി,অভিযোজনযোগ্যতা
അഡാപ്റ്റർ,অ্যাডাপ্টার
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,অভিযোজিত চ্যানেল বরাদ্দ
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,অভিযোজিত সংহতকরণ
അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ,অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার
എൻട്രി ചേർത്തു,যুক্ত এন্ট্রি
കൂട്ടിച്ചേര്ക്കുക,সংযোজন
ആംഗം,সংযোজন
എ ഷട്രക്റ്റർ,অ্যাডার সাবট্র্যাক্টর
ഫയൽ ചേർക്കുക,ফাইল যুক্ত কর
അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം),অতিরিক্ত চরিত্র (= বিশেষ চরিত্র)
ബഹുമതി,সংযোজন রেকর্ডার
കൂട്ടിച്ചേർക്കലാ പട്ടിക,সংযোজন টেবিল
അഡിറ്റീവ് ആട്രിബ്യൂട്ട്,সংযোজন বৈশিষ্ট্য
മോഡ് ചേർക്കുക,মোড যুক্ত করুন
പ്രവർത്തനം ചേർക്കുക,অপারেশন যুক্ত করুন
അഭിസംബോധന ചെയ്യുക,ঠিকানা
വിലാസ നടപടി,ঠিকানা পরিমাপ
അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം,ঠিকানাযোগ্য অনুভূমিক অবস্থান
വിലാസ പോയിന്റ്,ঠিকানাযোগ্য পয়েন্ট
അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം,ঠিকানাযোগ্য অবস্থান
വിലാസ രജിസ്റ്റർ,ঠিকানাযোগ্য নিবন্ধ
വിലാസ സംഭരണം,ঠিকানাযোগ্য স্টোরেজ
അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം,ঠিকানাযোগ্য উল্লম্ব অবস্থান
വിലാസ ബസ്,ঠিকানা বাস
വിലാസ കോഡ്,ঠিকানা কোড
വിലാസ താരതമ്യക്കാരൻ,ঠিকানা তুলনামূলক
വിലാസ കണക്കുകൂട്ടൽ,ঠিকানা গণনা
വിലാസ സ്ഥിരത,ধ্রুবক ঠিকানা
വിലാസ പരിവർത്തനം,ঠিকানা রূপান্তর
വിലാസ ഡാറ്റ,ঠিকানা ডেটা
മെമ്മറി അഭിസംബോധന ചെയ്തു,সম্বোধন স্মৃতি
വിലാസ ഫലപ്രദമാണ്,ঠিকানা কার্যকর
വിലാസ ഫീൽഡ്,ঠিকানা ক্ষেত্র
വിലാസ ഫോർമാറ്റ്,ঠিকানা ফর্ম্যাট
വിലാസ സ contry ജന്യ പ്രോഗ്രാം,ঠিকানা বিনামূল্যে প্রোগ্রাম
അഭിസംബോധന,সম্বোধন
"അഭിസംബോധന
 കഥാപാതം","সম্বোধন
 চরিত্র"
അഭിസംബോധന ഇന്ററപ്റ്റ്,বাধা সম্বোধন
വിലാസം ലൂപ്പ്,লুপ সম্বোধন
വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു,ভার্চুয়াল মেমরি সম্বোধন
വിലാസം ഇന്റർലേസിംഗ്,ঠিকানা ইন্টারল্যাকিং
വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്,ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট
വിലാസ ലൈൻ,ঠিকানা লাইন
വിലാസ മാപ്പിംഗ്,ঠিকানা ম্যাপিং
വിലാസ അടയാളം,ঠিকানা চিহ্ন
വിലാസ പരിഷ്ക്കരണം,ঠিকানা পরিবর্তন
വിലാസ ഭാഗം,ঠিকানা অংশ
വിലാസം പോയിന്റർ,ঠিকানা পয়েন্টার
വിലാസ രജിസ്റ്റർ,ঠিকানা রেজিস্টার
വിലാസ സിഗ്നൽ,ঠিকানা সংকেত
വിലാസ വലുപ്പം,ঠিকানা আকার
വിലാസ ഇടം,ঠিকানা স্থান
വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ,ঠিকানা স্পেস আইডেন্টিফায়ার
വിലാസ സ്റ്റോപ്പ്,ঠিকানা স্টপ
വിലാസ ട്രെയ്സ്,ঠিকানা ট্রেস
വിലാസ ട്രാക്ക്,ঠিকানা ট্র্যাক
വിവർത്തനം വിവർത്തനം ചെയ്യുക,ঠিকানা অনুবাদ
വിലാസ പരിഭാഷകന്,ঠিকানা অনুবাদক
ചേർക്കുക-കുറയ്ക്കുക സമയം,বিয়োগের সময় যোগ করুন
സമയം ചേർക്കുക,সময় যোগ করুন
വാര്ത്താവകം,সংলগ্নতা
അഡ്ജഞ്ചൻസിൻസ് ഘടന,সংলগ্ন কাঠামো
തൊട്ടടുത്തുള്ള ചാനൽ,সংলগ্ন চ্যানেল
