Malayalam,Gujarati
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,A B વર્ગ એમ્પ્લીફાયર
അപഭ്രംശം,વિકૃતિ
അസാധാരണമായ സംക്രമണം,અસામાન્ય ટ્રાન્સમિશન
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
സ്പെക്ട്രം കാണുന്നില്ല,ગુમ થયેલ સ્પેક્ટ્રમ
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
കേവല ഈർപ്പം,સંપૂર્ણ ભેજ
കേവല വേഗത,સંપૂર્ણ ગતિ
സമ്പൂർണ നിരീക്ഷണം,સંપૂર્ણ અવલોકન
കേവല താപനില,સંપૂર્ણ તાપમાન
കേവല പൂജ്യം,સંપૂર્ણ શૂન્ય
ആഗിരണം ചെയ്യുക,શોષી લેવું
"ആഗിരണം, ആഗിരണം","શોષક, શોષક"
ആഗിരണം ശേഷി,શોષણ ક્ષમતા
ആഗിരണം,શોષણ
ആഗിരണം ചെയ്യാവുന്ന,શોષક
ആഗിരണം,શોષકતા
ഗുണിത അനുപാതം,ગુણાકાર ગુણોત્તર
ത്വരിതപ്പെടുത്തുക,વેગ આપો
തിടുക്കപ്പെട്ടു,ઉતાવળ કરી
ത്വരണം,પ્રવેગ
ഗുരുത്വാകർഷണ ത്വരണം,ગુરુત્વાકર્ષણ પ્રવેગક
ആക്സിലറേറ്റർ,પ્રવેગક
ആക്സിലറേറ്റർ,પ્રવેગક
ആക്സിലറോമീറ്റർ,એક્સેલરોમીટર
പ്രിസ്ട്രെസർ,prestresser
സ്വീകാര്യമായ പരിശോധന,સ્વીકાર્ય પરીક્ષણ
സ്വീകർത്താവ്,સ્વીકારનાર
ദാതാവിന്റെ തന്മാത്ര,દાતા પરમાણુ
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","પ્રવેશ, રાહ, સુલભતા"
പ്രവേശനക്ഷമത,ઉપલ્બધતા
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
പ്രവേശന സമയം,ઍક્સેસ સમય
സന്ദർശക പിശക്,મુલાકાતી ભૂલ
ക്രമീകരിക്കൽ,ગોઠવણ
കുമിഞ്ഞുകൂടി,સંચિત
"ശേഖരണം, ശേഖരണം","સંચય, સંચય"
ശേഖരണം,સંચયક
കൃത്യത,ચોકસાઈ
റിയാലിറ്റി,વાસ્તવિકતા
അക്രോമാറ്റിക് ലെൻസ്,વર્ણહીન લેન્સ
അക്രോമാറ്റിക്,વર્ણહીન
അക്രോമാറ്റിറ്റി,વર્ણહીનતા
അക്കോസ്റ്റിക്,એકોસ્ટિક
ശബ്ദപ്രതിരോധം,સાઉન્ડપ્રૂફ
അക്കോസ്റ്റിക് ഫോണോൺ,એકોસ્ટિક ફોનોન
ശബ്ദ യൂണിറ്റ്,ધ્વનિ એકમ
അക്കോസ്റ്റിക്,એકોસ્ટિક
ശബ്ദ ജനറേറ്റർ,અવાજ જનરેટર
പ്രവർത്തനവും പ്രതികരണവും,ક્રિયા અને પ્રતિક્રિયા
സജീവമാക്കൽ,સક્રિયકરણ
സജീവമാക്കൽ ഊർജ്ജം,સક્રિયકરણ ઊર્જા
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","એક્ટિવેટર, એક્ટિવેટર"
സജീവമാണ്,સક્રિય
ആക്ടിവിസം,સક્રિયતા
യഥാർത്ഥ സമ്മർദ്ദം,વાસ્તવિક તણાવ
മന്ത്രിക്കുന്നു,બબડાટ
സംഗ്രഹിക്കാനായി,સારાંશ માટે
"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)","સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
സങ്കലനം,ઉમેરણ
അഡീഷൻ,સંલગ્નતા
പശ ഊർജ്ജം,એડહેસિવ ઊર્જા
അടിയാബാറ്റ്,adiabat
adiabatic,એડિબેટિક
ചൂട് ഇൻസുലേറ്റിംഗ്,હીટ ઇન્સ્યુલેટીંગ
ബന്ധം,જોડાણ
ക്രമീകരിക്കാവുന്ന,એડજસ્ટેબલ
നുഴഞ്ഞുകയറ്റം,પ્રવેશ
ആഗിരണം,શોષણ
മുന്നോട്ട്,આગળ
പുരോഗമനപരമായ,પ્રગતિશીલ
"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)","આકાશી, હવા (વિ.), હવાઈ (સં.)"
ആന്റിന സ്ട്രീം,એન્ટેના સ્ટ્રીમ
ഏരിയൽ സർവേ,હવાઈ સર્વેક્ષણ
വായു വേഗത,હવાનો વેગ
എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്,એરોડાયનેમિક ગુણાંક
എയറോഡൈനാമിക്,એરોડાયનેમિક
എയറോഡൈനാമിക്സ്,એરોડાયનેમિક્સ
എയറോനോട്ടിക്കൽ,એરોનોટિકલ
എയറോനോട്ടിക്സ്,એરોનોટિક્સ
എയർ പൾസ്,હવા નાડી
"അന്തരീക്ഷം, വാതകമണ്ഡലം","વાતાવરણ, ગેસોસ્ફિયર"
ഫോക്കസ് സിസ്റ്റം,ફોકસ સિસ્ટમ
തിരികെ ജ്വലനം,પાછળની ઇગ્નીશન
ബാക്ക് ലൈറ്റ്,પાછળનો પ્રકાશ
ഞെട്ടൽ,ઉશ્કેરાટ
"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക","ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
സമയം ബാധിച്ചു,અસરગ્રસ્ત સમય
"വാർദ്ധക്യം, വാർദ്ധക്യം","વૃદ્ધાવસ્થા, વૃદ્ધત્વ"
സമയ പ്രഭാവം,સમયની અસર
സമയ ഫല പരിശോധന,સમય અસર પરીક્ષણ
ഗുരുത്വാകർഷണമില്ലാത്ത,ગુરુત્વાકર્ષણ રહિત
അനുരഞ്ജനം,સમાધાન
"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ","એરબોર્ન રડાર, એરિયલ રડાર"
"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം","હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય"
എയർ റെസ്പിറേറ്റർ,હવા શ્વસન કરનાર
എയർ കണ്ടീഷനിംഗ്,એર કન્ડીશનીંગ
എയർക്രൂ ട്രാൻസ്ഫോർമർ,એરક્રુ ટ્રાન્સફોર્મર
വിമാനം,વિમાન
വിന്യാസം,ગોઠવણી
വിന്യാസ പിശക്,સંરેખણ ભૂલ
ലൈവ് സർക്യൂട്ട്,જીવંત સર્કિટ
മുഴുവൻ ഗ്ലാസ് ട്യൂബ്,સંપૂર્ણ કાચની નળી
മുഴുവൻ മെറ്റൽ ട്യൂബ്,આખી મેટલ ટ્યુબ
പരിഹരിക്കാൻ,ઠીક
"മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)","મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)"
മിശ്രത്വൻ,મિશ્રત્વ
സർവ്വവ്യാപിയായ മാധ്യമം,સર્વવ્યાપક માધ્યમ
ഓമ്‌നി ആന്റിന,ઓમ્ની એન્ટેના
പഞ്ചഭൂതം,પંચાંગ
ആൽഫ,આલ્ફા
ആൽഫ പ്രവർത്തനം,આલ્ફા-પ્રવૃત્તિ
ആൽഫാന്യൂമെറിക്,આલ્ફાન્યૂમેરિક
ആൽഫാ റേ,આલ્ફા કિરણ
മാറ്റുക,બદલો
"ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്","વૈકલ્પિક, વૈકલ્પિક"
ആൾട്ടർനേറ്റർ,વૈકલ્પિક
ആൾട്ടിമീറ്റർ,અલ્ટિમીટર
ആൾട്ടിമീറ്റർ,અલ્ટિમીટર
ആൾട്ടിമെട്രി,અલ્ટાઇમટ્રી
"ഉയരം, ഉയരം, ഉയരം, ഉയരം","ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ"
അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU),અંકગણિત તર્ક એકમ (ALU)
ഒരു ഭരണം,amaget નિયમ
പരിസ്ഥിതി,પર્યાવરણ
അമ്ക്രോൺ,એમીક્રોન
അമ്മീറ്റർ,એમીટર
ആമ്പിയർ,એમ્પીયર
ആമ്പിയർ നിയമം,એમ્પીયર કાયદો
ഉഭയജീവി അയോൺ,ઉભયજીવી આયન
ആംപ്ലിഫിക്കേഷൻ,એમ્પ્લીફિકેશન
ആംപ്ലിഫയർ,એમ્પ્લીફાયર
"ആംഗിൾ, അളവ്","કોણ, પરિમાણ"
എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്),a એમ. યુ. (અણુ સમૂહ એકમ)
അനുയോജ്യം,સુસંગત
സാമ്യം,સામ્યતા
അനലിസ്റ്റ്,વિશ્લેષક
വിശകലനം,વિશ્લેષણ
വിശകലനാത്മകമായ,વિશ્લેષણાત્મક
നോൺ-പോയിന്റ്,બિન-બિંદુ
അസാധാരണമായ,વિસંગત
വാതിലും,અને દરવાજો
നോൺ-അക്കോസ്റ്റിക്,બિન-એકોસ્ટિક
അസാധാരണമായ ഇലാസ്തികത,વિસંગત સ્થિતિસ્થાપકતા
ജലരഹിതമായ,નિર્જળ
കോൺ,કોણ
angstrom യൂണിറ്റ്,એંગસ્ટ્રોમ એકમ
കോണിക,કોણીય
പ്രൊട്രാക്ടർ വെർനിയർ,પ્રોટ્રેક્ટર વેર્નિયર
തർക്കരഹിതമായ,વિવાદાસ્પદ
ബഹുമാനമില്ലാത്ത,આદરહીન
അക്രോമാറ്റിക് കാന്തികവൽക്കരണം,વર્ણહીન ચુંબકીયકરણ
മന്ദത,ઢીલું
അയോൺ,anion
അസമമായ,અસમપ્રમાણ
ഐസോട്രോപിക്,આઇસોટ્રોપિક
ഐസോട്രോപിസം,આઇસોટ્રોપિઝમ
ഇല്ലാതാക്കൽ,કાઢી નાખવું
ഗൂഢാലോചനക്കാർ,કાવતરાખોરો
ആനോഡ്,એનોડ
ആനോഡൈസേഷൻ,એનોડાઇઝેશન
പൊരുത്തമില്ലാത്ത,અસંગત
ഒപ്റ്റിക്കൽ സിസ്റ്റം,ઓપ્ટિકલ સિસ્ટમ
ആന്റിന,એન્ટેના
ആന്റിബെറിയോൺ,એન્ટિબેરિયન
ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്,વિરોધી બંધન ગુણધર્મો
കൌണ്ടർ ബോണ്ട്,કાઉન્ટર બોન્ડ
റിവേഴ്സ് പവർ,વિપરીત શક્તિ
ഡയമാഗ്നറ്റിക്,ડાયમેગ્નેટિક
ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ,ડાયમેગ્નેટિક સામગ્રી
വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്,બળતરા વિરોધી
ആന്റിഗ്രാവിറ്റി,એન્ટિગ્રેવિટી
