Gujarati,Assamese
એસી સમકક્ષ સર્કિટ,এ চি সমতুল্য বৰ্তনী
આંકડાકીય કન્વર્ટર માટે એનાલોગ,এনালগ টু সংখ্যাগত ৰূপান্তৰক
સંપૂર્ણ શૂન્ય,নিৰপেক্ষ শূন্য
શોષણ ગુણાંક,শোষণ সহগ
શોષણ સ્પેક્ટ્રમ,শোষণ বৰ্ণালী
રીસેપ્ટર અણુ,ৰিচেপ্টৰ পৰমাণু
વૈકલ્પિક વર્તમાન જોડાણ,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
ઇલેક્ટ્રોન લણણી,ইলেক্ট্ৰন সংগ্ৰহ কৰা
છિદ્ર સંગ્રહ,ফুটা সংৰক্ষণ
સક્રિયકરણ ઊર્જા,সক্ৰিয়কৰণ শক্তি
સક્રિય એમ્પ્લીફાયર,সক্ৰিয় পৰিবৰ্ধক
સક્રિય ડાયોડ સર્કિટ,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
સક્રિય ફિલ્ટર,সক্ৰিয় ফিল্টাৰ
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
સક્રિય લોડ,সক্ৰিয় লোড
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
સક્રિય વિસ્તાર,সক্ৰিয় অঞ্চল
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,অভিযোজিত ইলেক্ট্ৰনিক্স
ઉમેરનાર,adder
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,এডজাষ্টেবল বেণ্ড এক্সটেনচন
પ્રવેશ,ভেদ
એરિયલ,এৰিয়েল
pep આવર્તન,pep কম্পাঙ্ক
એર કન્ડીશનર,এয়াৰ কণ্ডিচনাৰ
ગોઠવણી,প্ৰান্তিককৰণ
અલ્ગોરિધમ,এলগৰিদম
બધા પાસ ફિલ્ટર,সকলো পাছ ফিল্টাৰ
એલોય જંકશન,মিশ্ৰণ সংযোগ
એટેન્યુએશન,ক্ষীণকৰণ
વૈકલ્પિક પ્રવાહ,বিকল্প বিদ্যুৎ প্ৰবাহ
આસપાસનું તાપમાન,পৰিৱেশৰ উষ্ণতা
દ્વિધ્રુવી,বাইপোলাৰ
એમ્પ્લીફિકેશન,এম্প্লিফিকেশন
એમ્પ્લીફાયર,এম্প্লিফায়াৰ
એમ્પ્લીફાયર કાર્યક્ષમતા,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
પરિમાણો,মাত্ৰাসমূহ
કંપનવિસ્તાર એટેન્યુએશન,প্ৰসাৰণ ক্ষীণকৰণ
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,প্ৰসাৰণ মডুলেটেড AM দোলক
કંપનવિસ્તાર મોડ્યુલેશન,প্ৰসাৰণ মডুলেচন
કંપનવિસ્તાર મોડ્યુલેટર,প্ৰসাৰণ মডুলেটৰ
એંગસ્ટ્રોમ એકમ,angstrom একক
એનાલોગ સર્કિટ,এনালগ বৰ্তনী
એનાલોગ કમ્પ્યુટર,এনালগ কম্পিউটাৰ
એનાલોગ ફિલ્ટર,এনালগ ফিল্টাৰ
એનાલોગ મલ્ટિમીટર,এনালগ মাল্টিমিটাৰ
એનાલોગ સ્વીચ,এনালগ চুইচ
અને દરવાજો,AND গেট
કોણીય આવર્તન,কৌণিক কম্পাঙ্ক
"anion, anion","এনিয়ন, এনিয়ন"
એનિલિંગ તાપમાન,এনিয়েলিং উষ্ণতা
એનોડ,এনোড
એનોડ એમ્પ્લીફાયર,এনোড এম্প্লিফায়াৰ
anodyne,এনোডাইন
એન્ટેના,এন্টেনা
એન્ટેના ઘટક,এন্টেনা উপাদান
