Bengali,Punjabi
গর্ভপাত,ਅਧੂਰਾ ਛੱਡਣਾ
গর্ভপাত টাইমার,ਅਧੂਰਾ ਛੱਡੋ
পরম ঠিকানা,निरपेक्ष an s
পরম ঠিকানা,ਪੂਰਨ ਪਤਾ
পরম এসেম্বলার,ਸੰਪੂਰਨ ਸੰਜਮ
পরম কোড,ਸੰਪੂਰਨ ਕੋਡ
পরম কোডিং,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
পরম কমান্ড,ਸੰਪੂਰਨ ਕਮਾਂਡ
পরম সমন্বয়,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
পরম ডেটা,ਸੰਪੂਰਨ ਡੇਟਾ
পরম ত্রুটি,ਪੂਰੀ ਗਲਤੀ
পরম অভিব্যক্তি,ਪੂਰਨ ਸਮੀਕਰਨ
পরম নির্দেশ,ਪੂਰਨ ਹਦਾਇਤ
পরম লোডার,ਸੰਪੂਰਨ ਲੋਡਰ
পরম আদেশ,ਸੰਪੂਰਨ ਕ੍ਰਮ
পরম প্রোগ্রামিং,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
পরম শব্দ,ਸੰਪੂਰਨ ਅਵਧੀ
পরম মান,ਸਹੀ ਮੁੱਲ
পরম ভেক্টর,ਸੰਪੂਰਨ ਵੈਕਟਰ
বিমূর্ত,ਸਾਰ
বিমূর্ত,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
বিমূর্ত প্রতীক,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
ত্বরণ সময়কাল,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
ত্বরণের সময়,ਪ੍ਰਵੇਗ ਟਾਈਮ
অ্যাকসেন্ট,ਲਹਿਜ਼ਾ
স্বীকৃতি পরীক্ষা,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
অ্যাক্সেস,ਪਹੁੰਚ
অ্যাক্সেস আর্ম,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
অ্যাক্সেস ব্যবস্থা,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
অ্যাক্সেস কর্তৃপক্ষ,ਪਹੁੰਚ ਅਥਾਰਟੀ
অ্যাক্সেস চার্জ,ਐਕਸੈਸ ਚਾਰਜ
অ্যাক্সেস ক্লাস,ਐਕਸੈਸ ਕਲਾਸ
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
অ্যাক্সেস পরিবেশ,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
অ্যাক্সেস ফাঁক,ਐਕਸੈਸ ਪਾੜਾ
অ্যাক্সেস সূচক,ਐਕਸੈਸ ਇੰਡੈਕਸ
অ্যাক্সেস লাইন,ਐਕਸੈਸ ਲਾਈਨ
অ্যাক্সেস প্রক্রিয়া,ਐਕਸੈਸ ਵਿਧੀ
অ্যাক্সেস পদ্ধতি,ਐਕਸੈਸ ਵਿਧੀ
অ্যাক্সেস পদ্ধতির রুটিন,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
অ্যাক্সেস মোড,ਐਕਸੈਸ ਮੋਡ
এক্সেস অধিকার,ਸਹੀ ਪਹੁੰਚ
অ্যাক্সেস স্ক্যান,ਐਕਸੈਸ ਸਕੈਨ
প্রবেশাধিকার সময়,ਐਕਸੈਸ ਟਾਈਮ
অ্যাকাউন্টিং,ਲੇਖਾ
অ্যাকাউন্টিং ফিনান্স সিস্টেম,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
অ্যাকাউন্টিং মেশিন,ਲੇਖਾ ਮਸ਼ੀਨ
হিসাব নাম্বার,ਅਕਾਊਂਟ ਨੰਬਰ
প্রজননকারী জমে,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
জমে,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
সংগ্রহকারী রেজিস্টার,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
সংগ্রহকারী শিফট নির্দেশনা,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
সঠিকতা,ਸ਼ੁੱਧਤਾ
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
এস পাইলট,ਏਸ ਪਾਇਲਟ
চরিত্র স্বীকৃতি,ਅੱਖਰ ਮੰਨੋ
অ্যাকোস্টিক কাপলার,ਧੁਨੀ ਕਥਾ
অ্যাকোস্টিক কাপলিং,ਧੁਨੀ
অ্যাকোস্টিক বিলম্ব লাইন,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
অ্যাকোস্টিক মেমরি,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
