Hindi,Odiya
ए बी वर्ग प्रवर्धक,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
"विपथन,अपेरण",ଘୃଣ୍ୟତା |
असामान्य संचरण,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"असंलग्न,सहसा ,खड़आ,विच्छिन्न,खंडित","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
लुप्त स्पेक्ट्रम,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"निरपेक्ष,परम,अचर,परिशुद्ध","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
निरपेक्ष आर्द्रता,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
निरपेक्ष गति,ସଂପୂର୍ଣ୍ଣ ଗତି
निरपेक्ष प्रेक्षण,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
परम ताप,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
परम शून्य,ସଂପୂର୍ଣ୍ଣ ଶୂନ
अवशोषण करना,ଶୋଷଣ
"अवशोषक, अवशोषी","ଶୋଷକ, ଶୋଷକ"
अवशोषण सामर्थ्य,ଅବଶୋଷଣ କ୍ଷମତା |
अवशोषणांश,ଅବସାଦ |
अवशोषी,ଶୋଷକ
अवशोषकता,ଶୋଷଣ
बाहुल्य अनुपात,ବହୁଗୁଣ ଅନୁପାତ |
त्वरित करना,ତ୍ୱରାନ୍ୱିତ କର |
त्वरित,ଶୀଘ୍ର ଶୀଘ୍ର
त्वरण,ତ୍ୱରଣ
गुरुत्व त्वरण,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
त्वरक,ତ୍ୱରକ
"त्वरित्र,त्वरक",ତ୍ୱରକ
त्वरणमापी,ଆକ୍ସିଲେରୋମିଟର
प्राक्प्रबलक,ସମ୍ମାନ
स्वीकारी परीक्षण,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
"ग्राही,स्वीकारी",ଗ୍ରହଣକାରୀ
आदाता अणु,ଦାତା ଅଣୁ
"अभिगम,प्रतीक्षा,अभिगम्यता","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
अभिगम्यता,ଅଭିଗମ୍ୟତା
"अतिरिक्त,सहायक,गौण (वि.) ,उपसाधन (सं.)","ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
अभिगम काल,ପ୍ରବେଶ ସମୟ
आगन्तुक त्रुटि,ପରିଦର୍ଶକ ତ୍ରୁଟି |
समंजन,ଆଡଜଷ୍ଟେସନ୍
संचित,ସଂଗୃହିତ
"संचय,संचयन","ଜମା, ଜମା"
संचायक,ଜମାକାରୀ
यथार्थता,ସଠିକତା
यथार्थ,ବାସ୍ତବତା
अवर्णक लेन्स,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
अवर्णक,ଆକ୍ରୋମାଟିକ୍ |
अवर्णकता,ଆକ୍ରୋମାଟିଟି
ध्वानिक,ଶବ୍ଦ
ध्वनिरुद्ध,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
ध्वानिक फ़ओनॉन,ଆକାଶବାଣୀ ଫୋନନ୍ |
ध्वनि-मात्रक,ଧ୍ୱନି ଏକକ |
ध्वानिक,ଶବ୍ଦ
ध्वनि जनित्र,ଶବ୍ଦ ଜେନେରେଟର
क्रिया और प्रतिक्रिया,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
सक्रियण,ସକ୍ରିୟ
सक्रियण उर्जा,ସକ୍ରିୟ ଶକ୍ତି
"सक्रियकारक,सक्रियक","ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |"
सक्रिय,ସକ୍ରିୟ |
सक्रियता,ସକ୍ରିୟତା
वास्तविक प्रतिबल,ପ୍ରକୃତ ଚାପ
क्षिप्र उद्भासन,ଫୁସ୍ଫୁସ୍
"योग करना,जोड़ना",ସଂକ୍ଷେପରେ
"योग,जोड़,संकलन (सं.),योगात्मक (वि.)","ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)"
"संयोजी स्वर,अतिरिक्त टोन (स्वर)","ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)"
"योज्य,योगात्मक",ଯୋଗୀ
आसंजन,ଆଡିଶିନ୍ |
आसंजी ऊर्जा,ଆଡେସିଭ୍ ଶକ୍ତି |
ऐडियाबैट,adiabat
रुद्धोष्म,ଆଡିଆବାଟିକ୍ |
उष्मा-अपार्य,ଉତ୍ତାପ ଇନସୁଲେଟିଂ
संलग्न,ସଂଲଗ୍ନ
समायोज्य,ନିୟନ୍ତ୍ରିତ
प्रवेश्यता,ଅନୁପ୍ରବେଶ
अधिशोषण,ବିଜ୍ or ାପନ
अग्रगत,ଆଗକୁ
प्रगामी,ପ୍ରଗତିଶୀଳ |
"आकाशी,वायव (वि.),एरियल (सं.)","akashi, air (v।), aerial (ed।)"
ऐन्टेना धारा,ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |
आकाशी सर्वेक्षण,ବାୟୁ ସର୍ବେକ୍ଷଣ |
वायव वेग,ବାୟୁ ବେଗ
वायुगतिक गुणांक,ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
वायुगतिक,ଏରୋଡାଇନାମିକ୍ |
वायुगतिकी,ଏରୋଡାଇନାମିକ୍ସ |
वैमानिक,ଏରୋନେଟିକାଲ୍ |
वैमानिकी,ଏରୋନେଟିକ୍ସ |
वायुस्पंद,ବାୟୁ ନାଡ
"वातमंडल,गैसमंडल","ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |"
अफोकसी तंत्र,ଫୋକସ୍ ସିଷ୍ଟମ୍ |
पश्च ज्वलन,ପଛ ଇଗ୍ନିସନ୍ |
पश्च दीप्ति,ପଛ ଆଲୋକ
उत्तरघात,ସଂକଟ
"वय,आयु,उम्र  ,युग (सं.) ,कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना","ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |"
कालप्रभावित,ସମୟ ପ୍ରଭାବିତ |
"कालप्रभावन ,जरण","ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ"
कालप्रभावन,ସମୟ ପ୍ରଭାବ
कालप्रभावन परीक्षण,ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା
गुरुत्वहीन,ମାଧ୍ୟାକର୍ଷଣ |
