English,Odiya
abacus,ଆବାକସ୍ |
abnormal termination,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
abort,ପରିତ୍ୟାଗ
absolute,ସଂପୂର୍ଣ୍ଣ
absolute address,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
absolute addressing,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
absolute assembler,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
absolute code,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
absolute command,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
absolute data,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
absolute instruction,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
absolute mode,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
absolute path,ସଂପୂର୍ଣ୍ଣ ପଥ
absolute programming,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
abstract class,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
abstract data type,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
abstract machine,ବିସ୍ତୃତ ମେସିନ୍ |
abstract symbol,ବିସ୍ତୃତ ପ୍ରତୀକ |
abstract syntax,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
acceptance testing,ଗ୍ରହଣ ପରୀକ୍ଷା
access authentication,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
access code,ପ୍ରବେଶ କୋଡ୍
access control,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
access scan,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
accessory,ଆନୁଷଙ୍ଗିକ
account,ଖାତା
account ID,ଖାତା ID
accumulator,ଜମାକାରୀ
accuracy,ସଠିକତା
acess,acess
acess control byte,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
acess index,acess index
acess key,acess କି
acess matrix,acess matrix
acess mode,acess ମୋଡ୍ |
acess privilege,acess ଅଧିକାର
acess security,acess ସୁରକ୍ଷା |
acess server,acess ସର୍ଭର |
acess time,ଆକସେସ୍ ସମୟ |
acknowledgement,ସ୍ୱୀକୃତି
acoustics,ଆକାଶବାଣୀ
acronym,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
action message,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
activation,ସକ୍ରିୟ
active server page (ASP),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
active version,ସକ୍ରିୟ ସଂସ୍କରଣ |
acyclic,acyclic
acyclic graph,acyclic ଗ୍ରାଫ୍ |
Ada language,ଅଦା ଭାଷା |
adapter,ଆଡାପ୍ଟର
add,ଯୋଡନ୍ତୁ |
add file,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
add operation,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
adder,ଆଡର୍
address,ଠିକଣା
address bus,ଠିକଣା ବସ୍
address file,ଠିକଣା ଫାଇଲ୍ |
address format,ଠିକଣା ଫର୍ମାଟ୍
address generator,ଠିକଣା ଜେନେରେଟର
address line,ଠିକଣା ରେଖା
address mapping,ଠିକଣା ମ୍ୟାପିଂ
address pointer,ଠିକଣା ସୂଚକ
address register,ଠିକଣା ରେଜିଷ୍ଟର
address resolution,ଠିକଣା ରେଜୋଲୁସନ
address translation,ଠିକଣା ଅନୁବାଦ
addressed memory,ଠିକଣା ସ୍ମୃତି
addressing,ଠିକଣା
adequacy criteria,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
adjoint,ଯୋଗ
administration,ପ୍ରଶାସନ
administrator,ପ୍ରଶାସକ
adobe acrobat,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
adobe photoshop,ଆଡୋବ ଫଟୋଶପ୍ |
Advance Business Application Programming (ABAP),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
advanced data,ଉନ୍ନତ ତଥ୍ୟ
advanced information system,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
advanced technology (AT),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
agent,ଏଜେଣ୍ଟ
aggregation,ଏକୀକରଣ
airborne computer system,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus page maker,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
alert box,ଆଲର୍ଟ ବାକ୍ସ
algol,ଆଲଗୋଲ୍
algorithm,ଆଲଗୋରିଦମ |
algorithm analysis,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
algorithm efficiency,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
alias,ଛଦ୍ମନାମ
alignment,ଶ୍ରେଣୀବଦ୍ଧତା |
allocation,ଆବଣ୍ଟନ
alphabetic,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
alphanumeric,ବର୍ଣ୍ଣମାଳା
alphanumeric key board,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
alpha-test,ଆଲଫା-ପରୀକ୍ଷା
alpha-version,ଆଲଫା-ସଂସ୍କରଣ |
alt key,alt କି
altavista,altavista
ambiguity,ଅସ୍ପଷ୍ଟତା |
ambiguous grammar,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
American National Standards Institute (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
American Standard Code For Information Interchange (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
analog,analog
analog computer,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
analog device,analog ଉପକରଣ
analog modem,ଆନାଗଲ୍ ମୋଡେମ୍ |
Analog To Digital Converter (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
AND,ଏବଂ
AND circuit,ଏବଂ ସର୍କିଟ |
AND gate,ଏବଂ ଫାଟକ |
AND not operation (Exclusion),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
animation,ଆନିମେସନ୍
annotation,ଟିପ୍ପଣୀ
anomaly,ଅନୋମାଲିୟା |
antecedent,ପ୍ରାଚୀନ
anticipatory paging,ଆଶାକର୍ମୀ ପେଜିଂ |
anti-symmetric,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
antivirus program,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
applet,ଆପଲେଟ୍
application developer,ପ୍ରୟୋଗ ବିକାଶକାରୀ
application programming,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
application programming interface (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
application software,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
applicative language,ପ୍ରୟୋଗ ଭାଷା |
approximation theory,ଆନୁମାନିକ ତତ୍ତ୍। |
architecture,ସ୍ଥାପତ୍ୟ
area transfer,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
argument,ଯୁକ୍ତି
arithmatic and logic unit,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
arithmatic check,ଗାଣିତିକ ଯାଞ୍ଚ |
arithmatic constant,ଗାଣିତିକ ସ୍ଥିର |
arithmatic data,ଗାଣିତିକ ତଥ୍ୟ
arithmatical instruction,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
arithmetic and logic unit (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
ARPANET,ARPANET
array,ଆରେ
array cache,ଆରେ କ୍ୟାଚ୍
array computer,ଆରେ କମ୍ପ୍ୟୁଟର |
array element,ଆରେ ଉପାଦାନ |
array name,ଆରେ ନାମ
array processor,ଆରେ ସଞ୍ଚାଳକ
arrow keys,ତୀର କିଗୁଡ଼ିକ
articulation,ଆର୍ଟିକିଲେସନ୍
articulation point,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
artificial compaction,କୃତ୍ରିମ ସଙ୍କୋଚନ |
artificial control,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
artificial intelligence,କୃତ୍ରିମ ବୁଦ୍ଧି
ascender,ଆରୋହଣ
ascending sort,ଆରୋହଣ କ୍ରମ
ASCII betical order,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII control character,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII file,ASCII ଫାଇଲ୍ |
ASCII font,ASCII ଫଣ୍ଟ |
ASCII transfer,ASCII ସ୍ଥାନାନ୍ତର |
aspect ratio,ଆନୁମାନିକ ଅନୁପାତ
ASPI,ASPI
ASR timer,ASR ଟାଇମର୍ |
assemble,ଏକତ୍ର ହୁଅ
assembler,ଏକତ୍ରକାରୀ
assembly,ସଭା
assembly language,ସଭା ଭାଷା |
assertion,ଧାରଣା
assignment,ଆସାଇନମେଣ୍ଟ
association,ସଙ୍ଗଠନ
associative address,ସହଯୋଗୀ ଠିକଣା
associative memory,ସହଯୋଗୀ ସ୍ମୃତି
asteric,ନକ୍ଷତ୍ର
asymmetric,ଅସୀମିତ |
asynchronous,ଅସନ୍ତୁଳିତ |
asynchronous Digital Subscriber Line (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
asynchronous Time Division Multiplexing (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
asynchronous transfer,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
