Marathi,Malayalam
A B वर्ग अॅम्प्लीफायर,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
विकृती,അപഭ്രംശം
असामान्य प्रसार,അസാധാരണമായ സംക്രമണം
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
गहाळ स्पेक्ट्रम,സ്പെക്ട്രം കാണുന്നില്ല
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
परिपूर्ण आर्द्रता,കേവല ഈർപ്പം
परिपूर्ण गती,കേവല വേഗത
परिपूर्ण निरीक्षण,സമ്പൂർണ നിരീക്ഷണം
परिपूर्ण तापमान,കേവല താപനില
पूर्ण शून्य,കേവല പൂജ്യം
शोषून घेणे,ആഗിരണം ചെയ്യുക
"शोषक, शोषक","ആഗിരണം, ആഗിരണം"
शोषण क्षमता,ആഗിരണം ശേഷി
शोषण,ആഗിരണം
शोषक,ആഗിരണം ചെയ്യാവുന്ന
शोषकता,ആഗിരണം
गुणोत्तर गुणोत्तर,ഗുണിത അനുപാതം
गती वाढवणे,ത്വരിതപ്പെടുത്തുക
घाई केली,തിടുക്കപ്പെട്ടു
प्रवेग,ത്വരണം
गुरुत्वाकर्षणाचा प्रवेग,ഗുരുത്വാകർഷണ ത്വരണം
प्रवेगक,ആക്സിലറേറ്റർ
प्रवेगक,ആക്സിലറേറ്റർ
प्रवेगमापक,ആക്സിലറോമീറ്റർ
prestresser,പ്രിസ്ട്രെസർ
स्वीकार्य चाचणी,സ്വീകാര്യമായ പരിശോധന
स्वीकारणारा,സ്വീകർത്താവ്
दाता रेणू,ദാതാവിന്റെ തന്മാത്ര
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
प्रवेशयोग्यता,പ്രവേശനക്ഷമത
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
प्रवेश वेळ,പ്രവേശന സമയം
अभ्यागत त्रुटी,സന്ദർശക പിശക്
समायोजन,ക്രമീകരിക്കൽ
जमा,കുമിഞ്ഞുകൂടി
"जमा करणे, जमा करणे","ശേഖരണം, ശേഖരണം"
संचयक,ശേഖരണം
अचूकता,കൃത്യത
वास्तव,റിയാലിറ്റി
अॅक्रोमॅटिक लेन्स,അക്രോമാറ്റിക് ലെൻസ്
अक्रोमॅटिक,അക്രോമാറ്റിക്
अक्रोमॅटिकता,അക്രോമാറ്റിറ്റി
ध्वनिक,അക്കോസ്റ്റിക്
ध्वनीरोधक,ശബ്ദപ്രതിരോധം
ध्वनिक फोनन,അക്കോസ്റ്റിക് ഫോണോൺ
ध्वनी युनिट,ശബ്ദ യൂണിറ്റ്
ध्वनिक,അക്കോസ്റ്റിക്
ध्वनी जनरेटर,ശബ്ദ ജനറേറ്റർ
क्रिया आणि प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
सक्रियकरण,സജീവമാക്കൽ
सक्रियता ऊर्जा,സജീവമാക്കൽ ഊർജ്ജം
"सक्रिय करणारा, सक्रिय करणारा","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
सक्रिय,സജീവമാണ്
सक्रियता,ആക്ടിവിസം
वास्तविक ताण,യഥാർത്ഥ സമ്മർദ്ദം
कुजबुजणे,മന്ത്രിക്കുന്നു
बेरीज करणे,സംഗ്രഹിക്കാനായി
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)","സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
additive,സങ്കലനം
आसंजन,അഡീഷൻ
चिकट ऊर्जा,പശ ഊർജ്ജം
adiabat,അടിയാബാറ്റ്
adiabatic,adiabatic
उष्णता इन्सुलेट,ചൂട് ഇൻസുലേറ്റിംഗ്
संलग्नक,ബന്ധം
बदलानुकारी,ക്രമീകരിക്കാവുന്ന
प्रवेश,നുഴഞ്ഞുകയറ്റം
शोषण,ആഗിരണം
पुढे,മുന്നോട്ട്
प्रगतीशील,പുരോഗമനപരമായ
"आकाशी, वायु (वि.), हवाई (सं.)","ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
अँटेना प्रवाह,ആന്റിന സ്ട്രീം
हवाई सर्वेक्षण,ഏരിയൽ സർവേ
हवेचा वेग,വായു വേഗത
वायुगतिकीय गुणांक,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
वायुगतिकीय,എയറോഡൈനാമിക്
वायुगतिकी,എയറോഡൈനാമിക്സ്
वैमानिक,എയറോനോട്ടിക്കൽ
वैमानिक,എയറോനോട്ടിക്സ്
हवेची नाडी,എയർ പൾസ്
"वातावरण, वायूमंडल","അന്തരീക്ഷം, വാതകമണ്ഡലം"
फोकस सिस्टम,ഫോക്കസ് സിസ്റ്റം
परत प्रज्वलन,തിരികെ ജ്വലനം
परत प्रकाश,ബാക്ക് ലൈറ്റ്
आघात,ഞെട്ടൽ
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे","പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക"
वेळ प्रभावित,സമയം ബാധിച്ചു
"वृद्धत्व, वृद्धत्व","വാർദ്ധക്യം, വാർദ്ധക്യം"
वेळेचा प्रभाव,സമയ പ്രഭാവം
वेळ प्रभाव चाचणी,സമയ ഫല പരിശോധന
गुरुत्वाकर्षणरहित,ഗുരുത്വാകർഷണമില്ലാത്ത
समेट,അനുരഞ്ജനം
"हवाई रडार, हवाई रडार","വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ"
"हवाई लक्ष्य, हवाई लक्ष्य","ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം"
हवा श्वसन यंत्र,എയർ റെസ്പിറേറ്റർ
वातानुकुलीत,എയർ കണ്ടീഷനിംഗ്
विंडप्रूफ ट्रान्सफॉर्मर,എയർക്രൂ ട്രാൻസ്ഫോർമർ
विमान,വിമാനം
संरेखन,വിന്യാസം
संरेखन त्रुटी,വിന്യാസ പിശക്
थेट सर्किट,ലൈവ് സർക്യൂട്ട്
पूर्ण काचेची ट्यूब,മുഴുവൻ ഗ്ലാസ് ട്യൂബ്
संपूर्ण धातूची नळी,മുഴുവൻ മെറ്റൽ ട്യൂബ്
निराकरण,പരിഹരിക്കാൻ
"मिश्रातु (सं.), मिश्रत्व (क्र.)","മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)"
मिश्रत्व,മിശ്രത്വൻ
सर्वव्यापी माध्यम,സർവ്വവ്യാപിയായ മാധ്യമം
सर्व अँटेना,ഓമ്‌നി ആന്റിന
पंचांग,പഞ്ചഭൂതം
अल्फा,ആൽഫ
अल्फा क्रियाकलाप,ആൽഫ പ്രവർത്തനം
अल्फान्यूमेरिक,ആൽഫാന്യൂമെറിക്
अल्फा किरण,ആൽഫാ റേ
बदला,മാറ്റുക
"पर्यायी, पर्यायी","ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്"
अल्टरनेटर,ആൾട്ടർനേറ്റർ
अल्टिमीटर,ആൾട്ടിമീറ്റർ
अल्टिमीटर,ആൾട്ടിമീറ്റർ
altimetry,ആൾട്ടിമെട്രി
"उंची, उंची, उंची, उंची","ഉയരം, ഉയരം, ഉയരം, ഉയരം"
अंकगणित तर्क युनिट (ALU),അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU)
amaget नियम,ഒരു ഭരണം
वातावरण,പരിസ്ഥിതി
amicron,അമ്ക്രോൺ
ammeter,അമ്മീറ്റർ
अँपिअर,ആമ്പിയർ
अँपिअर-लॉ,ആമ്പിയർ നിയമം
उभयचर आयन,ഉഭയജീവി അയോൺ
प्रवर्धन,ആംപ്ലിഫിക്കേഷൻ
अॅम्प्लीफायर,ആംപ്ലിഫയർ
"कोन, परिमाण","ആംഗിൾ, അളവ്"
a एम. यू. (अणु वस्तुमान एकक),എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
सुसंगत,അനുയോജ്യം
साधर्म्य,സാമ്യം
विश्लेषक,അനലിസ്റ്റ്
विश्लेषण,വിശകലനം
विश्लेषणात्मक,വിശകലനാത്മകമായ
नॉन पॉइंट,നോൺ-പോയിന്റ്
विसंगत,അസാധാരണമായ
आणि दरवाजा,വാതിലും
गैर-ध्वनी,നോൺ-അക്കോസ്റ്റിക്
विसंगत लवचिकता,അസാധാരണമായ ഇലാസ്തികത
निर्जल,ജലരഹിതമായ
कोन,കോൺ
अँग्स्ट्रोम युनिट,angstrom യൂണിറ്റ്
टोकदार,കോണിക
protractor vernier,പ്രൊട്രാക്ടർ വെർനിയർ
विवादास्पद,തർക്കരഹിതമായ
अनादर,ബഹുമാനമില്ലാത്ത
अक्रोमॅटिक चुंबकीकरण,അക്രോമാറ്റിക് കാന്തികവൽക്കരണം
सुस्त,മന്ദത
anion,അയോൺ
असममित,അസമമായ
समस्थानिक,ഐസോട്രോപിക്
isotropism,ഐസോട്രോപിസം
हटवणे,ഇല്ലാതാക്കൽ
कटकारस्थान,ഗൂഢാലോചനക്കാർ
एनोड,ആനോഡ്
anodization,ആനോഡൈസേഷൻ
विसंगत,പൊരുത്തമില്ലാത്ത
ऑप्टिकल प्रणाली,ഒപ്റ്റിക്കൽ സിസ്റ്റം
अँटेना,ആന്റിന
अँटीबेरियन,ആന്റിബെറിയോൺ
अँटी-बॉन्डिंग गुणधर्म,ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്
काउंटर बाँड,കൌണ്ടർ ബോണ്ട്
उलट शक्ती,റിവേഴ്സ് പവർ
डायमॅग्नेटिक,ഡയമാഗ്നറ്റിക്
