English,Tamil
abacus,"1.அபாகஸ், 2. எண்ணும்"
abnormal termination,அசாதாரண முடிவு
abort,இடைமறிக்கவும்
absolute,"1. முழுமையான, 2. உச்சம்"
absolute address,முழுமையான முகவரி
absolute addressing,முழுமையான முகவரித்திறன்
absolute assembler,முழுமையான அசெம்பிளர்
absolute code,"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
absolute command,முழுமையான கட்டளை
absolute data,"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
absolute instruction,முழுமையான அறிவுறுத்தல்
absolute mode,முழுமையான பயன்முறை
absolute path,முழுமையான பாதை
absolute programming,"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
abstract class,சுருக்க வர்க்கம்
abstract data type,சுருக்க தரவு வகை
abstract machine,சுருக்க இயந்திரம்
abstract symbol,சுருக்க சின்னம்
abstract syntax,சுருக்க தொடரியல்
acceptance testing,ஏற்பு சோதனை
access authentication,அணுகல் சான்றிதழ்
access code,"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
access control,நுழைவு கட்டுப்பாடு
access scan,அணுகல் ஸ்கேனிங்
accessory,பாகங்கள்
account,கணக்கியல்
account ID,"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
accumulator,திரட்டி
accuracy,"1. துல்லியம், 2. துல்லியம்"
acess,அணுகல்
acess control byte,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
acess index,அணுகல் காட்டி
acess key,அணுகல் விசை
acess matrix,"1. அணுகல் அணி, 2. அணுகல் அணி"
acess mode,அணுகல் முறை
acess privilege,அணுகல் சலுகைகள்
acess security,அணுகல் பாதுகாப்பு
acess server,"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
acess time,அணுகல் நேரம்
acknowledgement,ஒப்புகை
acoustics,ஒலியியல்
acronym,"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
action message,செயல் செய்தி
activation,செயல்படுத்துதல்
active server page (ASP),செயலில் உள்ள சர்வர் பக்கம்
active version,செயலில் உள்ள பதிப்பு
acyclic,அசைக்ளிக்
acyclic graph,"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
Ada language,அட கணினி மொழி
adapter,"1. ஆப்டிமைசர், 2. உகப்பாக்கி"
add,மொத்தத்தில்)
add file,தொகை கோப்பு
add operation,"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
adder,சேர்ப்பான்
address,தெரியும்
address bus,முகவரி பேருந்து
address file,முகவரி கோப்பு
address format,முகவரி வடிவம்
address generator,முகவரி ஜெனரேட்டர்
address line,முகவரி வரி
address mapping,முகவரி மேப்பிங்
address pointer,முகவரி காட்டி
address register,முகவரி பதிவு
address resolution,முகவரி முறிவு
address translation,முகவரி மொழிபெயர்ப்பு
addressed memory,"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
addressing,உரையாற்றுதல்
adequacy criteria,"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
adjoint,இணைப்பு
administration,"1. மேலாண்மை, 2. கட்டுப்பாடு"
administrator,"1. மேலாளர், 2. கட்டுப்படுத்தி"
adobe acrobat,அடோப் அக்ரோபேட்
adobe photoshop,அடோ போட்டோஷாப்
Advance Business Application Programming (ABAP),ABAP (மேம்பட்ட வணிக நிரலாக்கம்)
advanced data,"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு"
advanced information system,மேம்பட்ட தகவல் அமைப்பு
advanced technology (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
agent,நடவடிக்கை
aggregation,திரட்டுதல்
airborne computer system,வான்வழி கணினி அமைப்பு
aldus page maker,அல்டஸ் பக்கம்-தயாரிப்பு
alert box,எச்சரிக்கை பெட்டி
algol,அல்கோல் (கணினி மொழி)
algorithm,"1. அல்காரிதம், 2. அல்காரிதம்"
algorithm analysis,"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு"
algorithm efficiency,அல்காரிதம் திறன்
alias,"1. எலியாஸ், 2. புனைப்பெயர், 3. aka"
alignment,சீரமைப்பு
allocation,"1. ஒதுக்கீடு, 2. ஒதுக்கீடு"
alphabetic,"1. அகரவரிசை, 2. அகரவரிசையில்"
alphanumeric,எண்ணெழுத்து
alphanumeric key board,"1. எண்ணெழுத்து விசைப்பலகை, 2. எண்ணெழுத்து விசைப்பலகை"
alpha-test,ஆல்பா-சோதனை (1 வது நிலை சோதனை)
alpha-version,"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்"
alt key,alt விசை
altavista,அல்டாவிஸ்டா
ambiguity,பன்முகத்தன்மை
ambiguous grammar,தெளிவற்ற இலக்கணம்
American National Standards Institute (ANSI),அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI)
American Standard Code For Information Interchange (ASCII),அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii)
analog,"1. ஒத்த, 2. அனலாக்"
analog computer,"1. அனலாக் கணினி, 2. அனலாக் கணினி"
analog device,"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்"
analog modem,"1. அனலாக் மோடம், 2. அனலாக் மோடம்"
Analog To Digital Converter (ADC),டிஜிட்டல் மாற்றிக்கு அனலாக்
AND,முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது)
AND circuit,இறுதி சுற்று
AND gate,இறுதி வாயில் மற்றும் வாயில்
AND not operation (Exclusion),செயல்பாடு அல்ல (விலக்கு)
animation,"1. அனிமேஷன், 2. அதிர்வு"
annotation,குறிப்பு
anomaly,முரண்பாடு
antecedent,முந்தைய
anticipatory paging,முன்கூட்டிய பேஜிங்
anti-symmetric,எதிர்-சமச்சீர்
antivirus program,வைரஸ் தடுப்பு திட்டம்
applet,"1. ஆப்லெட், 2. விண்ணப்பம்"
application developer,பயன்பாட்டு டெவலப்பர்
application programming,பயன்பாட்டு நிரலாக்கம்
application programming interface (API),"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)"
application software,பயன்பாட்டு மென்பொருள்
applicative language,பயன்பாட்டு மொழி
approximation theory,தோராயக் கொள்கை
architecture,கட்டமைப்பு
area transfer,புல பரிமாற்றம்
argument,"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்"
arithmatic and logic unit,"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு"
arithmatic check,எண்கணித சரிபார்ப்பு
arithmatic constant,எண்கணித மாறிலி
arithmatic data,எண்கணித தரவு
arithmatical instruction,எண்கணித அறிவுரை
arithmetic and logic unit (ALU),கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPANET,ARPA Net (RPNet)
array,வரிசை
array cache,"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்"
array computer,வரிசை கணினி
array element,வரிசை உறுப்பு
array name,வரிசை பெயர்
array processor,வரிசை செயலி
arrow keys,அம்புக்குறி விசை
articulation,ஒப்பந்தம்
articulation point,சந்திப்பு முனை
artificial compaction,செயற்கை சுருக்கம்
artificial control,செயற்கை கட்டுப்பாடு
artificial intelligence,செயற்கை உணர்வு
ascender,ஏற்ற
ascending sort,ஏறும் வகை
ASCII betical order,ascii எழுத்துக்கள்
ASCII control character,ascii கட்டுப்பாட்டு சின்னம்
ASCII file,ascii கோப்பு
ASCII font,ascii எழுத்துரு
ASCII transfer,ASCII பரிமாற்றம்
aspect ratio,விகிதம்
ASPI,"1. ஆஸ்பி, 2. ASPI"
ASR timer,ஏ எஸ் ஆர் கலாட்
assemble,"1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க"
assembler,"1. அசெம்பிளர், 2. நினைவூட்டல்"
assembly,"1. அசெம்பிளிங், 2. நினைவு"
assembly language,"1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி"
assertion,உறுதியை
assignment,"1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு"
association,தோழமை
associative address,துணை முகவரி
associative memory,"1. துணை நினைவகம், 2. துணை நினைவகம்"
asteric,நட்சத்திரம் (* அடையாளம்)
asymmetric,சமச்சீரற்ற
asynchronous,"1. ஒத்திசைவற்ற, 2. ஒத்திசைவற்ற"
asynchronous Digital Subscriber Line (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
asynchronous Time Division Multiplexing (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
asynchronous transfer,ஒத்திசைவற்ற பரிமாற்றம்
asynchronous Transfer Mode (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
atom,"1. அணு, 2. பரமன்"
attached document,இணைக்கப்பட்ட ஆவணம்
attached file,"1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு"
attachment,"1. அடைப்பு, 2. இணைந்த"
attribute,"1. பண்புகள், 2. சிறப்பு"
audio,கேட்கக்கூடிய
audit programming,"1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்"
audit trail,கணக்கு சரிபார்ப்பு
augmentation,பதவி உயர்வு
authentication protocol,சான்றிதழ் நெறிமுறை
authoring system,எழுதும் முறை
authorization,"1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்"
auto abstract,தானியங்கு சுருக்கம்
autobooting,"1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்"
autocad,ஆட்டோகேட் (ஒரு கணினி மொழி)
autolog on,தானாக உள்நுழைவு
