Tamil,Kannada
அபாகஸ்,ಅಬ್ಯಾಕಸ್
அசாதாரண நிறுத்தம்,ಅಸಹಜ ಮುಕ್ತಾಯ
கருக்கலைப்பு,ಸ್ಥಗಿತಗೊಳಿಸು
அறுதி,ಸಂಪೂರ್ಣ
முழுமையான முகவரி,ಸಂಪೂರ್ಣ ವಿಳಾಸ
முழுமையான முகவரி,ಸಂಪೂರ್ಣ ವಿಳಾಸ
முழுமையான அசெம்பிளர்,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
முழுமையான குறியீடு,ಸಂಪೂರ್ಣ ಕೋಡ್
முழுமையான கட்டளை,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
முழுமையான தரவு,ಸಂಪೂರ್ಣ ಡೇಟಾ
முழுமையான அறிவுறுத்தல்,ಸಂಪೂರ್ಣ ಸೂಚನೆ
முழுமையான பயன்முறை,ಸಂಪೂರ್ಣ ಮೋಡ್
முழுமையான பாதை,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
முழுமையான நிரலாக்கம்,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
சுருக்க வர்க்கம்,ಅಮೂರ್ತ ವರ್ಗ
சுருக்க தரவு வகை,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
சுருக்க இயந்திரம்,ಅಮೂರ್ತ ಯಂತ್ರ
சுருக்க சின்னம்,ಅಮೂರ್ತ ಚಿಹ್ನೆ
சுருக்க தொடரியல்,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
ஏற்றுக்கொள்ளும் சோதனை,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
அணுகல் அங்கீகாரம்,ಪ್ರವೇಶ ದೃಢೀಕರಣ
அணுகல் குறியீடு,ಪ್ರವೇಶ ಕೋಡ್
நுழைவு கட்டுப்பாடு,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
அணுகல் ஸ்கேன்,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
துணை,ಪರಿಕರ
கணக்கு,ಖಾತೆ
கணக்கு ஐடி,ಖಾತೆ ID
திரட்டி,ಸಂಚಯಕ
துல்லியம்,ನಿಖರತೆ
அணுகல்,ಪ್ರವೇಶ
அணுகல் கட்டுப்பாட்டு பைட்,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
அணுகல் குறியீடு,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
அணுகல் விசை,ಪ್ರವೇಶ ಕೀ
அணுகல் அணி,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
அணுகல் முறை,ಪ್ರವೇಶ ಮೋಡ್
அணுகல் சலுகை,ಪ್ರವೇಶ ಸವಲತ್ತು
அணுகல் பாதுகாப்பு,ಪ್ರವೇಶ ಭದ್ರತೆ
அணுகல் சேவையகம்,ಪ್ರವೇಶ ಸರ್ವರ್
அணுகல் நேரம்,ಪ್ರವೇಶ ಸಮಯ
ஒப்புகை,ಸ್ವೀಕೃತಿ
ஒலியியல்,ಅಕೌಸ್ಟಿಕ್ಸ್
சுருக்கம்,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
செயல் செய்தி,ಕ್ರಿಯೆಯ ಸಂದೇಶ
செயல்படுத்துதல்,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
செயலில் உள்ள சர்வர் பக்கம் (ASP),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
செயலில் உள்ள பதிப்பு,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
அசைக்ளிக்,ಅಸೈಕ್ಲಿಕ್
அசைக்ளிக் வரைபடம்,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
அட மொழி,ಅದಾ ಭಾಷೆ
அடாப்டர்,ಅಡಾಪ್ಟರ್
கூட்டு,ಸೇರಿಸಿ
கோப்பை சேர்க்க,ಕಡತವನ್ನು ಸೇರಿಸು
செயல்பாட்டைச் சேர்க்கவும்,ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
சேர்ப்பான்,ಸೇರಿಸುವವನು
முகவரி,ವಿಳಾಸ
முகவரி பேருந்து,ವಿಳಾಸ ಬಸ್
முகவரி கோப்பு,ವಿಳಾಸ ಫೈಲ್
முகவரி வடிவம்,ವಿಳಾಸ ಸ್ವರೂಪ
முகவரி ஜெனரேட்டர்,ವಿಳಾಸ ಜನರೇಟರ್
முகவரி வரி,ವಿಳಾಸ ಸಾಲು
முகவரி மேப்பிங்,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
முகவரி சுட்டி,ವಿಳಾಸ ಪಾಯಿಂಟರ್
முகவரி பதிவு,ವಿಳಾಸ ನೋಂದಣಿ
முகவரி தீர்மானம்,ವಿಳಾಸ ನಿರ್ಣಯ
முகவரி மொழிபெயர்ப்பு,ವಿಳಾಸ ಅನುವಾದ
நினைவாற்றலை உரையாற்றினார்,ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
