English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
abandoned child,परित्यक्त बालक,પરિત્યક્ત બાલક,परित्यक्त बालक,ਪਰਿਤ੍ਯਕ੍ਤ ਬਾਲਕ,পরিত্যক্ত বালক,परित्यक्त बालक,ಪರಿತ್ಯಕ್ತ ಬಾಲಕ,പരിത്യക്ത ബാലക,பரித்யக்த பாலக,పరిత్యక్త బాలక,پرتیکت بالک,পরিত্যক্ত বালক,ପରିତ୍ଯକ୍ତ ବାଲକ,परित्यक्त बालक
abandonment,परित्याग,પરિત્યાગ,परित्याग,ਤਿਆਗ,পরিত্যাগ,परित्याग,"ಬಿಟ್ಟುಬಿಡುವಿಕೆ, ತೊರೆಯುವಿಕೆ, ತಳ್ಳಿಹಾಕುವಿಕೆ",പരിത്യാഗ,பரித்யாக,పరిత్యాగ,پرتیاگ,পরিত্যাগ,"ପରିତ୍ୟାଗ, ପରିହାର, ପରିବର୍ଜନ",परित्याग
abduction,"अपहरण, भगा ले जाना","અપહરણ, ભગાડી જવું તે",अपह्‌रण,ਹੁਦਾਲਾ,অপহরণ,"अपहरण,उबारुन व्हरप",ಅಪಹರಣ,"ബലമായി തട്ടിക്കൊണ്ടു പോകൽ, അപഹരണം",ஆள் கடத்தல்,"అపహరణం,(వ్యక్తిని) బలవంతంగా ఎత్తుకుపోవటం",اغوا,অপহৰণ,"ଅପବର୍ତ୍ତନ, ଅପହରଣ",अपहरण
abetment,दुप्रेरण,દુપ્રેરણ,दुप्रेरण,ਚੁੱਕ ਦੇਣੀ ਜਾਂ ਸ਼ਹਿ ਦੇਣੀ,দুপ্রেরণ,दुप्रेरण,ದುಪ್ರೇರಣ,ദുപ്രേരണ,துப்ரேரண,దుప్రేరణ,دپریرن,দুপ্ররণ,"ଅସତ୍‌ କାର୍ଯ୍ୟରେ ସହାୟତା, ଅସତ୍‌ ପ୍ରବର୍ତ୍ତନା",दुप्रेरण
abettor,दुप्रेरक,દુપ્રેરક,दुप्रेरक,ਦੁਪ੍ਰੇਰਕ,দুপ্রেরক,दुप्रेरक,ದುಪ್ರೇರಕ,ദുപ്രേരക,துப்ரேரக,దుప్రేరక,دپریرک,দুপ্ররক,ଦୁପ୍ରେରକ,दुप्रेरक
abnormal vanity,अपसामान्य घमंड,અપસામાન્ય ઘમંડ,अपसामान्य घमंड,ਅਪਸਾਮਾਨ੍ਯ ਘਮਂਡ,অপসামান্য ঘমংড,अपसामान्य घमंड,ಅಪಸಾಮಾನ್ಯ ಘಮಂಡ,അപസാമാന്യ ഘമംഡ,அபஸாமாந்ய கமங்ட,అపసామాన్య ఘమండ,اپسامانیہ گھمنڈ,অপসামান্য ঘমংড,ଅପସାମାନ୍ଯ ଘମଂଡ,अपसामान्य घमंड
abnormality,अपसामान्यता,અપસામાન્યતા,अपसामान्यता,ਅਪਸਾਮਾਨ੍ਯਤਾ,অপসামান্যতা,अपसामान्यता,ಅಸಾಮಾನ್ಯತೆ.,അപസാമാന്യതാ,அபஸாமாந்யதா,అపసామాన్యతా,اپسامانیتا,অপসামান্যতা,ଅପସାମାନ୍ଯତା,अपसामान्यता
abolishment,समापन,સમાપન,समापन,ਸਮਾਪਨ,সমাপন,समापन,ಸಮಾಪನ,സമാപന,ஸமாபந,సమాపన,سماپن,সমাপন,ସମାପନ,समापन
abolition,"समाप्ति, उन्मूलन","નાબૂદી, લોપ, રદ","निरास, समाप्‍त करणे, नाश","ਖਾਤਮਾ, ਖਤਮ, ਸਮਾਪਤੀ","বিলোপকরা,তুলেদেওয়া,রদকরা","बंदी,मनाय,काडून उडोवप","ತೆಗೆದು ಹಾಕುವುದು, ನಿರ್ಮೂಲನ, ನಿವಾರಣೆ","നി൪ത്തലാക്കൽ, സമാപനം, ഉന്മൂലനം","நீக்கல், ஒழித்தல்","తొలగింపు,రద్దు,నిర్మూలన",خاتمہ,"ৰদকৰণ, ৰহিতকৰণ, বাতিলকৰণ, বিলোপকৰণ","ଉଚ୍ଛେଦିତ, ଲୋପକୃତ","1. उन्मूलन, समाप्‍ति 2. खारिज"
aboriginal culture,उआदिम संस्कृति,ઉઆદિમ સંસ્કૃતિ,उआदिम संस्कृति,ਉਆਦਿਮ ਸਂਸ੍ਕ੃ਤਿ,উআদিম সংস্কৃতি,उआदिम संस्कृति,ಉಆದಿಮ ಸಂಸ್ಕೃತಿ,ഉആദിമ സംസ്കൃതി,உஆதிம ஸங்ஸ்க்ருதி,ఉఆదిమ సంస్కృతి,عادم سنسکرتی,উআদিম সংস্কৃতি,ଉଆଦିମ ସଂସ୍କୃତି,उआदिम संस्कृति
abrogation of marriage,विवाह का निराकरण,વિવાહ કા નિરાકરણ,विवाह का निराकरण,ਵਿਵਾਹ ਕਾ ਨਿਰਾਕਰਣ,বিবাহ কা নিরাকরণ,विवाह का निराकरण,ವಿವಾಹ ಕಾ ನಿರಾಕರಣ,വിവാഹ കാ നിരാകരണ,விவாஹ கா நிராகரண,వివాహ కా నిరాకరణ,وواہ کا نراکرن,িাহ কা নিরাকরণ,ବିବାହ କା ନିରାକରଣ,विवाह का निराकरण
absconder,"भगोड़ा, फरार","ભગોડ઼ા, ફરાર","भगोड़ा, फरार","ਭਗੋਡ਼ਾ, ਫਰਾਰ","ভগোড়া, ফরার","भगोड़ा, फरार","ಭಗೋಡ಼ಾ, ಫರಾರ","ഭഗോഡാ, ഫരാര","பகோடா, பரார","భగోడా, ఫరార",بھگوڑا، فرار,"ভগড়া, ফরার","ଭଗୋଡ଼ା, ଫରାର","भगोड़ा, फरार"
absconding offender,फरार अपराधी,ફરાર અપરાધી,फरार अपराधी,ਫਰਾਰ ਅਪਰਾਧੀ,ফরার অপরাধী,फरार अपराधी,ಫರಾರ ಅಪರಾಧೀ,ഫരാര അപരാധീ,பரார அபராதீ,ఫరార అపరాధీ,فرار اپرادھی,ফরার অপরাধী,ଫରାର ଅପରାଧୀ,फरार अपराधी
absentee landlord,अनुपस्थित जमींदार,અનુપસ્થિત જમીંદાર,अनुपस्थित जमींदार,ਅਨੁਪਸ੍ਥਿਤ ਜਮੀਂਦਾਰ,অনুপস্থিত জমীংদার,अनुपस्थित जमींदार,ಅನುಪಸ್ಥಿತ ಜಮೀಂದಾರ,അനുപസ്ഥിത ജമീംദാര,அநுபஸ்தித ஜமீங்தார,అనుపస్థిత జమీందార,انوپستھت جمیندار,অনুপস্থিত জমীংদার,ଅନୁପସ୍ଥିତ ଜମୀଂଦାର,अनुपस्थित जमींदार
abstinence,"संयम, वर्जन","સંયમ, વર્જન","संयम, वर्जन",ਸੰਜਮ ਭੋਗ ਤਿਆਗ ਪਰਹੇਜ,"সংযম, বর্জন","संयम, वर्जन","ಸಂಯಮ, ವರ್ಜನ","സംയമ, വര്ജന","ஸங்யம, வர்ஜந","సంయమ, వర్జన",سنیم، ورجن,"সংযম, র্জন","ନିବୃତ୍ତି, ବିରତି","संयम, वर्जन"
abstract,"सार, संक्षेप, अमूर्त","તારણ, સાર, સંક્ષેપ, સારદોહન, અમૂર્ત, અવ્યક્ત","संक्षेप, गोशवारा, सारांश",ਸਾਰ,"সারসংক্ষেপ,চুম্বক,বিমূর্ত",सार,ಸಾರಾಂಶ,"അബ്സ്ട്രാക്റ്റ്, സംക്ഷേപം, സാരം","சுருக்கம், சுருக்கக் குறிப்பு","సంగ్రహం,అవ్యక్తం,అమూర్తం,భావార్థకం",خلاصہ۔ مجرد۔ خلاصہ کرنا۔ تجرید کرنا,"সংক্ষেপ,সাৰাংশ",ସାରାଂଶ,"सार, संक्षिप्तांश"
abstract dimension,"अमूर्त आयाम, अमूर्त विमा","અમૂર્ત આયામ, અમૂર્ત વિમા","अमूर्त आयाम, अमूर्त विमा","ਅਮੂਰ੍ਤ ਆਯਾਮ, ਅਮੂਰ੍ਤ ਵਿਮਾ","অমূর্ত আযাম, অমূর্ত বিমা","अमूर्त आयाम, अमूर्त विमा","ಅಮೂರ್ತ ಆಯಾಮ, ಅಮೂರ್ತ ವಿಮಾ","അമൂര്ത ആയാമ, അമൂര്ത വിമാ","அமூர்த ஆயாம, அமூர்த விமா","అమూర్త ఆయామ, అమూర్త విమా",امورت آیام، امورت وما,"অমূর্ত আযাম, অমূর্ত িমা","ଅମୂର୍ତ ଆଯାମ, ଅମୂର୍ତ ବିମା","अमूर्त आयाम, अमूर्त विमा"
