Malayalam,Bengali
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,A B শ্রেণীর পরিবর্ধক
അപഭ്രംശം,বিকৃতি
അസാധാരണമായ സംക്രമണം,অস্বাভাবিক সংক্রমণ
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
സ്പെക്ട്രം കാണുന്നില്ല,অনুপস্থিত বর্ণালী
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","পরম, পরম, ধ্রুবক, নিখুঁত"
കേവല ഈർപ്പം,পরম আর্দ্রতা
കേവല വേഗത,পরম গতি
സമ്പൂർണ നിരീക്ഷണം,পরম পর্যবেক্ষণ
കേവല താപനില,পরম তাপমাত্রা
കേവല പൂജ്യം,পরম শূন্য
ആഗിരണം ചെയ്യുക,শোষণ করা
"ആഗിരണം, ആഗിരണം","শোষক, শোষক"
ആഗിരണം ശേഷി,শোষণ ক্ষমতা
ആഗിരണം,শোষণ
ആഗിരണം ചെയ്യാവുന്ന,শোষক
ആഗിരണം,শোষণ
ഗുണിത അനുപാതം,বহুগুণ অনুপাত
ത്വരിതപ്പെടുത്തുക,ত্বরান্বিত করা
തിടുക്കപ്പെട്ടു,তাড়াতাড়ি
ത്വരണം,ত্বরণ
ഗുരുത്വാകർഷണ ത്വരണം,অভিকর্ষের ত্বরণ
ആക്സിലറേറ്റർ,এক্সিলারেটর
ആക്സിലറേറ്റർ,এক্সিলারেটর
ആക്സിലറോമീറ്റർ,অ্যাক্সিলোমিটার
പ്രിസ്ട്രെസർ,prestresser
സ്വീകാര്യമായ പരിശോധന,গ্রহণযোগ্য পরীক্ষা
സ്വീകർത്താവ്,গ্রহণকারী
ദാതാവിന്റെ തന്മാത്ര,দাতা অণু
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
പ്രവേശനക്ഷമത,অ্যাক্সেসযোগ্যতা
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
പ്രവേശന സമയം,প্রবেশাধিকার সময়
സന്ദർശക പിശക്,ভিজিটর ত্রুটি
ക്രമീകരിക്കൽ,সমন্বয়
കുമിഞ്ഞുകൂടി,পুঞ্জীভূত
"ശേഖരണം, ശേഖരണം","accumulation, accumulation"
ശേഖരണം,সঞ্চয়কারী
കൃത്യത,সঠিকতা
റിയാലിറ്റി,বাস্তবতা
അക്രോമാറ്റിക് ലെൻസ്,অ্যাক্রোমেটিক লেন্স
അക്രോമാറ്റിക്,অ্যাক্রোমেটিক
അക്രോമാറ്റിറ്റി,বর্ণহীনতা
അക്കോസ്റ്റിക്,শাব্দিক
ശബ്ദപ്രതിരോധം,শব্দরোধী
അക്കോസ്റ്റിക് ഫോണോൺ,শাব্দিক ফোনন
ശബ്ദ യൂണിറ്റ്,শব্দ ইউনিট
അക്കോസ്റ്റിക്,শাব্দিক
ശബ്ദ ജനറേറ്റർ,শব্দ জেনারেটর
പ്രവർത്തനവും പ്രതികരണവും,কর্ম এবং প্রতিক্রিয়া
സജീവമാക്കൽ,সক্রিয়করণ
സജീവമാക്കൽ ഊർജ്ജം,অ্যাক্টিভেশন শক্তি
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","সক্রিয়কারী, সক্রিয়কারী"
സജീവമാണ്,সক্রিয়
ആക്ടിവിസം,সক্রিয়তা
യഥാർത്ഥ സമ്മർദ്ദം,প্রকৃত চাপ
മന്ത്രിക്കുന്നു,ফিসফিস
സംഗ്രഹിക്കാനായി,যোগফল
"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
സങ്കലനം,সংযোজনকারী
അഡീഷൻ,আনুগত্য
പശ ഊർജ്ജം,আঠালো শক্তি
അടിയാബാറ്റ്,adiabat
adiabatic,adiabatic
ചൂട് ഇൻസുലേറ്റിംഗ്,তাপ নিরোধক
ബന്ധം,সংযুক্তি
ക്രമീകരിക്കാവുന്ന,সামঞ্জস্যযোগ্য
നുഴഞ്ഞുകയറ്റം,অনুপ্রবেশ
ആഗിരണം,শোষণ
മുന്നോട്ട്,এগিয়ে
പുരോഗമനപരമായ,প্রগতিশীল
"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)","আকাশী, ভাইভা (v.), বায়বীয় (ed.)"
ആന്റിന സ്ട്രീം,অ্যান্টেনা প্রবাহ
ഏരിയൽ സർവേ,বায়বীয় জরিপ
വായു വേഗത,বায়ু বেগ
എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്,এরোডাইনামিক সহগ
എയറോഡൈനാമിക്,এরোডাইনামিক
എയറോഡൈനാമിക്സ്,বায়ুগতিবিদ্যা
എയറോനോട്ടിക്കൽ,বৈমানিক
എയറോനോട്ടിക്സ്,বৈমানিক
എയർ പൾസ്,বায়ু নাড়ি
"അന്തരീക്ഷം, വാതകമണ്ഡലം","বায়ুমণ্ডল, গ্যাসোস্ফিয়ার"
ഫോക്കസ് സിസ്റ്റം,ফোকাস সিস্টেম
തിരികെ ജ്വലനം,পিছনে ইগনিশন
ബാക്ക് ലൈറ്റ്,পিছনের আলো
ഞെട്ടൽ,আঘাত
"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക","বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া"
സമയം ബാധിച്ചു,সময় প্রভাবিত
"വാർദ്ധക്യം, വാർദ്ധക്യം","বার্ধক্য, বার্ধক্য"
സമയ പ്രഭാവം,সময়ের প্রভাব
സമയ ഫല പരിശോധന,সময় প্রভাব পরীক্ষা
ഗുരുത്വാകർഷണമില്ലാത്ത,মাধ্যাকর্ষণহীন
അനുരഞ്ജനം,পুনর্মিলন
"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ","বায়ুবাহিত রাডার, বায়বীয় রাডার"
"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം","বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য"
എയർ റെസ്പിറേറ്റർ,বায়ু শ্বাসযন্ত্র
എയർ കണ്ടീഷനിംഗ്,এয়ার কন্ডিশনিং
എയർക്രൂ ട്രാൻസ്ഫോർമർ,এয়ারক্রু ট্রান্সফরমার
വിമാനം,বিমান
വിന്യാസം,প্রান্তিককরণ
വിന്യാസ പിശക്,প্রান্তিককরণ ত্রুটি
ലൈവ് സർക്യൂട്ട്,লাইভ সার্কিট
മുഴുവൻ ഗ്ലാസ് ട്യൂബ്,সম্পূর্ণ কাচের টিউব
മുഴുവൻ മെറ്റൽ ട്യൂബ്,পুরো ধাতব টিউব
പരിഹരിക്കാൻ,ঠিক করতে
"മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)","মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)"
മിശ്രത്വൻ,mishratvan
സർവ്വവ്യാപിയായ മാധ്യമം,সর্বব্যাপী মাধ্যম
ഓമ്‌നി ആന്റിന,ওমনি অ্যান্টেনা
പഞ്ചഭൂതം,পঞ্জিকা
ആൽഫ,আলফা
ആൽഫ പ്രവർത്തനം,আলফা-ক্রিয়াকলাপ
ആൽഫാന്യൂമെറിക്,আলফানিউমেরিক
ആൽഫാ റേ,আলফা রশ্মি
മാറ്റുക,পরিবর্তন
"ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്","বিকল্প, বিকল্প"
ആൾട്ടർനേറ്റർ,বিকল্প
ആൾട്ടിമീറ്റർ,altimeter
ആൾട്ടിമീറ്റർ,altimeter
ആൾട്ടിമെട്രി,অলটাইমেট্রি
"ഉയരം, ഉയരം, ഉയരം, ഉയരം","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU),অ্যারিথমেটিক রিজনিং ইউনিট (ALU)
ഒരു ഭരണം,amaget নিয়ম
പരിസ്ഥിതി,পরিবেশ
അമ്ക്രോൺ,অ্যামিক্রন
അമ്മീറ്റർ,অ্যামিটার
ആമ്പിയർ,অ্যাম্পিয়ার
ആമ്പിയർ നിയമം,অ্যাম্পিয়ার-ল
ഉഭയജീവി അയോൺ,উভচর আয়ন
ആംപ്ലിഫിക്കേഷൻ,পরিবর্ধন
ആംപ്ലിഫയർ,পরিবর্ধক
"ആംഗിൾ, അളവ്","কোণ, মাত্রা"
എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്),ক এম.উ. (পারমাণবিক ভর একক)
അനുയോജ്യം,উপযুক্ত
സാമ്യം,সাদৃশ্য
അനലിസ്റ്റ്,বিশ্লেষক
വിശകലനം,বিশ্লেষণ
വിശകലനാത്മകമായ,বিশ্লেষণাত্মক
നോൺ-പോയിന്റ്,অ-বিন্দু
അസാധാരണമായ,অস্বাভাবিক
വാതിലും,এবং দরজা
നോൺ-അക്കോസ്റ്റിക്,অ শাব্দিক
അസാധാരണമായ ഇലാസ്തികത,অস্বাভাবিক স্থিতিস্থাপকতা
ജലരഹിതമായ,নির্জল
കോൺ,কোণ
angstrom യൂണിറ്റ്,অ্যাংস্ট্রম ইউনিট
കോണിക,কৌণিক
പ്രൊട്രാക്ടർ വെർനിയർ,প্রটেক্টর ভার্নিয়ার
തർക്കരഹിതമായ,বিতর্কিত
ബഹുമാനമില്ലാത്ത,অসম্মান
അക്രോമാറ്റിക് കാന്തികവൽക്കരണം,অ্যাক্রোম্যাটিক চুম্বকীয়করণ
മന്ദത,শিথিল
അയോൺ,anion
അസമമായ,অপ্রতিসম
ഐസോട്രോപിക്,আইসোট্রপিক
ഐസോട്രോപിസം,আইসোট্রপিজম
ഇല്ലാതാക്കൽ,মুছে ফেলা
ഗൂഢാലോചനക്കാർ,বর্ণনাকারী
ആനോഡ്,অ্যানোড
ആനോഡൈസേഷൻ,anodization
പൊരുത്തമില്ലാത്ത,অসামঞ্জস্যপূর্ণ
ഒപ്റ്റിക്കൽ സിസ്റ്റം,অপটিক্যাল সিস্টেম
ആന്റിന,অ্যান্টেনা
ആന്റിബെറിയോൺ,antiberion
ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്,বিরোধী বন্ধন সম্পত্তি
കൌണ്ടർ ബോണ്ട്,পাল্টা বন্ড
റിവേഴ്സ് പവർ,বিপরীত শক্তি
ഡയമാഗ്നറ്റിക്,ডায়ম্যাগনেটিক
ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ,ডায়ম্যাগনেটিক উপাদান
വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്,প্রদাহ বিরোধী
ആന്റിഗ്രാവിറ്റി,বিরোধী মাধ্যাকর্ষণ
ആന്റിലാംഡ കണിക,antilamda কণা
അല്ലെലെപ്റ്റൺ,এলিলেপ্টন
ഡയമാഗ്നറ്റിക്,ডায়ম্যাগনেটিক
പ്രതിദ്രവ്യം,প্রতিপদার্থ
വിരുദ്ധ മിസൈൽ,ক্ষেপণাস্ত্র বিরোধী
ആന്റിന്യൂട്രോൺ,অ্যান্টিনিউট্রন
സ്പന്ദിക്കുന്ന,স্পন্দনশীল
ആന്റി ന്യൂക്ലിയോൺ,অ্যান্টিনিউক্লিয়ন
ആന്റിപാർട്ടിക്കിൾ,প্রতিকণা
ആന്റിപ്രോട്ടോൺ,অ্যান্টিপ্রোটন
ആന്റി റിഫ്ലെക്റ്റീവ്,প্রতিফলক
ആന്റിസിമെട്രിക്,প্রতিসম
ആവർത്തിക്കാത്ത,অ পুনরাবৃত্ত
അനാക്രോണിസം,anachronism
സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്,ছিদ্রযুক্ত স্ক্যানিং ডিস্ক
ദ്വാരക്,দ্বারক
"മുകളിൽ, മുകളിൽ, മുൻഭാഗം","শীর্ষ, শীর্ষ, সামনে"
"സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ","সূর্য উচ্চ, সূর্য উচ্চ, অপ্সর"
ഉദാസീനമായ ലേസ്,উদাসীন লেইস
ദയനീയമല്ലാത്ത,অ করুণ
വൈകല്യമില്ലാത്തത്,অ-অক্ষমতা
വളരെ അക്രോമാറ്റിക്,খুব অ্যাক্রোমেটিক
"ഭൂമി-ഉയരം, അപ്പോജി","land-high, apogee"
"ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള","nonpolar, circumpolar"
പരധ്രുവത്വം,parapolarity
ഉപകരണം,যন্ত্র
"വെർച്വൽ, വിഷ്വൽ","ভার্চুয়াল, ভিজ্যুয়াল"
ദൃശ്യ സൂര്യൻ,দৃশ্যমান সূর্য
ദൃശ്യ സമയം,চাক্ষুষ সময়
ഉയർന്നുവരുന്ന രൂപം,উদ্ভূত চেহারা
അപേക്ഷ,আবেদন
പ്രയോഗക്ഷമത,প্রযোজ্যতা
അപേക്ഷിച്ചു,প্রয়োগ করা
നിരീക്ഷിക്കാവുന്നതാണ്,পর্যবেক্ষণযোগ্য
സമീപനം,পন্থা
"അടുത്ത്, ഏകദേശം","কাছাকাছি, প্রায়"
ഏകദേശ കണക്ക്,অনুমান
നീരാവി മർദ്ദം,বাষ্পের চাপ
സ്വമേധയാ,স্বেচ্ছায়
"ആർക്ക് ചൂള, ആർക്ക് ചൂള","চাপ চুল্লি, চাপ চুল্লি"
ആർക്കിമിഡീസിന്റെ നിയമം,আর্কিমিডিসের আইন
വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം,স্থাপত্য শাব্দবিদ্যা
ആർക്ക് ലാമ്പ്,চাপ বাতি
ആർക്ക്-സ്പെക്ട്രം,আর্ক-স্পেকট্রাম
"പ്രദേശം, പ്രദേശം","এলাকা, এলাকা"
"പ്രാദേശിക, പ്രാദേശിക","আঞ্চলিক, আঞ্চলিক"
"ഭുജം, ഭുജം, ശാഖ","হাত, বাহু, শাখা"
അമച്വർ,অপেশাদার
"അറേ, അറേ","অ্যারে, অ্যারে"
റിസീവർ,রিসিভার
ഉച്ചാരണ വ്യക്തത,উচ্চারণ স্বচ্ছতা
സിന്തറ്റിക്,সিন্থেটিক
കൃത്രിമ പരിവർത്തനം,কৃত্রিম রূপান্তর
ആരോഹണം,আরোহী
കയറ്റം,আরোহণ
കയറുന്നു,আরোহণ
അഗോലി,আগলি
സമാഹരണം,সমষ্টি
കൂട്ടം,এর সেট
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","সমাবেশ, সমাবেশ"
"അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്","একত্রিত করা, একত্রিত করা, একত্রিত করা"
കൃത്യമായ കണക്കുകൂട്ടൽ,নির্ভুল অনুমান
വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ,নির্দিষ্ট (কোয়ান্টাম সংখ্যার) স্পেসিফিকেশন
"ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത","সম্পর্কিত, সহযোগী, সংঘবদ্ধ"
സ്വരാക്ഷര ശബ്ദം,স্বরধ্বনি
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
ആസ്തെനിക്,অ্যাস্থেনিক
"വിട്ടുനിൽക്കൽ, astigmatism","পরিহার, দৃষ্টিভঙ্গি"
ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്,মহাকাশ ভ্রমণ ইলেকট্রনিক্স
ജ്യോതിശാസ്ത്രം,জ্যোতির্পদার্থবিদ্যা
ബഹിരാകാശ സഞ്ചാരി,মহাকাশচারী
ജ്യോതിശാസ്ത്രജ്ഞൻ,জ্যোতির্বিজ্ঞানী
സ്വർഗ്ഗീയ,স্বর্গীয়
ജ്യോതിശാസ്ത്രം,জ্যোতির্বিদ্যা
ജ്യോതിശാസ്ത്രം,জ্যোতির্পদার্থবিদ্যা
അസമമായ,অপ্রতিসম
അസിംപ്റ്റോട്ടിക്,অ্যাসিম্পোটিক
വഷളാക്കുന്നു,উত্তেজক
അസമന്വിത,অ্যাসিঙ্ক্রোনাস
"അന്തരീക്ഷം, അന്തരീക്ഷം","বায়ুমণ্ডল, বায়ুমণ্ডল"
അന്തരീക്ഷം,বায়ুমণ্ডলীয়
കാറ്റ് പ്രക്ഷുബ്ധത,বায়ু অশান্তি
ആണവ,পারমাণবিক
ആറ്റോമിക,পারমাণবিক
ആറ്റോമിസിറ്റി,পারমাণবিকতা
ആണവ പിണ്ഡം,পারমাণবিক ভর
ആറ്റോമിക നമ്പർ,পারমাণবিক সংখ্যা
"ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ","পারমাণবিক চুল্লি, পারমাণবিক গাদা"
ആറ്റോമിക,পারমাণবিক
കണം,কণা
കണം,কণা
ശോഷണം,ক্ষয়
"ശോഷണം, ശോഷണം","attenuating, attenuating"
ചാം,কবজ
ആകർഷണ ശക്തി,আকর্ষণ শক্তি
ശ്രവണക്ഷമത,শ্রবণযোগ্যতা
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,অডিও ফ্রিকোয়েন্সি পরিবর্ধক
കേൾക്കാവുന്ന,শ্রবণযোগ্য
ഓഡിയോ ജനറേറ്റർ,অডিও জেনারেটর
ഓഡിബിലിറ്റി ഗ്രാഫ്,শ্রবণযোগ্যতা গ্রাফ
കേൾവി ശാസ്ത്രം,শ্রবণ বিজ্ঞান
ഓഡിയോമീറ്റർ,অডিওমিটার
കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ,শ্রবণযোগ্য ফ্রিকোয়েন্সি অসিলেটর
ശബ്ദ സിഗ്നൽ,শব্দ সংকেত
ദൃശ്യ-ശ്രാവ്യ,অডিও-ভিজ্যুয়াল
"ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം","অডিটোরিয়াম, অডিটোরিয়াম"
OZ പ്രഭാവം,ওজেড ইফেক্ট
പ്രമോഷൻ,পদোন্নতি
എൻഹാൻസർ,বর্ধক
ധ്രുവജ്വാല,মেরু শিখা
ദക്ഷിണ ധ്രുവജ്വാല,দক্ষিণ মেরু শিখা
ഉത്തരധ്രുവ ജ്വാല,উত্তর মেরু শিখা
യാന്ത്രിക മുന്നറിയിപ്പ്,স্বয়ংক্রিয় সতর্কতা
ഓട്ടോ പാരലലൈസർ,স্বয়ংক্রিয় সমান্তরালকারী
"ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്","স্বয়ংক্রিয়, স্বয়ংক্রিয়, স্বয়ংক্রিয়"
"ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ","অটোমেশন, অটোমেশন"
"സഹായി, സഹകരണം, അധിക","সহকারী, সমবায়, অতিরিক্ত"
"അവദവ, അവലാഞ്ചി","অবদাভা, তুষারপাত"
"അർത്ഥം, അർത്ഥം","মানে, মানে"
പരിവാരൻ,পরিবার
അച്ചുതണ്ട്,অক্ষীয়
അച്ചുതണ്ട്,অক্ষ
അസിമുത്ത്,আজিমুথ
അസിമുത്ത്,আজিমুথ
തിരികെ,পেছনে
"പശ്ചാത്തലം, പശ്ചാത്തലം","পটভূমি, পটভূমি"
"പിന്നോട്ട്, പിന്നോട്ട്","পশ্চাৎপদ, পশ্চাৎপদ"
ടേൺ എറൗണ്ട്,পরিবর্তন
ബാക്ക് വോൾട്ടേജ് പൾസർ,ব্যাক ভোল্টেজ পালসার
പോസ്റ്റ്-റിലേഷൻഷിപ്പ്,সম্পর্ক পরবর্তী
തിരിച്ചടവ്,প্রতিদান
ആന്റി വോൾട്ടേജ്,বিরোধী ভোল্টেজ
പിൻഭാഗം ചിതറിക്കൽ,পোস্টেরিয়র স্ক্যাটারিং
ഇന്റർസ്റ്റീഷ്യൽ വേവ്,অন্তর্বর্তী তরঙ্গ
ഇൻസുലേറ്റർ,অন্তরক
പാരച്യൂട്ട് ജമ്പ്,প্যারাশুট জাম্প
ചൂടാക്കൽ,গরম করার
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য"
ബാലൻസർ,ব্যালেন্সার
ബാലൻസ്,ভারসাম্য
ഗോളാകൃതി,গ্লাবুল
